CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
522;32;1883;522;32;1999
522;32;1999;522;32;1883
522;32;1884;522;32;3887
522;32;3887;522;32;1884
522;32;1885;522;32;1937
522;32;1937;522;32;1885
522;32;116;522;32;777
522;32;777;522;32;942
522;32;942;522;32;1302
522;32;1302;522;32;4873
522;32;4873;522;32;116
522;32;1323;522;32;1364
522;32;1364;522;32;4878
522;32;4878;522;32;1323
522;32;751;522;32;943
522;32;943;522;32;4879
522;32;4879;522;32;5339
522;32;5339;522;32;751
522;32;4805;522;32;5116
522;32;5116;522;32;4805
522;32;945;522;32;1007
522;32;1007;522;32;945
522;32;40;522;32;863
522;32;863;522;32;1086
522;32;1086;522;32;1088
522;32;1088;522;32;40
522;32;110;522;32;209
522;32;209;522;32;786
522;32;786;522;32;1089
522;32;1089;522;32;110
522;32;667;522;32;951
522;32;951;522;32;1090
522;32;1090;522;32;667
522;32;1091;522;32;4196
522;32;4196;522;32;4198
522;32;4198;522;32;1091
522;32;210;522;32;296
522;32;296;522;32;1092
522;32;1092;522;32;210
522;32;1313;522;32;1351
522;32;1351;522;32;1313
522;32;1367;522;32;4466
522;32;4466;522;32;1367
522;32;1094;522;32;1432
522;32;1432;522;32;1094
522;32;1771;522;32;3395
522;32;3395;522;32;1771
522;32;1772;522;32;4642
522;32;4642;522;32;1772
522;32;1082;522;32;1085
522;32;1085;522;32;1082
522;32;1402;522;32;1404
522;32;1404;522;32;1402
522;32;1406;522;32;3946
522;32;3946;522;32;1406
522;32;1008;522;32;1407
522;32;1407;522;32;4574
522;32;4574;522;32;1008
522;32;1003;522;32;1413
522;32;1413;522;32;1997
522;32;1997;522;32;1003
522;32;1414;522;32;1854
522;32;1854;522;32;1414
522;32;5314;522;32;5315
522;32;5315;522;32;5314
522;32;50;522;32;141
522;32;141;522;32;829
522;32;829;522;32;1202
522;32;1202;522;32;1411
522;32;1411;522;32;5321
522;32;5321;522;32;50
522;32;19;522;32;1198
522;32;1198;522;32;1203
522;32;1203;522;32;1410
522;32;1410;522;32;19
522;32;3283;522;32;3285
522;32;3285;522;32;3283
522;32;3286;522;32;3310
522;32;3310;522;32;3286
522;32;400;522;32;3287
522;32;3287;522;32;400
522;32;475;522;32;3288
522;32;3288;522;32;475
522;32;3289;522;32;4975
522;32;4975;522;32;3289
522;32;1251;522;32;5194
522;32;5194;522;32;5325
522;32;5325;522;32;1251
522;32;754;522;32;934
522;32;934;522;32;1252
522;32;1252;522;32;5345
522;32;5345;522;32;754
522;32;1253;522;32;1360
522;32;1360;522;32;1253
522;32;2189;522;32;2191
522;32;2191;522;32;3226
522;32;3226;522;32;2189
522;32;3228;522;32;5027
522;32;5027;522;32;3228
522;32;2186;522;32;3231
522;32;3231;522;32;2186
522;32;746;522;32;3234
522;32;3234;522;32;746
522;32;3251;522;32;3254
522;32;3254;522;32;3251
522;32;2205;522;32;2207
522;32;2207;522;32;3252
522;32;3252;522;32;2205
522;32;2215;522;32;2217
522;32;2217;522;32;3245
522;32;3245;522;32;2215
522;32;2212;522;32;2218
522;32;2218;522;32;2212
522;32;2208;522;32;2210
522;32;2210;522;32;2208
522;32;4874;522;32;4876
522;32;4876;522;32;4874
522;32;1193;522;32;4877
522;32;4877;522;32;1193
522;32;992;522;32;996
522;32;996;522;32;992
