CID;TABCD;LCD;ALLOCATED
522;32;1;1
522;32;2;1
522;32;3;1
522;32;1348;1
522;32;1882;1
522;32;1883;1
522;32;1884;1
522;32;1885;1
522;32;941;1
522;32;942;1
522;32;1363;1
522;32;1364;1
522;32;943;1
522;32;1087;1
522;32;1088;1
522;32;1089;1
522;32;1090;1
522;32;1091;1
522;32;1092;1
522;32;1093;1
522;32;1351;1
522;32;1367;1
522;32;1094;1
522;32;1095;1
522;32;1771;1
522;32;1772;1
522;32;1773;1
522;32;1083;1
522;32;1084;1
522;32;1085;1
522;32;1086;1
522;32;1403;1
522;32;1404;1
522;32;1405;1
522;32;1406;1
522;32;1407;1
522;32;1408;1
522;32;3881;1
522;32;1413;1
522;32;1414;1
522;32;5314;1
522;32;1409;1
522;32;1411;1
522;32;1410;1
522;32;3284;1
522;32;3285;1
522;32;3286;1
522;32;3287;1
522;32;3288;1
522;32;3289;1
522;32;1247;1
522;32;5325;1
522;32;1252;1
522;32;1253;1
522;32;2187;1
522;32;2188;1
522;32;2189;1
522;32;3225;1
522;32;3226;1
522;32;3227;1
522;32;3228;1
522;32;3229;1
522;32;3230;1
522;32;3231;1
522;32;3232;1
522;32;3233;1
522;32;3234;1
522;32;3235;1
522;32;3249;1
522;32;3250;1
522;32;3251;1
522;32;3252;1
522;32;2216;1
522;32;2217;1
522;32;2218;1
522;32;2206;1
522;32;2207;1
522;32;2208;1
522;32;2209;1
522;32;2210;1
522;32;2211;1
522;32;2212;1
522;32;4875;1
522;32;4876;1
522;32;4877;1
522;32;4878;1
522;32;4879;1
522;32;5116;1
522;32;4872;1
522;32;4873;1
522;32;4874;1
522;32;930;1
522;32;5005;1
522;32;1763;1
522;32;1764;1
522;32;1765;1
522;32;1766;1
522;32;1767;1
522;32;992;1
522;32;991;1
522;32;967;1
522;32;966;1
522;32;965;1
522;32;935;1
522;32;934;1
522;32;85;1
522;32;1745;1
522;32;1746;1
522;32;5014;1
522;32;1747;1
522;32;1748;1
522;32;1749;1
522;32;1750;1
522;32;1751;1
522;32;1752;1
522;32;968;1
522;32;5015;1
522;32;1573;1
522;32;1232;1
522;32;874;1
522;32;287;1
522;32;865;1
522;32;1354;1
522;32;864;1
522;32;290;1
522;32;289;1
522;32;1127;1
522;32;288;1
522;32;1903;1
522;32;1904;1
522;32;1905;1
522;32;1906;1
522;32;1907;1
522;32;1908;1
522;32;1909;1
522;32;1910;1
522;32;3941;1
522;32;3942;1
522;32;3943;1
522;32;3944;1
522;32;3945;1
522;32;3946;1
522;32;4524;1
522;32;4525;1
522;32;4526;1
522;32;2196;1
522;32;2197;1
522;32;2198;1
522;32;2199;1
522;32;1935;1
522;32;1936;1
522;32;1937;1
522;32;1938;1
522;32;2110;1
522;32;2113;1
522;32;2112;1
522;32;2111;1
522;32;2115;1
522;32;2116;1
522;32;2193;1
522;32;2194;1
522;32;2195;1
522;32;2190;1
522;32;2191;1
522;32;2192;1
522;32;3330;1
522;32;3331;1
522;32;3332;1
522;32;3253;1
522;32;3254;1
522;32;3255;1
522;32;3256;1
522;32;3333;1
522;32;3334;1
522;32;3335;1
522;32;3336;1
522;32;3337;1
522;32;3365;1
522;32;3366;1
522;32;3367;1
522;32;3368;1
522;32;3369;1
522;32;4636;1
522;32;4637;1
522;32;4638;1
522;32;1056;1
522;32;1057;1
522;32;1059;1
522;32;1060;1
522;32;1061;1
522;32;1062;1
522;32;1063;1
522;32;1713;1
522;32;3430;1
522;32;3431;1
522;32;5243;1
522;32;3453;1
522;32;3454;1
522;32;3455;1
522;32;3456;1
522;32;3457;1
522;32;3458;1
522;32;3459;1
522;32;3460;1
522;32;3461;1
522;32;3462;1
522;32;3463;1
522;32;3464;1
522;32;3465;1
522;32;3466;1
522;32;3467;1
522;32;3468;1
522;32;3469;1
522;32;3470;1
522;32;3471;1
522;32;3375;1
522;32;3376;1
522;32;3377;1
522;32;3378;1
522;32;3379;1
522;32;3380;1
522;32;3419;1
522;32;3420;1
522;32;3421;1
522;32;4575;1
522;32;4576;1
522;32;4577;1
522;32;4578;1
522;32;4579;1
522;32;1431;1
522;32;1432;1
522;32;1433;1
522;32;1434;1
522;32;1435;1
522;32;1787;1
522;32;1788;1
522;32;1789;1
522;32;1237;1
522;32;1238;1
522;32;1239;1
522;32;5195;1
522;32;1240;1
522;32;1241;1
522;32;1243;1
522;32;1244;1
522;32;1245;1
522;32;2093;1
522;32;2094;1
522;32;2095;1
522;32;2096;1
522;32;2097;1
522;32;2098;1
522;32;1471;1
522;32;1472;1
522;32;1473;1
522;32;1474;1
522;32;1475;1
522;32;2117;1
522;32;2118;1
522;32;2119;1
522;32;2120;1
522;32;3386;1
522;32;3387;1
522;32;3388;1
522;32;3389;1
522;32;3390;1
522;32;3391;1
522;32;3392;1
522;32;3393;1
522;32;3394;1
522;32;3395;1
522;32;3396;1
522;32;3397;1
522;32;3398;1
522;32;3399;1
522;32;3381;1
522;32;3382;1
522;32;3383;1
522;32;3384;1
522;32;3385;1
522;32;2084;1
522;32;2085;1
522;32;2086;1
522;32;4914;1
522;32;4987;1
522;32;4988;1
522;32;4989;1
522;32;5186;1
522;32;5187;1
522;32;5188;1
522;32;2072;1
522;32;2073;1
522;32;2074;1
522;32;2068;1
522;32;2069;1
522;32;2070;1
522;32;2071;1
522;32;2064;1
522;32;2065;1
522;32;2066;1
522;32;2067;1
522;32;2061;1
522;32;2062;1
522;32;2063;1
522;32;3923;1
522;32;3924;1
522;32;3925;1
522;32;3926;1
522;32;3927;1
522;32;2200;1
522;32;2201;1
522;32;2202;1
522;32;3920;1
522;32;3921;1
522;32;3922;1
522;32;3908;1
522;32;3907;1
522;32;4615;1
522;32;5133;1
522;32;4616;1
522;32;4617;1
522;32;4851;1
522;32;4593;1
522;32;4594;1
522;32;4595;1
522;32;4596;1
522;32;4597;1
522;32;4852;1
522;32;4853;1
522;32;4598;1
522;32;4599;1
522;32;4600;1
522;32;4490;1
522;32;4491;1
522;32;4492;1
522;32;5215;1
522;32;3928;1
522;32;3929;1
522;32;3930;1
522;32;3931;1
522;32;3932;1
522;32;3933;1
522;32;3934;1
522;32;3935;1
522;32;3936;1
522;32;3937;1
522;32;4497;1
522;32;4498;1
522;32;4499;1
522;32;4500;1
522;32;4501;1
522;32;4502;1
522;32;4425;1
522;32;4426;1
522;32;4427;1
522;32;4428;1
522;32;4429;1
522;32;4430;1
522;32;4421;1
522;32;4422;1
522;32;4423;1
522;32;4424;1
522;32;3910;1
522;32;3911;1
522;32;3912;1
522;32;3913;1
522;32;1383;1
522;32;1384;1
522;32;1385;1
522;32;1386;1
522;32;1387;1
522;32;1031;1
522;32;1729;1
522;32;1032;1
522;32;1033;1
522;32;1034;1
522;32;1035;1
522;32;1036;1
522;32;1037;1
522;32;1038;1
522;32;1039;1
522;32;1040;1
522;32;1041;1
522;32;5154;1
522;32;4527;1
522;32;4528;1
522;32;4529;1
522;32;4530;1
522;32;4531;1
522;32;4414;1
522;32;4415;1
522;32;4416;1
522;32;4417;1
522;32;4418;1
522;32;4645;1
522;32;4646;1
522;32;4647;1
522;32;5067;1
522;32;3479;1
522;32;3480;1
522;32;3481;1
522;32;3406;1
522;32;3407;1
522;32;3408;1
522;32;3409;1
522;32;4618;1
522;32;4619;1
522;32;4620;1
522;32;4621;1
522;32;4515;1
522;32;4516;1
522;32;4517;1
522;32;4358;1
522;32;4359;1
522;32;4360;1
522;32;4361;1
522;32;4147;1
522;32;4148;1
522;32;4149;1
522;32;4150;1
522;32;4053;1
522;32;4054;1
522;32;4055;1
522;32;4056;1
522;32;396;1
522;32;397;1
522;32;491;1
522;32;145;1
522;32;492;1
522;32;144;1
522;32;4677;1
522;32;4678;1
522;32;4679;1
522;32;4680;1
522;32;4681;1
522;32;230;1
522;32;148;1
522;32;460;1
522;32;231;1
522;32;229;1
522;32;147;1
522;32;461;1
522;32;146;1
522;32;4673;1
522;32;4674;1
522;32;4675;1
522;32;4676;1
522;32;1694;1
522;32;1695;1
522;32;1696;1
522;32;1697;1
522;32;298;1
522;32;302;1
522;32;340;1
522;32;301;1
522;32;300;1
522;32;299;1
522;32;39;1
522;32;45;1
522;32;4330;1
522;32;4331;1
522;32;4332;1
522;32;4341;1
522;32;4342;1
522;32;4343;1
522;32;4345;1
522;32;4346;1
522;32;3710;1
522;32;3711;1
522;32;3712;1
522;32;3713;1
522;32;1509;1
522;32;1510;1
522;32;1511;1
522;32;4076;1
522;32;4077;1
522;32;4078;1
522;32;4079;1
522;32;4080;1
522;32;4089;1
522;32;4090;1
522;32;4091;1
522;32;2872;1
522;32;2873;1
522;32;5039;1
522;32;5040;1
522;32;1135;1
522;32;4073;1
522;32;4074;1
522;32;4075;1
522;32;4981;1
522;32;4982;1
522;32;4983;1
522;32;4984;1
522;32;4985;1
522;32;4958;1
522;32;4959;1
522;32;4960;1
522;32;3562;1
522;32;3563;1
522;32;3564;1
522;32;3565;1
522;32;3410;1
522;32;3411;1
522;32;3412;1
522;32;5044;1
522;32;5045;1
522;32;3364;1
522;32;4639;1
522;32;4640;1
522;32;4641;1
522;32;4642;1
522;32;4643;1
522;32;4644;1
522;32;4033;1
522;32;4034;1
522;32;4035;1
522;32;4036;1
522;32;5232;1
