CID;LID;NID;NAME;NCOMMENT
522;1;1;亚洲;
522;1;2;中国;
522;1;1311;北京;
522;1;3;北京市;
522;1;3240;３０２市道;
522;1;1655;黄马路;
522;1;1662;西环南路;
522;1;1673;西店;
522;1;1286;京哈高速公路;
522;1;915;四方桥;
522;1;916;五方桥;
522;1;3421;厚金路;
522;1;1284;高碑店路;
522;1;1541;京密路;
522;1;1036;三元桥;
522;1;1581;Ｙ１０５;
522;1;1037;四元桥;
522;1;1038;广顺南大街;
522;1;1341;酒仙桥北路;
522;1;1040;五元桥;
522;1;1313;首都机场高速公路;
522;1;2190;京平高速公路;
522;1;1353;天北路;
522;1;1494;顺平路;
522;1;990;六环;
522;1;1496;顺沙路;
522;1;1538;白马路;
522;1;137;香河园路;
522;1;1033;东直门北大街;
522;1;586;新东路;
522;1;1366;九棵树东路;
522;1;1361;北苑南路;
522;1;1367;颐瑞中二路;
522;1;1491;张采路;
522;1;1369;京福路;
522;1;1980;青马路;
522;1;3607;西毓顺路;
522;1;1373;旧忠路;
522;1;179;永定门外大街;
522;1;341;木樨园桥;
522;1;2416;永定门东滨河路;
522;1;503;永定路;
522;1;91;莲石东路辅路;
522;1;1083;田村路;
522;1;1799;北太平路;
522;1;1287;复兴路;
522;1;2702;阜石路;
522;1;1331;卢沟桥南路;
522;1;3278;大灰厂东路;
522;1;1223;京港澳高速公路;
522;1;1131;五环;
522;1;1759;Ｇ１０８;
522;1;3178;京昆路;
522;1;702;京原路;
522;1;1088;石景山路;
522;1;1779;Ｘ０１９;
522;1;1780;莲石西路;
522;1;1781;芦井路;
522;1;3545;白庙;
522;1;1757;卢沟桥北路;
522;1;1783;石景山区台京学校;
522;1;1309;莲石东路;
522;1;108;鲁谷路;
522;1;1769;Ｇ１０９;
522;1;1788;上苇甸路;
522;1;1770;三家店东街;
522;1;1587;军温路;
522;1;1775;金顶西街;
522;1;1785;广宁路;
522;1;1773;金顶北路;
522;1;1771;石门路;
522;1;1772;黑石头路;
522;1;3489;Ｇ１辅路;
522;1;3164;垡头街;
522;1;3518;郎辛庄路;
522;1;162;化工路;
522;1;3422;影视城路;
522;1;909;宛平桥;
522;1;1575;琉陶路;
522;1;1576;窦店服务区;
522;1;3258;房窑路;
522;1;1578;京深路;
522;1;1579;大于路;
522;1;957;梨园桥;
522;1;956;阎村桥;
522;1;1328;拱辰北大街;
522;1;934;京良桥;
522;1;1330;周口店路;
522;1;24;京开高速公路;
522;1;1552;Ｇ１０６;
522;1;806;西红门南桥;
522;1;1553;大礼路收费站;
522;1;3423;大广高速公路;
522;1;1554;梨花桥收费站;
522;1;1555;薛营收费站;
522;1;1556;庞各庄收费站;
522;1;1557;三融收费站;
522;1;1558;天宫院收费站;
522;1;1421;服务区;
522;1;936;双源桥;
522;1;1474;海北路;
522;1;1559;金华寺收费站;
522;1;1324;金星桥;
522;1;7;京藏高速公路;
522;1;1497;德胜门桥（德胜门外大街）;
522;1;243;上清桥;
522;1;1842;新康路（德胜门外大街）;
522;1;801;马甸桥;
522;1;245;健翔桥;
522;1;1319;北沙滩桥;
522;1;1130;科荟路;
522;1;975;通顺路;
522;1;1683;京榆旧线;
522;1;3449;外环线;
522;1;1453;滨河北路;
522;1;1684;徐尹路;
522;1;3435;任李路;
522;1;1686;龙塘路;
522;1;1280;京津高速公路;
522;1;2007;小耕垡;
522;1;1990;牛堡屯跨渠桥;
522;1;1982;漷马路;
522;1;1543;顺密路;
522;1;1745;左堤路;
522;1;938;滨河路;
522;1;1765;新桥南大街;
522;1;1767;城子大街;
522;1;1766;双峪路;
522;1;1665;东环南路;
522;1;1660;博兴路;
522;1;3316;同济南路;
522;1;1737;阎东路;
522;1;1233;京周路;
522;1;1741;辛北路;
522;1;1726;紫元立交桥;
522;1;1727;大件路;
522;1;1397;良坨路;
522;1;1762;石龙北路;
522;1;1764;冯石路;
522;1;1761;石龙南路;
522;1;1763;石龙西路;
522;1;1336;Ｓ２１０;
522;1;1809;温泉路;
522;1;1513;北安河路;
522;1;3314;航材大道;
522;1;1072;温阳路;
522;1;3313;白家疃路;
522;1;1818;沙阳路;
522;1;130;北清路;
522;1;3446;翠湖北路;
522;1;212;安四路;
522;1;2199;龙泉公墓;
522;1;1495;立汤路;
522;1;6;安立路;
522;1;1013;中东路;
522;1;1340;太平庄北街;
522;1;1015;七北路;
522;1;1016;定泗路;
522;1;1838;水库路;
522;1;1836;昌崔路;
522;1;3580;水库南路;
522;1;3389;Ｇ１１０辅线;
522;1;3562;上清桥（１１０辅线）;
522;1;1848;南羊路;
522;1;3563;永泰庄北路（１１０辅线）;
522;1;3564;小营西路（１１０辅线）;
522;1;3565;中东路（１１０辅线）;
522;1;3566;建材城西路（１１０辅线）;
522;1;3567;西二旗北路（１１０辅线）;
522;1;3568;同成街（１１０辅线）;
522;1;3569;回龙观西大街（Ｇ６辅路）;
522;1;3571;牛北路（Ｇ６辅路）;
522;1;3572;定泗路（Ｇ６辅路）;
522;1;3573;沙阳路（Ｇ６辅路）;
522;1;3574;百沙路（Ｇ６辅路）;
522;1;1499;白浮泉路;
522;1;1830;南环西路;
522;1;1841;京银路;
522;1;1820;温南路;
522;1;1821;水南路;
522;1;1832;南环路;
522;1;1831;西环路;
522;1;1833;东环路;
522;1;2179;宋梁路;
522;1;3191;京塘路;
522;1;2180;通胡路;
522;1;944;通燕高速公路;
522;1;1603;Ｙ５６１;
522;1;1069;机场北线高速公路;
522;1;3297;法信府前街;
522;1;3281;机场东路;
522;1;1601;光明南街;
522;1;1602;右堤路;
522;1;165;京良路;
522;1;1422;京开路;
522;1;3199;长周路;
522;1;3461;Ｘ０４０;
522;1;1219;芦求北路;
522;1;1220;樊羊路;
522;1;1221;欣宁街;
522;1;1736;顾八路;
522;1;1723;大窦路;
522;1;1582;月华大街;
522;1;1584;京港澳高速公路（京周路）;
522;1;3323;昊天大街;
522;1;1701;黄良路;
522;1;3322;良坨大街;
522;1;3273;月华大街（良坨大街）;
522;1;1725;阎吕路;
522;1;3298;顺西路（西外街）;
522;1;3447;百葛路;
522;1;1329;百沙路;
522;1;979;火寺路;
522;1;1827;西外街;
522;1;1823;顺西路;
522;1;1825;站前北街;
522;1;3462;Ｇ６辅路;
522;1;993;上庄路;
522;1;1732;良三路;
522;1;1225;长青路;
522;1;3378;贺照云;
522;1;2274;长杨路;
522;1;1728;良常路;
522;1;3463;提香草堂;
522;1;1588;铺大路;
522;1;1995;潞西路;
522;1;1364;九棵树西路;
522;1;1999;张台路;
522;1;1768;水闸北路;
522;1;1675;通马路;
