CID;LID;NID;NTRANSLATION
522;2;1;ya zhou
522;3;1;Asia
522;2;2;zhong guo
522;3;2;China
522;2;3;bei jing shi
522;3;3;BEIJING
522;2;4;an ding men nei da jie
522;3;4;Andingmen Inner St
522;2;5;an ding men wai da jie
522;3;5;Andingmen Outer St
522;2;6;an li lu
522;3;6;Anli Rd
522;2;7;jing zang gao su gong lu
522;3;7;Jingzang Hwy
522;2;8;bei jing zhan jie
522;3;8;Beijingzhan St
522;2;10;chao yang bei lu
522;3;10;Chaoyang North Rd
522;2;11;chao yang lu
522;3;11;Chaoyang Rd
522;2;12;chao yang men bei xiao jie
522;3;12;Chaoyangmen North St
522;2;13;chao yang men nei da jie
522;3;13;Chaoyangmen Inner St
522;2;14;chao yang men nan xiao jie
522;3;14;Chaoyangmen South St
522;2;15;chao yang men wai da jie
522;3;15;Chaoyangmen Outer St
522;2;16;che gong zhuang da jie
522;3;16;Chegongzhuang Ave
522;2;17;dong zhi men bei xiao jie
522;3;17;Dongzhimen North St
522;2;19;fu cheng lu
522;3;19;Fucheng Rd
522;2;20;fu cheng men nei da jie
522;3;20;Fuchengmen Inner St
522;2;21;fu cheng men wai da jie
522;3;21;Fuchengmen Outer St
522;2;24;jing kai gao su gong lu
522;3;24;Jingkai Hwy
522;2;26;lan dian chang bei lu
522;3;26;Landianchang North Rd
522;2;27;lan dian chang nan lu
522;3;27;Landianchang South Rd
522;2;28;ping an li xi da jie
522;3;28;Ping'anli West St
522;2;31;wen jin jie
522;3;31;Wenjin St
522;2;33;xi an men da jie
522;3;33;Xi'anmen Ave
522;2;35;bei chen lu
522;3;35;Beichen Rd
522;2;36;gu lou wai da jie
522;3;36;Gulou Outer St
522;2;37;di an men nei da jie
522;3;37;Di'anmen Inner St
522;2;44;cheng fu lu
522;3;44;Chengfu Rd
522;2;47;dong si shi tiao
522;3;47;Dongsishi Aly
522;2;49;jiao dao kou nan da jie
522;3;49;Jiaodaokou South St
522;2;51;an ding lu
522;3;51;Anding Rd
522;2;52;che gong zhuang xi lu
522;3;52;Chegongzhuang West Rd
522;2;53;wan feng lu
522;3;53;Wanfeng Rd
522;2;54;zhang zi zhong lu
522;3;54;Zhangzizhong Rd
522;2;55;guan dong dian bei jie
522;3;55;Guandongdian North St
522;2;58;zhu shi kou xi da jie
522;3;58;Zhushikou West St
522;2;59;zhu shi kou dong da jie
522;3;59;Zhushikou East St
522;2;60;guang qu men nei da jie
522;3;60;Guangqumen Inner St
522;2;61;guang qu men wai da jie
522;3;61;Guangqumen Outer St
522;2;64;guang an lu
522;3;64;Guang'an Rd
522;2;65;guang an men wai da jie
