CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
522;32;1883;;1884
522;32;1884;1883;1885
522;32;1885;1884;
522;32;942;;1363
522;32;1363;942;1364
522;32;1364;1363;943
522;32;943;1364;
522;32;1088;;1089
522;32;1089;1088;1090
522;32;1090;1089;1091
522;32;1091;1090;1092
522;32;1092;1091;1093
522;32;1093;1092;1351
522;32;1351;1093;1367
522;32;1367;1351;1094
522;32;1094;1367;1095
522;32;1095;1094;1771
522;32;1771;1095;1772
522;32;1772;1771;1773
522;32;1773;1772;
522;32;1084;;1085
522;32;1085;1084;1086
522;32;1086;1085;
522;32;1404;;1405
522;32;1405;1404;1406
522;32;1406;1405;1407
522;32;1407;1406;
522;32;3881;;1413
522;32;1413;3881;1414
522;32;1414;1413;5314
522;32;5314;1414;
522;32;1411;;1410
522;32;1410;1411;
522;32;3285;;3286
522;32;3286;3285;3287
522;32;3287;3286;3288
522;32;3288;3287;3289
522;32;3289;3288;
522;32;5325;;1252
522;32;1252;5325;1253
522;32;1253;1252;
522;32;2188;;2189
522;32;2189;2188;
522;32;3226;;3227
522;32;3227;3226;3228
522;32;3228;3227;3229
522;32;3229;3228;3230
522;32;3230;3229;3231
522;32;3231;3230;3232
522;32;3232;3231;3233
522;32;3233;3232;3234
522;32;3234;3233;3235
522;32;3235;3234;
522;32;3250;;3251
522;32;3251;3250;3252
522;32;3252;3251;
522;32;2217;;2218
522;32;2218;2217;
522;32;2207;;2208
522;32;2208;2207;
522;32;2210;;2211
522;32;2211;2210;2212
522;32;2212;2211;
522;32;4876;;4877
522;32;4877;4876;4878
522;32;4878;4877;4879
522;32;4879;4878;5116
522;32;5116;4879;
522;32;4873;;4874
522;32;4874;4873;
522;32;5005;;1763
522;32;1763;5005;1764
522;32;1764;1763;1765
522;32;1765;1764;1766
522;32;1766;1765;1767
522;32;1767;1766;992
522;32;992;1767;991
522;32;991;992;967
522;32;967;991;966
522;32;966;967;965
522;32;965;966;935
522;32;935;965;934
522;32;934;935;
522;32;1745;;1746
522;32;1746;1745;5014
522;32;5014;1746;1747
522;32;1747;5014;1748
522;32;1748;1747;1749
522;32;1749;1748;1750
522;32;1750;1749;1751
522;32;1751;1750;1752
522;32;1752;1751;968
522;32;968;1752;5015
522;32;5015;968;1573
522;32;1573;5015;1232
522;32;1232;1573;874
522;32;874;1232;
522;32;865;;1354
522;32;1354;865;864
522;32;864;1354;290
522;32;290;864;289
522;32;289;290;1127
522;32;1127;289;288
522;32;288;1127;
522;32;1904;;1905
522;32;1905;1904;1906
522;32;1906;1905;1907
522;32;1907;1906;1908
522;32;1908;1907;1909
522;32;1909;1908;1910
522;32;1910;1909;
522;32;3942;;3943
522;32;3943;3942;3944
522;32;3944;3943;3945
522;32;3945;3944;3946
522;32;3946;3945;
522;32;4525;;4526
522;32;4526;4525;
522;32;2197;;2198
522;32;2198;2197;2199
522;32;2199;2198;
522;32;1936;;1937
522;32;1937;1936;1938
522;32;1938;1937;
522;32;2113;;2112
522;32;2112;2113;2111
522;32;2111;2112;2115
522;32;2115;2111;2116
522;32;2116;2115;
522;32;2194;;2195
522;32;2195;2194;
522;32;2191;;2192
522;32;2192;2191;
522;32;3331;;3332
522;32;3332;3331;
522;32;3254;;3255
522;32;3255;3254;3256
522;32;3256;3255;
522;32;3334;;3335
522;32;3335;3334;3336
522;32;3336;3335;3337
522;32;3337;3336;
522;32;3366;;3367
522;32;3367;3366;3368
522;32;3368;3367;3369
522;32;3369;3368;
522;32;4637;;4638
522;32;4638;4637;
522;32;1057;;1059
522;32;1059;1057;1060
522;32;1060;1059;1061
522;32;1061;1060;1062
522;32;1062;1061;1063
522;32;1063;1062;1713
522;32;1713;1063;
522;32;3431;;5243
522;32;5243;3431;
522;32;3454;;3455
522;32;3455;3454;3456
522;32;3456;3455;3457
522;32;3457;3456;3458
522;32;3458;3457;3459
522;32;3459;3458;3460
522;32;3460;3459;3461
522;32;3461;3460;3462
522;32;3462;3461;3463
522;32;3463;3462;3464
522;32;3464;3463;3465
522;32;3465;3464;3466
522;32;3466;3465;3467
522;32;3467;3466;3468
522;32;3468;3467;3469
522;32;3469;3468;3470
522;32;3470;3469;3471
522;32;3471;3470;
522;32;3376;;3377
522;32;3377;3376;3378
522;32;3378;3377;3379
522;32;3379;3378;3380
522;32;3380;3379;
522;32;3420;;3421
522;32;3421;3420;
522;32;4576;;4577
522;32;4577;4576;4578
522;32;4578;4577;4579
522;32;4579;4578;
522;32;1432;;1433
522;32;1433;1432;1434
522;32;1434;1433;1435
522;32;1435;1434;1787
522;32;1787;1435;1788
522;32;1788;1787;1789
522;32;1789;1788;
522;32;1238;;1239
522;32;1239;1238;5195
522;32;5195;1239;1240
522;32;1240;5195;1241
522;32;1241;1240;1243
522;32;1243;1241;1244
522;32;1244;1243;1245
522;32;1245;1244;
522;32;2094;;2095
522;32;2095;2094;2096
522;32;2096;2095;2097
522;32;2097;2096;2098
522;32;2098;2097;
522;32;1472;;1473
522;32;1473;1472;1474
522;32;1474;1473;1475
522;32;1475;1474;
522;32;2118;;2119
522;32;2119;2118;2120
522;32;2120;2119;
522;32;3387;;3388
522;32;3388;3387;3389
522;32;3389;3388;3390
522;32;3390;3389;3391
522;32;3391;3390;3392
522;32;3392;3391;3393
522;32;3393;3392;3394
522;32;3394;3393;3395
522;32;3395;3394;3396
522;32;3396;3395;
522;32;3398;;3399
522;32;3399;3398;
522;32;3382;;3383
522;32;3383;3382;3384
522;32;3384;3383;3385
522;32;3385;3384;
522;32;2085;;2086
522;32;2086;2085;4914
522;32;4914;2086;
522;32;4988;;4989
522;32;4989;4988;5186
522;32;5186;4989;5187
522;32;5187;5186;5188
522;32;5188;5187;
522;32;2073;;2074
522;32;2074;2073;
522;32;2069;;2070
522;32;2070;2069;2071
522;32;2071;2070;
522;32;2065;;2066
522;32;2066;2065;2067
522;32;2067;2066;
522;32;2062;;2063
522;32;2063;2062;
522;32;3924;;3925
522;32;3925;3924;3926
522;32;3926;3925;3927
522;32;3927;3926;
522;32;2201;;2202
522;32;2202;2201;
522;32;3921;;3922
522;32;3922;3921;3908
522;32;3908;3922;3907
522;32;3907;3908;
522;32;5133;;4616
522;32;4616;5133;4617
522;32;4617;4616;
522;32;4594;;4595
