CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
522;32;1883;P;1;10;;3240;1655;;1348;;;1882;1;1;1;1;1;1;;;+11655684;+3974682;0;1
522;32;1884;P;1;12;;3240;1673;;1348;;;1882;1;1;1;1;1;1;;;+11655670;+3975348;0;1
522;32;1885;P;1;10;;3240;1662;;1348;;;1882;1;1;1;1;1;1;;;+11654774;+3976751;0;1
522;32;942;P;1;1;;1286;915;;1348;;;941;1;1;1;1;1;1;;;+11648887;+3987120;0;1
522;32;1363;P;1;3;;1286;3421;;1348;;;941;1;1;1;1;1;1;;;+11650385;+3987086;0;1
522;32;1364;P;1;3;;1286;1284;;1348;;;941;1;1;1;1;1;1;;;+11653071;+3986972;0;1
522;32;943;P;1;1;;1286;916;;1348;;;941;1;1;1;1;1;1;;;+11654862;+3986901;0;1
522;32;1088;P;1;3;;1541;1036;;1348;;;1087;1;1;1;1;1;1;;;+11645342;+3995859;0;1
522;32;1089;P;1;3;;1541;1037;;1348;;;1087;1;1;1;1;1;1;;;+11646890;+3997172;0;1
522;32;1090;P;1;10;;1541;1038;;1348;;;1087;1;1;1;1;1;1;;;+11648271;+3998432;0;1
522;32;1091;P;1;10;;1541;1341;;1348;;;1087;1;1;1;1;1;1;;;+11648794;+3998909;0;1
522;32;1092;P;1;3;;1541;1040;;1348;;;1087;1;1;1;1;1;1;;;+11649965;+3999962;0;1
522;32;1093;P;1;3;;1541;1313;;1348;;;1087;1;1;1;1;1;1;;;+11651896;+4001903;0;0
522;32;1351;P;1;10;;1541;2190;;1348;;;1087;1;1;1;1;1;1;;;+11653299;+4004094;0;0
522;32;1367;P;1;10;;1541;1353;;1348;;;1087;1;1;1;1;1;1;;;+11655485;+4006553;0;1
522;32;1094;P;1;8;;1541;1494;;1348;;;1087;1;1;1;1;1;1;;;+11656792;+4011792;0;1
522;32;1095;P;1;3;;1541;990;;1348;;;1087;1;1;1;1;1;1;;;+11659600;+4014165;0;1
522;32;1771;P;1;10;;1541;1496;;1348;;;1087;1;1;1;1;1;1;;;+11659854;+4014395;0;1
522;32;1772;P;1;6;;1541;1538;;1348;;;1087;1;1;1;1;1;1;;;+11664083;+4017108;0;0
522;32;1773;P;1;12;;1541;1581;;1348;;;1087;1;1;1;1;1;1;;;+11664818;+4023454;0;0
522;32;1084;P;1;12;;137;1033;;1348;;;1083;1;1;1;1;1;1;;;+11643399;+3994489;0;1
522;32;1085;P;1;10;;137;586;;1348;;;1083;1;1;1;1;1;1;;;+11644475;+3995142;0;1
522;32;1086;P;1;3;;137;1541;;1348;;;1083;1;1;1;1;1;1;;;+11645342;+3995859;0;1
522;32;1404;P;1;10;;1366;1361;;1348;;;1403;1;1;1;1;1;1;;;+11666218;+3988908;0;1
522;32;1405;P;1;10;;1366;1367;;1348;;;1403;1;1;1;1;1;1;;;+11668095;+3987412;0;1
522;32;1406;P;1;10;;1366;1491;;1348;;;1403;1;1;1;1;1;1;;;+11669511;+3986985;0;1
522;32;1407;P;1;3;;1366;990;;1348;;;1403;1;1;1;1;1;1;;;+11670336;+3986760;0;1
522;32;3881;P;1;12;;1369;1980;;1348;;;1408;1;1;1;1;1;1;;;+11655209;+3966716;0;0
522;32;1413;P;1;10;;1369;1655;;1348;;;1408;1;1;1;1;1;1;;;+11646328;+3972632;0;0
522;32;1414;P;1;12;;1369;1373;;1348;;;1408;1;1;1;1;1;1;;;+11644702;+3976882;0;0
522;32;5314;P;1;10;;1369;3607;;1348;;;1408;1;1;1;1;1;1;;;+11643427;+3977798;0;0
522;32;1411;P;1;7;;179;341;;1348;;;1409;1;1;1;1;1;1;;;+11640011;+3985701;0;1
522;32;1410;P;1;7;;179;2416;;1348;;;1409;1;1;1;1;1;1;;;+11639922;+3987165;0;1
522;32;3285;P;1;10;;503;91;;1348;;;3284;1;1;1;1;1;1;;;+11626466;+3989703;0;1
522;32;3286;P;1;10;;503;1799;;1348;;;3284;1;1;1;1;1;1;;;+11626460;+3990380;0;1
522;32;3287;P;1;10;;503;1287;;1348;;;3284;1;1;1;1;1;1;;;+11626468;+3990745;0;1
522;32;3288;P;1;10;;503;2702;;1348;;;3284;1;1;1;1;1;1;;;+11626466;+3992436;0;1
522;32;3289;P;1;10;;503;1083;;1348;;;3284;1;1;1;1;1;1;;;+11626473;+3992904;0;1
522;32;5325;P;1;8;;1331;3278;;1348;;;1247;1;1;1;1;1;1;;;+11620893;+3984345;0;0
522;32;1252;P;1;10;;1331;1131;;1348;;;1247;1;1;1;1;1;1;;;+11622529;+3984557;0;1
522;32;1253;P;1;3;;1331;1223;;1348;;;1247;1;1;1;1;1;1;;;+11623882;+3985694;0;1
522;32;2188;P;1;8;;1759;3178;;1348;;;2187;1;1;1;1;1;1;;;+11603087;+3987851;0;0
522;32;2189;P;1;8;;1759;702;;1348;;;2187;1;1;1;1;1;1;;;+11610793;+3989439;0;1
522;32;3226;P;1;8;;702;1759;;1348;;;3225;1;1;1;1;1;1;;;+11610793;+3989439;0;1
522;32;3227;P;1;12;;702;1779;;1348;;;3225;1;1;1;1;1;1;;;+11613026;+3988801;0;1
522;32;3228;P;1;3;;702;1780;;1348;;;3225;1;1;1;1;1;1;;;+11616291;+3988712;0;0
522;32;3229;P;1;10;;702;1781;;1348;;;3225;1;1;1;1;1;1;;;+11616363;+3988629;0;0
522;32;3230;P;1;3;;702;3545;;1348;;;3225;1;1;1;1;1;1;;;+11618323;+3989230;0;1
522;32;3231;P;1;12;;702;1757;;1348;;;3225;1;1;1;1;1;1;;;+11619060;+3988902;0;1
522;32;3232;P;1;3;;702;1783;;1348;;;3225;1;1;1;1;1;1;;;+11620479;+3988909;0;1
522;32;3233;P;1;10;;702;1309;;1348;;;3225;1;1;1;1;1;1;;;+11621066;+3989676;0;1
522;32;3234;P;1;10;;702;108;;1348;;;3225;1;1;1;1;1;1;;;+11621090;+3990384;0;1
522;32;3235;P;1;10;;702;1088;;1348;;;3225;1;1;1;1;1;1;;;+11621084;+3990743;0;1
522;32;3250;P;1;12;;1769;1788;;1348;;;3249;1;1;1;1;1;1;;;+11600796;+4000671;0;0
522;32;3251;P;1;10;;1769;1587;;1348;;;3249;1;1;1;1;1;1;;;+11609419;+3999610;0;0
522;32;3252;P;1;10;;1769;1770;;1348;;;3249;1;1;1;1;1;1;;;+11610669;+3996085;0;0
522;32;2217;P;1;10;;1775;1785;;1348;;;2216;1;1;1;1;1;1;;;+11616112;+3992461;0;1
522;32;2218;P;1;10;;1775;1773;;1348;;;2216;1;1;1;1;1;1;;;+11615951;+3992976;0;1
522;32;2207;P;1;10;;1770;1769;;1348;;;2206;1;1;1;1;1;1;;;+11610669;+3996085;0;0
522;32;2208;P;1;12;;1770;1771;;1348;;;2206;1;1;1;1;1;1;;;+11611079;+3996215;0;0
522;32;2210;P;1;12;;1771;1770;;1348;;;2209;1;1;1;1;1;1;;;+11611079;+3996215;0;0
522;32;2211;P;1;10;;1771;1772;;1348;;;2209;1;1;1;1;1;1;;;+11613119;+3994997;0;0
522;32;2212;P;1;10;;1771;1773;;1348;;;2209;1;1;1;1;1;1;;;+11615951;+3992976;0;1
522;32;4876;P;1;12;;3489;3164;;1348;;;4875;1;1;1;1;1;1;;;+11651055;+3987058;0;1
522;32;4877;P;1;10;;3489;162;;1348;;;4875;1;1;1;1;1;1;;;+11651368;+3987051;0;1
522;32;4878;P;1;10;;3489;1284;;1348;;;4875;1;1;1;1;1;1;;;+11653071;+3986972;0;1
522;32;4879;P;1;1;;3489;916;;1348;;;4875;1;1;1;1;1;1;;;+11654862;+3986901;0;1
522;32;5116;P;1;3;;3489;3518;;1348;;;4875;1;1;1;1;1;1;;;+11657343;+3986806;0;0
522;32;4873;P;1;10;;3489;915;;1348;;;4872;1;1;1;1;1;1;;;+11648887;+3987120;0;1
522;32;4874;P;1;12;;3489;3164;;1348;;;4872;1;1;1;1;1;1;;;+11651055;+3987058;0;1
522;32;5005;P;1;3;;1223;3422;;1348;;;930;1;1;1;1;1;1;;;+11603933;+3954804;0;0
522;32;1763;P;1;3;;1223;1575;;1348;;;930;1;1;1;1;1;1;;;+11606101;+3959824;0;0
522;32;1764;P;3;3;;1223;1576;;1348;;;930;1;1;1;1;1;1;;;+11608037;+3962998;0;0
