CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
522;32;1882;L;1;3;;3240;1655;1662;1348;
522;32;941;L;1;1;G1;1286;915;916;1348;
522;32;1087;L;1;2;G101;1541;1036;1581;1348;
522;32;1083;L;1;4;G101;137;1033;1541;1348;
522;32;1403;L;1;2;G103;1366;1361;990;1348;
522;32;1408;L;1;2;G104;1369;1980;3607;1348;
522;32;1409;L;1;2;G104;179;341;2416;1348;
522;32;3284;L;1;4;G106;503;91;1083;1348;
522;32;1247;L;1;2;G107;1331;3278;1223;1348;
522;32;2187;L;1;2;G108;1759;3178;702;1348;
522;32;3225;L;1;2;G108;702;1759;1088;1348;
522;32;3249;L;1;2;G109;1769;1788;1770;1348;
522;32;2216;L;1;2;G109;1775;1785;1773;1348;
522;32;2206;L;1;2;G109;1770;1769;1771;1348;
522;32;2209;L;1;2;G109;1771;1770;1773;1348;
522;32;4875;L;1;3;;3489;3164;3518;1348;
522;32;4872;L;1;3;;3489;915;3164;1348;
522;32;930;L;1;1;G4;1223;3422;909;1348;
522;32;85;L;1;1;G45;24;1552;806;1348;
522;32;287;L;1;1;G6;7;1497;243;1348;
522;32;1903;L;1;3;S201;975;1683;3449;1348;
522;32;3941;L;1;3;S202;1491;1280;1366;1348;
522;32;4524;L;1;3;S203;1543;1745;1538;1348;
522;32;2196;L;1;3;S205;938;1765;1767;1348;
522;32;1935;L;1;4;S206;1662;1665;1660;1348;
522;32;2110;L;1;3;S208;1737;1233;1741;1348;
522;32;2193;L;1;3;S209;1762;1764;1765;1348;
522;32;2190;L;1;3;S209;1761;702;1763;1348;
522;32;3330;L;1;3;S210;1336;1587;1809;1348;
522;32;3253;L;1;3;S210;1587;1769;1513;1348;
522;32;3333;L;1;3;S210;1809;1336;3314;1348;
522;32;3365;L;1;3;S210;1072;1809;1818;1348;
522;32;4636;L;1;3;S213;212;1496;2199;1348;
522;32;1056;L;1;3;S213;1495;6;1496;1348;
522;32;3430;L;1;3;X037;1838;1836;3580;1348;
522;32;3453;L;1;3;S216;3389;3562;1848;1348;
522;32;3375;L;1;3;S218;1820;1072;7;1348;
522;32;3419;L;1;3;S222;1832;1831;1833;1348;
522;32;4575;L;1;3;S229;2179;3191;1683;1348;
522;32;1431;L;1;3;S305;1494;1541;1603;1348;
522;32;1237;L;1;3;S315;165;1223;1422;1348;
522;32;2093;L;1;3;S317;1233;1736;1223;1348;
522;32;1471;L;1;3;S317;1582;1584;3323;1348;
522;32;2117;L;1;3;S319;1397;1737;3273;1348;
522;32;3386;L;1;3;S321;1496;1820;3298;1348;
522;32;3397;L;1;3;S321;1827;1823;1825;1348;
522;32;3381;L;1;3;S324;1818;1072;3462;1348;
522;32;2084;L;1;4;S328;1732;1328;1225;1348;
522;32;4987;L;1;3;X001;3199;990;1223;1348;
522;32;2072;L;1;4;X003;1728;990;1701;1348;
522;32;2068;L;1;4;X006;1725;1233;1397;1348;
522;32;2064;L;1;4;X007;1723;1579;1727;1348;
522;32;2061;L;1;4;X008;1579;3463;1723;1348;
522;32;3923;L;1;4;X010;1588;1995;1364;1348;
522;32;2200;L;1;3;X011;1767;938;1768;1348;
522;32;3920;L;1;4;X011;1995;1675;1988;1348;
522;32;4615;L;1;4;X012;1684;3528;990;1348;
522;32;4851;L;1;4;X013;1683;1078;2179;1348;
522;32;4490;L;1;4;X014;1850;1354;979;1348;
522;32;3928;L;1;4;X015;1999;1588;2005;1348;
522;32;4497;L;1;4;X019;2139;3299;1831;1348;
522;32;4425;L;1;4;X020;1334;2117;1541;1348;
522;32;4421;L;1;4;X020;2117;1009;1334;1348;
522;32;3910;L;1;4;X020;1994;1334;3287;1348;
522;32;1383;L;1;4;S327;1016;3462;1069;1348;
522;32;1031;L;1;4;X023;130;1513;3531;1348;
522;32;4527;L;1;4;X025;1354;1334;1541;1348;
522;32;4414;L;1;4;X025;2110;2115;2106;1348;
522;32;4645;L;1;4;X031;3449;975;3281;1348;
522;32;3479;L;1;4;X032;1329;3462;1496;1348;
522;32;3406;L;1;4;X034;1821;1820;3389;1348;
522;32;4618;L;1;4;X201;3435;975;2191;1348;
522;32;4515;L;1;4;X203;1602;2159;1494;1348;
522;32;4358;L;1;4;Y404;2099;3363;3303;1348;
522;32;4147;L;1;4;Y462;2053;11;1143;1348;
522;32;4053;L;1;4;;456;1318;5;1348;
522;32;396;L;1;3;;51;3468;421;1348;
522;32;4677;L;1;3;;2204;4;1033;1348;
522;32;230;L;1;4;;4;239;2204;1348;
522;32;229;L;1;3;;5;347;419;1348;
522;32;4673;L;1;3;;1458;1424;4;1348;
522;32;1694;L;1;4;;1480;179;200;1348;
522;32;298;L;1;3;;6;421;1495;1348;
522;32;4330;L;1;4;;1391;1388;1915;1348;
522;32;4341;L;1;4;;1915;1389;1337;1348;
522;32;3710;L;1;4;;1390;1388;1917;1348;
522;32;1509;L;1;4;;1403;1118;1120;1348;
522;32;4076;L;1;4;;520;51;1242;1348;
522;32;4089;L;1;4;;2034;1130;1529;1348;
522;32;2872;L;7;0;;;2888;2796;1348;
522;32;5039;L;1;4;;2888;1130;1131;1348;
522;32;4073;L;1;4;;2032;35;51;1348;
522;32;4981;L;1;4;;3338;3334;1080;1348;
522;32;4958;L;1;4;;3332;1088;3333;1348;
522;32;3562;L;1;4;;1876;26;599;1348;
522;32;3410;L;1;4;X030;1499;3389;1828;1348;
522;32;5044;L;1;4;;3313;3478;1809;1348;
522;32;4639;L;1;4;S335;1538;3423;1543;1348;
522;32;4033;L;1;4;;2027;60;2028;1348;
522;32;5232;L;1;3;;2229;1203;2227;1348;
522;32;3610;L;1;4;;1204;1205;164;1348;
522;32;1223;L;1;4;;164;1203;1205;1348;
522;32;3761;L;1;4;;1935;98;190;1348;
522;32;3757;L;1;4;;1896;1404;98;1348;
522;32;5227;L;1;4;;3447;990;1496;1348;
522;32;3680;L;1;4;;1904;435;1912;1348;
522;32;4138;L;1;4;;2050;1144;3470;1348;
522;32;3527;L;1;4;;1869;1378;711;1348;
522;32;4867;L;1;4;;3160;1855;2492;1348;
522;32;3345;L;1;4;;1513;1587;1812;1348;
522;32;3956;L;1;4;;2011;2010;1298;1348;
522;32;4084;L;1;4;;1123;399;1130;1348;
522;32;221;L;1;4;;35;928;333;1348;
522;32;2678;L;7;0;;;1120;2659;1348;
522;32;1128;L;1;4;;1120;1125;1130;1348;
522;32;3962;L;1;4;;2013;1147;1148;1348;
522;32;877;L;1;4;;110;1203;1287;1348;
522;32;1152;L;1;4;;155;1147;1149;1348;
522;32;4857;L;1;4;;3480;1053;1131;1348;
522;32;1635;L;1;4;;1445;1444;187;1348;
522;32;1959;L;1;4;;1669;1668;1693;1348;
522;32;1956;L;1;4;;1697;1696;1668;1348;
522;32;4884;L;1;4;;1857;64;1859;1348;
522;32;3492;L;1;4;;1857;1206;3144;1348;
522;32;1629;L;1;4;;1351;8;1111;1348;
522;32;166;L;1;4;;8;1443;175;1348;
522;32;1626;L;1;4;;1443;187;8;1348;
522;32;3641;L;1;4;;1903;21;638;1348;
522;32;3308;L;1;4;;1799;445;1248;1348;
522;32;437;L;1;4;;198;462;1125;1348;
522;32;1139;L;1;4;;420;35;3190;1348;
522;32;619;L;1;4;;1125;615;35;1348;
522;32;3523;L;1;4;;1522;19;711;1348;
522;32;1521;L;1;4;;1407;1406;1183;1348;
522;32;2662;L;7;0;;;2719;2649;1348;
522;32;1476;L;1;4;;2719;1253;1400;1348;
522;32;3626;L;1;4;;1899;678;1900;1348;
522;32;2213;L;1;3;;1231;2702;1088;1348;
522;32;1533;L;1;4;;376;185;553;1348;
522;32;3082;L;7;0;;;3071;2796;1348;
522;32;3084;L;7;0;;;3071;2798;1348;
522;32;1817;L;1;4;;3071;1131;1422;1348;
522;32;2886;L;7;0;;;2906;2910;1348;
522;32;4297;L;1;4;;2906;1131;3473;1348;
522;32;2914;L;7;0;;;2908;2798;1348;
522;32;2878;L;7;0;;;1239;2798;1348;
522;32;1556;L;1;4;S213;1239;1053;375;1348;
522;32;66;L;1;4;S213;1239;420;1053;1348;
522;32;737;L;1;3;S213;1239;1253;1495;1348;
522;32;1395;L;1;2;G103;1361;1054;1366;1348;
522;32;1547;L;1;4;;1412;143;192;1348;
522;32;1654;L;1;4;;1453;975;1681;1348;
522;32;4567;L;1;4;;2176;3191;3474;1348;
522;32;1658;L;1;4;;1456;2177;3474;1348;
522;32;4050;L;1;4;;2030;197;1318;1348;
522;32;687;L;1;4;;93;663;1460;1348;
522;32;1862;L;1;4;;1660;3391;1662;1348;
522;32;5122;L;1;4;;3520;1993;3519;1348;
522;32;722;L;1;4;;104;687;1464;1348;
522;32;2392;L;7;0;;;2492;2306;1348;
522;32;88;L;1;3;;2492;248;249;1348;
522;32;2400;L;7;0;;;2499;1206;1348;
522;32;528;L;1;4;;190;2456;550;1348;
522;32;2356;L;7;0;;;2450;2295;1348;
522;32;2362;L;7;0;;;2458;2295;1348;
522;32;3620;L;1;4;;1897;1896;676;1348;
522;32;2148;L;1;4;;1748;1593;1484;1348;
522;32;3444;L;1;3;;1118;801;243;1348;
522;32;3413;L;1;4;;1828;1499;1829;1348;
522;32;5117;L;1;4;;762;27;1379;1348;
522;32;709;L;1;4;;100;678;679;1348;
522;32;4888;L;1;3;;1225;990;1330;1348;
522;32;4008;L;1;4;;2021;2020;15;1348;
522;32;194;L;1;4;;10;134;975;1348;
522;32;4171;L;1;4;;1536;1257;96;1348;
522;32;1293;L;1;4;;1257;1256;1349;1348;
522;32;281;L;1;3;;11;15;944;1348;
522;32;4689;L;1;3;;2206;71;15;1348;
522;32;258;L;1;4;;12;13;47;1348;
522;32;277;L;1;4;;13;205;1516;1348;
522;32;4692;L;1;3;;2207;1516;432;1348;
522;32;260;L;1;4;;14;175;13;1348;
522;32;279;L;1;3;;15;1516;11;1348;
522;32;2866;L;7;0;;;2890;2888;1348;
522;32;310;L;1;4;;16;435;1914;1348;
522;32;414;L;1;4;;52;1376;435;1348;
522;32;3981;L;1;4;;2016;1151;1155;1348;
522;32;357;L;1;4;;44;387;615;1348;
522;32;3801;L;1;4;;771;1460;1447;1348;
522;32;5294;L;1;4;;3604;3605;771;1348;
522;32;5305;L;1;4;;3606;3603;771;1348;
522;32;5084;L;1;4;;3500;1331;1757;1348;
522;32;3290;L;1;3;;1471;1751;1223;1348;
522;32;2262;L;7;0;;;187;2306;1348;
522;32;525;L;1;4;;187;546;547;1348;
522;32;245;L;1;4;;546;187;175;1348;
522;32;247;L;1;4;;202;627;546;1348;
522;32;5091;L;1;4;;1428;142;202;1348;
522;32;3353;L;1;4;;3446;1072;1810;1348;
522;32;1326;L;1;4;;1350;1287;888;1348;
522;32;1325;L;1;4;;1350;883;1287;1348;
522;32;1444;L;1;4;;1383;147;1248;1348;
522;32;5006;L;1;1;G45;3423;3426;924;1348;
522;32;5336;L;1;1;G45;3423;924;3416;1348;
522;32;5282;L;1;4;;3600;178;1462;1348;
522;32;5279;L;1;4;;3599;73;178;1348;
522;32;5189;L;1;4;X019;3278;990;1330;1348;
522;32;2099;L;1;3;S326;1727;3179;1233;1348;
522;32;1330;L;1;4;;1294;1295;402;1348;
522;32;2992;L;7;0;;;3296;2796;1348;
522;32;5061;L;1;4;;3296;162;1131;1348;
522;32;4431;L;1;4;;3296;1280;1678;1348;
522;32;1120;L;1;4;;1129;1118;1239;1348;
522;32;4993;L;1;4;;3342;3343;1129;1348;
522;32;3849;L;1;4;;774;663;1348;1348;
522;32;3871;L;1;4;;1978;774;1971;1348;
522;32;3566;L;1;4;;1884;600;602;1348;
522;32;3361;L;1;4;;1810;3446;3478;1348;
522;32;4670;L;1;3;;1843;149;1424;1348;
522;32;1108;L;1;4;;149;1109;1111;1348;
522;32;3438;L;1;3;;1318;802;801;1348;
522;32;3138;L;7;0;;;3121;2306;1348;
522;32;4666;L;1;3;;3121;365;149;1348;
522;32;5198;L;1;3;;3543;1131;312;1348;
522;32;5205;L;1;1;;3543;1131;3544;1348;
522;32;388;L;1;4;;1149;1425;413;1348;
522;32;224;L;1;4;;37;338;1149;1348;
522;32;4044;L;1;4;;1425;1149;1426;1348;
522;32;450;L;1;4;;1109;194;1425;1348;
522;32;1448;L;1;4;;1385;1248;53;1348;
522;32;2892;L;7;0;;;3346;2796;1348;
522;32;2908;L;7;0;;;3346;2924;1348;
522;32;3789;L;1;4;;1949;1462;1950;1348;
522;32;3994;L;1;4;;1155;156;494;1348;
522;32;2960;L;7;0;;;2967;2796;1348;
522;32;2956;L;7;0;;;2967;2798;1348;
522;32;4206;L;1;4;;2967;1145;3481;1348;
522;32;75;L;1;3;;174;3207;546;1348;
522;32;2166;L;1;4;;1752;1751;74;1348;
522;32;1070;L;1;4;;134;1023;15;1348;
522;32;762;L;1;4;;204;175;432;1348;
522;32;3968;L;1;4;;1156;494;204;1348;
522;32;3485;L;1;4;;1855;1854;3394;1348;
522;32;4040;L;1;4;;1444;2029;2027;1348;
522;32;3991;L;1;4;;1147;2012;156;1348;
522;32;1930;L;1;4;;1693;1667;1671;1348;
522;32;1924;L;1;4;;1665;1662;1664;1348;
522;32;1927;L;1;4;;1692;1664;1667;1348;
522;32;3987;L;1;4;;3483;1155;1149;1348;
522;32;3020;L;7;0;;;663;2796;1348;
522;32;2052;L;1;4;;663;733;1201;1348;
522;32;3874;L;1;4;;1971;1979;1179;1348;
522;32;5049;L;1;4;;1201;3484;663;1348;
522;32;3842;L;1;4;;1968;1201;1969;1348;
522;32;241;L;1;4;;206;205;207;1348;
522;32;3865;L;1;4;;3214;1973;1976;1348;
522;32;243;L;1;4;;205;432;124;1348;
522;32;383;L;1;4;;47;206;2206;1348;
522;32;959;L;1;4;;124;494;205;1348;
522;32;4969;L;1;4;;3337;2204;504;1348;
522;32;3128;L;7;0;;;1033;2306;1348;
522;32;4682;L;1;3;;1033;2204;70;1348;
522;32;254;L;1;4;;17;1427;2204;1348;
522;32;1584;L;1;4;;1427;207;585;1348;
522;32;4686;L;1;3;;2205;70;71;1348;
522;32;256;L;1;4;;408;47;1427;1348;
522;32;579;L;1;4;;70;585;2057;1348;
522;32;1327;L;1;4;;1290;16;1292;1348;
522;32;3520;L;1;4;;1377;19;1376;1348;
522;32;4;L;2;1;;1111;;;1348;
522;32;2448;L;7;0;;;1111;3398;1348;
522;32;2222;L;7;0;;;1111;3351;1348;
522;32;2402;L;7;0;;;2295;2496;1348;
522;32;2354;L;7;0;;;2295;2450;1348;
522;32;2360;L;7;0;;;2295;2458;1348;
522;32;2260;L;7;0;;;2295;187;1348;
522;32;2230;L;7;0;;;2295;2314;1348;
522;32;3136;L;7;0;;;2295;1033;1348;
522;32;2286;L;7;0;;;2295;2374;1348;
522;32;2294;L;7;0;;;2295;2377;1348;
522;32;2414;L;7;0;;;2295;2515;1348;
522;32;2410;L;7;0;;;2295;2511;1348;
522;32;2264;L;7;0;;;2295;2028;1348;
522;32;2270;L;7;0;;;2295;2356;1348;
522;32;2278;L;7;0;;;2295;2364;1348;
522;32;2236;L;7;0;;;2295;2317;1348;
522;32;2244;L;7;0;;;2295;2324;1348;
522;32;2324;L;7;0;;;2295;1481;1348;
522;32;2430;L;7;0;;;2295;1203;1348;
522;32;2434;L;7;0;;;2295;2532;1348;
522;32;2432;L;7;0;;;2295;2530;1348;
522;32;2342;L;7;0;;;2295;2435;1348;
522;32;2348;L;7;0;;;2295;2440;1348;
522;32;2248;L;7;0;;;2295;2331;1348;
522;32;2250;L;7;0;;;2295;2333;1348;
522;32;2252;L;7;0;;;2295;2335;1348;
522;32;2254;L;7;0;;;2295;2337;1348;
522;32;2256;L;7;0;;;2295;2343;1348;
522;32;2266;L;7;0;;;2295;2352;1348;
522;32;2220;L;7;0;;;2295;2298;1348;
