CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
522;32;4593;L;3;0;X013;1683;1078;3551;4851;;1348
522;32;4852;L;3;0;X013;1683;1453;2179;4851;;1348
522;32;3929;L;3;0;X015;1999;1588;1988;3928;;1348
522;32;3932;L;3;0;X015;1999;3324;2005;3928;;1348
522;32;3642;L;3;0;;1903;21;3549;3641;;1348
522;32;3646;L;3;0;;1903;16;638;3641;;1348
522;32;5007;L;3;0;G45;3423;3426;24;5006;;1348
522;32;952;L;3;0;G45;3423;2553;924;5006;;1348
522;32;3837;L;3;0;;1201;3484;3486;5049;;1348
522;32;5050;L;3;0;;1201;3487;663;5049;;1348
522;32;3889;L;3;0;S303;1982;2281;1491;3888;;1348
522;32;3895;L;3;0;S303;1982;1491;1991;3888;;1348
522;32;4700;L;3;0;;2208;351;1351;4699;;1348
522;32;4703;L;3;0;;2208;3587;1160;4699;;1348
522;32;5264;L;3;0;;1195;1422;188;5268;;1348
522;32;5269;L;3;0;;1195;3594;73;5268;;1348
522;32;5328;L;3;0;G7;1502;1131;130;5017;;1348
522;32;3433;L;3;0;G7;1502;1496;1841;5017;;1348
522;32;3472;L;3;0;G7;1502;3434;1841;5017;;1348
522;32;2090;L;3;0;X001;3610;1579;1701;5326;;1348
522;32;5322;L;3;0;X001;3610;3611;1582;5326;;1348
522;32;994;L;3;0;;225;3445;1397;993;;1348
522;32;4917;L;3;0;;3276;1397;1587;993;;1348
522;32;1016;L;3;0;;227;1587;3281;993;;1348
522;32;1005;L;3;0;;226;3281;3445;993;;1348
522;32;30;L;3;0;;213;116;1036;29;;1348
522;32;31;L;3;0;;214;1036;771;29;;1348
522;32;32;L;3;0;;215;771;721;29;;1348
522;32;33;L;3;0;;216;721;116;29;;1348
522;32;813;L;3;0;;235;721;602;34;;1348
522;32;849;L;3;0;;232;602;80;34;;1348
522;32;836;L;3;0;;233;80;3445;34;;1348
522;32;825;L;3;0;;234;3445;721;34;;1348
522;32;99;L;3;0;;217;116;2061;98;;1348
522;32;100;L;3;0;;218;2061;92;98;;1348
522;32;101;L;3;0;;219;92;1751;98;;1348
522;32;102;L;3;0;;220;1751;116;98;;1348
522;32;774;L;3;0;;229;1541;93;27;;1348
522;32;4866;L;3;0;;3614;93;1470;27;;1348
522;32;800;L;3;0;;231;1470;1873;27;;1348
522;32;787;L;3;0;;3589;1873;1541;27;;1348
522;32;133;L;3;0;;528;2967;3445;873;;1348
522;32;223;L;3;0;;223;3445;1223;873;;1348
522;32;749;L;3;0;;224;1223;3452;873;;1348
522;32;291;L;3;0;;221;3452;2967;873;;1348
522;32;4309;L;3;0;;2396;2271;625;4825;;1348
522;32;4721;L;3;0;;2396;356;1446;4825;;1348
