CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
522;32;1882;;1886
522;32;1886;1882;
522;32;5328;;3433
522;32;3433;5328;3472
522;32;3472;3433;
522;32;3889;;3895
522;32;3895;3889;
522;32;133;291;223
522;32;223;133;749
522;32;749;223;291
522;32;291;749;133
522;32;2090;;5322
522;32;5322;2090;
522;32;3929;;3932
522;32;3932;3929;
522;32;3642;;3646
522;32;3646;3642;
522;32;1325;;1326
522;32;1326;1325;
522;32;5061;;4431
522;32;4431;5061;
522;32;5252;;2022
522;32;2022;5252;
522;32;4700;;4703
522;32;4703;4700;
522;32;5264;;5269
522;32;5269;5264;
522;32;2093;;5323
522;32;5323;2093;
522;32;994;1005;4917
522;32;4917;994;1016
522;32;1016;4917;1005
522;32;1005;1016;994
522;32;1968;;5509
522;32;5509;1968;
522;32;30;33;31
522;32;31;30;32
522;32;32;31;33
522;32;33;32;30
522;32;813;5696;5689
522;32;5689;813;5690
522;32;5690;5689;849
522;32;849;5690;5691
522;32;5691;849;5692
522;32;5692;5691;836
522;32;836;5692;5693
522;32;5693;836;5694
522;32;5694;5693;825
522;32;825;5694;5695
522;32;5695;825;5696
522;32;5696;5695;813
522;32;99;102;100
522;32;100;99;101
522;32;101;100;102
522;32;102;101;99
522;32;774;5704;5697
522;32;5697;774;5698
522;32;5698;5697;4866
522;32;4866;5698;5699
522;32;5699;4866;5700
522;32;5700;5699;800
522;32;800;5700;5701
522;32;5701;800;5702
522;32;5702;5701;787
522;32;787;5702;5703
522;32;5703;787;5704
522;32;5704;5703;774
522;32;5110;;143
522;32;143;5110;
522;32;4309;;4721
522;32;4721;4309;
