event_code, primary_location, direction, extent, diversion_advice, ltn, rds_cc, length_route_affected, speed_limit_advice, quantifier, supplementary_info, additional_event, detailed_diversion_instructions, destinations, cross_linkage_to_source_problem, start_unix_time, stop_unix_time, iso_cc, latitude, longitude, activate_unix_time, expire_unix_time, geocoded_location_list, iid, duration, control_code, separator, information_category
2049,12058,0,1,0,10,12,65535,89,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.07415,119.18527,1392188400,1392190200, ,0xa5b9633ca2c9f52ebd7bbda19e5f2424,1,65535,255,218
2049,12059,1,1,0,10,12,65535,91,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.10196,119.31954,1392188400,1392190200, ,0xf561548e4002500790e7ac67463e0931,1,65535,255,218
2050,12060,1,1,0,10,12,65535,81,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.09386,119.37731,1392188400,1392190200, ,0xf823840cc5688fbcb37f31bf3befe9cf,1,65535,255,218
2049,12063,0,1,0,10,12,65535,72,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.23838,119.87261,1392188400,1392190200, ,0xea9a23b9dcda6c9b938523f9838c5028,1,65535,255,218
2049,12066,1,1,0,10,12,65535,57,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.3777,120.02834,1392188400,1392190200, ,0x80f7c43690a2cca9e246e942c438f3be,1,65535,255,218
2049,12067,1,1,0,10,12,65535,95,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.43725,120.02752,1392188400,1392190200, ,0x888f0488602b15e9d23bea63f72a4ca9,1,65535,255,218
2049,12071,1,1,0,10,12,65535,91,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,28.86403,119.94536,1392188400,1392190200, ,0xee989a49c6eec00cc15bb2355250af94,1,65535,255,218
2049,12072,1,1,0,10,12,65535,106,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,28.92334,119.86791,1392188400,1392190200, ,0xb56b29a652a5a5b58098af182d0d492f,1,65535,255,218
2050,12073,1,1,0,10,12,65535,80,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,28.9412,119.83072,1392188400,1392190200, ,0xb03b9653b86c8ddb911097cfe9194de8,1,65535,255,218
2049,12077,1,1,0,10,12,65535,88,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.2188,119.96217,1392188400,1392190200, ,0xd459638406fbf0e8f7b7de689b5526e2,1,65535,255,218
2050,12082,1,1,0,10,12,65535,75,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.34888,120.37306,1392188400,1392190200, ,0x029b0cfaccd07d2a594f11eb85249cae,1,65535,255,218
2050,12408,1,1,0,10,12,65535,29,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,29.11312,119.67914,1392188400,1392190200, ,0xe6477450ea9fef33cc3a759539dc4f00,1,65535,255,218
