event_code, primary_location, direction, extent, diversion_advice, ltn, rds_cc, length_route_affected, speed_limit_advice, quantifier, supplementary_info, additional_event, detailed_diversion_instructions, destinations, cross_linkage_to_source_problem, start_unix_time, stop_unix_time, iso_cc, latitude, longitude, activate_unix_time, expire_unix_time, geocoded_location_list, iid, duration, control_code, separator, information_category
2049,5,1,1,0,32,12,65535,59,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.9407,116.35556,1382713200,1382715000, ,0xa7659be2e57b1fe8e068143936770a9a,1,65535,255,218
2050,5,0,1,0,32,12,65535,54,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.9407,116.35556,1382713200,1382715000, ,0x54a45d9629166bf6cee3400a69cc0924,1,65535,255,218
2049,6,1,1,0,32,12,65535,62,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.94865,116.37193,1382713200,1382715000, ,0x7f7411c8b9de3754b4da7f304486c8bf,1,65535,255,218
2049,6,0,1,0,32,12,65535,60,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.94865,116.37193,1382713200,1382715000, ,0x1cb002f232017f31465eca8069aed074,1,65535,255,218
2049,7,1,1,0,32,12,65535,30,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.91301,116.30213,1382713200,1382715000, ,0xc82b73f98d1b55d080d89ecb881cbd01,1,65535,255,218
2049,7,0,1,0,32,12,65535,32,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.91301,116.30213,1382713200,1382715000, ,0xf2861ed992731460fde72341012fe48b,1,65535,255,218
2049,8,1,1,0,32,12,65535,64,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.94906,116.40826,1382713200,1382715000, ,0xd56816961095deeff5d61a8108aada75,1,65535,255,218
2049,8,0,1,0,32,12,65535,61,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.94906,116.40826,1382713200,1382715000, ,0x845aaf4c9b0f4c62152901301852d84d,1,65535,255,218
2049,9,1,1,0,32,12,65535,61,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.9493,116.41655,1382713200,1382715000, ,0xe6f4b66dacd8107a261970159702f139,1,65535,255,218
2050,9,0,1,0,32,12,65535,56,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.9493,116.41655,1382713200,1382715000, ,0x17e34b65c56eafb5a24e87784b00d7c8,1,65535,255,218
2049,10,1,1,0,32,12,65535,61,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.94113,116.4338,1382713200,1382715000, ,0xce352c2e9590cbabfbec95d680531a70,1,65535,255,218
2050,10,0,1,0,32,12,65535,56,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.94113,116.4338,1382713200,1382715000, ,0x3482ef45f8f00718e6e12e06841459f2,1,65535,255,218
2049,11,1,1,0,32,12,65535,33,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.91112,116.31679,1382713200,1382715000, ,0x0274e70516d717ca103fbcb030e4182a,1,65535,255,218
2049,11,0,1,0,32,12,65535,25,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.91112,116.31679,1382713200,1382715000, ,0x72797ec154b3779f8d007985b6f3d49c,1,65535,255,218
2049,12,1,1,0,32,12,65535,62,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.92451,116.43456,1382713200,1382715000, ,0x568a53f592f512148f89058ebed3eac9,1,65535,255,218
2050,12,0,1,0,32,12,65535,57,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.92451,116.43456,1382713200,1382715000, ,0xd3df978acaf665ebc21eebfb7a3a5874,1,65535,255,218
2050,13,1,1,0,32,12,65535,42,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.90853,116.43581,1382713200,1382715000, ,0xed4338f190225b5b14255ee24607ded9,1,65535,255,218
2050,13,0,1,0,32,12,65535,53,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.90853,116.43581,1382713200,1382715000, ,0x5c19a2c3c7c77b057f1cc32505b9d57e,1,65535,255,218
2050,14,1,1,0,32,12,65535,51,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.90143,116.43634,1382713200,1382715000, ,0xe9b6779deaf2afc1038c7f0c5da83ee8,1,65535,255,218
2049,14,0,1,0,32,12,65535,52,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.90143,116.43634,1382713200,1382715000, ,0xfea446b0c7d31420cfa4a35b87e48551,1,65535,255,218
2049,15,1,1,0,32,12,65535,55,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.89372,116.44417,1382713200,1382715000, ,0x071a3e70e0ed892239b40c4a58bcb909,1,65535,255,218
2049,15,0,1,0,32,12,65535,58,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.89372,116.44417,1382713200,1382715000, ,0x4e447c4d66934bc9789f1b71f1ce1d4c,1,65535,255,218
2049,16,1,1,0,32,12,65535,58,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.88456,116.4454,1382713200,1382715000, ,0x2afeee1db7c8b2136d2612946b5ec4b2,1,65535,255,218
2049,16,0,1,0,32,12,65535,60,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.88456,116.4454,1382713200,1382715000, ,0xd782c265b56365df1ce2c0abb3bdb0ef,1,65535,255,218
2049,17,1,1,0,32,12,65535,58,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.87059,116.43942,1382713200,1382715000, ,0x8c442ab6e5a5e3a30880fb795e10126c,1,65535,255,218
2049,17,0,1,0,32,12,65535,59,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.87059,116.43942,1382713200,1382715000, ,0xaa48dbb287a02c589d08c482a6bff99b,1,65535,255,218
2049,18,1,1,0,32,12,65535,64,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.87121,116.42142,1382713200,1382715000, ,0x38444181b25e11ad28dfd3e792a94505,1,65535,255,218
2049,18,0,1,0,32,12,65535,58,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.87121,116.42142,1382713200,1382715000, ,0xb21708e78458c8ce46eded7cdd2cc764,1,65535,255,218
2049,19,1,1,0,32,12,65535,61,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.87165,116.39922,1382713200,1382715000, ,0xdd4f5c1e9c0f046a1b4fa2920f56498f,1,65535,255,218
2049,19,0,1,0,32,12,65535,65,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.87165,116.39922,1382713200,1382715000, ,0x7549f757a1250adb1dff5dfd28fc9fca,1,65535,255,218
2049,20,1,1,0,32,12,65535,62,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.86925,116.3643,1382713200,1382715000, ,0xa40a27d3655852c5c8a8bbec5e0e7353,1,65535,255,218
2049,20,0,1,0,32,12,65535,66,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.86925,116.3643,1382713200,1382715000, ,0x34aa2f85636a342097f680859028e3bf,1,65535,255,218
2049,21,1,1,0,32,12,65535,62,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.86808,116.3485,1382713200,1382715000, ,0x3557a8220d705c18d1337c40fac393d0,1,65535,255,218
2049,21,0,1,0,32,12,65535,63,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.86808,116.3485,1382713200,1382715000, ,0x9536253f99bb15e90aa7cbeb8771a8e2,1,65535,255,218
2049,22,1,1,0,32,12,65535,64,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.88955,116.34883,1382713200,1382715000, ,0x0e2cc71bbe91e9b2078bfae7853ef6b7,1,65535,255,218
2049,22,0,1,0,32,12,65535,58,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.88955,116.34883,1382713200,1382715000, ,0xa97aea15254b462d1bae4a49804e5076,1,65535,255,218
2049,23,1,1,0,32,12,65535,60,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.89983,116.35746,1382713200,1382715000, ,0xfb0eb88f34b37e379854acd3293d3379,1,65535,255,218
2050,23,0,1,0,32,12,65535,46,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.89983,116.35746,1382713200,1382715000, ,0xa4c347958d0b7676f88dae5579fe55ab,1,65535,255,218
2049,24,1,1,0,32,12,65535,62,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.90719,116.35653,1382713200,1382715000, ,0xf107cd311da27035392259643c9343f0,1,65535,255,218
2051,24,0,1,0,32,12,65535,13,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.90719,116.35653,1382713200,1382715000, ,0x71a04bf2e1bc3b6cdf707da4f372c206,1,65535,255,218
2049,25,1,1,0,32,12,65535,64,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.92361,116.35628,1382713200,1382715000, ,0x5a49c73bcfef3fde11161d63bf6c2e7e,1,65535,255,218
2050,25,0,1,0,32,12,65535,37,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.92361,116.35628,1382713200,1382715000, ,0x50c2e3380596a8ae6c73fc284da45421,1,65535,255,218
2049,26,1,1,0,32,12,65535,61,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.93235,116.35588,1382713200,1382715000, ,0x03bccc639f7e93829a6bb44a5e896cb9,1,65535,255,218
2049,26,0,1,0,32,12,65535,64,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.93235,116.35588,1382713200,1382715000, ,0xe67f5a6a46fc92deb88442ce71825763,1,65535,255,218
2049,28,1,1,0,32,12,65535,60,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.89776,116.34878,1382713200,1382715000, ,0x3be6f69cbcf026ef5f3ac27dfc37ef82,1,65535,255,218
2049,28,0,1,0,32,12,65535,56,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.89776,116.34878,1382713200,1382715000, ,0x89261eb736d566b971bf4cee0c38de54,1,65535,255,218
2049,35,1,1,0,32,12,65535,64,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.96768,116.354,1382713200,1382715000, ,0x5592dd45f7f87f6ce6feb614060dab64,1,65535,255,218
2049,35,0,1,0,32,12,65535,63,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.96768,116.354,1382713200,1382715000, ,0xe7b00ff76a0453c5701f33d3132ee558,1,65535,255,218
2049,36,1,1,0,32,12,65535,62,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.96819,116.38043,1382713200,1382715000, ,0xa70f6fdc82301dbc23fe1318a6508d02,1,65535,255,218
2049,36,0,1,0,32,12,65535,65,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.96819,116.38043,1382713200,1382715000, ,0x3ce917a03ed31684fccbcaaa4f632d50,1,65535,255,218
2049,37,1,1,0,32,12,65535,63,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.96859,116.39458,1382713200,1382715000, ,0xa02d1df910c181efdeb01fa5c1090a62,1,65535,255,218
2049,37,0,1,0,32,12,65535,65,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.96859,116.39458,1382713200,1382715000, ,0xc0b81415f41510f603e94cec5b9446bb,1,65535,255,218
2049,38,1,1,0,32,12,65535,66,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.96895,116.40748,1382713200,1382715000, ,0x242b8fb7118bc79dd2b864cf827e25b9,1,65535,255,218
2050,38,0,1,0,32,12,65535,50,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.96895,116.40748,1382713200,1382715000, ,0x8c16becf37b660e961035e074e4fcbb6,1,65535,255,218
2050,39,0,1,0,32,12,65535,25,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.0328,116.41043,1382713200,1382715000, ,0xfc9b479c0e9bcf00af28ff1b2e2a45e6,1,65535,255,218
2049,40,1,1,0,32,12,65535,58,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.95859,116.45342,1382713200,1382715000, ,0x1eda5cb9722627018e0632763b260539,1,65535,255,218
