CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
500;10;30880;500;10;30898
500;10;30898;500;10;30880
500;10;31581;500;10;31582
500;10;31582;500;10;31581
500;10;13343;500;10;13344
500;10;13344;500;10;13343
500;10;13076;500;10;13214
500;10;13214;500;10;13076
500;10;12432;500;10;12591
500;10;12591;500;10;12432
500;10;12559;500;10;12945
500;10;12945;500;10;12559
500;10;12433;500;10;12613
500;10;12613;500;10;12433
500;10;12434;500;10;12565
500;10;12565;500;10;12434
500;10;12435;500;10;12618
500;10;12618;500;10;12435
500;10;12436;500;10;12625
500;10;12625;500;10;12436
500;10;12437;500;10;12580
500;10;12580;500;10;12437
500;10;12438;500;10;12752
500;10;12752;500;10;12438
500;10;12440;500;10;12919
500;10;12919;500;10;12440
500;10;12583;500;10;12920
500;10;12920;500;10;12583
500;10;30449;500;10;30689
500;10;30689;500;10;30789
500;10;30789;500;10;30449
500;10;30790;500;10;31380
500;10;31380;500;10;30790
500;10;30505;500;10;30728
500;10;30728;500;10;30792
500;10;30792;500;10;30505
500;10;30585;500;10;30793
500;10;30793;500;10;30585
500;10;30549;500;10;30551
500;10;30551;500;10;30794
500;10;30794;500;10;30549
500;10;31409;500;10;31478
500;10;31478;500;10;31599
500;10;31599;500;10;31409
500;10;30621;500;10;30795
500;10;30795;500;10;30621
500;10;30450;500;10;30611
500;10;30611;500;10;30796
500;10;30796;500;10;30798
500;10;30798;500;10;30450
500;10;12517;500;10;12582
500;10;12582;500;10;12517
500;10;12441;500;10;12501
500;10;12501;500;10;12441
500;10;13133;500;10;13135
500;10;13135;500;10;13162
500;10;13162;500;10;13133
500;10;12442;500;10;12524
500;10;12524;500;10;13341
500;10;13341;500;10;12442
500;10;12443;500;10;12477
500;10;12477;500;10;12588
500;10;12588;500;10;13164
500;10;13164;500;10;12443
500;10;18408;500;10;18547
500;10;18547;500;10;18820
500;10;18820;500;10;19614
500;10;19614;500;10;18408
500;10;18522;500;10;18899
500;10;18899;500;10;18522
500;10;18427;500;10;18520
500;10;18520;500;10;18427
500;10;18519;500;10;18871
500;10;18871;500;10;18947
500;10;18947;500;10;18519
500;10;12446;500;10;12465
500;10;12465;500;10;12446
500;10;12447;500;10;12872
500;10;12872;500;10;12447
500;10;12448;500;10;12545
500;10;12545;500;10;12448
500;10;12449;500;10;12535
500;10;12535;500;10;13210
500;10;13210;500;10;12449
500;10;12451;500;10;12885
500;10;12885;500;10;12451
500;10;12454;500;10;12881
500;10;12881;500;10;13163
500;10;13163;500;10;12454
500;10;7328;500;10;7331
500;10;7331;500;10;7328
500;10;7318;500;10;7332
500;10;7332;500;10;7318
500;10;7333;500;10;7335
500;10;7335;500;10;7333
500;10;18476;500;10;18492
500;10;18492;500;10;19515
500;10;19515;500;10;18476
500;10;18479;500;10;19092
500;10;19092;500;10;19546
500;10;19546;500;10;18479
500;10;18480;500;10;18497
500;10;18497;500;10;19516
500;10;19516;500;10;18480
500;10;18970;500;10;19135
500;10;19135;500;10;18970
500;10;19136;500;10;19339
500;10;19339;500;10;19136
500;10;18845;500;10;19137
500;10;19137;500;10;18845
500;10;19138;500;10;19306
500;10;19306;500;10;19138
500;10;18982;500;10;19139
500;10;19139;500;10;18982
500;10;18986;500;10;19140
500;10;19140;500;10;18986
500;10;6407;500;10;6499
500;10;6499;500;10;6624
500;10;6624;500;10;7410
500;10;7410;500;10;6407
500;10;6825;500;10;7229
500;10;7229;500;10;6825
500;10;6594;500;10;6596
500;10;6596;500;10;6621
500;10;6621;500;10;6623
500;10;6623;500;10;6594
500;10;30445;500;10;30461
500;10;30461;500;10;30445
500;10;30462;500;10;30882
500;10;30882;500;10;30462
500;10;30463;500;10;30874
500;10;30874;500;10;30463
500;10;30464;500;10;30744
500;10;30744;500;10;30464
500;10;30465;500;10;30920
500;10;30920;500;10;30465
500;10;30466;500;10;30928
500;10;30928;500;10;30466
500;10;30467;500;10;30770
500;10;30770;500;10;30467
500;10;30468;500;10;30991
500;10;30991;500;10;30468
500;10;30446;500;10;30469
500;10;30469;500;10;30446
500;10;510;500;10;691
500;10;691;500;10;767
500;10;767;500;10;510
500;10;768;500;10;1634
500;10;1634;500;10;768
500;10;769;500;10;850
500;10;850;500;10;769
500;10;770;500;10;1615
500;10;1615;500;10;770
500;10;634;500;10;771
500;10;771;500;10;634
500;10;18751;500;10;18784
500;10;18784;500;10;18951
500;10;18951;500;10;18751
500;10;18824;500;10;19361
500;10;19361;500;10;19502
500;10;19502;500;10;18824
500;10;18746;500;10;18750
500;10;18750;500;10;18746
500;10;18957;500;10;19362
500;10;19362;500;10;18957
500;10;18727;500;10;18733
500;10;18733;500;10;18749
500;10;18749;500;10;18727
500;10;30595;500;10;30597
500;10;30597;500;10;30804
500;10;30804;500;10;30812
500;10;30812;500;10;30595
500;10;30805;500;10;31211
500;10;31211;500;10;30805
500;10;30565;500;10;30806
500;10;30806;500;10;30565
500;10;30534;500;10;30807
500;10;30807;500;10;30534
500;10;30513;500;10;30808
500;10;30808;500;10;30513
500;10;30809;500;10;31222
500;10;31222;500;10;30809
500;10;30810;500;10;31226
500;10;31226;500;10;30810
500;10;31440;500;10;31600
500;10;31600;500;10;31440
500;10;30800;500;10;31247
500;10;31247;500;10;30800
500;10;30679;500;10;30799
500;10;30799;500;10;30679
500;10;18546;500;10;18575
500;10;18575;500;10;19438
500;10;19438;500;10;19521
500;10;19521;500;10;18546
500;10;12404;500;10;12560
500;10;12560;500;10;12562
500;10;12562;500;10;12404
500;10;12563;500;10;12605
500;10;12605;500;10;12607
500;10;12607;500;10;12563
500;10;12564;500;10;12597
500;10;12597;500;10;12599
500;10;12599;500;10;12564
500;10;12567;500;10;13110
500;10;13110;500;10;12567
500;10;30522;500;10;30607
500;10;30607;500;10;31424
500;10;31424;500;10;30522
500;10;30608;500;10;30617
500;10;30617;500;10;30608
500;10;30498;500;10;30609
500;10;30609;500;10;30498
500;10;30610;500;10;31236
500;10;31236;500;10;30610
500;10;19558;500;10;19560
500;10;19560;500;10;19558
500;10;18693;500;10;18773
500;10;18773;500;10;19144
500;10;19144;500;10;18693
500;10;7141;500;10;7178
500;10;7178;500;10;7141
500;10;7123;500;10;7142
500;10;7142;500;10;7123
500;10;6717;500;10;7144
500;10;7144;500;10;6717
500;10;30403;500;10;30440
500;10;30440;500;10;30403
500;10;30441;500;10;30821
500;10;30821;500;10;30441
500;10;30442;500;10;30851
500;10;30851;500;10;30442
500;10;30443;500;10;30868
500;10;30868;500;10;30443
500;10;30444;500;10;30697
500;10;30697;500;10;30444
500;10;30448;500;10;30634
500;10;30634;500;10;30448
500;10;30451;500;10;31168
500;10;31168;500;10;30451
500;10;30452;500;10;31174
500;10;31174;500;10;30452
500;10;30453;500;10;31109
500;10;31109;500;10;30453
500;10;30454;500;10;31190
500;10;31190;500;10;30454
500;10;30455;500;10;31196
500;10;31196;500;10;30455
500;10;30456;500;10;30722
500;10;30722;500;10;30456
500;10;30418;500;10;30457
500;10;30457;500;10;30418
500;10;30114;500;10;30459
500;10;30459;500;10;30114
500;10;18403;500;10;18516
500;10;18516;500;10;18946
500;10;18946;500;10;19240
500;10;19240;500;10;19609
500;10;19609;500;10;18403
500;10;18815;500;10;19223
500;10;19223;500;10;18815
500;10;18412;500;10;18762
500;10;18762;500;10;18905
500;10;18905;500;10;19606
500;10;19606;500;10;18412
500;10;18411;500;10;18708
500;10;18708;500;10;18807
500;10;18807;500;10;19607
500;10;19607;500;10;18411
500;10;18813;500;10;19289
500;10;19289;500;10;18813
500;10;18410;500;10;18683
500;10;18683;500;10;18410
500;10;18409;500;10;18581
500;10;18581;500;10;18409
500;10;6550;500;10;7406
500;10;7406;500;10;6550
500;10;7400;500;10;7401
500;10;7401;500;10;7400
