CID;LID;NID;NAME;NCOMMENT
500;1;23212400;亚洲;
500;1;23212401;中国;
500;1;23212402;浙江省;
500;1;19478381;湖州市;
500;1;22946171;嘉兴市;
500;1;15143380;金华市;
500;1;20009639;丽水市;
500;1;11273860;宁波市;
500;1;19478424;衢州市;
500;1;6607917;绍兴市;
500;1;4738757;台州市;
500;1;933871;温州市;
500;1;9608153;０３１乡道;
500;1;6671779;湖安路;
500;1;6671967;绸缎路;
500;1;6671803;稽山路;
500;1;16275021;北二环路;
500;1;15274021;二环西路;
500;1;15541005;长深高速公路;
500;1;15143055;六头塔村;
500;1;15142806;北山路;
500;1;15142947;骆家塘街;
500;1;15142990;师大街;
500;1;15142985;迎宾大道;
500;1;15142986;芙峰街;
500;1;15142987;金带街;
500;1;15142812;赤松路;
500;1;15143007;康济街;
500;1;14409205;二环东路;
500;1;8741037;二环北路;
500;1;6671815;霞西路;
500;1;9339519;云东路;
500;1;6938903;灵芝路;
500;1;6672046;车站北路;
500;1;6671874;解放大道;
500;1;8270318;中兴北路;
500;1;6671883;迪荡湖路;
500;1;6671792;越东路;
500;1;13872419;Ｇ３３０;
500;1;15143005;金瓯路;
500;1;15142974;光南路;
500;1;15142973;李渔东路;
500;1;4738495;二环东路;
500;1;4738446;印山路;
500;1;3937348;Ｇ１０４;
500;1;4738499;九峰路;
500;1;4738500;东官河路;
500;1;6405403;Ｓ３２５;
500;1;15142924;二环南路;
500;1;16275022;十八里立交;
500;1;15208012;八达中路;
500;1;15143045;孟龙线;
500;1;15142919;东湄街;
500;1;15142918;东阳街;
500;1;15142916;八一南街;
500;1;15142914;双龙南街;
500;1;15541077;合山头村;
500;1;15143050;金星南街;
500;1;15143051;姜新线;
500;1;1067072;高新大道;
500;1;1067077;通海路;
500;1;1000543;永宁西路;
500;1;1067069;永定路;
500;1;1000421;茅永线;
500;1;4738633;工人路;
500;1;4738518;轮渡路;
500;1;4333579;解放北路;
500;1;4738513;西商城路;
500;1;17875201;经一路;
500;1;17875368;下新屋;
500;1;17875266;纬一路;
500;1;4802889;经一路;
500;1;4803056;下新屋;
500;1;17810771;开发大道;
500;1;4738592;纬五路;
500;1;4738459;开发大道;
500;1;23479812;保安服务管理中心;
500;1;4335396;纬四路;
500;1;4738460;东海大道;
500;1;4802953;纬二路;
500;1;4802954;纬一路;
500;1;998982;牛山北路;
500;1;998995;温州大道;
500;1;999013;划龙桥路;
500;1;1000472;里垟路;
500;1;6671824;轻纺城大道;
500;1;6671825;余渚路;
500;1;6671814;百舸路;
500;1;6671802;小佐路;
500;1;6671804;柯华路;
500;1;6938843;柯夏线;
500;1;7941231;育才路;
500;1;6607900;金柯桥大道;
500;1;8272326;湖东路;
500;1;11272597;人民路;
500;1;12873414;中山东路（江厦街）;
500;1;11877688;环城北路;
500;1;11272777;车站路;
500;1;11272595;新马路;
500;1;11274688;大庆北路;
500;1;4738435;新安南街;
500;1;4802856;泰隆街;
500;1;4738711;邮电路;
500;1;5400638;机场路;
500;1;4802892;下里桥西路;
500;1;4802945;卖芝桥西路;
500;1;6671813;杨绍线;
500;1;6671767;Ｓ３１;
500;1;6671833;西江路;
500;1;8069957;解放南路;
500;1;8270158;中兴南路;
500;1;6671834;会稽路;
500;1;6671836;曹江路;
500;1;6671884;舜江路;
500;1;6671943;浣江路;
500;1;6672089;涂山东路;
500;1;8674936;人民东路;
500;1;5472214;二环南路;
500;1;4738354;方山路;
500;1;15142933;环城北路;
500;1;15143354;石墙脚村;
500;1;15142814;丹光东路;
500;1;15143064;玉泉东路;
500;1;15144094;沪昆高速公路;
500;1;8675010;环城东路;
500;1;9608143;天成桥;
500;1;4803301;振兴北路;
500;1;4803318;振兴中路;
500;1;4802938;鸿州大道;
500;1;1000414;Ｇ１０４（旧）;
500;1;734629;Ｇ１０４;
500;1;1000582;长岙村;
500;1;1000551;罗浮大街;
500;1;1067086;楠溪江大桥;
500;1;6672076;Ｇ１０４绍兴段;
500;1;6671784;钱陶线;
500;1;9608145;东关互通;
500;1;6671787;钱安线;
500;1;6671781;群贤西路;
500;1;6671788;万绣路;
500;1;6671806;镜水路;
500;1;6671807;尹大线;
500;1;8008140;迎宾路;
500;1;6671817;独树路;
500;1;6671818;皋马线;
500;1;6671819;银桥路;
500;1;9608144;樊拈线;
500;1;6671821;新桥路;
500;1;6671782;钱陶公路;
500;1;6672106;济生桥;
500;1;4803268;Ｇ１０４台州段;
500;1;4738989;北院大道;
500;1;4803264;马上线;
500;1;4738452;新宅村;
500;1;4738347;大桥路;
500;1;4802831;高桥;
500;1;4738352;东迎宾大道;
500;1;4738432;长虹西路;
500;1;4802832;白剑线;
500;1;4738391;灵山街;
500;1;4802866;财富大道;
500;1;4738444;桐东线;
500;1;4738641;十路线;
500;1;1000282;Ｇ１０４温州段;
500;1;1066883;沈海高速公路;
500;1;3202711;交通东路;
500;1;3202709;花园浃路;
500;1;1000410;下沈公路;
500;1;3202718;康华路;
500;1;998988;鹿城路;
500;1;1067044;温丽高速公路;
500;1;998990;Ｇ３３０;
500;1;999080;Ｓ４９;
500;1;1066989;温州绕城高速公路;
500;1;1000412;园区大道;
500;1;1067046;瓯北大道;
500;1;1000411;东瓯大道;
500;1;1000581;塘头村;
500;1;1067080;奥康大道;
500;1;3202710;白鹭屿立交桥;
500;1;22946044;杭州湾跨海大桥;
500;1;23479765;海盐枢纽;
500;1;23210846;杭州湾环线高速公路;
500;1;22946151;Ｓ０７;
500;1;22946169;南湖服务区;
500;1;23479767;沈海高速公路嘉兴段;
500;1;22946046;北岸服务区;
500;1;23210845;金山服务区;
500;1;23479759;嘉兴港区互通;
500;1;23479766;乍浦互通;
500;1;22946165;独广线;
500;1;22946166;平湖服务区;
500;1;23210844;新仓连接线;
500;1;11274348;宁波绕城高速公路;
500;1;11742377;宁波绕城高速公路北段;
500;1;11272527;骆观线;
500;1;11274333;北环东路;
500;1;12873335;长邱线;
500;1;11742356;望海北路;
500;1;11343067;甬舟高速公路;
500;1;11742378;宁波绕城高速公路东段;
500;1;11742311;东环南路;
500;1;12873336;甬小线;
500;1;11272798;通途公路;
500;1;12873333;甬台温高速公路;
500;1;11742379;宁波绕城高速公路南段;
500;1;11272628;甬金高速公路;
500;1;23479825;甬台温复线高速;
500;1;10675067;沈海高速公路;
500;1;11343041;高顾线;
500;1;11742380;宁波绕城高速公路西段;
500;1;12873337;横小线;
500;1;11473306;杭甬高速公路;
500;1;11343022;江北连接线;
500;1;6405398;常台高速公路;
500;1;4269602;沈海高速公路;
500;1;4536156;太下线;
500;1;4803034;Ｓ６０;
500;1;4803035;天台服务区;
500;1;4803039;天台山西路;
500;1;9608169;兰亭出口;
500;1;8674930;二环南路;
500;1;6671844;下白线;
500;1;18942607;长深高速公路;
500;1;19540176;创业大道;
500;1;19676619;缙云收费站;
500;1;20009641;Ｓ５３;
500;1;20009642;龙泉安仁收费站;
500;1;20009643;仙宫大道;
500;1;20009644;云和服务区;
500;1;20009645;石塘收费站;
500;1;19478437;龙丽高速公路;
500;1;20009646;碧湖收费站;
500;1;20009647;莲都停车区;
500;1;19941651;金丽温高速公路;
500;1;20009705;绿谷大道;
500;1;20009649;丽水服务区;
500;1;20009650;洪渡收费站;
500;1;16275017;缙云收费站;
500;1;15143830;台金高速公路;
500;1;15143843;五金大道;
500;1;15143845;武义服务区;
500;1;15207985;西田畈收费站;
500;1;14409169;开发大道;
500;1;22946143;杭州绕城公路;
500;1;23479760;杭州湾环线北线;
500;1;22280389;沪昆高速公路;
500;1;23479768;Ｓ１０１;
500;1;6539687;朝阳路;
500;1;6671902;镜湖路;
500;1;6671831;城南大道;
500;1;8674943;环城南路;
500;1;6671869;和畅堂;
500;1;22279232;环城南路;
500;1;22279299;环城东路;
500;1;23010091;城南路;
500;1;23010114;建国南路;
500;1;23010150;紫阳街;
500;1;23010112;禾兴南路;
500;1;15142937;环城南路;
500;1;15143004;环城东路;
500;1;15142955;婺州街;
500;1;15207884;近杨线;
500;1;15142917;义乌街;
500;1;15142915;兰溪街;
500;1;15142956;永康街;
500;1;11877692;环城南路;
500;1;12607148;环城西路;
500;1;11272648;粮丰街;
500;1;11272649;鄞奉路;
500;1;11272470;宁南北路;
500;1;11272535;世纪大道;
500;1;11272536;盛莫路;
500;1;5472227;环城南路;
500;1;6201683;环城西路;
500;1;4738523;劳动南路;
500;1;4803022;天长南路;
500;1;23010028;三环北路;
500;1;23010035;三环西路;
500;1;23010031;城东路;
500;1;23010032;禾平街;
500;1;23010033;禾兴北路;
500;1;23010034;昌盛东路;
500;1;23010036;嘉杭路;
500;1;23010100;广穹路;
500;1;23479783;嘉桐线;
500;1;23010039;文昌路;
500;1;21674196;中山西路;
500;1;23010141;东升西路;
500;1;23479829;湘家荡大道;
500;1;22145827;Ｇ３２０;
500;1;23479784;星桥路;
500;1;23010222;洪三线;
500;1;23010022;Ｇ３２０嘉兴段;
500;1;23010237;宏苑路（濮院大道）;
500;1;23210854;兴善大道;
500;1;23010239;泰旗路（嘉洪大道）;
500;1;23010105;万国路;
500;1;23479779;常台高速公路;
500;1;4738464;中心大道;
500;1;5603311;二环西路;
500;1;4802921;天长北路;
500;1;4738493;黄椒路;
500;1;4738494;桔乡大道;
500;1;4738468;上椒线;
500;1;4803069;高坎村;
500;1;4803283;台州大道;
500;1;4738463;广场西路;
500;1;11274337;宁穿路;
500;1;12477431;曙光路;
500;1;11274410;姚隘路九一三弄;
500;1;11274409;甬港北路;
500;1;11272562;中兴路;
500;1;11272563;桑田路;
500;1;11272564;福明路;
500;1;11272787;姚隘路;
500;1;11272578;兴宁路;
500;1;11272417;百丈东路;
500;1;11274385;Ｇ３２９宁波段;
500;1;11274281;五五线;
500;1;12873364;舟山轮渡;
500;1;12873425;慈海北路;
500;1;11343100;固北中路（镇北路）;
500;1;11274387;兴业南路;
500;1;11274388;西二环北路;
500;1;11343101;新城大道北路（慈甬路）;
500;1;11343102;寺马线（慈甬路）;
500;1;12873360;罗鸣线（三北西路）;
500;1;12873392;沈海高速公路（三北东路）;
500;1;11343105;中横线（慈龙西路）;
500;1;12873361;炼蟹路;
500;1;11742362;兴建西路;
500;1;12873427;宝同路;
500;1;11272537;宝瞻线;
500;1;11742305;富春江南路;
500;1;11272791;新大路;
500;1;11742275;太河路至春晓公路;
500;1;11742276;Ｓ３２０;
500;1;11742277;３２９线连接线;
500;1;11742278;第二通道;
500;1;11272543;沿海中线;
500;1;15207965;灵马线;
500;1;15541070;石塘街村;
500;1;15207919;广兴路;
500;1;15207872;龙乾南街;
500;1;15142967;宾虹西路;
500;1;15207873;金江南街;
500;1;15207918;华龙南街;
500;1;15207882;紫金南街;
500;1;15142908;白汤下线;
500;1;15207967;沙溪;
500;1;15142909;金衢路;
500;1;15142910;八达路;
500;1;15142911;金星北街;
500;1;15142912;仙华北街;
500;1;15207968;马鞍山村;
500;1;15142913;金帆街;
500;1;15541090;Ｇ３３０至宾虹西路;
500;1;23479769;临平互通（杭浦高速公路）;
500;1;23479770;胡家兜互通;
500;1;23479771;盐官互通;
500;1;22946240;海宁服务区;
500;1;23479772;海宁互通;
500;1;23479773;南北湖互通;
500;1;22946163;嘉盐线;
500;1;22946161;乍嘉苏高速公路;
500;1;23479774;嘉兴枢纽;
500;1;23479761;Ｘ１１９;
500;1;11742292;东环北路;
500;1;12873339;东东线;
500;1;23010021;Ｓ０１;
500;1;23010210;杭州绕城公路Ｓ０１入口匝道;
500;1;23010212;杭州绕城公路东侧;
500;1;23010226;杭州绕城公路东侧Ｓ０１入口匝道;
500;1;23010202;杭州绕城公路西侧;
500;1;23010211;杭州绕城公路西侧Ｓ０１入口匝道;
500;1;11210889;迎宾路;
500;1;11343093;进港中路;
500;1;11343095;北沦港;
500;1;12873329;创业大道;
500;1;11272363;宁波大碶疏港公路;
500;1;11272743;北极星路;
500;1;12608181;创业路;
500;1;8674934;中山路;
500;1;7140064;Ｇ１０４;
500;1;6672008;临江路;
500;1;6671816;湖山北路;
500;1;23010207;Ｓ０１北侧;
500;1;23010209;杭州绕城公路Ｓ０１北侧入口匝道;
500;1;23010205;Ｓ０１南侧;
500;1;23010215;杭州绕城公路Ｓ０１南侧入口匝道;
500;1;999107;西城路;
500;1;999032;望江西路;
500;1;23010235;Ｙ２０７;
500;1;23010054;余步线;
500;1;23010236;Ｃ４０９;
500;1;23010047;城北路;
500;1;23479788;城北桥;
500;1;23479789;三环西路（Ｓ０７）;
500;1;23010048;东升东路;
500;1;23010175;新生路;
500;1;23010049;三元路;
500;1;23010050;中环北路;
500;1;23010051;昌盛北路;
500;1;23010052;云海路;
500;1;23010041;广益路;
500;1;23010067;中环南路;
500;1;23010058;嘉善大道;
500;1;23010080;景宜路;
500;1;23010164;双溪路;
500;1;22943808;云东路;
500;1;23010083;庆丰路;
500;1;23010084;南江路;
500;1;23010085;三环东路;
500;1;23010086;亚欧路;
500;1;23010087;亚太路;
500;1;23010088;亚中路;
500;1;23010089;亚澳路;
500;1;23010097;由拳路;
500;1;23010042;凌公塘路;
500;1;23010098;南溪东路;
500;1;23010102;嘉塍公路;
500;1;1000500;双龙路;
500;1;999036;南浦路;
500;1;998915;车站大道;
500;1;2269384;春晖路;
500;1;23210851;苏嘉路;
500;1;23210953;Ｓ２０２;
500;1;23479758;申嘉湖高速公路;
500;1;1000413;Ｓ４１;
500;1;1269592;诸永高速公路;
500;1;16275024;Ｓ１０３;
500;1;15207973;午塘头村;
500;1;9404399;环城西路;
500;1;8674939;环城北路;
500;1;6671870;鲁迅西路;
500;1;6671832;常禧路;
500;1;6672017;滨河路;
500;1;6671881;鉴湖前街;
