CID;LID;NID;NTRANSLATION
500;2;734629;G104
500;3;734629;G104
500;2;734808;lan jiang lu
500;3;734808;Lanjiang Rd
500;2;933871;wen zhou shi
500;3;933871;Wenzhou
500;2;998913;bai li dong lu
500;3;998913;Baili East Rd
500;2;998914;bai li xi lu
500;3;998914;Baili West Rd
500;2;998915;che zhan da dao
500;3;998915;Chezhan Blvd
500;2;998916;cui wei da dao
500;3;998916;Cuiwei Blvd
500;2;998917;da nan lu
500;3;998917;Da'nan Rd
500;2;998918;fei xia bei lu
500;3;998918;Feixia North Rd
500;2;998919;fei xia nan lu
500;3;998919;Feixia South Rd
500;2;998920;fu dong lu
500;3;998920;Fudong Rd
500;2;998921;fu qian jie
500;3;998921;Fuqian St
500;2;998923;he ping lu
500;3;998923;Heping Rd
500;2;998928;ji chang da dao
500;3;998928;Jichang Blvd
500;2;998939;lou dong da jie
500;3;998939;Loudong Ave
500;2;998942;ma an chi xi lu
500;3;998942;Maanchi West Rd
500;2;998953;shan qian jie
500;3;998953;Shanqian St
500;2;998981;ou hai da dao
500;3;998981;Ouhai Blvd
500;2;998982;niu shan bei lu
500;3;998982;Niushan North Rd
500;2;998984;jin xiu lu
500;3;998984;Jinxiu Rd
500;2;998986;xue shan lu
500;3;998986;Xueshan Rd
500;2;998988;lu cheng lu
500;3;998988;Lucheng Rd
500;2;998990;G330
500;3;998990;G330
500;2;998991;xin he jie
500;3;998991;Xinhe St
500;2;998992;jie fang jie
500;3;998992;Jiefang St
500;2;998993;qin fen lu
500;3;998993;Qinfen Rd
500;2;998995;wen zhou da dao
500;3;998995;Wenzhou Blvd
500;2;998997;shi fu lu
500;3;998997;Shifu Rd
500;2;998998;wen di lu
500;3;998998;Wendi Rd
500;2;999000;xue yuan zhong lu
500;3;999000;Xueyuan Middle Rd
500;2;999001;li ming dong lu
500;3;999001;Liming East Rd
500;2;999002;jiang bin zhong lu
500;3;999002;Jiangbin Middle Rd
500;2;999003;liu hong qiao lu
500;3;999003;Liuhongqiao Rd
500;2;999004;xi shan xi lu
500;3;999004;Xishan West Rd
500;2;999007;ma an chi dong lu
500;3;999007;Maanchi East Rd
500;2;999009;li ming xi lu
500;3;999009;Liming West Rd
500;2;999011;jiang bin xi lu
500;3;999011;Jiangbin West Rd
500;2;999013;hua long qiao lu
500;3;999013;Hualongqiao Rd
500;2;999016;xue yuan xi lu
500;3;999016;Xueyuan West Rd
500;2;999020;xiu shan lu
500;3;999020;Xiushan Rd
500;2;999021;xin cheng da dao
500;3;999021;Xincheng Blvd
500;2;999022;xue yuan dong lu
500;3;999022;Xueyuan East Rd
500;2;999025;ren min zhong lu
500;3;999025;Renmin Middle Rd
500;2;999027;guang chang lu
500;3;999027;Guangchang Rd
500;2;999028;kang le fang
500;3;999028;Kanglefang
500;2;999032;wang jiang xi lu
500;3;999032;Wangjiang West Rd
500;2;999036;nan pu lu
500;3;999036;Nanpu Rd
500;2;999040;xian qian tou
500;3;999040;Xianqiantou
500;2;999051;shang jiang lu
500;3;999051;Shangjiang Rd
500;2;999052;pu jiang lu
500;3;999052;Pujiang Rd
500;2;999054;qu jiang lu
500;3;999054;Qujiang Rd
500;2;999056;long teng bei lu
500;3;999056;Longteng North Rd
500;2;999058;ling ni xian
500;3;999058;Lingni Line
500;2;999060;yong qiang da dao
500;3;999060;Yongqiang Blvd
500;2;999062;shang dou men lu
500;3;999062;Shangdoumen Rd
500;2;999066;pu zhong lu
500;3;999066;Puzhong Rd
500;2;999072;hang biao lu
500;3;999072;Hangbiao Rd
500;2;999080;S49
500;3;999080;S49
500;2;999081;xi shan dong lu
500;3;999081;Xishan East Rd
500;2;999082;xing hua lu
500;3;999082;Xinghua Rd
500;2;999083;wu qiao lu
500;3;999083;Wuqiao Rd
500;2;999093;yang fu shan lu
500;3;999093;Yangfushan Rd
500;2;999096;min hang lu
500;3;999096;Minhang Rd
500;2;999099;zhan qian lu
500;3;999099;Zhanqian Rd
500;2;999100;gao xiang lu
500;3;999100;Gaoxiang Rd
500;2;999107;xi cheng lu
500;3;999107;Xicheng Rd
500;2;999111;lian hua lu
500;3;999111;Lianhua Rd
500;2;999124;chao yang xin jie
500;3;999124;Chaoyang St
500;2;999130;heng tang jie
500;3;999130;Hengtang St
500;2;999135;long xia lu
500;3;999135;Longxia Rd
500;2;999142;xing hai lu
500;3;999142;Xinghai Rd
500;2;999145;wang jiang dong lu
500;3;999145;Wangjiang East Rd
500;2;999150;xiao nan lu
500;3;999150;Xiaonan Rd
500;2;999159;fu xi lu
500;3;999159;Fuxi Rd
500;2;999161;tang jia qiao lu
500;3;999161;Tangjiaqiao Rd
500;2;999163;yan dang xi lu
500;3;999163;Yandang West Rd
