CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
500;10;30897;;30898
500;10;30898;30897;31581
500;10;31581;30898;
500;10;13343;;13214
500;10;13214;13343;12432
500;10;12432;13214;12945
500;10;12945;12432;12433
500;10;12433;12945;12434
500;10;12434;12433;12435
500;10;12435;12434;12436
500;10;12436;12435;12437
500;10;12437;12436;12438
500;10;12438;12437;12919
500;10;12919;12438;12920
500;10;12920;12919;
500;10;30789;;30790
500;10;30790;30789;30792
500;10;30792;30790;30793
500;10;30793;30792;30794
500;10;30794;30793;31599
500;10;31599;30794;30795
500;10;30795;31599;30796
500;10;30796;30795;
500;10;12517;;12440
500;10;12440;12517;12441
500;10;12441;12440;13162
500;10;13162;12441;12442
500;10;12442;13162;12443
500;10;12443;12442;
500;10;18820;;18521
500;10;18521;18820;18522
500;10;18522;18521;18520
500;10;18520;18522;18519
500;10;18519;18520;
500;10;13164;;12445
500;10;12445;13164;12446
500;10;12446;12445;12447
500;10;12447;12446;12448
500;10;12448;12447;12449
500;10;12449;12448;12450
500;10;12450;12449;12451
500;10;12451;12450;12452
500;10;12452;12451;13163
500;10;13163;12452;
500;10;7330;;7331
500;10;7331;7330;7332
500;10;7332;7331;7333
500;10;7333;7332;
500;10;19515;;18479
500;10;18479;19515;19516
500;10;19516;18479;
500;10;19333;;19135
500;10;19135;19333;19136
500;10;19136;19135;
500;10;19620;;19137
500;10;19137;19620;19138
500;10;19138;19137;19139
500;10;19139;19138;19140
500;10;19140;19139;
500;10;6624;;7229
500;10;7229;6624;6623
500;10;6623;7229;
500;10;30461;;30462
500;10;30462;30461;30463
500;10;30463;30462;30464
500;10;30464;30463;30465
500;10;30465;30464;30466
500;10;30466;30465;30467
500;10;30467;30466;30468
500;10;30468;30467;30469
500;10;30469;30468;
500;10;767;;768
500;10;768;767;769
500;10;769;768;770
500;10;770;769;771
500;10;771;770;
500;10;18751;;19361
500;10;19361;18751;18750
500;10;18750;19361;19362
500;10;19362;18750;18749
500;10;18749;19362;
500;10;30804;;30805
500;10;30805;30804;30806
500;10;30806;30805;30807
500;10;30807;30806;30808
500;10;30808;30807;30809
500;10;30809;30808;30810
500;10;30810;30809;31600
500;10;31600;30810;30800
500;10;30800;31600;30799
500;10;30799;30800;30798
500;10;30798;30799;
500;10;18547;;18546
500;10;18546;18547;
500;10;12562;;12563
500;10;12563;12562;12564
500;10;12564;12563;12565
500;10;12565;12564;12566
500;10;12566;12565;12567
500;10;12567;12566;
500;10;30607;;30608
500;10;30608;30607;30609
500;10;30609;30608;30610
500;10;30610;30609;30611
500;10;30611;30610;
500;10;19560;;18693
500;10;18693;19560;
500;10;7141;;7142
500;10;7142;7141;7143
500;10;7143;7142;7144
500;10;7144;7143;
500;10;30440;;30441
500;10;30441;30440;30442
500;10;30442;30441;30443
500;10;30443;30442;30444
500;10;30444;30443;30445
500;10;30445;30444;
500;10;30446;;30447
500;10;30447;30446;30448
500;10;30448;30447;30449
500;10;30449;30448;
500;10;30450;;30451
500;10;30451;30450;30452
500;10;30452;30451;30453
500;10;30453;30452;30454
500;10;30454;30453;30455
500;10;30455;30454;30456
500;10;30456;30455;30457
500;10;30457;30456;30458
500;10;30458;30457;30459
500;10;30459;30458;
500;10;18403;;18402
500;10;18402;18403;18815
500;10;18815;18402;
500;10;18946;;18947
500;10;18947;18946;
500;10;18814;;18414
500;10;18414;18814;18413
500;10;18413;18414;19606
500;10;19606;18413;
500;10;19607;;19289
500;10;19289;19607;18410
500;10;18410;19289;18409
500;10;18409;18410;19614
500;10;19614;18409;
500;10;6411;;6410
500;10;6410;6411;7406
500;10;7406;6410;
500;10;7401;;6403
500;10;6403;7401;6402
500;10;6402;6403;6401
500;10;6401;6402;6713
500;10;6713;6401;7380
500;10;7380;6713;6714
500;10;6714;7380;7201
500;10;7201;6714;6715
500;10;6715;7201;7178
500;10;7178;6715;6716
500;10;6716;7178;6717
500;10;6717;6716;6718
500;10;6718;6717;7198
