CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
500;10;30897;P;1;12;;9608153;6671779;;9;;;30894;1;1;1;1;1;1;;;+12045857;+3012169;0;0
500;10;30898;P;1;12;;9608153;6671803;;9;;;30894;1;1;1;1;1;1;;;+12046946;+3011340;0;0
500;10;31581;P;1;12;;9608153;6671967;;9;;;30894;1;1;1;1;1;1;;;+12047687;+3011230;0;0
500;10;13343;P;1;13;;16275021;15274021;;6;;;12431;1;1;1;1;1;1;;;+11960711;+2912397;0;0
500;10;13214;P;1;12;;16275021;15143055;;6;;;12431;1;1;1;1;1;1;;;+11962135;+2912670;0;0
500;10;12432;P;1;10;;16275021;15142806;;6;;;12431;1;1;1;1;1;1;;;+11963485;+2912732;0;1
500;10;12945;P;1;12;;16275021;15142947;;6;;;12431;1;1;1;1;1;1;;;+11963741;+2912804;0;1
500;10;12433;P;1;10;;16275021;15142990;;6;;;12431;1;1;1;1;1;1;;;+11964555;+2913103;0;1
500;10;12434;P;1;10;;16275021;15142985;;6;;;12431;1;1;1;1;1;1;;;+11965303;+2913279;0;1
500;10;12435;P;1;10;;16275021;15142986;;6;;;12431;1;1;1;1;1;1;;;+11965815;+2913340;0;1
500;10;12436;P;1;10;;16275021;15142987;;6;;;12431;1;1;1;1;1;1;;;+11966520;+2913418;0;1
500;10;12437;P;1;10;;16275021;15142812;;6;;;12431;1;1;1;1;1;1;;;+11968391;+2913413;0;0
500;10;12438;P;1;10;;16275021;15143007;;6;;;12431;1;1;1;1;1;1;;;+11969526;+2913764;0;0
500;10;12919;P;1;6;;16275021;14409205;;6;;;12431;1;1;1;1;1;1;;;+11970866;+2914312;0;0
500;10;12920;P;1;3;;16275021;15541005;;6;;;12431;1;1;1;1;1;1;;;+11971514;+2915493;0;0
500;10;30789;P;1;12;;8741037;6671815;;9;;;30788;1;1;1;1;1;1;;;+12054534;+3002732;0;1
500;10;30790;P;1;11;;8741037;6938903;;9;;;30788;1;1;1;1;1;1;;;+12056928;+3002306;0;1
500;10;30792;P;1;10;;8741037;6672046;;9;;;30788;1;1;1;1;1;1;;;+12057681;+3002301;0;1
500;10;30793;P;1;10;;8741037;6671874;;9;;;30788;1;1;1;1;1;1;;;+12058250;+3002340;0;1
500;10;30794;P;1;10;;8741037;8270318;;9;;;30788;1;1;1;1;1;1;;;+12059793;+3002272;0;1
500;10;31599;P;1;10;;8741037;6671883;;9;;;30788;1;1;1;1;1;1;;;+12060811;+3002096;0;1
500;10;30795;P;1;10;;8741037;6671792;;9;;;30788;1;1;1;1;1;1;;;+12062310;+3001285;0;1
500;10;30796;P;1;7;;8741037;9339519;;9;;;30788;1;1;1;1;1;1;;;+12062679;+3000231;0;1
500;10;12517;P;1;12;;14409205;15142812;;6;;;12439;1;1;1;1;1;1;;;+11970351;+2915124;0;0
500;10;12440;P;1;8;;14409205;16275021;;6;;;12439;1;1;1;1;1;1;;;+11970866;+2914312;0;0
500;10;12441;P;1;10;;14409205;15143005;;6;;;12439;1;1;1;1;1;1;;;+11971419;+2911484;0;0
500;10;13162;P;1;11;;14409205;15142974;;6;;;12439;1;1;1;1;1;1;;;+11971744;+2910254;0;0
500;10;12442;P;1;10;;14409205;15142973;;6;;;12439;1;1;1;1;1;1;;;+11971962;+2909759;0;0
500;10;12443;P;1;7;;14409205;13872419;;6;;;12439;1;1;1;1;1;1;;;+11972488;+2906613;0;0
500;10;18820;P;1;10;;4738495;4738446;;7;;;18518;1;1;1;1;1;1;;;+12126801;+2863077;0;1
500;10;18521;P;1;12;;4738495;4738499;;7;;;18518;1;1;1;1;1;1;;;+12127975;+2864378;0;1
