CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
500;10;30894;L;1;4;;9608153;6671779;6671967;9;
500;10;12431;L;1;4;;16275021;15274021;15541005;6;
500;10;30788;L;1;2;G104;8741037;6671815;9339519;9;
500;10;12439;L;1;4;;14409205;15142812;13872419;6;
500;10;18518;L;1;2;G104;4738495;4738446;3937348;7;
500;10;12444;L;1;4;;15142924;16275022;15208012;6;
500;10;7329;L;1;4;;1067072;1067077;1000543;5;
500;10;19514;L;1;4;;4738633;4738518;4333579;7;
500;10;19618;L;1;4;;17875201;17875368;17875266;7;
500;10;6622;L;1;4;;998982;998995;999013;5;
500;10;30460;L;1;2;G104;6671824;6671825;6671814;9;
500;10;766;L;1;4;;11272597;12873414;11877688;4;
500;10;18748;L;1;4;;4738435;4802856;4738711;7;
500;10;30803;L;1;4;;6671813;6671767;9339519;9;
500;10;18542;L;1;4;;4738446;5472214;4738354;7;
500;10;12561;L;1;4;;15142985;15142933;15143354;6;
500;10;30605;L;1;4;;9339519;8675010;8741037;9;
500;10;19559;L;1;4;;4803301;4803318;4802938;7;
500;10;7140;L;1;4;;1000414;734629;1000582;5;
500;10;30436;L;1;2;;6672076;6671784;9608145;9;
500;10;19615;L;1;2;;4803268;4738989;4803264;7;
500;10;18945;L;1;2;;4803268;4738347;4738495;7;
500;10;18401;L;1;2;;4803268;4802831;4738352;7;
500;10;19613;L;1;2;;4803268;4738391;4738495;7;
500;10;7407;L;1;2;;1000282;1066883;3202711;5;
500;10;24080;L;1;1;G15;22946044;23479765;23210846;8;
500;10;24113;L;1;1;G15;23479767;22946046;23210845;8;
500;10;100;L;2;1;G1501;11274348;;;4;
500;10;18075;L;1;1;G15W;6405398;4269602;4536156;7;
500;10;30593;L;1;3;S31;6671767;9608169;8674930;9;
500;10;48051;L;1;1;G25;18942607;19540176;19676619;12;
500;10;12055;L;1;1;G25;15541005;16275017;15144094;6;
500;10;24201;L;1;1;G2501;22946143;23479760;22280389;8;
500;10;31434;L;1;4;;6539687;6671813;8069957;9;
500;10;31319;L;1;4;;8674943;6671869;6671834;9;
500;10;24801;L;1;4;;22279232;22279299;23010091;8;
500;10;12412;L;1;3;;15142937;15143004;15142955;6;
500;10;637;L;1;4;;11877692;12607148;11742311;4;
500;10;18572;L;1;4;;5472227;6201683;4738446;7;
500;10;24410;L;1;2;G320;23010028;23010035;23010031;8;
500;10;24416;L;1;2;G320;23010035;23010036;22946151;8;
500;10;25228;L;1;2;G320;23479829;23010028;22145827;8;
500;10;24401;L;1;2;;23010022;23010237;23210854;8;
500;10;19506;L;1;3;;6405403;4738989;4738464;7;
500;10;1095;L;1;4;;11274337;12477431;11274410;4;
500;10;772;L;1;3;;11272535;11877692;11272787;4;
500;10;2138;L;1;3;;11274385;11274281;12873364;4;
500;10;12459;L;1;2;G330;13872419;15207965;15541070;6;
500;10;13276;L;1;4;;15541090;13872419;15142967;6;
500;10;24070;L;1;1;G92;23479760;23479769;23479765;8;
500;10;24065;L;1;1;G15W;22946161;23479774;23479765;8;
500;10;93;L;1;1;G9211;11343067;11742292;12873339;4;
500;10;24215;L;7;0;;;23010021;22946143;8;
500;10;24221;L;7;0;;;23010021;23010212;8;
500;10;24217;L;7;0;;;23010021;23010202;8;
500;10;1878;L;1;4;;11210889;11343093;11343095;4;
500;10;31148;L;1;4;;8008140;8674934;7140064;9;
500;10;24213;L;7;0;;;23010207;22946143;8;
500;10;24223;L;7;0;;;23010205;22946143;8;
500;10;6777;L;1;4;;999107;998988;999032;5;
500;10;24440;L;1;3;S07;22946151;23010235;23010054;8;
500;10;24431;L;1;4;;23010047;23479788;23479789;8;
500;10;24485;L;1;3;S07;23010041;23010067;23010058;8;
500;10;24512;L;1;3;S07;23010085;23010054;23010031;8;
500;10;24450;L;1;3;S07;22946151;23010035;23010102;8;
500;10;6911;L;1;4;;1000500;999036;998915;5;
500;10;25231;L;1;3;S07;23210851;23010102;23210953;8;
500;10;6078;L;1;1;S10;1066989;1067044;1066883;5;
500;10;12969;L;1;3;S103;16275024;15142812;15207973;6;
500;10;12579;L;1;3;S103;15142812;15143004;16275024;6;
500;10;30601;L;1;4;;9404399;6671869;8674939;9;
500;10;24807;L;1;4;;23008688;22279232;23479788;8;
500;10;12421;L;1;3;S103;15872393;15142940;15142806;6;
500;10;19437;L;1;4;;6201683;4738448;6405403;7;
500;10;643;L;1;3;S103;12607148;11343065;11877688;4;
500;10;12503;L;1;3;S103;15142909;13872419;15872393;6;
500;10;19032;L;1;4;;4802973;17875290;4738510;7;
500;10;6432;L;1;4;;1600254;999062;1000423;5;
500;10;6424;L;1;4;;999011;2269575;998915;5;
500;10;6428;L;1;4;;999002;998915;1600254;5;
500;10;25342;L;1;3;S07;23479787;22741106;23010040;8;
500;10;24901;L;1;4;;21010349;23010044;23010046;8;
500;10;7024;L;1;4;;1000625;1000525;1000580;5;
500;10;31464;L;1;4;;6938899;6938966;6938971;9;
500;10;30506;L;1;3;S212;6938884;6672096;6671834;9;
500;10;30511;L;1;3;S212;6671834;6938884;6671837;9;
500;10;24549;L;1;4;;23010031;23007830;23010028;8;
500;10;19504;L;1;3;S225;4803267;4738678;4738989;7;
500;10;18442;L;1;3;S225;4738479;4802847;4738492;7;
500;10;12402;L;1;3;S44;15142933;15142806;15143004;6;
500;10;24788;L;1;4;;22279228;23479788;22279299;8;
500;10;30525;L;1;3;S44;8674939;9404399;6671854;9;
500;10;627;L;1;4;;11877688;11272640;11274368;4;
500;10;18437;L;1;4;;4867241;4738492;6200825;7;
500;10;595;L;1;4;;11272706;11272567;12606290;4;
500;10;30563;L;1;4;;8069957;6671844;7536295;9;
500;10;18431;L;1;3;S225;4738589;4738464;4867241;7;
500;10;30104;L;1;1;S24;6938883;7675027;8675066;9;
500;10;18063;L;1;1;S28;5473120;4803025;4738342;7;
500;10;30811;L;1;3;;9608147;8674930;9608170;9;
500;10;13101;L;1;3;S313;16275025;15541071;15207936;6;
500;10;12589;L;1;3;S313;15142806;15142933;15541071;6;
500;10;31372;L;1;4;;8070028;6672033;6671874;9;
500;10;31373;L;1;4;;8070028;8674939;6672023;9;
500;10;1631;L;1;4;;11272777;11272594;11274693;4;
500;10;526;L;1;3;S320;11274593;12873329;11742278;4;
500;10;1916;L;1;3;S320;11343045;11272738;11210889;4;
500;10;1914;L;1;3;S320;11343093;11272801;12873329;4;
500;10;1193;L;1;3;S320;12873356;11274362;11272479;4;
500;10;2117;L;1;3;S320;11742276;12873395;11272738;4;
500;10;1909;L;1;3;S320;11742302;11742277;11274593;4;
500;10;30667;L;1;4;;7404460;7536295;8675010;9;
500;10;6450;L;1;4;;999025;999150;3202687;5;
500;10;19217;L;1;4;;6405413;6405403;4738359;7;
500;10;1902;L;1;4;;11272432;11272584;11272424;4;
500;10;6859;L;1;4;;1664248;998992;2269575;5;
500;10;19162;L;1;4;;4866967;6405434;4802892;7;
500;10;612;L;1;4;;11272432;11272656;11272431;4;
500;10;31349;L;1;4;;6671897;7404460;6672020;9;
500;10;1160;L;1;4;;11274091;12873369;11274400;4;
500;10;18651;L;1;4;;6405405;4738533;4738464;7;
500;10;18768;L;1;4;;4738348;4738579;6405406;7;
500;10;1761;L;1;4;;11343047;11343046;11272735;4;
500;10;1758;L;1;4;;11274596;11274337;11343046;4;
500;10;557;L;1;3;S34;11343065;11742281;12607148;4;
500;10;18692;L;1;4;;4803300;4738742;4738468;7;
500;10;30543;L;1;4;;6671860;7404460;8270318;9;
500;10;19101;L;1;4;;4802994;4802981;4738590;7;
500;10;24973;L;1;4;;23010164;23010097;23010059;8;
500;10;7353;L;1;3;S41;1067080;734629;1000413;5;
500;10;1520;L;1;4;;11274666;11742314;11274665;4;
500;10;18655;L;1;4;;4738459;4803283;4803111;7;
500;10;25190;L;1;4;;23010184;23010066;23010110;8;
500;10;24687;L;1;4;;23010091;23010036;22279232;8;
500;10;25234;L;1;3;S51;23210862;23210953;23479779;8;
500;10;12407;L;1;3;S51;15143004;15142812;15142937;6;
500;10;6606;L;1;4;;2269575;998918;999145;5;
500;10;24795;L;1;4;;22279299;22279228;22279232;8;
500;10;19436;L;1;4;;5472294;5472227;5472223;7;
500;10;30516;L;1;3;S51;8675010;6671837;6671854;9;
500;10;1172;L;1;3;S318;12873345;12873344;11274426;4;
500;10;1186;L;1;3;S59;11274431;11274429;11272837;4;
500;10;1180;L;1;3;S59;11274428;11274429;11274427;4;
500;10;1183;L;1;3;S59;11274429;11274428;11274431;4;
500;10;1177;L;1;3;S59;11274426;12873345;11274427;4;
500;10;817;L;1;3;S59;11272666;11272837;11272459;4;
500;10;12490;L;1;4;;15142930;15142804;15143004;6;
500;10;6453;L;1;4;;2269501;998917;998919;5;
500;10;30672;L;1;4;;8674936;8675010;6671821;9;
500;10;564;L;1;3;S61;11272414;11274353;11272573;4;
500;10;664;L;1;3;S61;11272573;11272640;11272414;4;
500;10;1896;L;1;3;S71;11742285;11742284;11272472;4;
500;10;500;L;1;3;S71;12873370;11742285;11274338;4;
500;10;478;L;1;3;S71;11272536;11274338;11343040;4;
500;10;1894;L;1;3;S71;11742283;11742373;11742284;4;
500;10;12654;L;1;4;;15143058;15143129;15142804;6;
500;10;18456;L;1;3;S75;4738342;4738453;4803267;7;
500;10;6735;L;1;4;;1000445;1000446;1000443;5;
500;10;24996;L;1;4;;23010039;23210866;23010091;8;
500;10;7046;L;1;4;;3000315;998981;998995;5;
500;10;518;L;1;3;S79;11272479;11742289;11272790;4;
500;10;18462;L;1;3;S83;4738343;4802839;4803088;7;
500;10;18466;L;1;3;S83;4738453;4803087;4738342;7;
500;10;19409;L;1;3;S83;4803089;4803088;4803087;7;
500;10;19584;L;1;4;;4803337;4738343;4738425;7;
500;10;24546;L;1;4;X103;22946149;22280389;23010106;8;
500;10;24542;L;1;4;X103;23010105;23010106;22145827;8;
500;10;31512;L;1;4;;9608176;6671782;6671874;9;
500;10;24630;L;1;4;;23479761;23479762;23010130;8;
500;10;24601;L;1;4;X206;23010094;23010067;23010046;8;
500;10;7087;L;1;4;X206;3000404;3202688;1000411;5;
500;10;25222;L;1;4;X212;23010219;23010054;23010266;8;
500;10;24539;L;1;4;X301;23010103;23210872;23010102;8;
500;10;25033;L;1;4;X301;23010072;23010167;23479793;8;
500;10;24531;L;1;4;X305;23010102;23010103;22946151;8;
500;10;933;L;1;4;X814;11272562;11272578;11473067;4;
500;10;25019;L;1;4;X820;23010175;23010049;23010047;8;
500;10;6866;L;1;4;;1000484;998918;1000485;5;
500;10;13117;L;1;4;;15207941;15143004;15143007;6;
500;10;19064;L;1;4;;4802967;4802957;23479830;7;
500;10;30761;L;1;4;;6671916;6671923;6672087;9;
500;10;30754;L;1;4;;6938925;6671804;6671916;9;
500;10;24633;L;1;4;;23010134;23008688;23007830;8;
500;10;19224;L;1;4;;4803279;4803266;6405423;7;
500;10;24637;L;1;4;;23010135;23210863;23479795;8;
500;10;13346;L;1;4;;15142910;13872419;15142913;6;
500;10;12880;L;1;4;;15208012;15142924;13872419;6;
500;10;30737;L;1;4;;6671918;6671917;6671921;9;
500;10;12554;L;1;4;;15142804;15142916;15142933;6;
500;10;12544;L;1;4;;15142916;15142924;15142943;6;
500;10;2043;L;1;4;;11343088;11272791;11343013;4;
500;10;1714;L;1;4;;11343009;11274596;11272791;4;
500;10;1243;L;1;4;;11274590;11272538;11274596;4;
500;10;13282;L;1;4;;15541091;15142908;13872419;6;
500;10;13004;L;1;4;;15143161;15142911;15207909;6;
500;10;13022;L;1;4;;15142908;15207975;13872419;6;
500;10;18594;L;1;4;;4738344;4738459;4738462;7;
500;10;19080;L;1;4;;4803284;4738345;4738589;7;
500;10;19384;L;1;4;;4803079;4803283;4738464;7;
500;10;18590;L;1;4;;4738345;4738464;4738462;7;
500;10;6418;L;1;4;;998913;998991;998992;5;
500;10;6415;L;1;4;;998914;998993;998991;5;
500;10;1831;L;1;4;;12873401;11877692;11272813;4;
500;10;570;L;1;4;;11272417;11272560;11272536;4;
500;10;579;L;1;4;;11272418;11272567;11272560;4;
500;10;18866;L;1;4;;4802908;4738347;4802909;7;
500;10;18869;L;1;4;;6405432;4802908;6405431;7;
500;10;1516;L;1;4;;11274665;12607148;11272754;4;
500;10;703;L;1;4;;11272537;12873337;11272572;4;
500;10;13289;L;1;4;;15143234;15142930;15142931;6;
500;10;1805;L;1;4;;11272817;11343047;12873371;4;
500;10;1802;L;1;4;;11343079;11343076;11343047;4;
500;10;1285;L;1;4;;11272848;11272784;11274607;4;
500;10;13075;L;1;4;;16275027;16275021;15142949;6;
500;10;954;L;1;4;;11274333;11272552;11274348;4;
500;10;704;L;1;4;;11272420;11272573;11272552;4;
500;10;1754;L;1;4;;11343033;11274365;11274660;4;
500;10;19128;L;1;4;;4738747;6200825;4802973;7;
500;10;19192;L;1;4;;4803006;4802847;4738484;7;
500;10;19276;L;1;4;;4738989;4802918;3937348;7;
500;10;12788;L;1;4;;15142807;15142941;15142951;6;
500;10;13139;L;1;4;;15142941;15142918;15207953;6;
500;10;12778;L;1;4;;15142941;15872393;15142807;6;
500;10;12769;L;1;4;;15142967;13872419;15872393;6;
500;10;31325;L;1;4;;6672017;9404399;6938952;9;
500;10;13098;L;1;4;;15143066;15142986;15142845;6;
500;10;13269;L;1;4;;15541088;15541087;15142911;6;
500;10;12764;L;1;4;;15142811;23479831;15142975;6;
500;10;18811;L;1;4;;4802866;4802848;3937348;7;
500;10;584;L;1;4;;11272560;11272417;12606290;4;
500;10;587;L;1;4;;11272422;11272578;11272417;4;
500;10;6811;L;1;4;;1000466;1000418;3202693;5;
500;10;1711;L;1;4;;11274767;11272582;11272706;4;
500;10;592;L;1;4;;11272423;11272582;11272583;4;
500;10;1474;L;1;4;;11272565;11274366;12339566;4;
500;10;412;L;1;4;;11272424;11272432;11272586;4;
500;10;1030;L;1;4;;11272754;12607148;11272727;4;
500;10;1033;L;1;4;;11272754;11272727;11272656;4;
500;10;31221;L;1;4;;6671836;6671813;6671835;9;
500;10;24961;L;1;4;;23479795;23010140;23479758;8;
500;10;24640;L;1;4;;23010137;23010065;23010138;8;
500;10;6921;L;1;4;;1000503;998984;998919;5;
500;10;6850;L;1;4;;1000479;998921;1067084;5;
500;10;31460;L;1;4;;6938966;8270318;8741037;9;
500;10;18965;L;1;4;;4802878;4738464;4738479;7;
500;10;19148;L;1;4;;4803000;4802878;4738364;7;
500;10;24648;L;1;4;;23010051;23010047;23010062;8;
500;10;24652;L;1;4;;23010034;23010062;23010028;8;
500;10;24659;L;1;4;;23010116;23479783;21674196;8;
500;10;24663;L;1;4;;23010078;21674196;23010047;8;
500;10;7115;L;1;4;;1000624;1000548;1067046;5;
500;10;19117;L;1;4;;4802981;4738492;4738590;7;
500;10;31203;L;1;4;;6671868;6607328;8069957;9;
500;10;596;L;1;4;;11272425;11272582;11272656;4;
500;10;1965;L;1;4;;11742337;11272470;11272649;4;
500;10;24671;L;1;4;;23010142;23010068;23010076;8;
500;10;13017;L;1;4;;15143054;15207915;15872393;6;
500;10;1236;L;1;4;;11272742;11272541;11274593;4;
500;10;1904;L;1;4;;11742298;11272572;11272541;4;
500;10;19557;L;1;4;;4738678;4803328;4803267;7;
