CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
500;10;19134;L;3;0;G104;4802889;4803056;17810771;19618;;7
500;10;19619;L;3;0;G104;17875201;23479812;17875266;19618;;7
500;10;30437;L;3;0;;6672076;6671784;6671825;30436;;9
500;10;30438;L;3;0;;6672076;6671814;6671815;30436;;9
500;10;30439;L;3;0;;6672076;8741037;9608145;30436;;9
500;10;6695;L;3;0;;1000282;1066883;3202709;7407;;5
500;10;7408;L;3;0;;1000282;3202718;3202711;7407;;5
500;10;101;L;3;0;G1501;11742377;11272527;11274333;100;;4
500;10;106;L;3;0;G1501;11742378;11274333;11742311;100;;4
500;10;111;L;3;0;G1501;11742379;11742311;11272628;100;;4
500;10;207;L;3;0;G1501;11742380;11272628;11272527;100;;4
500;10;24402;L;3;0;;23010022;23010237;23010035;24401;;8
500;10;24406;L;3;0;;23010022;23479829;23210854;24401;;8
500;10;414;L;3;0;;11274385;11274281;12873425;2138;;4
500;10;2140;L;3;0;;11274385;12873427;12873364;2138;;4
500;10;18565;L;3;0;S103;6201683;4738448;4738542;19437;;7
500;10;18821;L;3;0;S103;6201683;4738449;6405403;19437;;7
500;10;667;L;3;0;S225;11272706;11272567;11272583;595;;4
500;10;692;L;3;0;S225;11272706;11272423;12606290;595;;4
500;10;12972;L;3;0;;15142910;13872419;15142912;13346;;6
500;10;12975;L;3;0;;15142910;15142837;15142913;13346;;6
500;10;1475;L;3;0;;11272565;11274366;11272578;1474;;4
500;10;1479;L;3;0;;11272565;11274655;12339566;1474;;4
500;10;30891;L;3;0;;6671967;9608149;6671803;31579;;9
500;10;31580;L;3;0;;6671967;9608153;6607900;31579;;9
500;10;12453;L;3;0;;15274021;15208012;15541078;13345;;6
500;10;13078;L;3;0;;15274021;13872419;16275021;13345;;6
500;10;18949;L;3;0;;4802942;4802856;4738497;19572;;7
500;10;19569;L;3;0;;4802942;4803347;4738352;19572;;7
500;10;18995;L;3;0;;4738463;4803283;4738464;18993;;7
500;10;18994;L;3;0;;4738463;4803079;6405403;18993;;7
500;10;19004;L;3;0;;4802963;4738464;4802967;19002;;7
500;10;19003;L;3;0;;4802963;4802968;4738614;19002;;7
500;10;25209;L;3;0;;23010100;23210866;23010035;25347;;8
500;10;24735;L;3;0;;23010100;23010268;23010097;25347;;8
500;10;31124;L;3;0;;6671796;6671886;6671913;31587;;9
500;10;31127;L;3;0;;6671796;6671782;6671867;31587;;9
500;10;6975;L;3;0;;1000514;999021;1664340;7411;;5
500;10;7388;L;3;0;;1000514;1000496;999022;7411;;5
500;10;18625;L;3;0;;4738508;4803051;4738547;19398;;7
500;10;19399;L;3;0;;4738508;4803059;4802981;19398;;7
500;10;12981;L;3;0;;15207900;15207901;15541101;12980;;6
500;10;12984;L;3;0;;15207900;15541102;15207902;12980;;6
500;10;18685;L;3;0;;4738533;4738485;4738444;18684;;7
500;10;18780;L;3;0;;4738533;4803308;4803283;18684;;7
500;10;31030;L;3;0;;6671881;6671882;6938916;31026;;9
500;10;31031;L;3;0;;6671881;6671944;9404399;31026;;9
500;10;12706;L;3;0;;15143121;15143017;15142930;13184;;6
500;10;13185;L;3;0;;15143121;15541100;15142931;13184;;6
500;10;25298;L;3;0;;23010109;23210936;23010031;25348;;8
500;10;24644;L;3;0;;23010109;23010065;23010140;25348;;8
500;10;30819;L;3;0;;6671787;7140064;9608156;31589;;9
500;10;31590;L;3;0;;6671787;9608173;6671916;31589;;9
500;10;30420;L;3;0;;6671782;6938920;9608176;30419;;9
500;10;30407;L;3;0;;6671782;6671784;7140064;30419;;9
500;10;30402;L;3;0;;6671784;6671813;6938920;30401;;9
500;10;30432;L;3;0;;6671784;6607900;6671782;30401;;9
500;10;30704;L;3;0;;6671913;6671803;6671807;31598;;9
500;10;30721;L;3;0;;6671913;6938879;6671797;31598;;9
500;10;25325;L;3;0;;23010049;23010048;23010175;25349;;8
500;10;24953;L;3;0;;23010049;23010047;23010064;25349;;8
500;10;18833;L;3;0;;4738468;23479828;4738479;19403;;7
500;10;18674;L;3;0;;4738468;4738364;4803308;19403;;7
500;10;19533;L;3;0;;4738468;4802876;6405403;19403;;7
500;10;12710;L;3;0;;15142982;15143017;16275029;13190;;6
500;10;13191;L;3;0;;15142982;16275030;15143241;13190;;6
500;10;13199;L;3;0;;15207994;15208002;18544557;13349;;6
500;10;13350;L;3;0;;18609596;23479814;18544516;13349;;6
500;10;13226;L;3;0;;15142992;15142940;15142955;12807;;6
500;10;13227;L;3;0;;15142992;15142939;18544516;12807;;6
500;10;13347;L;3;0;;18544594;23479813;18544517;12807;;6
500;10;6979;L;3;0;;1000499;998997;3202692;6978;;5
500;10;6982;L;3;0;;1000499;999021;1000496;6978;;5
500;10;6780;L;3;0;;999032;1000411;17342130;7412;;5
500;10;7414;L;3;0;;17274063;23479810;17273954;7412;;5
500;10;7416;L;3;0;;17274063;23479811;17274024;7412;;5
500;10;870;L;3;0;;11272787;12873410;11274337;1207;;4
500;10;1102;L;3;0;;11272787;11274410;11272535;1207;;4
500;10;19382;L;3;0;;4802957;4738460;4738462;19381;;7
500;10;19060;L;3;0;;4802957;4803355;4802967;19381;;7
500;10;25091;L;3;0;;23010097;23010090;23010095;25086;;8
500;10;25098;L;3;0;;23010097;23010173;22943808;25086;;8
500;10;25102;L;3;0;;23010097;23010084;23210877;25086;;8
500;10;25203;L;3;0;;23010097;23010085;23010089;25086;;8
500;10;25187;L;3;0;;22943808;23010097;23010041;25346;;8
500;10;25126;L;3;0;;22943808;23479809;23210951;25346;;8
