CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
500;10;19134;;19619
500;10;19619;19134;
500;10;30437;;30438
500;10;30438;30437;30439
500;10;30439;30438;
500;10;6695;;7408
500;10;7408;6695;
500;10;101;207;106
500;10;106;101;111
500;10;111;106;207
500;10;207;111;101
500;10;24402;;24406
500;10;24406;24402;
500;10;414;;2140
500;10;2140;414;
500;10;18565;;18821
500;10;18821;18565;
500;10;667;;692
500;10;692;667;
500;10;12972;;12975
500;10;12975;12972;
500;10;1475;;1479
500;10;1479;1475;
500;10;30891;;31580
500;10;31580;30891;
500;10;12453;;13078
500;10;13078;12453;
500;10;18949;;19569
500;10;19569;18949;
500;10;18995;;18994
500;10;18994;18995;
500;10;19004;;19003
500;10;19003;19004;
500;10;25209;;24735
500;10;24735;25209;
500;10;31124;;31127
500;10;31127;31124;
500;10;6975;;7388
500;10;7388;6975;
500;10;18625;;19399
500;10;19399;18625;
500;10;12981;;12984
500;10;12984;12981;
500;10;18685;;18780
500;10;18780;18685;
500;10;31030;;31031
500;10;31031;31030;
500;10;12706;;13185
500;10;13185;12706;
500;10;25298;;24644
500;10;24644;25298;
500;10;30819;;31590
500;10;31590;30819;
500;10;30420;;30407
500;10;30407;30420;
500;10;30402;;30432
500;10;30432;30402;
500;10;30704;;30721
500;10;30721;30704;
500;10;25325;;24953
500;10;24953;25325;
500;10;18833;;18674
500;10;18674;18833;19533
500;10;19533;18674;
500;10;12710;;13191
500;10;13191;12710;
500;10;13199;;13350
500;10;13350;13199;
500;10;13226;;13227
500;10;13227;13226;13347
500;10;13347;13227;
500;10;6979;;6982
500;10;6982;6979;
500;10;6780;;7414
500;10;7414;6780;7416
500;10;7416;7414;
500;10;870;;1102
500;10;1102;870;
500;10;19382;;19060
500;10;19060;19382;
500;10;25091;;25098
500;10;25098;25091;25102
500;10;25102;25098;25203
500;10;25203;25102;
500;10;25187;;25126
500;10;25126;25187;
