CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
501;11;30665;501;11;30667
501;11;30667;501;11;31514
501;11;31514;501;11;31517
501;11;31517;501;11;30665
501;11;30668;501;11;30674
501;11;30674;501;11;30668
501;11;30496;501;11;30669
501;11;30669;501;11;30496
501;11;30670;501;11;31578
501;11;31578;501;11;30670
501;11;30671;501;11;30931
501;11;30931;501;11;30671
501;11;30672;501;11;31502
501;11;31502;501;11;30672
501;11;30440;501;11;30544
501;11;30544;501;11;30993
501;11;30993;501;11;31662
501;11;31662;501;11;30440
501;11;30438;501;11;30441
501;11;30441;501;11;30438
501;11;30442;501;11;30450
501;11;30450;501;11;30575
501;11;30575;501;11;30442
501;11;30443;501;11;30451
501;11;30451;501;11;30642
501;11;30642;501;11;30443
501;11;30444;501;11;30452
501;11;30452;501;11;30603
501;11;30603;501;11;30610
501;11;30610;501;11;30444
501;11;30445;501;11;30453
501;11;30453;501;11;31270
501;11;31270;501;11;30445
501;11;30446;501;11;30454
501;11;30454;501;11;30656
501;11;30656;501;11;30446
501;11;30447;501;11;30456
501;11;30456;501;11;30682
501;11;30682;501;11;30447
501;11;31018;501;11;31162
501;11;31162;501;11;31018
501;11;31163;501;11;31174
501;11;31174;501;11;31163
501;11;30427;501;11;31164
501;11;31164;501;11;30427
501;11;31119;501;11;31165
501;11;31165;501;11;31119
501;11;30549;501;11;31166
501;11;31166;501;11;30549
501;11;30588;501;11;31167
501;11;31167;501;11;30588
501;11;31168;501;11;31234
501;11;31234;501;11;31168
501;11;30651;501;11;31169
501;11;31169;501;11;30651
501;11;31170;501;11;31401
501;11;31401;501;11;31170
501;11;30733;501;11;30752
501;11;30752;501;11;30733
501;11;30734;501;11;30753
501;11;30753;501;11;30972
501;11;30972;501;11;30734
501;11;30735;501;11;30754
501;11;30754;501;11;30980
501;11;30980;501;11;30735
501;11;30736;501;11;30755
501;11;30755;501;11;31019
501;11;31019;501;11;30736
501;11;30428;501;11;30737
501;11;30737;501;11;30756
501;11;30756;501;11;30428
501;11;30738;501;11;30757
501;11;30757;501;11;31120
501;11;31120;501;11;30738
501;11;30551;501;11;30739
501;11;30739;501;11;30758
501;11;30758;501;11;31180
501;11;31180;501;11;30551
501;11;30590;501;11;30740
501;11;30740;501;11;30590
501;11;30741;501;11;31236
501;11;31236;501;11;30741
501;11;30742;501;11;31410
501;11;31410;501;11;30742
501;11;30654;501;11;30743
501;11;30743;501;11;30654
501;11;30744;501;11;30856
501;11;30856;501;11;30865
501;11;30865;501;11;30744
501;11;30745;501;11;31450
501;11;31450;501;11;30745
501;11;30746;501;11;31525
501;11;31525;501;11;30746
501;11;30747;501;11;31493
501;11;31493;501;11;30747
501;11;30623;501;11;30748
501;11;30748;501;11;30623
501;11;30506;501;11;30749
501;11;30749;501;11;30506
501;11;30750;501;11;31571
501;11;31571;501;11;30750
501;11;31603;501;11;31604
501;11;31604;501;11;31603
501;11;30457;501;11;30459
501;11;30459;501;11;30725
501;11;30725;501;11;30457
501;11;30460;501;11;30727
501;11;30727;501;11;30460
501;11;30202;501;11;30473
501;11;30473;501;11;30475
501;11;30475;501;11;30202
501;11;30476;501;11;30515
501;11;30515;501;11;30476
501;11;30203;501;11;30477
501;11;30477;501;11;31060
501;11;31060;501;11;30203
501;11;30478;501;11;31118
501;11;31118;501;11;30478
501;11;30479;501;11;30705
501;11;30705;501;11;30479
501;11;30205;501;11;30480
501;11;30480;501;11;30548
501;11;30548;501;11;30205
501;11;30481;501;11;31141
501;11;31141;501;11;30481
501;11;30206;501;11;30482
501;11;30482;501;11;30585
501;11;30585;501;11;30587
501;11;30587;501;11;30206
501;11;30483;501;11;31233
501;11;31233;501;11;30483
501;11;30484;501;11;30650
501;11;30650;501;11;30484
501;11;30485;501;11;31400
501;11;31400;501;11;30485
501;11;30207;501;11;30486
501;11;30486;501;11;30854
501;11;30854;501;11;30863
501;11;30863;501;11;30207
501;11;30487;501;11;31448
501;11;31448;501;11;30487
501;11;30488;501;11;31521
501;11;31521;501;11;31523
501;11;31523;501;11;30488
501;11;30489;501;11;31491
501;11;31491;501;11;30489
501;11;30490;501;11;30620
501;11;30620;501;11;30490
501;11;30491;501;11;30502
501;11;30502;501;11;30491
501;11;30468;501;11;30976
501;11;30976;501;11;30468
501;11;30469;501;11;31012
501;11;31012;501;11;30469
501;11;30470;501;11;31022
501;11;31022;501;11;30470
501;11;30422;501;11;30471
501;11;30471;501;11;30422
501;11;30472;501;11;31005
501;11;31005;501;11;30472
501;11;30523;501;11;30525
501;11;30525;501;11;30612
501;11;30612;501;11;31275
501;11;31275;501;11;30523
501;11;30526;501;11;31289
501;11;31289;501;11;30526
501;11;30527;501;11;31284
501;11;31284;501;11;30527
501;11;30528;501;11;30658
501;11;30658;501;11;30528
501;11;30529;501;11;30531
501;11;30531;501;11;30723
501;11;30723;501;11;30529
501;11;30516;501;11;31059
