CID;TABCD;LCD;ALLOCATED
501;11;1;1
501;11;2;1
501;11;3;1
501;11;6;1
501;11;11;1
501;11;8;1
501;11;4;1
501;11;10;1
501;11;13;1
501;11;14;1
501;11;9;1
501;11;5;1
501;11;7;1
501;11;12;1
501;11;30666;1
501;11;30667;1
501;11;30668;1
501;11;30669;1
501;11;30670;1
501;11;30671;1
501;11;30672;1
501;11;31161;1
501;11;31162;1
501;11;31163;1
501;11;31164;1
501;11;31165;1
501;11;31166;1
501;11;31167;1
501;11;31168;1
501;11;31169;1
501;11;31170;1
501;11;30439;1
501;11;30440;1
501;11;30441;1
501;11;30442;1
501;11;30443;1
501;11;30444;1
501;11;30445;1
501;11;30446;1
501;11;30447;1
501;11;30732;1
501;11;30733;1
501;11;30734;1
501;11;30735;1
501;11;30736;1
501;11;30737;1
501;11;30738;1
501;11;30739;1
501;11;30740;1
501;11;30741;1
501;11;30742;1
501;11;30743;1
501;11;30744;1
501;11;30745;1
501;11;30746;1
501;11;30747;1
501;11;30748;1
501;11;30749;1
501;11;30750;1
501;11;30462;1
501;11;31603;1
501;11;30464;1
501;11;30465;1
501;11;30458;1
501;11;30459;1
501;11;30460;1
501;11;31604;1
501;11;30474;1
501;11;30475;1
501;11;30476;1
501;11;30477;1
501;11;30478;1
501;11;30479;1
501;11;30480;1
501;11;30481;1
501;11;30482;1
501;11;30483;1
501;11;30484;1
501;11;30485;1
501;11;30486;1
501;11;30487;1
501;11;30488;1
501;11;30489;1
501;11;30490;1
501;11;30491;1
501;11;30466;1
501;11;30467;1
501;11;30468;1
501;11;30469;1
501;11;30470;1
501;11;30471;1
501;11;30472;1
501;11;30473;1
501;11;30524;1
501;11;30525;1
501;11;30526;1
501;11;30527;1
501;11;30528;1
501;11;30529;1
501;11;30514;1
501;11;30515;1
501;11;30516;1
501;11;30517;1
501;11;30518;1
501;11;30519;1
501;11;30520;1
501;11;30521;1
501;11;30522;1
501;11;30523;1
501;11;30721;1
501;11;30722;1
501;11;30723;1
501;11;30724;1
501;11;30725;1
501;11;30595;1
501;11;30596;1
501;11;30597;1
501;11;30598;1
501;11;30599;1
501;11;30600;1
501;11;30081;1
501;11;30082;1
501;11;30084;1
501;11;30083;1
501;11;30093;1
501;11;30099;1
501;11;30098;1
501;11;30097;1
501;11;30096;1
501;11;30095;1
501;11;30094;1
501;11;30091;1
501;11;30092;1
501;11;30090;1
501;11;30085;1
501;11;30089;1
501;11;30088;1
501;11;30087;1
501;11;30086;1
501;11;30061;1
501;11;30062;1
501;11;30063;1
501;11;30064;1
501;11;30065;1
501;11;30066;1
501;11;30067;1
501;11;30068;1
501;11;30069;1
501;11;30071;1
501;11;30072;1
501;11;30073;1
501;11;30819;1
501;11;30820;1
501;11;30821;1
501;11;30822;1
501;11;30886;1
501;11;30887;1
501;11;30888;1
501;11;30889;1
501;11;30890;1
501;11;30891;1
501;11;30892;1
501;11;30893;1
501;11;30894;1
501;11;30895;1
501;11;30896;1
501;11;30897;1
501;11;30074;1
501;11;30075;1
501;11;30076;1
501;11;30077;1
501;11;30078;1
501;11;30079;1
501;11;30080;1
501;11;31529;1
501;11;31530;1
501;11;31531;1
501;11;31039;1
501;11;31040;1
501;11;31041;1
501;11;30801;1
501;11;30804;1
501;11;30805;1
501;11;30806;1
501;11;30808;1
501;11;30809;1
501;11;30810;1
501;11;30811;1
501;11;30605;1
501;11;30606;1
501;11;30607;1
501;11;30608;1
501;11;30609;1
501;11;30610;1
501;11;30611;1
501;11;31276;1
501;11;30612;1
501;11;30613;1
501;11;30614;1
501;11;30615;1
501;11;30616;1
501;11;30617;1
501;11;30601;1
501;11;30602;1
501;11;30603;1
501;11;31275;1
501;11;30604;1
501;11;30618;1
501;11;30619;1
501;11;31609;1
501;11;30620;1
501;11;30621;1
501;11;30622;1
501;11;30623;1
501;11;30624;1
501;11;30625;1
501;11;31187;1
501;11;31188;1
501;11;31189;1
501;11;31194;1
501;11;31195;1
501;11;31196;1
501;11;31197;1
501;11;31184;1
501;11;31185;1
501;11;31186;1
501;11;31190;1
501;11;31191;1
501;11;31192;1
501;11;31193;1
501;11;30921;1
501;11;30922;1
501;11;30923;1
501;11;31472;1
501;11;31470;1
501;11;31473;1
501;11;31474;1
501;11;31475;1
501;11;31476;1
501;11;31477;1
501;11;31478;1
501;11;30726;1
501;11;30727;1
501;11;30728;1
501;11;30942;1
501;11;30943;1
501;11;30944;1
501;11;30945;1
