CID;LID;NID;NAME;NCOMMENT
501;1;976;亚洲;
501;1;977;中国;
501;1;978;安徽省;
501;1;455;安庆市;
501;1;493;蚌埠市;
501;1;474;巢湖市;
501;1;426;池州市;
501;1;489;滁州市;
501;1;511;阜阳市;
501;1;517;毫州市;
501;1;611;合肥市;
501;1;441;黄山市;
501;1;470;六安市;
501;1;501;宿州市;
501;1;745;阜南路;
501;1;815;清溪东路;
501;1;803;宿州路;
501;1;744;寿春路;
501;1;742;蒙城路;
501;1;750;六安路;
501;1;762;阜阳路;
501;1;708;宿松路;
501;1;730;锦绣大道;
501;1;736;绩溪路;
501;1;874;观海路;
501;1;691;繁华大道;
501;1;733;祁门路;
501;1;686;南二环路;
501;1;774;望江东路;
501;1;735;太湖路;
501;1;698;黄山路;
501;1;715;西二环路;
501;1;703;翡翠路;
501;1;719;北二环路;
501;1;701;集贤路;
501;1;687;望江西路;
501;1;716;长江西路高架;
501;1;717;樊洼路;
501;1;718;清溪路;
501;1;709;徽州大道;
501;1;830;云谷路;
501;1;743;淮河路;
501;1;664;方兴大道;
501;1;729;紫云路;
501;1;831;九华山路;
501;1;688;南一环路;
501;1;737;芜湖路;
501;1;738;环城南路;
501;1;739;庐江路;
501;1;740;长江中路;
501;1;741;安庆路;
501;1;560;Ｇ２０６;
501;1;725;合淮公路;
501;1;727;Ｘ０４１;
501;1;614;合肥绕城高速公路;
501;1;724;四里河路;
501;1;726;合瓦路;
501;1;678;金寨路;
501;1;704;金寨南路;
501;1;732;潜山路;
501;1;684;习友路;
501;1;685;合作化南路;
501;1;734;休宁路;
501;1;1082;幸福大道;
501;1;731;丹霞路;
501;1;707;芙蓉路;
501;1;757;潜山北路;
501;1;722;长江西路;
501;1;758;淠河路;
501;1;759;史河路;
501;1;756;贵池路;
501;1;748;北一环路;
501;1;723;董铺路;
501;1;677;合六路;
501;1;781;长宁大道;
501;1;782;创新大道;
501;1;797;红星路;
501;1;670;合肥绕城高速公路东段;
501;1;1131;路口枢纽;
501;1;665;Ｓ３３１;
501;1;661;芜合高速公路;
501;1;671;合肥绕城高速公路南段;
501;1;682;肥东服务区;
501;1;681;Ｓ１０５;
501;1;680;包河大道;
501;1;679;京台高速公路;
501;1;676;合肥绕城高速公路西段;
501;1;660;蚌合高速公路;
501;1;672;合肥绕城高速公路北段;
501;1;675;Ｘ０１９;
501;1;674;Ｘ００６;
501;1;673;众兴服务区;
501;1;657;沪陕高速公路;
501;1;658;新桥服务区;
501;1;663;Ｓ２２６;
501;1;659;Ｘ０３８;
501;1;662;文集服务区;
501;1;827;Ｓ１０１;
501;1;844;龙泉路;
501;1;847;Ｘ０２２;
501;1;820;包公大道;
501;1;858;Ｘ０２４;
501;1;851;裕溪路;
501;1;806;东一环路;
501;1;859;纲红路;
501;1;810;郎溪路;
501;1;769;东二环路;
501;1;860;南陵路;
501;1;807;铜陵路;
501;1;669;淮河大街中段;
501;1;666;龙门寺服务区;
501;1;667;Ｘ０１５;
501;1;668;Ｘ００９;
501;1;921;环城东路;
501;1;693;明珠大道;
501;1;689;玉兰大道;
501;1;787;香樟大道;
