CID;LID;NID;NTRANSLATION
501;2;426;chi zhou shi
501;3;426;Chizhou
501;2;430;ji guang gao su gong lu chi zhou duan
501;3;430;Jiguang Hwy Chizhou Sect
501;2;431;hua yuan fu wu qu
501;3;431;Garden Service Area
501;2;432;dong zhi shou fei zhan
501;3;432;Dongzhi Tollgate
501;2;434;an dong gao su gong lu
501;3;434;Andong Hwy
501;2;435;jing tai gao su gong lu chi zhou duan
501;3;435;Jingtai Hwy Chizhou Sect
501;2;437;ling yang shou fei zhan
501;3;437;Lingyang Tollgate
501;2;438;jiu hua shan fu wu qu
501;3;438;Jiuhuashan Service Area
501;2;439;G318
501;3;439;G318
501;2;440;hu yu gao su gong lu
501;3;440;Huyu Hwy
501;2;441;huang shan shi
501;3;441;Huangshan
501;2;442;jing tai gao su gong lu huang shan duan
501;3;442;Jingtai Hwy Huangshan Sect
501;2;444;hang rui gao su gong lu
501;3;444;Hangrui Hwy
501;2;445;X020
501;3;445;X020
501;2;446;xiu ning fu wu qu
501;3;446;Xiuning Service Area
501;2;447;chang ling cun
501;3;447;Changling Village
501;2;448;yan si shou fei zhan
501;3;448;Yansi Tollgate
501;2;449;cheng kan fu wu qu
501;3;449;Chengkan Service Area
501;2;450;xiang xi
501;3;450;Xiangxi
501;2;451;G205
501;3;451;G205
501;2;452;huang di yuan fu wu qu
501;3;452;Huangdiyuan Service Area
501;2;453;gan tang shou fei zhan
501;3;453;Gantang Tollgate
501;2;454;tun xi xi shou fei zhan
501;3;454;Tunxixi Tollgate
501;2;455;an qing shi
501;3;455;Anqing
501;2;456;jing tai gao su gong lu an qing duan
501;3;456;Jingtai Hwy Anqing Sect
501;2;457;jing tai gao su gong lu an qing duan dong duan
501;3;457;Jingtai Hwy Anqing Sect East Sect
501;2;458;jing tai gao su gong lu an qing duan xi duan
501;3;458;Jingtai Hwy Anqing Sect West Sect
501;2;459;xiao shu cun
501;3;459;Xiaoshu Village
501;2;460;zhou tan fu wu qu
501;3;460;Zhoutan Service Area
501;2;461;heng bu shou fei zhan
501;3;461;Hengbu Tollgate
501;2;462;X098
501;3;462;X098
501;2;463;ji guang gao su gong lu an qing duan
501;3;463;Jiguang Hwy Anqing Sect
501;2;465;qian shan fu wu qu
501;3;465;Qianshan Service Area
501;2;466;G105
501;3;466;G105
501;2;468;yue xi shou fei zhan
501;3;468;Yuexi Tollgate
501;2;469;huang wei shou fei zhan
501;3;469;Huangwei Tollgate
501;2;470;lu an shi
501;3;470;Lu'an
501;2;471;ji guang gao su gong lu lu an duan
