CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
501;11;30667;;30668
501;11;30668;30667;30669
501;11;30669;30668;30670
501;11;30670;30669;30671
501;11;30671;30670;30672
501;11;30672;30671;
501;11;31162;;31163
501;11;31163;31162;31164
501;11;31164;31163;31165
501;11;31165;31164;31166
501;11;31166;31165;31167
501;11;31167;31166;31168
501;11;31168;31167;31169
501;11;31169;31168;31170
501;11;31170;31169;
501;11;30440;;30441
501;11;30441;30440;30442
501;11;30442;30441;30443
501;11;30443;30442;30444
501;11;30444;30443;30445
501;11;30445;30444;30446
501;11;30446;30445;30447
501;11;30447;30446;
501;11;30733;;30734
501;11;30734;30733;30735
501;11;30735;30734;30736
501;11;30736;30735;30737
501;11;30737;30736;30738
501;11;30738;30737;30739
501;11;30739;30738;30740
501;11;30740;30739;30741
501;11;30741;30740;30742
501;11;30742;30741;30743
501;11;30743;30742;30744
501;11;30744;30743;30745
501;11;30745;30744;30746
501;11;30746;30745;30747
501;11;30747;30746;30748
501;11;30748;30747;30749
501;11;30749;30748;30750
501;11;30750;30749;
501;11;31603;;30464
501;11;30464;31603;30465
501;11;30465;30464;
501;11;30459;;30460
501;11;30460;30459;31604
501;11;31604;30460;
501;11;30475;;30476
501;11;30476;30475;30477
501;11;30477;30476;30478
501;11;30478;30477;30479
501;11;30479;30478;30480
501;11;30480;30479;30481
501;11;30481;30480;30482
501;11;30482;30481;30483
501;11;30483;30482;30484
501;11;30484;30483;30485
501;11;30485;30484;30486
501;11;30486;30485;30487
501;11;30487;30486;30488
501;11;30488;30487;30489
501;11;30489;30488;30490
501;11;30490;30489;30491
501;11;30491;30490;
501;11;30467;;30468
501;11;30468;30467;30469
501;11;30469;30468;30470
501;11;30470;30469;30471
501;11;30471;30470;30472
501;11;30472;30471;30473
501;11;30473;30472;
501;11;30525;;30526
501;11;30526;30525;30527
501;11;30527;30526;30528
501;11;30528;30527;30529
501;11;30529;30528;
501;11;30515;;30516
501;11;30516;30515;30517
501;11;30517;30516;30518
501;11;30518;30517;30519
501;11;30519;30518;30520
501;11;30520;30519;30521
501;11;30521;30520;30522
501;11;30522;30521;30523
501;11;30523;30522;
501;11;30722;;30723
501;11;30723;30722;30724
501;11;30724;30723;30725
501;11;30725;30724;
501;11;30596;;30597
501;11;30597;30596;30598
501;11;30598;30597;30599
501;11;30599;30598;30600
501;11;30600;30599;
501;11;30084;30086;30083
501;11;30083;30084;30099
501;11;30099;30083;30098
501;11;30098;30099;30097
501;11;30097;30098;30096
501;11;30096;30097;30095
501;11;30095;30096;30094
501;11;30094;30095;30092
501;11;30092;30094;30090
501;11;30090;30092;30089
501;11;30089;30090;30088
501;11;30088;30089;30087
501;11;30087;30088;30086
501;11;30086;30087;30084
501;11;30063;;30064
501;11;30064;30063;30065
501;11;30065;30064;
501;11;30067;;30068
501;11;30068;30067;30069
501;11;30069;30068;
501;11;30072;;30073
501;11;30073;30072;
501;11;30820;;30821
501;11;30821;30820;30822
501;11;30822;30821;
501;11;30887;;30888
501;11;30888;30887;30889
501;11;30889;30888;
501;11;30891;;30892
501;11;30892;30891;30893
501;11;30893;30892;30894
501;11;30894;30893;30895
501;11;30895;30894;30896
501;11;30896;30895;30897
501;11;30897;30896;
501;11;30075;;30076
501;11;30076;30075;30077
501;11;30077;30076;30078
501;11;30078;30077;30079
501;11;30079;30078;30080
501;11;30080;30079;
501;11;31530;;31531
501;11;31531;31530;
501;11;31040;;31041
501;11;31041;31040;
501;11;30804;;30805
501;11;30805;30804;30806
501;11;30806;30805;30808
501;11;30808;30806;30809
501;11;30809;30808;30810
501;11;30810;30809;30811
501;11;30811;30810;
501;11;30606;;30607
501;11;30607;30606;30608
501;11;30608;30607;30609
501;11;30609;30608;30610
501;11;30610;30609;30611
501;11;30611;30610;31276
501;11;31276;30611;30612
501;11;30612;31276;30613
501;11;30613;30612;30614
501;11;30614;30613;30615
501;11;30615;30614;30616
501;11;30616;30615;30617
501;11;30617;30616;
501;11;30602;;30603
501;11;30603;30602;31275
501;11;31275;30603;30604
501;11;30604;31275;
501;11;30619;;31609
501;11;31609;30619;30620
501;11;30620;31609;30621
501;11;30621;30620;30622
501;11;30622;30621;30623
501;11;30623;30622;30624
501;11;30624;30623;30625
501;11;30625;30624;
501;11;31188;;31189
501;11;31189;31188;
501;11;31195;;31196
501;11;31196;31195;31197
501;11;31197;31196;
501;11;31185;;31186
501;11;31186;31185;
501;11;31191;;31192
501;11;31192;31191;31193
501;11;31193;31192;
501;11;30922;;30923
501;11;30923;30922;
501;11;31470;;31473
501;11;31473;31470;31474
501;11;31474;31473;31475
501;11;31475;31474;31476
501;11;31476;31475;31477
501;11;31477;31476;31478
501;11;31478;31477;
501;11;30727;;30728
501;11;30728;30727;
501;11;30943;;30944
501;11;30944;30943;30945
501;11;30945;30944;
501;11;31182;;31183
501;11;31183;31182;
501;11;31320;;31321
501;11;31321;31320;31322
501;11;31322;31321;31323
501;11;31323;31322;
501;11;31369;;31370
501;11;31370;31369;31371
501;11;31371;31370;
501;11;30417;;30418
501;11;30418;30417;30419
501;11;30419;30418;30420
501;11;30420;30419;30421
501;11;30421;30420;30422
501;11;30422;30421;30423
501;11;30423;30422;30424
501;11;30424;30423;30425
501;11;30425;30424;30426
501;11;30426;30425;30427
501;11;30427;30426;30428
501;11;30428;30427;30429
501;11;30429;30428;
501;11;30431;;30432
501;11;30432;30431;30433
501;11;30433;30432;
501;11;31611;;30501
501;11;30501;31611;30502
501;11;30502;30501;30503
501;11;30503;30502;30504
501;11;30504;30503;30505
501;11;30505;30504;30506
501;11;30506;30505;
501;11;31561;;31562
501;11;31562;31561;
501;11;30695;;30696
501;11;30696;30695;30697
501;11;30697;30696;30698
501;11;30698;30697;30699
