CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
501;11;30667;P;1;10;;745;815;;9;;;30666;1;1;1;1;1;1;;;+11727041;+3187184;0;1
501;11;30668;P;1;10;;745;744;;9;;;30666;1;1;1;1;1;1;;;+11727374;+3187139;0;1
501;11;30669;P;1;10;;745;742;;9;;;30666;1;1;1;1;1;1;;;+11727870;+3187105;0;1
501;11;30670;P;1;10;;745;750;;9;;;30666;1;1;1;1;1;1;;;+11728304;+3187056;0;1
501;11;30671;P;1;10;;745;762;;9;;;30666;1;1;1;1;1;1;;;+11728668;+3187008;0;1
501;11;30672;P;1;10;;745;803;;9;;;30666;1;1;1;1;1;1;;;+11729008;+3186976;0;1
501;11;31162;P;1;11;;708;730;;9;;;31161;1;1;1;1;1;1;;;+11727952;+3175619;0;1
501;11;31163;P;1;10;;708;874;;9;;;31161;1;1;1;1;1;1;;;+11727682;+3177319;0;1
501;11;31164;P;1;10;;708;691;;9;;;31161;1;1;1;1;1;1;;;+11727042;+3178436;0;1
501;11;31165;P;1;10;;708;733;;9;;;31161;1;1;1;1;1;1;;;+11726920;+3180770;0;1
501;11;31166;P;1;10;;708;686;;9;;;31161;1;1;1;1;1;1;;;+11726860;+3181468;0;1
501;11;31167;P;1;10;;708;774;;9;;;31161;1;1;1;1;1;1;;;+11727067;+3182872;0;1
501;11;31168;P;1;10;;708;735;;9;;;31161;1;1;1;1;1;1;;;+11727341;+3183235;0;1
501;11;31169;P;1;10;;708;698;;9;;;31161;1;1;1;1;1;1;;;+11727307;+3184186;0;1
501;11;31170;P;1;10;;708;736;;9;;;31161;1;1;1;1;1;1;;;+11727270;+3184473;0;1
501;11;30440;P;1;7;;715;703;;9;;;30439;1;1;1;1;1;1;;;+11721571;+3181947;0;1
501;11;30441;P;1;10;;715;701;;9;;;30439;1;1;1;1;1;1;;;+11721143;+3182254;0;1
501;11;30442;P;1;10;;715;687;;9;;;30439;1;1;1;1;1;1;;;+11721224;+3183327;0;1
