CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
501;11;30666;L;1;4;;745;815;803;9;
501;11;31161;L;1;4;;708;730;736;9;
501;11;30439;L;1;3;;715;703;719;9;
501;11;30732;L;1;4;;709;830;743;9;
501;11;30462;L;1;2;G206;560;725;727;9;
501;11;30458;L;1;2;G206;725;724;560;9;
501;11;30474;L;1;3;;678;704;741;9;
501;11;30466;L;1;2;G206;704;1082;678;9;
501;11;30524;L;1;2;G206;757;722;724;9;
501;11;30514;L;1;2;G206;732;678;722;9;
501;11;30721;L;1;2;G206;724;748;723;9;
501;11;30595;L;1;3;S331;677;781;722;9;
501;11;30081;L;2;1;G4001;614;;;9;
501;11;30061;L;1;1;G40;657;658;663;9;
501;11;30071;L;1;1;G5011;661;665;657;9;
501;11;30819;L;1;3;S101;827;844;847;9;
501;11;30886;L;1;3;S105;681;858;851;9;
501;11;30890;L;1;3;S105;851;681;806;9;
501;11;30074;L;1;1;S17;660;657;669;9;
501;11;31529;L;1;4;;921;740;744;9;
501;11;31039;L;1;4;;693;689;787;9;
501;11;30801;L;1;3;S331;665;823;845;9;
501;11;30605;L;1;3;S331;722;677;740;9;
501;11;30601;L;1;3;S331;716;677;722;9;
501;11;30618;L;1;3;S331;740;722;780;9;
501;11;31187;L;1;4;X003;890;712;891;9;
501;11;31194;L;1;4;X003;775;892;769;9;
501;11;31184;L;1;4;X003;836;680;712;9;
501;11;31190;L;1;4;X003;712;836;892;9;
501;11;30921;L;1;4;X006;674;863;614;9;
501;11;31472;L;1;4;X006;778;850;769;9;
501;11;30726;L;1;4;X011;726;725;752;9;
501;11;30942;L;1;4;X019;675;866;752;9;
501;11;31181;L;1;4;X027;889;710;680;9;
501;11;31318;L;1;4;X031;822;842;904;9;
501;11;31368;L;1;4;X031;908;819;822;9;
501;11;30415;L;1;4;X049;691;700;713;9;
501;11;30500;L;1;4;;741;801;709;9;
501;11;31560;L;1;4;;749;800;741;9;
501;11;30694;L;1;4;;820;819;827;9;
501;11;30765;L;1;4;;680;835;773;9;
501;11;30759;L;1;4;;680;833;1079;9;
501;11;30771;L;1;4;;839;691;773;9;
501;11;31657;L;1;4;;1121;707;770;9;
501;11;30681;L;1;3;;719;715;769;9;
501;11;30876;L;1;4;;748;806;814;9;
501;11;30691;L;1;4;;818;769;819;9;
501;11;31427;L;1;4;;850;1151;737;9;
501;11;31509;L;1;4;;857;760;745;9;
501;11;31556;L;1;4;;816;815;748;9;
501;11;31538;L;1;4;;800;722;815;9;
501;11;30627;L;1;4;;779;740;769;9;
501;11;31676;L;1;3;;780;740;811;9;
501;11;31615;L;1;4;;840;894;795;9;
501;11;31210;L;1;4;;776;826;894;9;
501;11;31437;L;1;4;;804;737;765;9;
501;11;31069;L;1;4;;782;684;1109;9;
501;11;31201;L;1;4;;843;665;844;9;
501;11;31455;L;1;4;;852;805;807;9;
501;11;31462;L;1;4;;918;807;860;9;
501;11;31021;L;1;4;;731;704;876;9;
501;11;31395;L;1;4;;910;821;854;9;
501;11;31392;L;1;4;;911;719;821;9;
501;11;31483;L;1;4;;768;780;753;9;
501;11;30554;L;1;3;;769;773;719;9;
501;11;30870;L;1;4;;806;688;748;9;
501;11;31142;L;1;4;;793;733;756;9;
501;11;30455;L;1;4;;723;719;724;9;
501;11;31268;L;1;4;;717;699;722;9;
501;11;30969;L;1;4;;664;706;680;9;
501;11;31479;L;1;4;;808;778;780;9;
501;11;31240;L;1;4;;760;687;753;9;
501;11;31579;L;1;4;;906;765;803;9;
501;11;31413;L;1;4;;849;769;688;9;
501;11;30985;L;1;4;;703;728;687;9;
501;11;31066;L;1;4;;694;684;689;9;
501;11;31094;L;1;4;;695;689;881;9;
501;11;31583;L;1;4;;862;763;764;9;
501;11;31002;L;1;4;;707;702;874;9;
501;11;30928;L;1;4;;762;743;864;9;
501;11;31353;L;1;4;;903;819;822;9;
501;11;31171;L;1;4;;874;684;708;9;
501;11;31299;L;1;4;;756;791;685;9;
501;11;31622;L;1;4;;883;787;1114;9;
501;11;31088;L;1;4;;878;701;689;9;
501;11;31637;L;1;4;;1117;691;693;9;
501;11;31606;L;1;3;S331;1107;811;844;9;
501;11;31104;L;1;4;;721;786;715;9;
501;11;30939;L;1;4;;865;864;675;9;
501;11;30258;L;7;0;;;685;957;9;
501;11;30704;L;1;4;;685;686;722;9;
501;11;31666;L;1;4;;1123;678;685;9;
501;11;30260;L;7;0;;;962;957;9;
501;11;31259;L;1;4;;881;1111;699;9;
501;11;31616;L;1;4;;1109;1110;1111;9;
501;11;30924;L;1;4;;751;740;743;9;
501;11;31123;L;1;4;;770;885;722;9;
501;11;31567;L;1;4;;743;742;803;9;
501;11;31564;L;1;4;;920;801;742;9;
501;11;31372;L;1;4;;817;719;854;9;
501;11;31532;L;1;4;;746;744;801;9;
501;11;31522;L;1;4;;738;678;740;9;
501;11;31515;L;1;4;;801;746;678;9;
501;11;30638;L;1;4;;698;689;709;9;
501;11;31109;L;1;4;;880;684;733;9;
501;11;30751;L;1;4;;832;830;686;9;
501;11;31542;L;1;4;;829;800;814;9;
501;11;31398;L;1;4;;736;760;812;9;
501;11;30434;L;1;4;;701;691;715;9;
501;11;12061;L;1;1;;463;1145;469;6;
501;11;51;L;1;1;;430;560;440;4;
501;11;54051;L;1;1;;512;513;516;13;
501;11;60051;L;1;1;;518;516;522;14;
501;11;18051;L;1;1;;471;469;513;7;
501;11;31074;L;1;4;;786;882;687;9;
501;11;31325;L;1;4;;823;844;820;9;
501;11;30240;L;7;0;;;683;685;9;
501;11;30238;L;7;0;;;683;947;9;
501;11;30254;L;7;0;;;683;686;9;
501;11;30242;L;7;0;;;683;952;9;
501;11;30226;L;7;0;;;683;688;9;
501;11;30210;L;7;0;;;683;774;9;
501;11;30220;L;7;0;;;683;687;9;
501;11;30222;L;7;0;;;683;684;9;
501;11;30201;L;1;1;;683;704;688;9;
501;11;30236;L;7;0;;;949;685;9;
501;11;30244;L;7;0;;;949;686;9;
501;11;30246;L;7;0;;;949;959;9;
501;11;30230;L;7;0;;;949;1080;9;
501;11;30252;L;7;0;;;957;678;9;
501;11;30248;L;7;0;;;957;686;9;
501;11;30250;L;7;0;;;957;959;9;
501;11;30729;L;1;4;;754;752;762;9;
501;11;31010;L;1;4;;730;703;680;9;
501;11;12051;L;1;1;;456;440;462;6;
501;11;42051;L;1;1;;495;492;500;11;
501;11;24051;L;1;1;;475;462;610;8;
501;11;56;L;1;1;;435;567;440;4;
501;11;36051;L;1;1;;491;618;492;10;
501;11;30051;L;1;1;;612;610;618;9;
501;11;6051;L;1;1;;442;525;567;5;
501;11;48051;L;1;1;;502;500;1138;12;
501;11;31264;L;1;4;;884;898;699;9;
501;11;31408;L;1;4;;831;794;795;9;
501;11;30999;L;1;4;;702;728;691;9;
501;11;31080;L;1;4;;788;684;722;9;
501;11;31277;L;1;4;;699;722;1124;9;
501;11;31486;L;1;4;;810;851;780;9;
501;11;30946;L;1;4;;705;869;707;9;
501;11;31198;L;1;4;;826;769;776;9;
501;11;31207;L;1;4;;826;893;820;9;
501;11;31348;L;1;4;;907;820;908;9;
501;11;31649;L;1;4;;1120;1119;709;9;
501;11;30530;L;1;4;;753;724;769;9;
501;11;31573;L;1;4;;750;740;745;9;
501;11;30812;L;1;4;;844;823;665;9;
501;11;31490;L;1;4;;739;678;919;9;
501;11;31652;L;1;4;;710;664;730;9;
501;11;31175;L;1;4;;710;888;709;9;
501;11;30782;L;1;4;;795;686;780;9;
501;11;30507;L;1;4;;752;748;755;9;
501;11;30492;L;1;4;;742;741;748;9;
501;11;30904;L;1;4;;805;688;748;9;
501;11;31042;L;1;4;;714;787;701;9;
501;11;31632;L;1;4;;1116;689;701;9;
501;11;30776;L;1;4;;773;686;737;9;
501;11;30264;L;7;0;;;686;683;9;
501;11;30266;L;7;0;;;686;949;9;
501;11;30270;L;7;0;;;686;957;9;
501;11;30543;L;1;3;;686;703;773;9;
501;11;30268;L;7;0;;;952;957;9;
501;11;31660;L;1;4;;1122;885;793;9;
501;11;30256;L;7;0;;;959;683;9;
501;11;30262;L;7;0;;;959;957;9;
501;11;30272;L;7;0;;;972;957;9;
501;11;31465;L;1;4;;860;918;851;9;
501;11;30224;L;7;0;;;688;683;9;
501;11;30851;L;1;4;;688;685;806;9;
501;11;30860;L;1;4;;856;799;805;9;
501;11;31256;L;1;4;;855;688;737;9;
501;11;31250;L;1;4;;772;686;688;9;
501;11;31026;L;1;4;;692;877;787;9;
501;11;30982;L;1;4;;873;830;730;9;
501;11;31287;L;1;4;;758;717;722;9;
501;11;31112;L;1;4;;733;880;680;9;
501;11;31328;L;1;4;;824;665;820;9;
501;11;31305;L;1;4;;798;756;718;9;
501;11;30661;L;1;4;;815;816;745;9;
501;11;30655;L;1;4;;718;715;815;9;
501;11;31599;L;1;4;;766;748;848;9;
501;11;30823;L;1;4;;765;780;848;9;
501;11;31311;L;1;4;;813;722;718;9;
501;11;31152;L;1;4;;792;887;698;9;
501;11;31282;L;1;4;;759;717;814;9;
501;11;30961;L;1;4;;706;708;691;9;
501;11;31671;L;1;4;;1112;765;804;9;
501;11;30673;L;1;4;;744;745;765;9;
501;11;31403;L;1;4;;812;912;688;9;
501;11;31421;L;1;4;;861;850;851;9;
501;11;31496;L;1;4;;803;738;805;9;
501;11;31230;L;1;4;;735;685;796;9;
501;11;30996;L;1;4;;728;703;702;9;
501;11;31629;L;1;4;;1115;1114;715;9;
501;11;31376;L;1;4;;854;762;819;9;
501;11;31626;L;1;4;;1114;883;1115;9;
501;11;31222;L;1;4;;802;698;740;9;
501;11;31217;L;1;4;;794;686;802;9;
501;11;30844;L;1;4;;767;780;854;9;
501;11;30836;L;1;4;;807;776;780;9;
501;11;30831;L;1;4;;796;774;776;9;
501;11;30212;L;7;0;;;774;683;9;
501;11;30586;L;1;4;;774;678;769;9;
501;11;30208;L;7;0;;;687;683;9;
501;11;30565;L;1;4;;687;781;678;9;
501;11;31361;L;1;4;;819;818;908;9;
501;11;31641;L;1;4;;1118;873;706;9;
501;11;31505;L;1;4;;919;738;740;9;
501;11;31446;L;1;4;;737;688;805;9;
501;11;31382;L;1;4;;853;817;821;9;
501;11;30448;L;1;4;;720;721;718;9;
501;11;30712;L;1;4;;814;722;748;9;
501;11;30715;L;1;4;;828;758;748;9;
501;11;31296;L;1;4;;799;722;688;9;
501;11;30218;L;7;0;;;684;683;9;
501;11;31045;L;1;4;;684;781;1113;9;
501;11;30216;L;7;0;;;933;683;9;
501;11;30214;L;7;0;;;931;683;9;
501;11;31030;L;1;4;;787;692;722;9;
501;11;30634;L;1;4;;809;769;811;9;
501;11;30913;L;1;4;;763;748;863;9;
