CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
501;11;30082;L;3;0;G4001;670;1131;665;30081;;9
501;11;30093;L;3;0;G4001;671;665;677;30081;;9
501;11;30091;L;3;0;G4001;676;677;560;30081;;9
501;11;30085;L;3;0;G4001;672;560;1131;30081;;9
501;11;30062;L;3;0;G40;657;658;660;30061;;9
501;11;30066;L;3;0;G40;657;661;663;30061;;9
501;11;30416;L;3;0;X049;691;700;710;30415;;9
501;11;30430;L;3;0;X049;691;680;713;30415;;9
501;11;31428;L;3;0;;850;1151;1152;31427;;9
501;11;31433;L;3;0;;850;688;737;31427;;9
501;11;31677;L;3;0;;780;740;765;31676;;9
501;11;30790;L;3;0;;780;1132;811;31676;;9
501;11;31612;L;3;0;;840;894;1080;31615;;9
501;11;31442;L;3;0;;840;1081;795;31615;;9
501;11;31456;L;3;0;;852;805;1127;31455;;9
501;11;31459;L;3;0;;852;1128;807;31455;;9
501;11;31143;L;3;0;;793;733;1148;31142;;9
501;11;31674;L;3;0;;793;686;734;31142;;9
501;11;31147;L;3;0;;793;687;756;31142;;9
501;11;31246;L;3;0;;760;687;688;31240;;9
501;11;31247;L;3;0;;760;1150;722;31240;;9
501;11;31546;L;3;0;;760;829;718;31240;;9
501;11;31549;L;3;0;;760;1108;748;31240;;9
501;11;31552;L;3;0;;760;1149;753;31240;;9
501;11;31124;L;3;0;;770;885;733;31123;;9
501;11;31128;L;3;0;;770;886;722;31123;;9
501;11;12052;L;3;0;;457;440;567;12051;;6
501;11;12055;L;3;0;;458;567;462;12051;;6
501;11;30052;L;3;0;;615;610;671;30051;;9
501;11;30057;L;3;0;;616;672;618;30051;;9
501;11;31291;L;3;0;;758;717;1129;31287;;9
501;11;31293;L;3;0;;758;1130;722;31287;;9
501;11;30566;L;3;0;;687;781;715;30565;;9
501;11;30576;L;3;0;;687;703;678;30565;;9
501;11;31046;L;3;0;;684;781;694;31045;;9
501;11;31050;L;3;0;;684;689;1113;31045;;9
501;11;30402;L;3;0;;689;690;687;30401;;9
501;11;30411;L;3;0;;689;1083;699;30401;;9
