CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
501;11;30082;30085;30093
501;11;30093;30082;30091
501;11;30091;30093;30085
501;11;30085;30091;30082
501;11;30062;;30066
501;11;30066;30062;
501;11;30416;;30430
501;11;30430;30416;
501;11;31428;;31433
501;11;31433;31428;
501;11;31677;;30790
501;11;30790;31677;
501;11;31612;;31442
501;11;31442;31612;
501;11;31456;;31459
501;11;31459;31456;
501;11;31143;;31674
501;11;31674;31143;31147
501;11;31147;31674;
501;11;31246;;31247
501;11;31247;31246;31546
501;11;31546;31247;31549
501;11;31549;31546;31552
501;11;31552;31549;
501;11;31124;;31128
501;11;31128;31124;
501;11;12052;;12055
501;11;12055;12052;
501;11;30052;;30057
501;11;30057;30052;
501;11;31291;;31293
501;11;31293;31291;
501;11;30566;;30576
501;11;30576;30566;
501;11;31046;;31050
501;11;31050;31046;
501;11;30402;;30411
501;11;30411;30402;
