CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
502;12;834;502;12;836
502;12;836;502;12;842
502;12;842;502;12;834
502;12;445;502;12;447
502;12;447;502;12;540
502;12;540;502;12;542
502;12;542;502;12;445
502;12;448;502;12;748
502;12;748;502;12;750
502;12;750;502;12;448
502;12;449;502;12;555
502;12;555;502;12;557
502;12;557;502;12;449
502;12;450;502;12;738
502;12;738;502;12;740
502;12;740;502;12;450
502;12;451;502;12;731
502;12;731;502;12;733
502;12;733;502;12;451
502;12;452;502;12;724
502;12;724;502;12;1244
502;12;1244;502;12;452
502;12;551;502;12;553
502;12;553;502;12;551
502;12;484;502;12;486
502;12;486;502;12;554
502;12;554;502;12;484
502;12;6403;502;12;6405
502;12;6405;502;12;6433
502;12;6433;502;12;6403
502;12;6406;502;12;6564
502;12;6564;502;12;6406
502;12;6407;502;12;6421
502;12;6421;502;12;7199
502;12;7199;502;12;6407
502;12;6892;502;12;7061
502;12;7061;502;12;6892
502;12;6919;502;12;7062
502;12;7062;502;12;7335
502;12;7335;502;12;6919
502;12;6408;502;12;6428
502;12;6428;502;12;6408
502;12;6402;502;12;6599
502;12;6599;502;12;6402
502;12;115;502;12;1512
502;12;1512;502;12;115
502;12;291;502;12;462
502;12;462;502;12;830
502;12;830;502;12;1485
502;12;1485;502;12;291
502;12;292;502;12;825
502;12;825;502;12;829
502;12;829;502;12;292
502;12;108;502;12;208
502;12;208;502;12;1252
502;12;1252;502;12;108
502;12;297;502;12;1303
502;12;1303;502;12;297
502;12;1510;502;12;1511
502;12;1511;502;12;1510
502;12;342;502;12;347
502;12;347;502;12;1364
502;12;1364;502;12;1424
502;12;1424;502;12;1455
502;12;1455;502;12;342
502;12;300;502;12;1338
502;12;1338;502;12;1451
502;12;1451;502;12;1453
502;12;1453;502;12;300
502;12;301;502;12;1449
502;12;1449;502;12;1509
502;12;1509;502;12;301
502;12;348;502;12;1447
502;12;1447;502;12;348
502;12;114;502;12;349
502;12;349;502;12;114
502;12;6085;502;12;6087
502;12;6087;502;12;6085
502;12;6084;502;12;6090
502;12;6090;502;12;6084
502;12;6092;502;12;6094
502;12;6094;502;12;6092
502;12;7152;502;12;7187
502;12;7187;502;12;7273
502;12;7273;502;12;7152
502;12;7188;502;12;7194
502;12;7194;502;12;7188
502;12;7044;502;12;7113
502;12;7113;502;12;7044
502;12;7132;502;12;7178
502;12;7178;502;12;7132
502;12;6847;502;12;7095
502;12;7095;502;12;6847
502;12;6465;502;12;6469
502;12;6469;502;12;6503
502;12;6503;502;12;6507
502;12;6507;502;12;6465
502;12;6659;502;12;6676
502;12;6676;502;12;6659
502;12;6678;502;12;7114
502;12;7114;502;12;6678
502;12;423;502;12;425
502;12;425;502;12;596
502;12;596;502;12;598
502;12;598;502;12;423
502;12;599;502;12;644
502;12;644;502;12;599
502;12;600;502;12;856
502;12;856;502;12;600
502;12;567;502;12;603
502;12;603;502;12;567
502;12;604;502;12;1177
502;12;1177;502;12;604
502;12;605;502;12;860
502;12;860;502;12;605
502;12;1462;502;12;1464
502;12;1464;502;12;1462
502;12;402;502;12;900
502;12;900;502;12;402
502;12;1559;502;12;1571
502;12;1571;502;12;1559
502;12;403;502;12;519
502;12;519;502;12;403
502;12;404;502;12;407
502;12;407;502;12;409
502;12;409;502;12;404
502;12;480;502;12;482
502;12;482;502;12;538
502;12;538;502;12;480
502;12;483;502;12;745
502;12;745;502;12;747
502;12;747;502;12;483
502;12;476;502;12;478
502;12;478;502;12;612
502;12;612;502;12;476
502;12;479;502;12;588
502;12;588;502;12;590
502;12;590;502;12;479
502;12;410;502;12;491
502;12;491;502;12;1095
502;12;1095;502;12;410
502;12;432;502;12;492
502;12;492;502;12;432
502;12;202;502;12;494
502;12;494;502;12;585
502;12;585;502;12;202
502;12;1491;502;12;1493
502;12;1493;502;12;1491
502;12;496;502;12;608
502;12;608;502;12;692
502;12;692;502;12;496
502;12;693;502;12;1256
502;12;1256;502;12;693
502;12;694;502;12;696
502;12;696;502;12;694
502;12;998;502;12;1248
502;12;1248;502;12;998
502;12;411;502;12;413
502;12;413;502;12;471
502;12;471;502;12;411
502;12;12416;502;12;12419
502;12;12419;502;12;12416
502;12;12857;502;12;13450
502;12;13450;502;12;12857
502;12;12858;502;12;13002
502;12;13002;502;12;12858
502;12;12422;502;12;12424
502;12;12424;502;12;13391
502;12;13391;502;12;12422
502;12;12867;502;12;12868
502;12;12868;502;12;12867
502;12;12869;502;12;14132
502;12;14132;502;12;12869
502;12;12212;502;12;12870
502;12;12870;502;12;14043
502;12;14043;502;12;12212
502;12;12880;502;12;13070
502;12;13070;502;12;13092
502;12;13092;502;12;12880
502;12;12736;502;12;13091
502;12;13091;502;12;14211
502;12;14211;502;12;12736
502;12;12883;502;12;14212
502;12;14212;502;12;12883
502;12;12673;502;12;12726
502;12;12726;502;12;12728
502;12;12728;502;12;12673
502;12;12478;502;12;12729
502;12;12729;502;12;12886
502;12;12886;502;12;12478
502;12;12631;502;12;12721
502;12;12721;502;12;12723
502;12;12723;502;12;12631
502;12;12724;502;12;12796
502;12;12796;502;12;13285
502;12;13285;502;12;12724
502;12;12654;502;12;12725
502;12;12725;502;12;12775
502;12;12775;502;12;12654
502;12;12425;502;12;12520
502;12;12520;502;12;13163
502;12;13163;502;12;12425
502;12;12426;502;12;13438
502;12;13438;502;12;12426
502;12;12865;502;12;13396
502;12;13396;502;12;12865
502;12;12052;502;12;12428
502;12;12428;502;12;12553
502;12;12553;502;12;12741
502;12;12741;502;12;12052
502;12;1300;502;12;1302
502;12;1302;502;12;1300
502;12;12403;502;12;13912
502;12;13912;502;12;12403
502;12;12404;502;12;12454
502;12;12454;502;12;12404
502;12;12859;502;12;12937
502;12;12937;502;12;13908
502;12;13908;502;12;12859
502;12;6479;502;12;7311
502;12;7311;502;12;6479
502;12;6670;502;12;6698
502;12;6698;502;12;6670
502;12;6671;502;12;7009
502;12;7009;502;12;6671
502;12;6497;502;12;6549
502;12;6549;502;12;6497
502;12;6672;502;12;6867
502;12;6867;502;12;6672
502;12;6498;502;12;6735
502;12;6735;502;12;6498
502;12;7165;502;12;7197
502;12;7197;502;12;7165
502;12;6673;502;12;6898
502;12;6898;502;12;6673
502;12;6680;502;12;7174
502;12;7174;502;12;7312
502;12;7312;502;12;7324
502;12;7324;502;12;6680
502;12;526;502;12;528
502;12;528;502;12;940
502;12;940;502;12;942
502;12;942;502;12;526
502;12;12860;502;12;12862
502;12;12862;502;12;12860
502;12;12471;502;12;12863
502;12;12863;502;12;12471
502;12;12846;502;12;12864
502;12;12864;502;12;12846
502;12;12852;502;12;12854
502;12;12854;502;12;12852
502;12;12544;502;12;12546
502;12;12546;502;12;12855
502;12;12855;502;12;12544
502;12;12410;502;12;12856
502;12;12856;502;12;12410
502;12;6429;502;12;7336
502;12;7336;502;12;6429
502;12;7060;502;12;7337
502;12;7337;502;12;7060
502;12;6425;502;12;6432
502;12;6432;502;12;6627
502;12;6627;502;12;7014
502;12;7014;502;12;6425
502;12;7120;502;12;7121
502;12;7121;502;12;7120
502;12;6516;502;12;6630
502;12;6630;502;12;6516
502;12;7100;502;12;7131
502;12;7131;502;12;7100
502;12;7042;502;12;7093
502;12;7093;502;12;7042
502;12;6453;502;12;6458
502;12;6458;502;12;6518
502;12;6518;502;12;7064
502;12;7064;502;12;6453
502;12;530;502;12;548
502;12;548;502;12;530
502;12;549;502;12;722
502;12;722;502;12;549
502;12;550;502;12;965
502;12;965;502;12;550
502;12;6457;502;12;6472
502;12;6472;502;12;7325
502;12;7325;502;12;6457
502;12;6473;502;12;6586
502;12;6586;502;12;7327
502;12;7327;502;12;6473
502;12;6442;502;12;6474
502;12;6474;502;12;7329
502;12;7329;502;12;6442
502;12;6463;502;12;6475
502;12;6475;502;12;6956
502;12;6956;502;12;7331
502;12;7331;502;12;6463
502;12;6476;502;12;7166
502;12;7166;502;12;7316
502;12;7316;502;12;6476
502;12;13917;502;12;13919
502;12;13919;502;12;13917
502;12;13918;502;12;13921
502;12;13921;502;12;13918
502;12;13913;502;12;13915
502;12;13915;502;12;13913
502;12;6480;502;12;7012
502;12;7012;502;12;7190
502;12;7190;502;12;6480
502;12;6552;502;12;6710
502;12;6710;502;12;6552
502;12;7108;502;12;7183
502;12;7183;502;12;7108
502;12;6468;502;12;6481
502;12;6481;502;12;6705
502;12;6705;502;12;7179
502;12;7179;502;12;6468
502;12;6482;502;12;6629
502;12;6629;502;12;6482
502;12;6483;502;12;6737
502;12;6737;502;12;7302
502;12;7302;502;12;6483
502;12;204;502;12;529
502;12;529;502;12;1353
502;12;1353;502;12;204
502;12;531;502;12;533
502;12;533;502;12;719
502;12;719;502;12;721
502;12;721;502;12;531
502;12;6986;502;12;7154
502;12;7154;502;12;6986
502;12;6490;502;12;7049
502;12;7049;502;12;6490
502;12;6973;502;12;7138
502;12;7138;502;12;6973
502;12;6491;502;12;7007
502;12;7007;502;12;6491
502;12;6492;502;12;6541
502;12;6541;502;12;6543
502;12;6543;502;12;6492
502;12;6978;502;12;7168
502;12;7168;502;12;6978
502;12;13911;502;12;14187
502;12;14187;502;12;13911
502;12;91;502;12;93
502;12;93;502;12;91
502;12;96;502;12;1328
502;12;1328;502;12;96
502;12;97;502;12;1349
502;12;1349;502;12;97
502;12;53;502;12;76
502;12;76;502;12;53
502;12;57;502;12;107
502;12;107;502;12;57
502;12;58;502;12;88
502;12;88;502;12;58
502;12;70;502;12;118
502;12;118;502;12;70
502;12;119;502;12;128
502;12;128;502;12;119
502;12;12444;502;12;12484
502;12;12484;502;12;14188
502;12;14188;502;12;12444
502;12;6970;502;12;7082
502;12;7082;502;12;7196
502;12;7196;502;12;6970
502;12;7158;502;12;7162
502;12;7162;502;12;7158
502;12;7163;502;12;7173
502;12;7173;502;12;7163
502;12;7159;502;12;7164
502;12;7164;502;12;7159
502;12;12445;502;12;13040
502;12;13040;502;12;12445
502;12;12446;502;12;12494
502;12;12494;502;12;12446
502;12;12447;502;12;12492
502;12;12492;502;12;12447
502;12;12888;502;12;13310
502;12;13310;502;12;12888
502;12;12448;502;12;12475
502;12;12475;502;12;12885
502;12;12885;502;12;12448
502;12;12442;502;12;12449
502;12;12449;502;12;12442
502;12;12962;502;12;13019
502;12;13019;502;12;12962
502;12;12515;502;12;12522
502;12;12522;502;12;13020
502;12;13020;502;12;12515
502;12;6590;502;12;7085
502;12;7085;502;12;7089
502;12;7089;502;12;7209
502;12;7209;502;12;7305
502;12;7305;502;12;6590
502;12;7153;502;12;7160
502;12;7160;502;12;7153
502;12;1123;502;12;1126
502;12;1126;502;12;1123
502;12;1127;502;12;1146
502;12;1146;502;12;1127
502;12;6521;502;12;6643
502;12;6643;502;12;6521
502;12;6642;502;12;6966
502;12;6966;502;12;6642
502;12;6466;502;12;6700
502;12;6700;502;12;6983
502;12;6983;502;12;6466
502;12;6701;502;12;6842
502;12;6842;502;12;6701
502;12;6702;502;12;6833
502;12;6833;502;12;6702
502;12;6703;502;12;6858
502;12;6858;502;12;6703
502;12;6704;502;12;6759
502;12;6759;502;12;6704
502;12;1101;502;12;1233
502;12;1233;502;12;1474
502;12;1474;502;12;1101
502;12;792;502;12;854
502;12;854;502;12;792
502;12;12908;502;12;14155
502;12;14155;502;12;12908
502;12;12636;502;12;13271
502;12;13271;502;12;12636
502;12;13054;502;12;13272
502;12;13272;502;12;13054
502;12;12932;502;12;13273
502;12;13273;502;12;12932
502;12;13116;502;12;13274
502;12;13274;502;12;13116
502;12;12639;502;12;12641
502;12;12641;502;12;12658
502;12;12658;502;12;12660
502;12;12660;502;12;12639
502;12;12565;502;12;12642
502;12;12642;502;12;14002
502;12;14002;502;12;12565
502;12;12901;502;12;13197
502;12;13197;502;12;12901
502;12;12678;502;12;12680
502;12;12680;502;12;12902
502;12;12902;502;12;12678
502;12;12643;502;12;12786
502;12;12786;502;12;12643
502;12;12644;502;12;12913
502;12;12913;502;12;14116
502;12;14116;502;12;12644
502;12;12615;502;12;12617
502;12;12617;502;12;12645
502;12;12645;502;12;12615
502;12;12646;502;12;12694
502;12;12694;502;12;12696
502;12;12696;502;12;12646
502;12;12904;502;12;13553
502;12;13553;502;12;12904
502;12;12905;502;12;13574
502;12;13574;502;12;12905
502;12;12906;502;12;13638
502;12;13638;502;12;14021
502;12;14021;502;12;12906
502;12;12647;502;12;12738
502;12;12738;502;12;13072
502;12;13072;502;12;12647
502;12;12740;502;12;13883
502;12;13883;502;12;12740
502;12;12598;502;12;12761
502;12;12761;502;12;12598
502;12;12599;502;12;12601
502;12;12601;502;12;12599
502;12;12893;502;12;12894
502;12;12894;502;12;12949
502;12;12949;502;12;12893
502;12;12549;502;12;12555
502;12;12555;502;12;13692
502;12;13692;502;12;12549
502;12;12550;502;12;12995
502;12;12995;502;12;13171
502;12;13171;502;12;12550
502;12;12889;502;12;13387
502;12;13387;502;12;13428
502;12;13428;502;12;12889
502;12;12890;502;12;13426
502;12;13426;502;12;12890
502;12;12891;502;12;13384
502;12;13384;502;12;14144
502;12;14144;502;12;12891
502;12;12892;502;12;13364
502;12;13364;502;12;12892
502;12;12630;502;12;12773
502;12;12773;502;12;12630
502;12;12579;502;12;12581
502;12;12581;502;12;12633
502;12;12633;502;12;12579
502;12;12634;502;12;13348
502;12;13348;502;12;12634
502;12;12589;502;12;12591
502;12;12591;502;12;12635
502;12;12635;502;12;12589
502;12;12898;502;12;13764
502;12;13764;502;12;12898
502;12;12605;502;12;12637
502;12;12637;502;12;12605
502;12;12899;502;12;13123
502;12;13123;502;12;12899
502;12;12638;502;12;13757
502;12;13757;502;12;12638
502;12;12554;502;12;13579
502;12;13579;502;12;12554
502;12;7238;502;12;7333
502;12;7333;502;12;7238
502;12;7008;502;12;7075
502;12;7075;502;12;7008
502;12;7030;502;12;7076
502;12;7076;502;12;7030
502;12;7002;502;12;7077
502;12;7077;502;12;7002
502;12;426;502;12;428
502;12;428;502;12;544
502;12;544;502;12;426
502;12;6707;502;12;7020
502;12;7020;502;12;6707
502;12;6692;502;12;6708
502;12;6708;502;12;6692
502;12;6709;502;12;7319
502;12;7319;502;12;6709
502;12;6412;502;12;7021
502;12;7021;502;12;6412
502;12;6544;502;12;6684
502;12;6684;502;12;6544
502;12;6685;502;12;6691
502;12;6691;502;12;6685
502;12;6430;502;12;6687
502;12;6687;502;12;7338
502;12;7338;502;12;6430
502;12;6695;502;12;6739
502;12;6739;502;12;7193
502;12;7193;502;12;6695
502;12;7214;502;12;7216
502;12;7216;502;12;7214
502;12;7217;502;12;7222
502;12;7222;502;12;7217
502;12;7218;502;12;7226
502;12;7226;502;12;7218
502;12;7219;502;12;7280
502;12;7280;502;12;7219
502;12;7221;502;12;7278
502;12;7278;502;12;7221
502;12;7018;502;12;7225
502;12;7225;502;12;7018
502;12;563;502;12;755
502;12;755;502;12;1305
502;12;1305;502;12;563
502;12;564;502;12;566
502;12;566;502;12;858
502;12;858;502;12;564
502;12;109;502;12;112
502;12;112;502;12;109
502;12;110;502;12;113
502;12;113;502;12;110
502;12;891;502;12;1466
502;12;1466;502;12;891
502;12;647;502;12;848
502;12;848;502;12;647
502;12;1366;502;12;1469
502;12;1469;502;12;1366
502;12;84;502;12;892
502;12;892;502;12;84
502;12;893;502;12;899
502;12;899;502;12;1307
502;12;1307;502;12;893
502;12;14169;502;12;14172
502;12;14172;502;12;14169
502;12;1337;502;12;1566
502;12;1566;502;12;1337
502;12;303;502;12;305
502;12;305;502;12;303
502;12;6505;502;12;6523
502;12;6523;502;12;6984
502;12;6984;502;12;6505
502;12;6504;502;12;6715
502;12;6715;502;12;6504
502;12;6522;502;12;6967
502;12;6967;502;12;6522
502;12;6747;502;12;6835
502;12;6835;502;12;6747
502;12;6748;502;12;6821
502;12;6821;502;12;6748
502;12;6732;502;12;6980
502;12;6980;502;12;6732
502;12;6961;502;12;7234
502;12;7234;502;12;6961
502;12;6740;502;12;6962
502;12;6962;502;12;6740
502;12;6963;502;12;7029
502;12;7029;502;12;7227
502;12;7227;502;12;6963
502;12;6964;502;12;7001
502;12;7001;502;12;7223
