CID;LID;NID;NAME;NCOMMENT
502;1;79244;亚洲;
502;1;79245;中国;
502;1;79416;福建省;
502;1;20321;福州市;
502;1;62762;龙岩市;
502;1;62821;南平市;
502;1;62790;宁德市;
502;1;62806;莆田市;
502;1;7229;泉州市;
502;1;62778;三明市;
502;1;77445;厦门市;
502;1;62846;漳州市;
502;1;20335;Ｇ１０４福州段;
502;1;20720;青洲路;
502;1;58380;漳里线;
502;1;20204;康庄路;
502;1;75230;沈海高速公路;
502;1;20336;Ｘ１３１;
502;1;20337;可门路;
502;1;41256;牛栏坪村;
502;1;20963;丹阳收费站;
502;1;20989;水古收费站;
502;1;80017;Ｓ２０１;
502;1;20195;福马路;
502;1;20181;六一北路;
502;1;20232;君竹路;
502;1;20197;长乐中路;
502;1;20198;连江北路;
502;1;20199;前横路;
502;1;20200;福光路;
502;1;20201;福兴大道;
502;1;20196;鼓山路;
502;1;24875;创安路;
502;1;20202;石狮路;
502;1;20203;快安路;
502;1;20215;连江中路;
502;1;20242;连江南路;
502;1;20214;国货东路;
502;1;7239;新华北路;
502;1;7237;新门街;
502;1;7241;北清东路;
502;1;7238;西街;
502;1;7240;城北路;
502;1;8570;七星街;
502;1;8572;西湖街;
502;1;7235;新华南路;
502;1;8540;金洲街;
502;1;24871;三环快速;
502;1;41283;永丰枢纽;
502;1;24830;福州绕城高速公路;
502;1;41200;二环快速;
502;1;20162;Ｇ３１６;
502;1;20206;金山大道;
502;1;20311;浦上大道;
502;1;21012;福州湾边特大桥连接线;
502;1;24828;福峡路;
502;1;20316;机场高速公路;
502;1;20250;化工路;
502;1;20177;五四路;
502;1;24873;新店直街;
502;1;10804;泉州环城高速公路;
502;1;60804;泉南高速公路;
502;1;10805;斗尾疏港高速公路;
502;1;8468;普贤路;
502;1;7244;Ｓ３０７;
502;1;77138;Ｇ３２４;
502;1;7267;江滨南路;
502;1;10808;晋江大桥;
502;1;8477;笋江路;
502;1;8731;鞋都路;
502;1;10830;兴霞路;
502;1;10809;望江路;
502;1;8711;顺济新桥;
502;1;8670;妈祖宫;
502;1;8636;西山村;
502;1;19561;延陵村;
502;1;20179;东大路;
502;1;20327;秀峰路;
502;1;20247;湖东路;
502;1;20248;华林路;
502;1;20253;北环中路;
502;1;20266;琴湖路;
502;1;20344;Ｇ３１６福州段;
502;1;20345;Ｓ２０２;
502;1;20164;杨桥西路;
502;1;20346;Ｘ１２３;
502;1;25047;进城路（溪口大街）;
502;1;20348;Ｘ１１４;
502;1;20349;Ｘ１１３;
502;1;24967;闽侯大桥;
502;1;58387;福银高速公路;
502;1;25057;丹垄（国宾大道）;
502;1;25055;乌龙江北大道（国宾大道）;
502;1;24898;西三环路;
502;1;20157;闽江大道;
502;1;20213;六一中路;
502;1;20212;国货西路;
502;1;20189;八一七中路;
502;1;20194;五一中路;
502;1;20156;江滨西大道;
502;1;41257;八一七南路;
502;1;20185;乌山西路;
502;1;20221;金山大桥;
502;1;20262;西环南路;
502;1;20222;白马南路;
502;1;20773;支前路;
502;1;20289;台江路;
502;1;20290;排尾路;
502;1;20220;五一南路;
502;1;20268;达道路;
502;1;20169;工业路;
502;1;77452;安仁大道;
502;1;77464;灌口大道;
502;1;77465;杏前路;
502;1;78489;灌口中路;
502;1;78490;集美北大道;
502;1;77577;长岸路;
502;1;78501;和旭路;
502;1;84574;杏林大桥（杏锦路）;
502;1;84575;杏林大桥（成功大道）;
502;1;78596;殿前一路;
502;1;77564;兴湖路;
502;1;77572;东渡路;
502;1;77525;湖滨北路;
502;1;84576;海沧大桥;
502;1;77561;湖滨西路;
502;1;77535;厦禾路;
502;1;77539;禾祥西路;
502;1;77540;湖滨南路;
502;1;78878;银亭北路;
502;1;77446;银江路;
502;1;77468;西滨路;
502;1;77469;董任路;
502;1;78494;杏林北路;
502;1;78860;集美轻工业学校;
502;1;78495;杏锦路;
502;1;20353;Ｇ３２４福州段;
502;1;20993;迎宾路（涵华东路）;
502;1;24879;三江路;
502;1;24885;高林街（石庭东路）;
502;1;24886;新江公路;
502;1;20722;Ｘ１７３;
502;1;20356;清昌大道;
502;1;20994;金井;
502;1;20358;古山尾;
502;1;20995;青口镇;
502;1;25736;Ｓ２０３;
502;1;20723;新建村;
502;1;79112;东孚大道;
502;1;78491;环美北路;
502;1;77456;Ｘ４２８;
502;1;77457;Ｙ３０２;
502;1;8732;凤池路;
502;1;7257;坪山路;
502;1;7269;Ｓ３０８;
502;1;8456;吉泰路;
502;1;7284;德泰路;
502;1;8457;美泰路;
502;1;8455;泉安路;
502;1;19529;刺桐大桥（江滨南路）;
502;1;19530;刺桐大桥（刺桐南路）;
502;1;20750;潘墩路;
