CID;LID;NID;NTRANSLATION
502;2;7229;quan zhou shi
502;3;7229;Quanzhou
502;2;7235;xin hua nan lu
502;3;7235;Xinhua South Rd
502;2;7236;di hou lu
502;3;7236;Dihou Rd
502;2;7237;xin men jie
502;3;7237;Xinmen St
502;2;7238;xi jie
502;3;7238;Xijie
502;2;7239;xin hua bei lu
502;3;7239;Xinhua North Rd
502;2;7240;cheng bei lu
502;3;7240;Chengbei Rd
502;2;7241;bei qing dong lu
502;3;7241;Beiqing East Rd
502;2;7242;quan shan lu
502;3;7242;Quanshan Rd
502;2;7244;S307
502;3;7244;S307
502;2;7245;shao lin lu
502;3;7245;Shaolin Rd
502;2;7247;wen ling bei lu
502;3;7247;Wenling North Rd
502;2;7249;cheng xi lu
502;3;7249;Chengxi Rd
502;2;7252;zhong shan zhong lu
502;3;7252;Zhongshan Middle Rd
502;2;7253;tu men jie
502;3;7253;Tumen St
502;2;7254;jin huai jie
502;3;7254;Jinhuai St
502;2;7255;tian an bei lu
502;3;7255;Tianan North Rd
502;2;7256;ci tong nan lu
502;3;7256;Citong South Rd
502;2;7257;ping shan lu
502;3;7257;Pingshan Rd
502;2;7258;yun lu lu
502;3;7258;Yunlu Rd
502;2;7259;feng ze jie
502;3;7259;Fengze St
502;2;7260;ci tong bei lu
502;3;7260;Citong North Rd
502;2;7261;dong yue qian jie
502;3;7261;Dongyue Front St
502;2;7264;jiu yi jie
502;3;7264;Jiuyi St
502;2;7267;jiang bin nan lu
502;3;7267;Jiangbin South Rd
502;2;7269;S308
502;3;7269;S308
502;2;7270;xing xian lu
502;3;7270;Xingxian Rd
502;2;7272;quan xiu jie
502;3;7272;Quanxiu St
502;2;7276;hu xin jie
502;3;7276;Huxin St
502;2;7284;de tai lu
502;3;7284;Detai Rd
502;2;7286;tian an nan lu
502;3;7286;Tianan South Rd
502;2;7290;tian hou lu
502;3;7290;Tianhou Rd
502;2;7292;zhong shan nan lu
502;3;7292;Zhongshan South Rd
502;2;7294;chang tai lu
502;3;7294;Changtai Rd
502;2;7297;shuang long lu
502;3;7297;Shuanglong Rd
502;2;7303;an ji lu
502;3;7303;Anji Rd
502;2;7304;wan rong jie
502;3;7304;Wanrong St
502;2;7306;chong hong jie
502;3;7306;Chonghong St
502;2;7307;chong xiang jie
502;3;7307;Chongxiang St
502;2;7309;da xi jie
502;3;7309;Daxi St
502;2;7310;zhong shan bei lu
502;3;7310;Zhongshan North Rd
502;2;7311;yi quan jie
502;3;7311;Yiquan St
502;2;7312;dong hai da jie
502;3;7312;Donghai Ave
502;2;7318;min quan lu
502;3;7318;Minquan Rd
502;2;7331;deng rong lu
502;3;7331;Dengrong Rd
502;2;7345;quan zhou lin hai xiao xue
502;3;7345;Quanzhoulinhaixiaoxue
502;2;7351;nan jun lu
502;3;7351;Nanjun Rd
502;2;7353;luo yang jiang ting che qu
502;3;7353;Luoyangjiang Parking Area
502;2;7362;yi ban fu wu qu
