CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
502;12;842;;459
502;12;459;842;460
502;12;460;459;656
502;12;656;460;868
502;12;868;656;869
502;12;869;868;870
502;12;870;869;871
502;12;871;870;872
502;12;872;871;873
502;12;873;872;
502;12;447;;448
502;12;448;447;449
502;12;449;448;450
502;12;450;449;451
502;12;451;450;452
502;12;452;451;453
502;12;453;452;1297
502;12;1297;453;456
502;12;456;1297;457
502;12;457;456;1295
502;12;1295;457;
502;12;553;;554
502;12;554;553;555
502;12;555;554;
502;12;6405;;6406
502;12;6406;6405;6407
502;12;6407;6406;7061
502;12;7061;6407;7062
502;12;7062;7061;6408
502;12;6408;7062;
502;12;6402;;6403
502;12;6403;6402;
502;12;1512;;1513
502;12;1513;1512;291
502;12;291;1513;292
502;12;292;291;208
502;12;208;292;297
502;12;297;208;1510
502;12;1510;297;347
502;12;347;1510;300
502;12;300;347;301
502;12;301;300;348
502;12;348;301;349
502;12;349;348;
502;12;6087;;6088
502;12;6088;6087;6089
502;12;6089;6088;6090
502;12;6090;6089;6091
502;12;6091;6090;6092
502;12;6092;6091;
502;12;7187;;7188
502;12;7188;7187;7044
502;12;7044;7188;7132
502;12;7132;7044;6508
502;12;6508;7132;7095
502;12;7095;6508;6507
502;12;6507;7095;
502;12;6676;;7341
502;12;7341;6676;7114
502;12;7114;7341;6847
502;12;6847;7114;
502;12;598;;599
502;12;599;598;600
502;12;600;599;603
502;12;603;600;604
502;12;604;603;1509
502;12;1509;604;605
502;12;605;1509;
502;12;874;;875
502;12;875;874;876
502;12;876;875;877
502;12;877;876;878
502;12;878;877;1462
502;12;1462;878;879
502;12;879;1462;880
502;12;880;879;402
502;12;402;880;1571
502;12;1571;402;403
502;12;403;1571;404
502;12;404;403;
502;12;482;;483
502;12;483;482;484
502;12;484;483;
502;12;478;;479
502;12;479;478;480
502;12;480;479;
502;12;491;;492
502;12;492;491;493
502;12;493;492;494
502;12;494;493;495
502;12;495;494;1493
502;12;1493;495;496
502;12;496;1493;
502;12;692;;693
502;12;693;692;694
502;12;694;693;
502;12;1256;;1248
502;12;1248;1256;588
502;12;588;1248;
502;12;409;;410
502;12;410;409;411
502;12;411;410;
502;12;12419;;12857
502;12;12857;12419;12858
502;12;12858;12857;12421
502;12;12421;12858;12422
502;12;12422;12421;
502;12;12868;;12869
502;12;12869;12868;12870
502;12;12870;12869;12880
502;12;12880;12870;14211
502;12;14211;12880;14212
502;12;14212;14211;
502;12;12728;;12729
502;12;12729;12728;12883
502;12;12883;12729;
502;12;12723;;12724
502;12;12724;12723;12725
502;12;12725;12724;12726
502;12;12726;12725;
502;12;12424;;12425
502;12;12425;12424;12426
502;12;12426;12425;12865
502;12;12865;12426;12867
502;12;12867;12865;12427
502;12;12427;12867;12428
502;12;12428;12427;
502;12;881;;1304
502;12;1304;881;882
502;12;882;1304;883
502;12;883;882;884
502;12;884;883;885
502;12;885;884;886
502;12;886;885;887
502;12;887;886;888
502;12;888;887;889
502;12;889;888;525
502;12;525;889;1300
502;12;1300;525;
502;12;12403;;12404
502;12;12404;12403;12405
502;12;12405;12404;13908
502;12;13908;12405;
502;12;7311;;6670
502;12;6670;7311;6671
502;12;6671;6670;6497
502;12;6497;6671;6672
502;12;6672;6497;6498
502;12;6498;6672;7165
502;12;7165;6498;6673
502;12;6673;7165;7312
502;12;7312;6673;
502;12;1302;;1303
502;12;1303;1302;526
502;12;526;1303;
502;12;12859;;12416
502;12;12416;12859;12860
502;12;12860;12416;
502;12;12862;;12863
502;12;12863;12862;12864
502;12;12864;12863;
502;12;12854;;12855
502;12;12855;12854;12856
502;12;12856;12855;
502;12;7336;;7337
502;12;7337;7336;7014
502;12;7014;7337;7120
502;12;7120;7014;6516
502;12;6516;7120;7131
502;12;7131;6516;7042
502;12;7042;7131;7174
502;12;7174;7042;6518
502;12;6518;7174;
502;12;548;;549
502;12;549;548;550
502;12;550;549;551
502;12;551;550;
502;12;6680;;6472
502;12;6472;6680;6473
502;12;6473;6472;6474
502;12;6474;6473;6475
502;12;6475;6474;6476
502;12;6476;6475;
502;12;13917;;12412
502;12;12412;13917;13918
502;12;13918;12412;
502;12;13915;;13907
502;12;13907;13915;12852
502;12;12852;13907;
502;12;6480;;6710
502;12;6710;6480;7108
502;12;7108;6710;6481
502;12;6481;7108;6482
502;12;6482;6481;7302
502;12;7302;6482;
502;12;528;;529
502;12;529;528;530
502;12;530;529;531
502;12;531;530;
502;12;7191;;6496
502;12;6496;7191;6560
502;12;6560;6496;6509
502;12;6509;6560;6644
502;12;6644;6509;6645
502;12;6645;6644;6603
502;12;6603;6645;6647
502;12;6647;6603;6646
502;12;6646;6647;6648
502;12;6648;6646;6478
502;12;6478;6648;6479
502;12;6479;6478;7154
502;12;7154;6479;7106
502;12;7106;7154;7190
502;12;7190;7106;
502;12;7316;;6490
502;12;6490;7316;7138
502;12;7138;6490;6491
502;12;6491;7138;6492
502;12;6492;6491;7168
502;12;7168;6492;6493
502;12;6493;7168;6649
502;12;6649;6493;7281
502;12;7281;6649;6650
502;12;6650;7281;6651
502;12;6651;6650;6652
502;12;6652;6651;6653
502;12;6653;6652;6654
502;12;6654;6653;6655
502;12;6655;6654;6656
502;12;6656;6655;6620
502;12;6620;6656;
502;12;14142;;13911
502;12;13911;14142;13912
502;12;13912;13911;
502;12;12846;;12847
502;12;12847;12846;13913
502;12;13913;12847;
502;12;12410;;12849
502;12;12849;12410;12411
502;12;12411;12849;13919
502;12;13919;12411;
502;12;13921;;12413
502;12;12413;13921;13922
502;12;13922;12413;
502;12;93;;94
502;12;94;93;108
502;12;108;94;96
502;12;96;108;
502;12;97;;53
502;12;53;97;
502;12;1511;;107
502;12;107;1511;
502;12;88;;98
502;12;98;88;89
502;12;89;98;90
502;12;90;89;
502;12;118;;119
502;12;119;118;120
502;12;120;119;121
502;12;121;120;122
502;12;122;121;123
502;12;123;122;124
502;12;124;123;125
502;12;125;124;
502;12;6094;;6095
502;12;6095;6094;6096
502;12;6096;6095;6097
502;12;6097;6096;
502;12;14187;;14188
502;12;14188;14187;
502;12;7196;;7197
502;12;7197;7196;
502;12;7162;;7163
502;12;7163;7162;7164
502;12;7164;7163;
502;12;12444;;12445
502;12;12445;12444;12446
502;12;12446;12445;12447
502;12;12447;12446;12888
502;12;12888;12447;12448
502;12;12448;12888;12449
502;12;12449;12448;12450
502;12;12450;12449;13019
502;12;13019;12450;13020
502;12;13020;13019;
502;12;7209;;7153
502;12;7153;7209;7090
502;12;7090;7153;7091
502;12;7091;7090;
502;12;1125;;1126
502;12;1126;1125;1127
502;12;1127;1126;
502;12;6643;;6642
502;12;6642;6643;6700
502;12;6700;6642;6701
502;12;6701;6700;6702
502;12;6702;6701;6703
502;12;6703;6702;6704
502;12;6704;6703;6705
502;12;6705;6704;
502;12;1474;;791
502;12;791;1474;792
502;12;792;791;
502;12;12546;;12547
502;12;12547;12546;
502;12;12908;;13271
502;12;13271;12908;13272
502;12;13272;13271;13273
502;12;13273;13272;13274
502;12;13274;13273;
502;12;12641;;12642
502;12;12642;12641;12900
502;12;12900;12642;12901
502;12;12901;12900;12902
502;12;12902;12901;12643
502;12;12643;12902;12644
502;12;12644;12643;12645
502;12;12645;12644;12903
502;12;12903;12645;12646
502;12;12646;12903;12904
502;12;12904;12646;12905
502;12;12905;12904;12906
502;12;12906;12905;12647
502;12;12647;12906;12739
502;12;12739;12647;12740
502;12;12740;12739;12741
502;12;12741;12740;
502;12;12598;;12887
502;12;12887;12598;12599
502;12;12599;12887;
502;12;12894;;12895
502;12;12895;12894;13903
502;12;13903;12895;12544
502;12;12544;13903;
502;12;12549;;12550
502;12;12550;12549;12889
502;12;12889;12550;12890
502;12;12890;12889;12891
502;12;12891;12890;
502;12;14144;;12896
502;12;12896;14144;12892
502;12;12892;12896;12893
502;12;12893;12892;
502;12;12601;;14155
502;12;14155;12601;
502;12;13897;;12630
502;12;12630;13897;12631
502;12;12631;12630;12897
502;12;12897;12631;12632
502;12;12632;12897;12633
502;12;12633;12632;12634
502;12;12634;12633;12635
502;12;12635;12634;12636
502;12;12636;12635;12898
502;12;12898;12636;12637
502;12;12637;12898;12899
502;12;12899;12637;12638
502;12;12638;12899;12639
502;12;12639;12638;
502;12;12553;;12554
502;12;12554;12553;12555
502;12;12555;12554;
502;12;7333;;7075
502;12;7075;7333;7076
502;12;7076;7075;7077
502;12;7077;7076;
502;12;425;;426
502;12;426;425;
502;12;6707;;6708
502;12;6708;6707;6709
502;12;6709;6708;
502;12;7284;;7285
502;12;7285;7284;
502;12;7286;;7287
502;12;7287;7286;7020
502;12;7020;7287;7021
502;12;7021;7020;
502;12;6684;;6685
502;12;6685;6684;7319
502;12;7319;6685;
502;12;6687;;6688
502;12;6688;6687;6689
502;12;6689;6688;
502;12;6543;;6544
502;12;6544;6543;
502;12;6691;;6692
502;12;6692;6691;
502;12;6695;;6696
502;12;6696;6695;6697
502;12;6697;6696;6698
502;12;6698;6697;
502;12;7216;;7217
502;12;7217;7216;7218
502;12;7218;7217;7219
502;12;7219;7218;
502;12;7017;;7278
502;12;7278;7017;7018
502;12;7018;7278;7193
502;12;7193;7018;
502;12;7213;;7214
502;12;7214;7213;
502;12;563;;564
502;12;564;563;
502;12;112;;113
502;12;113;112;
502;12;1464;;1465
502;12;1465;1464;1466
502;12;1466;1465;
502;12;407;;848
502;12;848;407;1469
502;12;1469;848;890
502;12;890;1469;891
502;12;891;890;
502;12;892;;893
502;12;893;892;462
502;12;462;893;
502;12;899;;900
502;12;900;899;
502;12;14169;;14170
502;12;14170;14169;
502;12;1566;;1567
502;12;1567;1566;
502;12;303;;
502;12;6505;;6504
502;12;6504;6505;6503
502;12;6503;6504;
502;12;6521;;7096
502;12;7096;6521;6522
502;12;6522;7096;6523
502;12;6523;6522;
502;12;6468;;6747
502;12;6747;6468;6748
502;12;6748;6747;6469
502;12;6469;6748;
502;12;6731;;6732
502;12;6732;6731;
502;12;14032;;14033
502;12;14033;14032;
502;12;6961;;6962
502;12;6962;6961;6963
502;12;6963;6962;6964
502;12;6964;6963;
502;12;6999;;7000
502;12;7000;6999;
502;12;7001;;7002
502;12;7002;7001;7003
502;12;7003;7002;7004
502;12;7004;7003;
502;12;7267;;7268
502;12;7268;7267;7269
502;12;7269;7268;7040
502;12;7040;7269;7041
502;12;7041;7040;7270
502;12;7270;7041;
502;12;7225;;7226
