CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
502;12;842;P;1;8;;20335;20720;;4;;;454;1;1;1;1;1;1;;;+11946090;+2599876;0;1
502;12;459;P;1;10;;20335;20204;;4;;;454;1;1;1;1;1;1;;;+11951245;+2606294;0;0
502;12;460;P;1;3;;20335;75230;;4;;;454;1;1;1;1;1;1;;;+11956024;+2613230;0;0
502;12;656;P;1;12;;20335;20336;;4;;;454;1;1;1;1;1;1;;;+11955062;+2617884;0;0
502;12;868;P;1;10;;20335;20337;;4;;;454;1;1;1;1;1;1;;;+11952997;+2621568;0;1
502;12;869;P;1;12;;20335;41256;;4;;;454;1;1;1;1;1;1;;;+11950083;+2626081;0;0
502;12;870;P;1;3;;20335;20963;;4;;;454;1;1;1;1;1;1;;;+11949226;+2634285;0;0
502;12;871;P;1;3;;20335;20989;;4;;;454;1;1;1;1;1;1;;;+11950385;+2647052;0;0
502;12;872;P;1;12;;20335;80017;;4;;;454;1;1;1;1;1;1;;;+11956858;+2647953;0;0
502;12;873;P;1;12;;20335;58380;;4;;;454;1;1;1;1;1;1;;;+11960118;+2655852;0;0
502;12;447;P;1;10;;20195;20181;;4;;;446;1;1;1;1;1;1;;;+11931923;+2607656;0;1
502;12;448;P;1;10;;20195;20197;;4;;;446;1;1;1;1;1;1;;;+11932684;+2607658;0;1
502;12;449;P;1;6;;20195;20198;;4;;;446;1;1;1;1;1;1;;;+11933512;+2607415;0;1
502;12;450;P;1;10;;20195;20199;;4;;;446;1;1;1;1;1;1;;;+11935058;+2607260;0;1
502;12;451;P;1;11;;20195;20200;;4;;;446;1;1;1;1;1;1;;;+11935996;+2606883;0;1
502;12;452;P;1;10;;20195;20201;;4;;;446;1;1;1;1;1;1;;;+11936381;+2606603;0;1
502;12;453;P;1;8;;20195;20196;;4;;;446;1;1;1;1;1;1;;;+11937518;+2605348;0;0
502;12;1297;P;1;10;;20195;24875;;4;;;446;1;1;1;1;1;1;;;+11940048;+2602829;0;0
502;12;456;P;1;10;;20195;20202;;4;;;446;1;1;1;1;1;1;;;+11941668;+2602893;0;0
502;12;457;P;1;10;;20195;20203;;4;;;446;1;1;1;1;1;1;;;+11942466;+2602330;0;0
502;12;1295;P;1;8;;20195;20232;;4;;;446;1;1;1;1;1;1;;;+11946082;+2600028;0;1
502;12;553;P;1;12;;20215;20242;;4;;;552;1;1;1;1;1;1;;;+11933596;+2605212;0;1
502;12;554;P;1;6;;20215;20214;;4;;;552;1;1;1;1;1;1;;;+11933555;+2606581;0;1
502;12;555;P;1;7;;20215;20195;;4;;;552;1;1;1;1;1;1;;;+11933512;+2607415;0;1
502;12;6405;P;1;10;;7239;7237;;5;;;6404;1;1;1;1;1;1;;;+11858267;+2490864;0;1
502;12;6406;P;1;10;;7239;7238;;5;;;6404;1;1;1;1;1;1;;;+11858389;+2491348;0;1
502;12;6407;P;1;10;;7239;7240;;5;;;6404;1;1;1;1;1;1;;;+11858326;+2491940;0;1
502;12;7061;P;1;12;;7239;8570;;5;;;6404;1;1;1;1;1;1;;;+11858236;+2492165;0;1
502;12;7062;P;1;11;;7239;8572;;5;;;6404;1;1;1;1;1;1;;;+11858134;+2492423;0;1
502;12;6408;P;1;10;;7239;7241;;5;;;6404;1;1;1;1;1;1;;;+11858050;+2493504;0;1
502;12;6402;P;1;10;;7235;8540;;5;;;6401;1;1;1;1;1;1;;;+11858034;+2489985;0;1
502;12;6403;P;1;10;;7235;7237;;5;;;6401;1;1;1;1;1;1;;;+11858267;+2490864;0;1
502;12;1512;P;1;3;;24871;41283;;4;;289;;1;1;1;1;1;1;;;+11924482;+2611364;0;0
502;12;1513;P;1;3;;24871;20162;;4;;289;;1;1;1;1;1;1;;;+11923272;+2607034;0;1
502;12;291;P;1;3;;24871;20206;;4;;289;;1;1;1;1;1;1;;;+11923477;+2605048;0;1
502;12;292;P;1;3;;24871;20311;;4;;289;;1;1;1;1;1;1;;;+11924558;+2602689;0;1
502;12;208;P;1;1;;24871;21012;;4;;289;;1;1;1;1;1;1;;;+11927558;+2600044;0;0
502;12;297;P;1;3;;24871;24828;;4;;289;;1;1;1;1;1;1;;;+11935633;+2599956;0;0
502;12;1510;P;1;1;;24871;20316;;4;;289;;1;1;1;1;1;1;;;+11938101;+2603048;0;0
502;12;347;P;1;1;;24871;41200;;4;;298;;1;1;1;1;1;1;;;+11936609;+2605626;0;1
502;12;300;P;1;3;;24871;20250;;4;;298;;1;1;1;1;1;1;;;+11936994;+2608964;0;0
502;12;301;P;1;3;;24871;20177;;4;;298;;1;1;1;1;1;1;;;+11930599;+2612211;0;1
502;12;348;P;1;3;;24871;24873;;4;;298;;1;1;1;1;1;1;;;+11929431;+2612371;0;1
502;12;349;P;1;1;;24871;24830;;4;;298;;1;1;1;1;1;1;;;+11927204;+2612192;0;1
502;12;6087;P;1;1;;10804;60804;;5;;;6086;1;1;1;1;1;1;;;+11847692;+2495829;0;0
502;12;6088;P;1;3;;10804;8468;;5;;;6086;1;1;1;1;1;1;;;+11857939;+2497876;0;0
502;12;6089;P;1;3;;10804;7244;;5;;;6086;1;1;1;1;1;1;;;+11861834;+2498271;0;0
502;12;6090;P;1;1;;10804;75230;;5;;;6086;1;1;1;1;1;1;;;+11868092;+2499620;0;0
502;12;6091;P;1;3;;10804;77138;;5;;;6086;1;1;1;1;1;1;;;+11875621;+2496059;0;0
502;12;6092;P;1;13;;10804;10805;;5;;;6086;1;1;1;1;1;1;;;+11876825;+2494938;0;0
