CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
502;12;454;L;1;2;G104;20335;20720;58380;4;
502;12;446;L;1;2;G104;20195;20181;20232;4;
502;12;552;L;1;2;G104;20215;20242;20195;4;
502;12;6404;L;1;4;;7239;7237;7241;5;
502;12;6401;L;1;4;;7235;8540;7237;5;
502;12;350;L;1;1;G1501;24871;41283;24830;4;
502;12;6086;L;1;1;G1502;10804;60804;10805;5;
502;12;6506;L;1;4;;7267;10808;8477;5;
502;12;6675;L;1;4;;7267;8636;8670;5;
502;12;602;L;1;4;;20177;20179;20327;4;
502;12;401;L;1;2;G316;20344;20345;20164;4;
502;12;481;L;1;2;G316;20214;20213;20215;4;
502;12;477;L;1;2;G316;20212;20189;20213;4;
502;12;490;L;1;2;G316;20156;20164;41257;4;
502;12;691;L;1;4;G316;20289;41257;20290;4;
502;12;586;L;1;2;G316;20220;20289;20212;4;
502;12;408;L;1;2;G316;20164;20162;20169;4;
502;12;12418;L;1;2;G319;77452;77464;77465;6;
502;12;12866;L;1;2;G319;77577;77465;78501;6;
502;12;12727;L;1;2;G319;77572;77525;77577;6;
502;12;12722;L;1;2;G319;77561;77535;77525;6;
502;12;12423;L;1;2;G319;77465;78878;77446;6;
502;12;524;L;1;2;G324;20353;20993;24879;4;
502;12;13909;L;1;2;G324;79112;75230;78491;6;
502;12;7310;L;1;2;G324;8732;77138;7257;5;
502;12;1301;L;1;2;G324;24828;24879;20750;4;
502;12;12414;L;1;2;G324;77464;78491;78492;6;
502;12;12861;L;1;2;G324;78493;78492;78481;6;
502;12;12853;L;1;2;G324;77515;78488;77462;6;
502;12;6515;L;1;4;;8458;7241;8706;5;
502;12;547;L;1;2;G324;20242;20153;20215;4;
502;12;7313;L;1;2;G324;7257;8458;8416;5;
502;12;13916;L;1;2;G324;79118;79116;79187;6;
502;12;13914;L;1;2;G324;79115;79114;78488;6;
502;12;6723;L;1;2;G324;8417;8456;8517;5;
502;12;527;L;1;2;G324;20153;20750;20241;4;
502;12;7314;L;1;2;;8415;79119;7386;5;
502;12;12401;L;1;2;;77454;79200;79120;6;
502;12;92;L;1;1;G70;21012;58387;20780;4;
502;12;51;L;1;1;S1521;24996;24826;75230;4;
502;12;104;L;1;1;S1531;20316;24871;25736;4;
502;12;117;L;1;1;S1522;24874;75230;25031;4;
502;12;6093;L;1;1;S1572;10805;10804;10807;5;
502;12;14186;L;1;3;S201;80017;77138;77471;6;
502;12;7195;L;1;4;;80017;8731;19533;5;
502;12;7161;L;1;4;;19534;8706;19535;5;
502;12;12443;L;1;3;S201;77471;77478;77470;6;
502;12;7201;L;1;4;;8412;10808;7377;5;
502;12;1124;L;1;4;;20832;20179;20247;4;
502;12;6699;L;1;3;S203;8485;8475;7270;5;
502;12;789;L;1;4;;20280;20303;20248;4;
502;12;12545;L;1;3;S206;77516;77515;77514;6;
502;12;13270;L;1;4;S206;78534;77548;76892;6;
502;12;12640;L;1;3;S206;77524;77560;77446;6;
502;12;12597;L;1;3;S206;77547;77508;77548;6;
502;12;12542;L;1;3;S206;77461;78510;77515;6;
502;12;12548;L;1;3;S206;77493;77519;78508;6;
502;12;14143;L;1;3;S206;79128;78508;78510;6;
502;12;12600;L;1;3;S206;77548;77547;78534;6;
502;12;12629;L;1;4;S206;77535;79149;77560;6;
502;12;12552;L;1;3;S206;77446;77465;77519;6;
502;12;7073;L;1;4;;8410;10857;8579;5;
502;12;424;L;1;4;;20179;20180;20181;4;
502;12;6706;L;1;3;S307;8474;8468;8466;5;
502;12;7282;L;1;4;S307;8468;19555;7242;5;
502;12;6682;L;1;3;S307;7244;8465;19538;5;
502;12;6542;L;1;3;S307;19536;77138;8465;5;
502;12;6690;L;1;4;;8473;7244;8474;5;
502;12;7016;L;1;3;S308;7269;8479;8732;5;
502;12;7215;L;1;3;S308;10852;10850;8479;5;
502;12;7192;L;1;3;S308;10825;10870;8479;5;
502;12;7212;L;1;3;S308;10850;19532;10852;5;
502;12;560;L;1;3;S309;20184;20183;20248;4;
502;12;111;L;1;1;S7021;24869;75230;58387;4;
502;12;1463;L;1;4;X115;24968;41276;20962;4;
502;12;405;L;1;4;X115;20165;20162;20962;4;
502;12;1484;L;1;4;X117;21011;58387;25018;4;
502;12;897;L;1;4;X117;24888;21011;21020;4;
502;12;14168;L;1;4;X177;79230;79220;78582;6;
502;12;1565;L;1;4;X195;20338;20330;24997;4;
502;12;302;L;7;0;;;24997;24831;4;
502;12;6502;L;1;4;X301;10843;8590;8477;5;
502;12;6520;L;1;4;X301;8475;7269;8590;5;
502;12;6467;L;1;4;X301;7270;8485;8477;5;
502;12;6657;L;1;4;X308;7378;75230;8445;5;
502;12;14031;L;1;4;X318;76826;79173;79174;6;
502;12;6960;L;1;4;X318;76826;84622;8579;5;
502;12;6566;L;1;4;X318;8594;76892;8515;5;
502;12;6985;L;1;4;X318;8579;76826;76892;5;
502;12;7039;L;1;4;X318;7297;10863;8731;5;
502;12;7224;L;1;4;X320;8596;10825;76826;5;
502;12;6972;L;1;4;X333;8451;8450;8530;5;
502;12;12835;L;1;4;X401;77523;77520;77522;6;
502;12;12748;L;1;4;X401;77496;77522;77508;6;
502;12;12757;L;1;4;X401;77508;77496;77607;6;
502;12;13370;L;1;4;X402;79124;78505;78530;6;
502;12;12468;L;1;4;X403;77459;77448;78493;6;
502;12;12464;L;1;4;X403;77448;78500;77459;6;
502;12;12984;L;1;4;X410;78478;77507;84596;6;
502;12;14174;L;1;4;X414;78544;79129;78510;6;
502;12;12437;L;1;4;X415;77476;77477;77471;6;
502;12;12519;L;1;4;X415;77468;77465;77471;6;
502;12;12514;L;1;4;X415;77470;77471;77503;6;
502;12;13039;L;1;4;X416;77482;77471;77491;6;
502;12;12936;L;1;4;X416;78491;77464;78490;6;
502;12;14128;L;1;4;X416;78490;79180;77452;6;
502;12;12432;L;1;4;X418;77442;78478;75230;6;
502;12;13363;L;1;4;X419;78509;77465;79132;6;
502;12;13379;L;1;4;X425;78508;78490;79124;6;
502;12;12456;L;1;4;X426;77489;77456;77482;6;
502;12;12459;L;1;4;X426;77491;77482;77471;6;
502;12;12453;L;1;4;X428;77456;79112;77489;6;
502;12;13966;L;1;4;;79154;77456;77468;6;
502;12;12873;L;1;4;X430;78495;84611;78509;6;
502;12;12488;L;1;4;X435;77484;77477;77471;6;
502;12;12497;L;1;4;X436;77477;77478;77610;6;
502;12;14081;L;1;4;X445;79181;79124;79144;6;
502;12;14084;L;1;4;X445;79150;79144;79183;6;
502;12;14090;L;1;4;X449;79184;79144;77442;6;
502;12;470;L;1;4;X825;20169;20825;20189;4;
502;12;13167;L;1;4;Y322;78500;77459;77493;6;
502;12;6538;L;1;4;;7303;8581;77138;5;
502;12;6532;L;1;4;;8530;7259;8581;5;
502;12;13536;L;1;4;;79142;77583;78478;6;
502;12;324;L;7;0;;;20228;20155;4;
502;12;698;L;1;4;;20228;20215;24847;4;
502;12;1258;L;1;4;;20227;20224;20218;4;
502;12;1312;L;1;4;;24847;20218;20224;4;
502;12;1419;L;1;4;;24892;20218;24938;4;
502;12;13629;L;1;4;;78652;78696;78566;6;
502;12;780;L;1;4;;20281;20284;21016;4;
502;12;615;L;1;4;;20174;20191;20269;4;
502;12;606;L;1;4;;41257;41204;20268;4;
502;12;610;L;1;4;;20189;20268;20191;4;
502;12;13988;L;1;4;;79163;78880;78503;6;
502;12;13264;L;1;4;;78578;77537;77544;6;
502;12;12580;L;1;4;;77537;77535;77525;6;
502;12;631;L;1;4;;20171;20188;20274;4;
502;12;624;L;1;4;;20222;41206;20169;4;
502;12;628;L;1;4;;20187;20169;20188;4;
502;12;6524;L;1;4;;8521;7253;7264;5;
502;12;13232;L;1;4;;78471;77511;77496;6;
502;12;6494;L;1;4;;8414;8419;7258;5;
502;12;1055;L;1;4;;20808;20213;20216;4;
502;12;6751;L;1;4;;8526;7254;19544;5;
502;12;569;L;1;3;;20256;20257;20254;4;
502;12;565;L;1;3;;20253;20254;20248;4;
502;12;6755;L;1;4;;8528;8529;7242;5;
502;12;6426;L;1;4;;7241;7244;7247;5;
502;12;1446;L;1;4;;24896;24873;20250;4;
502;12;14095;L;1;4;;79144;78509;78530;6;
502;12;12504;L;1;4;;77501;77500;78586;6;
502;12;12508;L;1;4;;77479;84609;77476;6;
502;12;13351;L;1;4;;78573;77476;79125;6;
502;12;13498;L;1;4;;78565;78478;78677;6;
502;12;13109;L;1;4;;78589;77550;77497;6;
502;12;7233;L;1;4;;10856;7269;76826;5;
502;12;14225;L;1;4;;79134;78896;77496;6;
502;12;966;L;1;4;;20267;20237;20875;4;
502;12;13987;L;1;4;;78637;78504;77476;6;
502;12;13857;L;1;4;;79121;77476;78573;6;
502;12;13318;L;1;4;;78639;77502;78586;6;
502;12;13332;L;1;4;;78640;77502;78586;6;
502;12;1213;L;1;4;;20862;20248;20997;4;
502;12;13085;L;1;4;;78598;78599;78596;6;
502;12;1217;L;1;4;;20864;20214;20865;4;
502;12;14034;L;1;4;;79174;76826;77577;6;
502;12;13073;L;1;4;;77592;77564;77577;6;
502;12;13097;L;1;4;;78597;77564;78596;6;
502;12;749;L;1;4;;20285;20195;74424;4;
502;12;14028;L;1;4;;79173;77577;76826;6;
502;12;743;L;1;4;;20226;20224;20214;4;
502;12;746;L;1;4;;20197;20214;20195;4;
502;12;13259;L;1;4;;77604;77524;78632;6;
502;12;18051;L;1;1;;62779;84616;62910;7;
502;12;42051;L;1;1;;62822;58387;62828;11;
502;12;24051;L;1;1;;62780;62774;58387;8;
502;12;975;L;1;4;;20788;20156;20313;4;
502;12;13356;L;1;4;;78555;77477;78556;6;
502;12;14192;L;1;4;;79233;77497;77604;6;
502;12;6965;L;1;4;;7294;8485;8637;5;
502;12;6758;L;1;4;;8489;8485;8486;5;
502;12;1406;L;1;4;;24949;20243;25043;4;
502;12;12302;L;7;0;;;78466;77523;6;
502;12;14153;L;1;1;;78466;78880;77577;6;
502;12;12226;L;7;0;;;78744;78924;6;
502;12;12319;L;7;0;;;78744;77530;6;
502;12;12252;L;7;0;;;78744;77548;6;
502;12;12254;L;7;0;;;78744;78762;6;
502;12;12329;L;7;0;;;78744;78762;6;
502;12;12220;L;7;0;;;78744;78880;6;
502;12;12222;L;7;0;;;78744;78923;6;
502;12;12224;L;7;0;;;78744;78926;6;
502;12;12234;L;7;0;;;78744;78468;6;
502;12;12310;L;7;0;;;78770;77522;6;
502;12;12312;L;7;0;;;78770;77565;6;
502;12;12286;L;7;0;;;78770;77521;6;
502;12;12294;L;7;0;;;78770;77560;6;
502;12;12327;L;7;0;;;78770;79220;6;
502;12;12262;L;7;0;;;78770;77511;6;
502;12;12264;L;7;0;;;78770;77472;6;
502;12;12270;L;7;0;;;78770;78789;6;
502;12;12266;L;7;0;;;78770;78786;6;
502;12;12232;L;7;0;;;78739;77530;6;
502;12;12250;L;7;0;;;78739;77548;6;
502;12;12314;L;7;0;;;78772;77565;6;
502;12;12308;L;7;0;;;78772;77560;6;
502;12;12260;L;7;0;;;78772;77511;6;
502;12;12272;L;7;0;;;78772;77472;6;
502;12;12274;L;7;0;;;78772;78789;6;
502;12;12268;L;7;0;;;78772;78786;6;
502;12;6417;L;1;4;;7240;7239;7241;5;
502;12;6977;L;1;4;;8445;77138;10836;5;
502;12;6423;L;1;4;;7249;7237;7239;5;
502;12;6982;L;1;4;;8590;8477;8475;5;
502;12;6514;L;1;4;;8590;8417;8455;5;
502;12;7228;L;1;4;;10854;8579;10855;5;
502;12;6762;L;1;4;;8531;25672;7241;5;
502;12;6766;L;1;4;;7306;77138;8457;5;
502;12;6770;L;1;4;;8532;8456;8457;5;
502;12;13615;L;1;4;;78692;77565;77498;6;
502;12;6444;L;1;4;;7260;7254;7261;5;
502;12;7142;L;1;4;;7256;19533;7254;5;
502;12;995;L;1;4;;20268;20189;20220;4;
502;12;756;L;1;4;;20298;20289;20268;4;
502;12;1473;L;1;4;;20303;20173;20280;4;
502;12;13442;L;1;4;;78568;78490;78489;6;
502;12;6558;L;1;4;;7309;7252;7351;5;
502;12;6848;L;1;4;;10829;8590;10830;5;
502;12;963;L;1;4;;20739;20243;20242;4;
502;12;13343;L;1;4;;78547;77559;77591;6;
502;12;12806;L;1;4;;77607;77528;77508;6;
502;12;13776;L;1;4;;78604;78726;78602;6;
502;12;13452;L;1;4;;78476;78668;77523;6;
502;12;667;L;1;4;;20284;20171;20174;4;
502;12;1089;L;1;4;;20821;20998;20171;4;
502;12;1080;L;1;4;;20819;20180;20181;4;
502;12;6548;L;1;4;;7284;8732;8417;5;
502;12;6988;L;1;4;;7331;19543;8419;5;
502;12;6621;L;1;4;;7236;8458;7286;5;
502;12;13069;L;1;4;;78596;78884;77524;6;
502;12;13978;L;1;4;;79155;78913;78717;6;
502;12;6991;L;1;4;;10826;8530;8451;5;
502;12;6591;L;1;4;;7312;10808;19534;5;
502;12;7303;L;1;4;;19521;7258;10808;5;
502;12;6724;L;1;4;;8416;7247;77138;5;
502;12;420;L;1;4;;25672;20174;20177;4;
502;12;6788;L;1;4;;25672;7310;7247;5;
502;12;13418;L;1;4;;78651;78507;78508;6;
502;12;13754;L;1;4;;78515;78722;77535;6;
502;12;13751;L;1;4;;77797;78515;77560;6;
502;12;1321;L;1;4;;77797;20254;20248;4;
502;12;1322;L;1;4;;24893;77797;20248;4;
502;12;1452;L;1;4;;24938;20250;20216;4;
502;12;1076;L;1;4;;20818;20999;20179;4;
502;12;1112;L;1;4;;20828;20270;25672;4;
502;12;7344;L;1;4;;8527;7260;8542;5;
502;12;7298;L;1;4;;10866;19546;8468;5;
502;12;6796;L;1;4;;7261;7245;7260;5;
502;12;6799;L;1;4;;19547;7257;7258;5;
502;12;13437;L;1;4;;77469;77465;78657;6;
502;12;1016;L;1;4;;20798;20169;20187;4;
502;12;13825;L;1;4;;77562;78612;78886;6;
502;12;1437;L;1;4;;77562;20190;20189;4;
502;12;1033;L;1;4;;20802;20193;20194;4;
502;12;322;L;7;0;;;20155;24847;4;
502;12;345;L;7;0;;;20155;24861;4;
502;12;328;L;7;0;;;20155;24924;4;
502;12;371;L;7;0;;;20155;25004;4;
502;12;381;L;7;0;;;20155;24871;4;
502;12;201;L;1;1;;20155;20156;20216;4;
502;12;249;L;7;0;;;20932;21036;4;
502;12;287;L;7;0;;;20932;20311;4;
502;12;257;L;7;0;;;20932;20944;4;
502;12;334;L;7;0;;;20952;24826;4;
502;12;269;L;7;0;;;20952;20157;4;
502;12;397;L;7;0;;;20952;24871;4;
502;12;343;L;7;0;;;24861;20155;4;
502;12;1352;L;1;4;;24861;20153;24924;4;
502;12;263;L;7;0;;;20935;20950;4;
502;12;259;L;7;0;;;20935;25022;4;
502;12;255;L;7;0;;;20935;21038;4;
502;12;267;L;7;0;;;20955;20780;4;
502;12;336;L;7;0;;;20955;24826;4;
502;12;275;L;7;0;;;20955;20157;4;
502;12;279;L;7;0;;;20955;20966;4;
502;12;283;L;7;0;;;20955;20311;4;
502;12;1482;L;1;4;;20738;25035;25041;4;
502;12;6714;L;1;4;;8493;10843;8494;5;
502;12;12304;L;7;0;;;77522;78770;6;
502;12;12699;L;1;4;;77522;78466;77523;6;
502;12;13250;L;1;4;;77557;78631;77522;6;
502;12;13723;L;1;4;;78542;78466;77583;6;
502;12;13729;L;1;4;;77558;77521;78721;6;
502;12;12300;L;7;0;;;77523;78739;6;
502;12;14232;L;1;4;X401;77523;77524;78466;6;
502;12;14108;L;1;4;;79183;78509;79150;6;
502;12;7063;L;1;4;;8706;7258;8412;5;
502;12;7307;L;1;4;;19524;8706;10826;5;
502;12;6781;L;1;4;;8545;8546;7241;5;
502;12;6806;L;1;4;;8548;8496;8545;5;
502;12;7295;L;1;4;;19544;10880;7259;5;
502;12;6809;L;1;4;;8496;8546;7241;5;
502;12;6813;L;1;4;;8549;8550;7259;5;
502;12;6459;L;1;4;;7259;7264;7257;5;
502;12;1379;L;1;4;;24899;20776;20157;4;
502;12;13839;L;1;4;;77605;77535;78589;6;
502;12;863;L;1;4;;20330;77797;20764;4;
502;12;799;L;1;4;;20254;20257;77797;4;
502;12;732;L;1;4;;20200;20195;20251;4;
502;12;727;L;1;4;;20218;20228;20195;4;
502;12;1088;L;1;4;;25034;20169;25033;4;
502;12;265;L;7;0;;;20780;20952;4;
502;12;221;L;7;0;;;20780;24912;4;
502;12;340;L;7;0;;;20780;20724;4;
502;12;944;L;1;4;;20780;21012;20933;4;
502;12;1549;L;7;0;;;24828;24871;4;
502;12;677;L;1;4;;20251;20198;20765;4;
502;12;670;L;1;4;;20999;20180;20181;4;
502;12;1189;L;1;4;;20856;20246;20285;4;
502;12;673;L;1;4;;20246;20181;20198;4;
502;12;723;L;1;4;;20201;20195;20250;4;
502;12;77;L;1;1;;21013;58412;75230;4;
502;12;24064;L;1;1;;62814;58412;62763;8;
502;12;1476;L;1;4;;25033;25034;20820;4;
