CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
502;12;289;L;3;0;G1501;24871;41283;41200;350;;4
502;12;298;L;3;0;G1501;24871;41200;24830;350;;4
502;12;6477;L;3;0;;8415;79119;8417;7314;;5
502;12;7315;L;3;0;;8415;8416;7386;7314;;5
502;12;13910;L;3;0;;77454;79200;75230;12401;;6
502;12;12406;L;3;0;;77454;78481;79114;12401;;6
502;12;12848;L;3;0;;77454;77462;79116;12401;;6
502;12;13920;L;3;0;;77454;79119;79120;12401;;6
502;12;105;L;3;0;S1531;20316;24871;75230;104;;4
502;12;87;L;3;0;S1531;20316;24976;25736;104;;4
502;12;7283;L;3;0;S307;8468;19555;10866;7282;;5
502;12;6511;L;3;0;S307;8468;10875;7242;7282;;5
502;12;6683;L;3;0;S307;7244;8465;8466;6682;;5
502;12;6686;L;3;0;S307;7244;7241;19538;6682;;5
502;12;14073;L;3;0;X416;78490;79180;79179;14128;;6
502;12;12998;L;3;0;X416;78490;78491;77452;14128;;6
502;12;13630;L;3;0;;78652;78696;78695;13629;;6
502;12;13633;L;3;0;;78652;78708;78566;13629;;6
502;12;1051;L;3;0;;20808;20213;24992;1055;;4
502;12;1057;L;3;0;;20808;20215;20216;1055;;4
502;12;13313;L;3;0;;78637;78504;78918;13987;;6
502;12;13984;L;3;0;;78637;78573;77476;13987;;6
502;12;12201;L;3;0;;78466;78880;77523;14153;;6
502;12;14152;L;3;0;;78466;77520;77577;14153;;6
502;12;1178;L;3;0;;77797;20254;24893;1321;;4
502;12;1318;L;3;0;;77797;41273;20248;1321;;4
502;12;6793;L;3;0;;8527;7260;7255;7344;;5
502;12;7345;L;3;0;;8527;84613;8542;7344;;5
502;12;13826;L;3;0;;77562;78612;79206;13825;;6
502;12;13827;L;3;0;;77562;79207;78886;13825;;6
502;12;13003;L;3;0;;77522;78466;78526;12699;;6
502;12;13009;L;3;0;;77522;78478;77523;12699;;6
502;12;13840;L;3;0;;77605;77535;84598;13839;;6
502;12;13122;L;3;0;;77605;77540;78589;13839;;6
502;12;13829;L;3;0;;78514;77529;79206;13828;;6
502;12;13300;L;3;0;;78514;79207;77540;13828;;6
502;12;13620;L;3;0;;77498;77472;84606;14231;;6
502;12;14221;L;3;0;;77498;84601;77523;14231;;6
502;12;13784;L;3;0;;78683;78599;78518;14027;;6
502;12;14022;L;3;0;;78683;79172;77564;14027;;6
502;12;13560;L;3;0;;77579;78688;77578;14213;;6
502;12;14214;L;3;0;;77579;84594;78689;14213;;6
502;12;13567;L;3;0;;78579;77551;77578;14216;;6
502;12;14217;L;3;0;;78579;84595;78519;14216;;6
502;12;7318;L;3;0;;8537;8414;8495;7317;;5
502;12;6822;L;3;0;;8537;19542;8553;7317;;5
502;12;6826;L;3;0;;8554;7272;19548;6825;;5
502;12;6829;L;3;0;;8554;8556;7254;6825;;5
502;12;12695;L;3;0;;77565;77524;78466;13842;;6
502;12;13843;L;3;0;;77565;78526;78840;13842;;6
502;12;13762;L;3;0;;77606;78723;84599;13761;;6
502;12;13765;L;3;0;;77606;77535;76892;13761;;6
502;12;1201;L;3;0;;20859;20195;20246;1200;;4
502;12;1202;L;3;0;;20859;20856;74424;1200;;4
502;12;6878;L;3;0;;8564;7272;8566;6877;;5
502;12;6881;L;3;0;;8564;10873;7254;6877;;5
502;12;13218;L;3;0;;77569;78625;79224;13823;;6
502;12;13824;L;3;0;;77569;79225;78858;13823;;6
502;12;13510;L;3;0;;78469;78478;77521;13509;;6
502;12;13516;L;3;0;;78469;79204;77496;13509;;6
502;12;13469;L;3;0;;77520;77523;78668;13468;;6
502;12;13473;L;3;0;;77520;79177;78476;13468;;6
502;12;13800;L;3;0;;78518;77577;79217;13799;;6
502;12;13808;L;3;0;;78518;79218;78682;13799;;6
502;12;7103;L;3;0;;8558;7290;10869;6945;;5
502;12;7104;L;3;0;;8558;8419;7286;6945;;5
502;12;13685;L;3;0;;78685;77579;84586;13684;;6
502;12;13688;L;3;0;;78685;78531;78519;13684;;6
502;12;13545;L;3;0;;78519;77577;78580;13544;;6
502;12;13551;L;3;0;;78519;84607;77524;13544;;6
