CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
502;12;289;;298
502;12;298;289;
502;12;6477;;7315
502;12;7315;6477;
502;12;13910;;12406
502;12;12406;13910;12848
502;12;12848;12406;13920
502;12;13920;12848;
502;12;105;;87
502;12;87;105;
502;12;7283;;6511
502;12;6511;7283;
502;12;6683;;6686
502;12;6686;6683;
502;12;14073;;12998
502;12;12998;14073;
502;12;13630;;13633
502;12;13633;13630;
502;12;1051;;1057
502;12;1057;1051;
502;12;13313;;13984
502;12;13984;13313;
502;12;12201;;14152
502;12;14152;12201;
502;12;1178;;1318
502;12;1318;1178;
502;12;6793;;7345
502;12;7345;6793;
502;12;13826;;13827
502;12;13827;13826;
502;12;13003;;13009
502;12;13009;13003;
502;12;13840;;13122
502;12;13122;13840;
502;12;13829;;13300
502;12;13300;13829;
502;12;13620;;14221
502;12;14221;13620;
502;12;13784;;14022
502;12;14022;13784;
502;12;13560;;14214
502;12;14214;13560;
502;12;13567;;14217
502;12;14217;13567;
502;12;7318;;6822
502;12;6822;7318;
502;12;6826;;6829
502;12;6829;6826;
502;12;12695;;13843
502;12;13843;12695;
502;12;13762;;13765
502;12;13765;13762;
502;12;1201;;1202
502;12;1202;1201;
502;12;6878;;6881
502;12;6881;6878;
502;12;13218;;13824
502;12;13824;13218;
502;12;13510;;13516
502;12;13516;13510;
502;12;13469;;13473
502;12;13473;13469;
502;12;13800;;13808
502;12;13808;13800;
502;12;7103;;7104
502;12;7104;7103;
502;12;13685;;13688
502;12;13688;13685;
502;12;13545;;13551
502;12;13551;13545;
