CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
503;13;54462;503;13;54464
503;13;54464;503;13;54533
503;13;54533;503;13;55140
503;13;55140;503;13;55211
503;13;55211;503;13;55219
503;13;55219;503;13;54462
503;13;54465;503;13;55203
503;13;55203;503;13;54465
503;13;54466;503;13;54980
503;13;54980;503;13;54982
503;13;54982;503;13;54466
503;13;54467;503;13;55132
503;13;55132;503;13;55134
503;13;55134;503;13;54467
503;13;54468;503;13;55120
503;13;55120;503;13;55122
503;13;55122;503;13;54468
503;13;54469;503;13;55024
503;13;55024;503;13;55026
503;13;55026;503;13;54469
503;13;54433;503;13;54435
503;13;54435;503;13;54470
503;13;54470;503;13;54866
503;13;54866;503;13;54433
503;13;54430;503;13;54475
503;13;54475;503;13;54430
503;13;54473;503;13;54661
503;13;54661;503;13;54663
503;13;54663;503;13;54473
503;13;54456;503;13;54458
503;13;54458;503;13;54526
503;13;54526;503;13;54961
503;13;54961;503;13;54456
503;13;54459;503;13;54877
503;13;54877;503;13;54459
503;13;54460;503;13;54531
503;13;54531;503;13;55271
503;13;55271;503;13;54460
503;13;54461;503;13;54532
503;13;54532;503;13;54581
503;13;54581;503;13;54583
503;13;54583;503;13;54461
503;13;54446;503;13;54450
503;13;54450;503;13;54446
503;13;54451;503;13;54939
503;13;54939;503;13;54451
503;13;54452;503;13;54454
503;13;54454;503;13;54452
503;13;54402;503;13;54443
503;13;54443;503;13;54402
503;13;54444;503;13;54449
503;13;54449;503;13;54444
503;13;54490;503;13;54492
503;13;54492;503;13;54490
503;13;54493;503;13;54854
503;13;54854;503;13;54493
503;13;54479;503;13;54519
503;13;54519;503;13;54521
503;13;54521;503;13;54667
503;13;54667;503;13;54479
503;13;54480;503;13;54522
503;13;54522;503;13;54740
503;13;54740;503;13;54742
503;13;54742;503;13;54480
503;13;54481;503;13;54523
503;13;54523;503;13;54755
503;13;54755;503;13;54481
503;13;54482;503;13;54780
503;13;54780;503;13;54482
503;13;54484;503;13;54711
503;13;54711;503;13;54713
503;13;54713;503;13;54484
503;13;54485;503;13;54487
503;13;54487;503;13;54809
503;13;54809;503;13;54485
503;13;54488;503;13;54815
503;13;54815;503;13;54817
503;13;54817;503;13;54488
503;13;54489;503;13;54846
503;13;54846;503;13;54489
503;13;54455;503;13;54546
503;13;54546;503;13;54455
503;13;55306;503;13;55314
503;13;55314;503;13;55306
503;13;55307;503;13;55309
503;13;55309;503;13;55415
503;13;55415;503;13;55307
503;13;54431;503;13;55159
503;13;55159;503;13;54431
503;13;54432;503;13;55013
503;13;55013;503;13;55171
503;13;55171;503;13;54432
503;13;54421;503;13;54423
503;13;54423;503;13;55185
503;13;55185;503;13;54421
503;13;54424;503;13;54975
503;13;54975;503;13;54977
503;13;54977;503;13;54424
503;13;54425;503;13;55127
503;13;55127;503;13;55129
503;13;55129;503;13;54425
503;13;54426;503;13;55115
503;13;55115;503;13;55117
503;13;55117;503;13;54426
503;13;54427;503;13;54619
503;13;54619;503;13;55021
503;13;55021;503;13;54427
503;13;54412;503;13;54414
503;13;54414;503;13;55353
503;13;55353;503;13;54412
503;13;54415;503;13;55263
503;13;55263;503;13;55275
503;13;55275;503;13;54415
503;13;54416;503;13;55268
503;13;55268;503;13;55270
503;13;55270;503;13;54416
503;13;54417;503;13;54419
503;13;54419;503;13;54580
503;13;54580;503;13;54417
503;13;54420;503;13;55216
503;13;55216;503;13;55222
503;13;55222;503;13;54420
503;13;55017;503;13;55019
503;13;55019;503;13;55017
503;13;54621;503;13;55010
503;13;55010;503;13;54621
503;13;54622;503;13;54624
503;13;54624;503;13;54622
503;13;54407;503;13;54409
503;13;54409;503;13;54407
503;13;54410;503;13;54545
503;13;54545;503;13;54410
503;13;54411;503;13;55278
503;13;55278;503;13;54411
503;13;54403;503;13;54929
503;13;54929;503;13;54403
503;13;54404;503;13;54933
503;13;54933;503;13;54935
503;13;54935;503;13;54404
503;13;54405;503;13;54943
503;13;54943;503;13;54405
503;13;54406;503;13;54938
503;13;54938;503;13;54406
503;13;54718;503;13;55328
503;13;55328;503;13;54718
503;13;54688;503;13;54719
503;13;54719;503;13;54721
503;13;54721;503;13;54688
503;13;55233;503;13;55265
503;13;55265;503;13;55233
503;13;55196;503;13;55266
503;13;55266;503;13;55196
503;13;55244;503;13;55267
503;13;55267;503;13;55244
503;13;54496;503;13;54632
503;13;54632;503;13;54496
503;13;54497;503;13;55247
503;13;55247;503;13;54497
503;13;54498;503;13;54500
503;13;54500;503;13;54498
503;13;54504;503;13;54506
503;13;54506;503;13;54699
503;13;54699;503;13;54504
503;13;54501;503;13;54676
503;13;54676;503;13;54501
503;13;54502;503;13;54686
503;13;54686;503;13;54502
503;13;54503;503;13;54690
503;13;54690;503;13;54503
503;13;54746;503;13;54751
503;13;54751;503;13;54746
503;13;54509;503;13;54752
503;13;54752;503;13;54509
503;13;54724;503;13;54726
503;13;54726;503;13;54753
503;13;54753;503;13;54724
503;13;54754;503;13;54768
503;13;54768;503;13;54754
503;13;54756;503;13;54770
503;13;54770;503;13;54756
503;13;54757;503;13;54759
503;13;54759;503;13;54757
503;13;54514;503;13;54574
503;13;54574;503;13;54599
503;13;54599;503;13;54514
503;13;54515;503;13;54748
503;13;54748;503;13;54515
503;13;54511;503;13;54516
503;13;54516;503;13;54511
503;13;54517;503;13;54728
503;13;54728;503;13;54517
503;13;54518;503;13;54766
503;13;54766;503;13;54518
503;13;54577;503;13;55234
503;13;55234;503;13;55338
503;13;55338;503;13;54577
503;13;54578;503;13;55197
503;13;55197;503;13;54578
503;13;54579;503;13;55245
503;13;55245;503;13;54579
503;13;54575;503;13;55337
503;13;55337;503;13;55375
503;13;55375;503;13;54575
503;13;54085;503;13;54572
503;13;54572;503;13;54698
503;13;54698;503;13;54085
503;13;54573;503;13;54733
503;13;54733;503;13;54735
503;13;54735;503;13;54573
503;13;54510;503;13;54737
503;13;54737;503;13;54510
503;13;54512;503;13;54658
503;13;54658;503;13;54512
503;13;54069;503;13;54096
503;13;54096;503;13;54110
503;13;54110;503;13;54069
503;13;54052;503;13;54080
503;13;54080;503;13;54052
503;13;54054;503;13;54094
503;13;54094;503;13;54054
503;13;54058;503;13;54090
503;13;54090;503;13;54058
503;13;54059;503;13;54106
503;13;54106;503;13;54059
503;13;54064;503;13;54101
503;13;54101;503;13;54064
503;13;30061;503;13;30071
503;13;30071;503;13;30061
503;13;30063;503;13;30073
503;13;30073;503;13;30063
503;13;54564;503;13;54566
503;13;54566;503;13;54564
503;13;54567;503;13;54569
503;13;54569;503;13;54567
503;13;54100;503;13;54570
503;13;54570;503;13;54100
503;13;54557;503;13;54561
503;13;54561;503;13;54995
503;13;54995;503;13;54557
503;13;55212;503;13;55321
503;13;55321;503;13;55212
503;13;54803;503;13;54805
503;13;54805;503;13;54803
503;13;54806;503;13;54822
503;13;54822;503;13;54824
503;13;54824;503;13;54806
503;13;54807;503;13;54830
503;13;54830;503;13;54832
503;13;54832;503;13;54807
503;13;54808;503;13;54841
503;13;54841;503;13;54808
503;13;54082;503;13;54535
503;13;54535;503;13;54082
503;13;54084;503;13;54677
503;13;54677;503;13;54084
503;13;54088;503;13;54710
503;13;54710;503;13;54088
503;13;54554;503;13;54591
503;13;54591;503;13;54593
503;13;54593;503;13;54554
503;13;55362;503;13;55363
503;13;55363;503;13;55362
503;13;54779;503;13;54800
503;13;54800;503;13;54779
503;13;54792;503;13;54845
503;13;54845;503;13;54792
503;13;55130;503;13;55154
503;13;55154;503;13;55156
503;13;55156;503;13;55130
503;13;55118;503;13;55157
503;13;55157;503;13;55118
503;13;55022;503;13;55158
503;13;55158;503;13;55022
503;13;55149;503;13;55151
503;13;55151;503;13;55149
503;13;55152;503;13;55201
503;13;55201;503;13;55152
503;13;54978;503;13;55153
503;13;55153;503;13;54978
503;13;54706;503;13;54708
503;13;54708;503;13;54797
503;13;54797;503;13;54799
503;13;54799;503;13;54706
503;13;54924;503;13;55054
503;13;55054;503;13;55056
503;13;55056;503;13;54924
503;13;55039;503;13;55041
503;13;55041;503;13;55039
503;13;54558;503;13;55043
503;13;55043;503;13;54558
503;13;55047;503;13;55110
503;13;55110;503;13;55364
503;13;55364;503;13;55047
503;13;55090;503;13;55093
503;13;55093;503;13;55090
503;13;54556;503;13;55094
503;13;55094;503;13;54556
503;13;55095;503;13;55108
503;13;55108;503;13;55095
503;13;55096;503;13;55100
503;13;55100;503;13;55096
503;13;55035;503;13;55037
503;13;55037;503;13;55035
503;13;55038;503;13;55064
503;13;55064;503;13;55038
503;13;55389;503;13;55391
503;13;55391;503;13;55389
503;13;54604;503;13;54945
503;13;54945;503;13;54604
503;13;54946;503;13;54953
503;13;54953;503;13;54946
503;13;54947;503;13;54958
503;13;54958;503;13;54947
503;13;54818;503;13;54848
503;13;54848;503;13;54818
503;13;54849;503;13;54851
503;13;54851;503;13;54849
503;13;54883;503;13;54885
503;13;54885;503;13;54988
503;13;54988;503;13;54990
503;13;54990;503;13;54883
503;13;54991;503;13;55079
503;13;55079;503;13;55294
503;13;55294;503;13;54991
503;13;54899;503;13;54901
503;13;54901;503;13;54992
503;13;54992;503;13;54899
503;13;54993;503;13;55066
503;13;55066;503;13;55318
503;13;55318;503;13;54993
503;13;54919;503;13;54994
503;13;54994;503;13;54919
503;13;54985;503;13;55137
503;13;55137;503;13;55143
503;13;55143;503;13;54985
503;13;54986;503;13;55146
503;13;55146;503;13;54986
503;13;54548;503;13;54890
503;13;54890;503;13;54548
503;13;54891;503;13;54963
503;13;54963;503;13;54891
503;13;54892;503;13;54894
503;13;54894;503;13;55409
503;13;55409;503;13;54892
503;13;54550;503;13;54552
503;13;54552;503;13;54550
503;13;54553;503;13;55310
503;13;55310;503;13;54553
503;13;54555;503;13;55301
503;13;55301;503;13;55303
503;13;55303;503;13;54555
503;13;54559;503;13;54630
503;13;54630;503;13;54559
503;13;54540;503;13;55350
503;13;55350;503;13;54540
503;13;54541;503;13;55226
503;13;55226;503;13;54541
503;13;54542;503;13;55237
503;13;55237;503;13;54542
503;13;54543;503;13;54954
503;13;54954;503;13;54543
503;13;54544;503;13;54959
503;13;54959;503;13;54544
503;13;54547;503;13;55281
503;13;55281;503;13;54547
503;13;54549;503;13;55312
503;13;55312;503;13;54549
503;13;54782;503;13;54787
503;13;54787;503;13;54782
503;13;54788;503;13;54794
503;13;54794;503;13;54788
503;13;54789;503;13;54802
503;13;54802;503;13;54789
503;13;54790;503;13;54811
503;13;54811;503;13;54790
503;13;54791;503;13;54838
503;13;54838;503;13;54791
503;13;54857;503;13;55366
503;13;55366;503;13;54857
503;13;54687;503;13;54858
503;13;54858;503;13;54860
503;13;54860;503;13;54687
503;13;54691;503;13;54693
503;13;54693;503;13;54691
503;13;54694;503;13;54861
503;13;54861;503;13;54694
503;13;54695;503;13;54722
503;13;54722;503;13;54695
503;13;54696;503;13;54702
503;13;54702;503;13;54704
503;13;54704;503;13;54696
503;13;54613;503;13;55182
503;13;55182;503;13;54613
503;13;55183;503;13;55235
503;13;55235;503;13;55183
503;13;55184;503;13;55187
503;13;55187;503;13;55199
503;13;55199;503;13;55184
503;13;55048;503;13;55103
503;13;55103;503;13;55048
503;13;54736;503;13;54747
503;13;54747;503;13;54736
503;13;54657;503;13;54749
503;13;54749;503;13;54657
503;13;52;503;13;81
503;13;81;503;13;52
503;13;64;503;13;6052
503;13;6052;503;13;64
503;13;6066;503;13;12052
503;13;12052;503;13;6066
503;13;18058;503;13;24052
503;13;24052;503;13;18058
503;13;12056;503;13;18052
503;13;18052;503;13;12056
503;13;55242;503;13;55255
503;13;55255;503;13;55242
503;13;55243;503;13;55261
503;13;55261;503;13;55243
503;13;55023;503;13;55170
503;13;55170;503;13;55023
503;13;55145;503;13;55207
503;13;55207;503;13;55145
503;13;55368;503;13;55413
503;13;55413;503;13;55368
503;13;55410;503;13;55414
503;13;55414;503;13;55410
503;13;55051;503;13;55053
503;13;55053;503;13;55071
503;13;55071;503;13;55051
503;13;55174;503;13;55176
503;13;55176;503;13;55174
503;13;55123;503;13;55177
503;13;55177;503;13;55123
503;13;55084;503;13;55293
503;13;55293;503;13;55084
503;13;54898;503;13;55085
503;13;55085;503;13;54898
503;13;55086;503;13;55088
503;13;55088;503;13;55317
503;13;55317;503;13;55086
503;13;54668;503;13;54772
503;13;54772;503;13;54668
503;13;55345;503;13;55383
503;13;55383;503;13;55345
503;13;54669;503;13;54761
503;13;54761;503;13;54669
503;13;54670;503;13;54714
503;13;54714;503;13;55006
503;13;55006;503;13;54670
503;13;54671;503;13;54674
503;13;54674;503;13;54671
503;13;54537;503;13;54596
503;13;54596;503;13;54602
503;13;54602;503;13;55349
503;13;55349;503;13;54537
503;13;54597;503;13;54680
503;13;54680;503;13;54597
503;13;54598;503;13;54645
503;13;54645;503;13;54598
503;13;54743;503;13;54771
503;13;54771;503;13;54743
503;13;54744;503;13;54760
503;13;54760;503;13;54744
503;13;54679;503;13;54731
503;13;54731;503;13;54679
