CID;LID;NID;NAME;NCOMMENT
503;1;1512;亚洲;
503;1;1513;中国;
503;1;1514;江西省;
503;1;744;抚州市;
503;1;685;赣州市;
503;1;710;吉安市;
503;1;780;景德镇市;
503;1;738;九江市;
503;1;937;南昌市;
503;1;771;上饶市;
503;1;724;新余市;
503;1;730;宜春市;
503;1;766;鹰潭市;
503;1;1041;八一大道;
503;1;1693;福山立交桥;
503;1;1042;阳明东路;
503;1;1074;永叔路;
503;1;1077;孺子东路;
503;1;1028;中山路;
503;1;1078;福州路;
503;1;1079;南京西路;
503;1;1653;八一大桥;
503;1;1033;阳明路;
503;1;1243;赣江北大道;
503;1;1068;井冈山大道;
503;1;1067;广州路;
503;1;1071;站前路;
503;1;1069;洪都南大道;
503;1;1015;建设路;
503;1;1070;解放西路;
503;1;1059;莲塘北大道;
503;1;1058;Ｘ０３５;
503;1;1064;南莲路;
503;1;1002;振兴大道;
503;1;996;莲塘南大道;
503;1;958;Ｇ３１６;
503;1;1060;向阳路;
503;1;1061;莲塘中大道;
503;1;1097;庐山北大道;
503;1;1094;庐山中大道;
503;1;978;英雄大道;
503;1;974;庐山南大道;
503;1;1090;枫林大道;
503;1;1125;丰和北大道;
503;1;1084;凤凰北大道;
503;1;1085;碟子湖大道;
503;1;1669;Ｘ０１２;
503;1;948;枫生高速公路;
503;1;1089;孔目湖大街;
503;1;1093;双港东大街;
503;1;1670;Ｘ０１４;
503;1;1006;昌南大道;
503;1;1508;石桥路;
503;1;1144;高新南大道;
503;1;1511;东升大道;
503;1;1039;象山北路;
503;1;1040;苏圃路;
503;1;1024;抚河北路;
503;1;1671;南浦路;
503;1;1032;叠山路;
503;1;1392;孺子路;
503;1;1029;民德路;
503;1;1011;抚河南路;
503;1;1010;何坊西路;
503;1;1018;洪城路;
503;1;1014;灌婴路;
503;1;1021;抚河中路;
503;1;1022;站前西路;
503;1;1036;沿江北大道;
503;1;1162;富大有路;
503;1;1216;滕王阁隧道;
503;1;1655;江西省人民医院;
503;1;1425;夕照路;
503;1;1219;起凤路;
503;1;1003;迎宾北大道;
503;1;993;迎宾中大道;
503;1;1007;三店西路;
503;1;1518;Ｇ１０５;
503;1;999;富山大道;
503;1;1000;澄湖北大道;
503;1;1001;汇仁大道;
503;1;1285;工业大道;
503;1;1288;红湾大道;
503;1;1265;文化大道;
503;1;1487;建设西路;
503;1;1179;抚生路;
503;1;1182;桃花路;
503;1;1185;大市场东路;
503;1;918;Ｇ３２０;
503;1;938;南昌绕城高速公路;
503;1;967;Ｘ０４９;
503;1;1100;嘉言路;
503;1;1107;长征东路;
503;1;1106;解放路;
503;1;1101;长征西路;
503;1;969;前湖大道;
503;1;1104;兴国路;
503;1;1105;长麦南路;
503;1;1121;翠苑路;
503;1;1249;黄河路;
503;1;1110;怡园路;
503;1;1122;会展路;
503;1;1123;绿茵路;
503;1;1253;珠江路;
503;1;1116;丰和中大道;
503;1;1700;司马庙立交桥;
503;1;1652;南昌大桥;
503;1;972;南斯友好路;
503;1;1113;凤凰中大道;
503;1;1082;赣江中大道;
503;1;877;沪昆高速公路;
503;1;984;东乡服务区;
503;1;983;Ｙ９３４;
503;1;1695;南昌绕城高速公路西段;
503;1;964;生米收费站;
503;1;1584;福银高速公路;
503;1;1685;枫生高速公路南;
503;1;944;昌铜高速公路;
503;1;945;湾里服务区;
503;1;946;Ｘ０５２;
503;1;947;志敏大道;
503;1;1696;南昌绕城高速公路北段;
503;1;1661;蒋巷街东路;
503;1;949;机场大道;
503;1;950;七里岗服务区;
503;1;951;Ｘ０２０;
503;1;1697;南昌绕城高速公路东段;
503;1;953;德昌高速公路;
503;1;954;幽兰收费站;
503;1;1662;Ｘ０２３;
503;1;956;泉岭服务区;
503;1;957;温圳东收费站;
503;1;1698;南昌绕城高速公路南段;
503;1;959;Ｘ０３０;
503;1;960;南昌南服务区;
503;1;963;厚田枢纽;
503;1;763;济广高速公路;
503;1;789;南城枢纽;
503;1;788;南城服务区;
503;1;1660;罗针镇;
503;1;990;Ｓ１０１;
503;1;1158;紫阳大道;
503;1;1174;Ｓ１０１至德昌高速公路;
503;1;1147;昌东大道;
503;1;1165;尤氨路;
503;1;1168;天祥大道;
503;1;1408;二七南路;
503;1;1491;天佑路;
503;1;1315;麦园路;
503;1;1306;海棠南路;
503;1;1309;青岚大道;
503;1;1283;桂苑路;
503;1;987;井头巷;
503;1;988;小房;
503;1;1647;军山湖服务区;
503;1;1646;Ｓ２２２;
503;1;968;祥云大道;
503;1;982;Ｘ０５９;
503;1;1699;昌西南枢纽;
503;1;973;雷公坳服务区;
503;1;977;玉屏东大街;
503;1;1151;Ｘ００２;
503;1;1201;罗冈路;
503;1;1086;黄家湖东路;
503;1;1683;Ｙ２３１;
503;1;1303;昌西大道;
503;1;1398;象山南路;
503;1;1471;南昌仓巷;
503;1;1275;广兰路;
503;1;1159;艾溪湖北路;
503;1;1227;京东大道;
