CID;LID;NID;NTRANSLATION
503;2;685;gan zhou shi
503;3;685;Ganzhou
503;2;686;da guang gao su gong lu gan zhou duan
503;3;686;Daguang Hwy Ganzhou Sect
503;2;689;xin feng fu wu qu
503;3;689;Xinfeng Service Area
503;2;690;tie shi kou shou fei zhan
503;3;690;Tieshikou Tollgate
503;2;691;xin feng shou fei zhan
503;3;691;Xinfeng Tollgate
503;2;692;nan kang fu wu qu
503;3;692;Nankang Service Area
503;2;693;long hui shou fei zhan
503;3;693;Longhui Tollgate
503;2;694;kang da gao su gong lu
503;3;694;Kangda Hwy
503;2;695;gan zhou rao cheng gao su gong lu
503;3;695;Ganzhouraocheng Hwy
503;2;696;nan kang shou fei zhan
503;3;696;Nankang Tollgate
503;2;697;xia rong gao su gong lu
503;3;697;Xiarong Hwy
503;2;698;heng shi shou fei zhan
503;3;698;Hengshi Tollgate
503;2;699;heng shi fu wu qu
503;3;699;Hengshi Service Area
503;2;700;tang cun shou fei zhan
503;3;700;Tangcun Tollgate
503;2;701;ji guang gao su gong lu gan zhou duan
503;3;701;Jiguang Hwy Ganzhou Sect
503;2;703;G319
503;3;703;G319
503;2;707;quan nan gao su gong lu
503;3;707;Quannan Hwy
503;2;710;ji an shi
503;3;710;Ji'an
503;2;711;da guang gao su gong lu ji an duan
503;3;711;Daguang Hwy Ji'an Sect
503;2;712;sui chuan fu wu qu
503;3;712;Suichuan Service Area
503;2;713;sui chuan shou fei zhan
503;3;713;Suichuan Tollgate
503;2;714;wan an shou fei zhan
503;3;714;Wan'an Tollgate
503;2;715;shao kou shou fei zhan
503;3;715;Shaokou Tollgate
503;2;716;tai jing gao su gong lu
503;3;716;Taijing Hwy
503;2;717;ji an fu wu qu
503;3;717;Ji'an Service Area
503;2;718;S335
503;3;718;S335
503;2;719;zhang ji gao su gong lu
503;3;719;Zhangji Hwy
503;2;720;yin wan fu wu qu
503;3;720;Yinwan Service Area
503;2;721;an fu shou fei zhan
503;3;721;Anfu Tollgate
503;2;722;you tian shou fei zhan
503;3;722;Oil Field Tollgate
503;2;723;xin yu nan shou fei zhan
503;3;723;Xinyu S Tollgate
503;2;724;xin yu shi
503;3;724;Xinyu
503;2;725;da guang gao su gong lu xin yu duan
503;3;725;Daguang Hwy Xinyu Sect
503;2;726;xian nv hu fu wu qu
503;3;726;Xiannvhu Service Area
503;2;727;xian nv hu shou fei zhan
503;3;727;Xiannvhu Tollgate
503;2;729;dong cun shou fei zhan
503;3;729;Dongcun Tollgate
503;2;730;yi chun shi
503;3;730;Yichun
503;2;731;da guang gao su gong lu yi chun duan
503;3;731;Daguang Hwy Yichun Sect
503;2;732;shang gao fu wu qu
