CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
503;13;54464;;54465
503;13;54465;54464;54466
503;13;54466;54465;54467
503;13;54467;54466;54468
503;13;54468;54467;54469
503;13;54469;54468;54470
503;13;54470;54469;
503;13;54475;;54476
503;13;54476;54475;
503;13;54458;;54459
503;13;54459;54458;54460
503;13;54460;54459;54461
503;13;54461;54460;54462
503;13;54462;54461;
503;13;54446;;54451
503;13;54451;54446;54452
503;13;54452;54451;
503;13;54443;;54444
503;13;54444;54443;
503;13;54449;;54450
503;13;54450;54449;
503;13;54492;;54493
503;13;54493;54492;
503;13;54478;;54479
503;13;54479;54478;54480
503;13;54480;54479;54481
503;13;54481;54480;54482
503;13;54482;54481;54483
503;13;54483;54482;54484
503;13;54484;54483;54485
503;13;54485;54484;
503;13;54487;;54488
503;13;54488;54487;54489
503;13;54489;54488;54490
503;13;54490;54489;
503;13;54454;;54455
503;13;54455;54454;54456
503;13;54456;54455;
503;13;55306;;55307
503;13;55307;55306;
503;13;54430;;54431
503;13;54431;54430;54432
503;13;54432;54431;54433
503;13;54433;54432;
503;13;54423;;54424
503;13;54424;54423;54425
503;13;54425;54424;54426
503;13;54426;54425;54427
503;13;54427;54426;
503;13;54414;;54415
503;13;54415;54414;54416
503;13;54416;54415;54417
503;13;54417;54416;
503;13;54419;;54420
503;13;54420;54419;54421
503;13;54421;54420;
503;13;54619;;54620
503;13;54620;54619;55224
503;13;55224;54620;55019
503;13;55019;55224;54621
503;13;54621;55019;54622
503;13;54622;54621;
503;13;54409;;54410
503;13;54410;54409;54411
503;13;54411;54410;54412
503;13;54412;54411;
503;13;54402;;54403
503;13;54403;54402;54404
503;13;54404;54403;54405
503;13;54405;54404;54406
503;13;54406;54405;54407
503;13;54407;54406;
503;13;54718;;54719
503;13;54719;54718;
503;13;55265;;55266
503;13;55266;55265;55267
503;13;55267;55266;55268
503;13;55268;55267;
503;13;54495;;54496
503;13;54496;54495;54497
503;13;54497;54496;54498
503;13;54498;54497;
503;13;54506;;54507
503;13;54507;54506;
503;13;54500;;54501
503;13;54501;54500;54502
503;13;54502;54501;54503
503;13;54503;54502;54504
503;13;54504;54503;
503;13;54751;;54752
503;13;54752;54751;54753
503;13;54753;54752;54754
503;13;54754;54753;54755
503;13;54755;54754;54756
503;13;54756;54755;54757
503;13;54757;54756;
503;13;54514;;54515
503;13;54515;54514;54516
503;13;54516;54515;54517
503;13;54517;54516;54518
503;13;54518;54517;54519
503;13;54519;54518;
503;13;54577;;54578
503;13;54578;54577;54579
503;13;54579;54578;54580
503;13;54580;54579;54581
503;13;54581;54580;
503;13;55337;;55338
503;13;55338;55337;
503;13;54572;;54573
503;13;54573;54572;54574
503;13;54574;54573;54575
