CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
503;13;54464;P;1;6;;1041;1693;;13;;;54463;1;1;1;1;1;1;;;+11590969;+2866235;0;1
503;13;54465;P;1;10;;1041;1074;;13;;;54463;1;1;1;1;1;1;;;+11590422;+2866773;0;1
503;13;54466;P;1;10;;1041;1077;;13;;;54463;1;1;1;1;1;1;;;+11590345;+2867206;0;1
503;13;54467;P;1;10;;1041;1028;;13;;;54463;1;1;1;1;1;1;;;+11590338;+2867555;0;1
503;13;54468;P;1;10;;1041;1078;;13;;;54463;1;1;1;1;1;1;;;+11590333;+2868172;0;1
503;13;54469;P;1;6;;1041;1079;;13;;;54463;1;1;1;1;1;1;;;+11590316;+2868482;0;1
503;13;54470;P;1;10;;1041;1042;;13;;;54463;1;1;1;1;1;1;;;+11590192;+2868751;0;1
503;13;54475;P;1;10;;1653;1033;;13;;;54474;1;1;1;1;1;1;;;+11588865;+2868782;0;1
503;13;54476;P;1;7;;1653;1243;;13;;;54474;1;1;1;1;1;1;;;+11587492;+2869438;0;1
503;13;54458;P;1;10;;1068;1067;;13;;;54457;1;1;1;1;1;1;;;+11591920;+2862159;0;1
503;13;54459;P;1;10;;1068;1069;;13;;;54457;1;1;1;1;1;1;;;+11591548;+2863218;0;1
503;13;54460;P;1;10;;1068;1015;;13;;;54457;1;1;1;1;1;1;;;+11591152;+2864843;0;1
503;13;54461;P;1;10;;1068;1070;;13;;;54457;1;1;1;1;1;1;;;+11591076;+2865505;0;1
503;13;54462;P;1;6;;1068;1071;;13;;;54457;1;1;1;1;1;1;;;+11590969;+2866235;0;1
503;13;54446;P;1;12;;1059;1058;;13;;;54445;1;1;1;1;1;1;;;+11594423;+2855549;0;1
503;13;54451;P;1;10;;1059;1002;;13;;;54445;1;1;1;1;1;1;;;+11593348;+2857971;0;1
503;13;54452;P;1;10;;1059;1064;;13;;;54445;1;1;1;1;1;1;;;+11592984;+2859666;0;0
503;13;54443;P;1;6;;996;958;;13;;;54442;1;1;1;1;1;1;;;+11594201;+2851254;0;1
503;13;54444;P;1;10;;996;1060;;13;;;54442;1;1;1;1;1;1;;;+11594673;+2854344;0;1
503;13;54449;P;1;10;;1061;1060;;13;;;54448;1;1;1;1;1;1;;;+11594673;+2854344;0;1
503;13;54450;P;1;12;;1061;1058;;13;;;54448;1;1;1;1;1;1;;;+11594423;+2855549;0;1
503;13;54492;P;1;11;;1097;1094;;13;;;54491;1;1;1;1;1;1;;;+11585103;+2876625;0;0
503;13;54493;P;1;10;;1097;978;;13;;;54491;1;1;1;1;1;1;;;+11585129;+2877916;0;0
503;13;54478;P;1;7;;974;1243;;13;;;54477;1;1;1;1;1;1;;;+11587492;+2869438;0;1
503;13;54479;P;1;10;;974;1125;;13;;;54477;1;1;1;1;1;1;;;+11586907;+2869854;0;1
503;13;54480;P;1;10;;974;1084;;13;;;54477;1;1;1;1;1;1;;;+11586549;+2870148;0;1
503;13;54481;P;1;10;;974;1085;;13;;;54477;1;1;1;1;1;1;;;+11586233;+2870464;0;1
503;13;54482;P;1;10;;974;1669;;13;;;54477;1;1;1;1;1;1;;;+11585225;+2871373;0;1
503;13;54483;P;1;3;;974;948;;13;;;54477;1;1;1;1;1;1;;;+11584877;+2871972;0;1
503;13;54484;P;1;10;;974;1089;;13;;;54477;1;1;1;1;1;1;;;+11585113;+2872913;0;1
503;13;54485;P;1;10;;974;1090;;13;;;54477;1;1;1;1;1;1;;;+11585034;+2873637;0;1
503;13;54487;P;1;10;;1094;1090;;13;;;54486;1;1;1;1;1;1;;;+11585034;+2873637;0;1
503;13;54488;P;1;10;;1094;1093;;13;;;54486;1;1;1;1;1;1;;;+11585112;+2874282;0;1
503;13;54489;P;1;12;;1094;1670;;13;;;54486;1;1;1;1;1;1;;;+11585681;+2875723;0;1
503;13;54490;P;1;11;;1094;1097;;13;;;54486;1;1;1;1;1;1;;;+11585103;+2876625;0;0
503;13;54454;P;1;12;;1064;1059;;13;;;54453;1;1;1;1;1;1;;;+11592984;+2859666;0;0
503;13;54455;P;1;10;;1064;1006;;13;;;54453;1;1;1;1;1;1;;;+11592911;+2860107;0;1
503;13;54456;P;1;10;;1064;1067;;13;;;54453;1;1;1;1;1;1;;;+11591920;+2862159;0;1
503;13;55306;P;1;10;;1508;1144;;13;;;55305;1;1;1;1;1;1;;;+11595622;+2863418;0;1
503;13;55307;P;1;10;;1508;1511;;13;;;55305;1;1;1;1;1;1;;;+11596785;+2863414;0;1
503;13;54430;P;1;10;;1033;1653;;13;;;54428;1;1;1;1;1;1;;;+11588865;+2868782;0;1
503;13;54431;P;1;10;;1033;1039;;13;;;54428;1;1;1;1;1;1;;;+11589008;+2868796;0;1
503;13;54432;P;1;10;;1033;1040;;13;;;54428;1;1;1;1;1;1;;;+11589702;+2868804;0;1
503;13;54433;P;1;10;;1033;1042;;13;;;54428;1;1;1;1;1;1;;;+11590192;+2868751;0;1
503;13;54423;P;1;10;;1024;1671;;13;;;54422;1;1;1;1;1;1;;;+11588846;+2866705;0;1
503;13;54424;P;1;10;;1024;1392;;13;;;54422;1;1;1;1;1;1;;;+11588602;+2866922;0;1
503;13;54425;P;1;10;;1024;1028;;13;;;54422;1;1;1;1;1;1;;;+11588310;+2867460;0;1
503;13;54426;P;1;10;;1024;1029;;13;;;54422;1;1;1;1;1;1;;;+11588242;+2867622;0;1
503;13;54427;P;1;10;;1024;1032;;13;;;54422;1;1;1;1;1;1;;;+11588173;+2868256;0;1
503;13;54414;P;1;10;;1011;1010;;13;;;54413;1;1;1;1;1;1;;;+11590666;+2863584;0;1
503;13;54415;P;1;10;;1011;1014;;13;;;54413;1;1;1;1;1;1;;;+11590214;+2864091;0;1
503;13;54416;P;1;10;;1011;1015;;13;;;54413;1;1;1;1;1;1;;;+11590153;+2864673;0;1
503;13;54417;P;1;6;;1011;1018;;13;;;54413;1;1;1;1;1;1;;;+11589923;+2865503;0;1
503;13;54419;P;1;6;;1021;1018;;13;;;54418;1;1;1;1;1;1;;;+11589923;+2865503;0;1
503;13;54420;P;1;10;;1021;1022;;13;;;54418;1;1;1;1;1;1;;;+11589559;+2866003;0;1
503;13;54421;P;1;10;;1021;1671;;13;;;54418;1;1;1;1;1;1;;;+11588846;+2866705;0;1
