CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
503;13;54463;L;1;2;G105;1041;1693;1042;13;
503;13;54474;L;1;2;G105;1653;1033;1243;13;
503;13;54457;L;1;2;G105;1068;1067;1071;13;
503;13;54445;L;1;2;G105;1059;1058;1064;13;
503;13;54442;L;1;2;G105;996;958;1060;13;
503;13;54448;L;1;2;G105;1061;1060;1058;13;
503;13;54491;L;1;2;G105;1097;1094;978;13;
503;13;54477;L;1;2;G105;974;1243;1090;13;
503;13;54486;L;1;2;G105;1094;1090;1097;13;
503;13;54453;L;1;2;G105;1064;1059;1067;13;
503;13;55305;L;1;4;;1508;1144;1511;13;
503;13;54428;L;1;2;G105;1033;1653;1042;13;
503;13;54422;L;1;2;G316;1024;1671;1032;13;
503;13;54413;L;1;2;G316;1011;1010;1018;13;
503;13;54418;L;1;2;G316;1021;1018;1671;13;
503;13;54618;L;1;4;;1036;1032;1162;13;
503;13;54408;L;1;2;G316;1003;993;1010;13;
503;13;54401;L;1;2;G105;993;1518;1003;13;
503;13;54717;L;1;4;;1285;1288;1265;13;
503;13;55264;L;1;4;;1487;1179;1015;13;
503;13;54494;L;1;2;G320;918;938;948;13;
503;13;54505;L;1;4;;1107;1106;1085;13;
503;13;54499;L;1;2;G320;1101;948;1669;13;
503;13;54750;L;1;4;;1085;1121;1249;13;
503;13;54513;L;1;4;;1116;918;974;13;
503;13;54576;L;1;2;G320;1018;1179;1070;13;
503;13;55336;L;1;2;G320;1652;972;1179;13;
503;13;54571;L;1;2;G320;972;948;1652;13;
503;13;54508;L;1;4;;1110;1085;1082;13;
503;13;54095;L;1;1;G60;877;938;984;13;
503;13;54111;L;2;1;G60;938;;;13;
503;13;30070;L;1;1;G70;1584;763;789;9;
503;13;54108;L;1;1;G70;1584;1660;938;13;
503;13;54105;L;1;1;G70;1584;938;1518;13;
503;13;54565;L;1;3;S101;990;1158;953;13;
503;13;54568;L;1;4;;1174;990;953;13;
503;13;54560;L;1;3;S201;1158;1147;990;13;
503;13;55210;L;1;4;;1071;1693;1408;13;
503;13;54804;L;1;4;;1090;1315;1518;13;
503;13;54099;L;1;1;S36;953;987;990;13;
503;13;54091;L;1;1;S40;944;1646;968;13;
