CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
503;13;54051;L;3;0;G60;1695;964;1584;54111;;13
503;13;54114;L;3;0;G60;1696;1584;1661;54111;;13
503;13;54112;L;3;0;G60;1697;1661;877;54111;;13
503;13;54113;L;3;0;G60;1698;877;964;54111;;13
503;13;54525;L;3;0;;1127;1067;1518;54528;;13
503;13;54529;L;3;0;;1127;1128;1041;54528;;13
503;13;54827;L;3;0;;1309;1300;1090;54834;;13
503;13;54835;L;3;0;;1309;1312;1303;54834;;13
503;13;55098;L;3;0;;1168;1448;1158;55418;;13
503;13;55419;L;3;0;;1168;1714;1442;55418;;13
503;13;55106;L;3;0;;1165;1454;1158;55421;;13
503;13;55422;L;3;0;;1165;1715;1162;55421;;13
