CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
504;14;597;P;1;10;;35683;35693;;4;;;596;1;1;1;1;1;1;;;+11367682;+3475020;0;1
504;14;598;P;1;10;;35683;35656;;4;;;596;1;1;1;1;1;1;;;+11368204;+3474905;0;1
504;14;599;P;1;10;;35683;35643;;4;;;596;1;1;1;1;1;1;;;+11369146;+3474686;0;1
504;14;725;P;1;10;;35603;35600;;4;;;724;1;1;1;1;1;1;;;+11370614;+3472091;0;1
504;14;1720;P;1;12;;35603;35735;;4;;;724;1;1;1;1;1;1;;;+11370506;+3473061;0;1
504;14;1520;P;1;10;;35603;35926;;4;;;724;1;1;1;1;1;1;;;+11370424;+3473769;0;1
504;14;727;P;1;10;;35603;35682;;4;;;724;1;1;1;1;1;1;;;+11370395;+3473927;0;1
504;14;1521;P;1;10;;35603;35921;;4;;;724;1;1;1;1;1;1;;;+11370402;+3474327;0;1
504;14;728;P;1;10;;35603;35601;;4;;;724;1;1;1;1;1;1;;;+11370405;+3474685;0;1
504;14;1461;P;1;10;;35603;35787;;4;;;724;1;1;1;1;1;1;;;+11370401;+3475097;0;1
504;14;1620;P;1;10;;35603;36031;;4;;;724;1;1;1;1;1;1;;;+11370399;+3475747;0;1
504;14;1621;P;1;10;;35603;36032;;4;;;724;1;1;1;1;1;1;;;+11370404;+3475959;0;1
504;14;729;P;1;10;;35603;35602;;4;;;724;1;1;1;1;1;1;;;+11370469;+3476307;0;1
504;14;731;P;1;10;;35603;35736;;4;;;724;1;1;1;1;1;1;;;+11370675;+3477014;0;1
504;14;730;P;1;7;;35603;35563;;4;;;724;1;1;1;1;1;1;;;+11370966;+3477660;0;1
504;14;593;P;1;10;;35691;35644;;4;;;592;1;1;1;1;1;1;;;+11366661;+3475250;0;1
504;14;594;P;1;10;;35691;35692;;4;;;592;1;1;1;1;1;1;;;+11367134;+3475128;0;1
504;14;595;P;1;10;;35691;35693;;4;;;592;1;1;1;1;1;1;;;+11367682;+3475020;0;1
504;14;7256;P;1;12;;11311;967;;5;;;7255;1;1;1;1;1;1;;;+11250927;+3466203;0;0
504;14;7257;P;1;11;;11311;968;;5;;;7255;1;1;1;1;1;1;;;+11251523;+3466261;0;0
504;14;6402;P;1;3;;11187;2581;;5;;;6401;1;1;1;1;1;1;;;+11232587;+3468514;0;0
504;14;6403;P;1;8;;11187;699;;5;;;6401;1;1;1;1;1;1;;;+11233565;+3468413;0;1
504;14;7214;P;1;10;;11187;956;;5;;;6401;1;1;1;1;1;1;;;+11234653;+3469850;0;1
504;14;6404;P;1;11;;11187;931;;5;;;6401;1;1;1;1;1;1;;;+11236629;+3470486;0;1
504;14;6405;P;1;12;;11187;701;;5;;;6401;1;1;1;1;1;1;;;+11238472;+3470550;0;1
504;14;7227;P;1;11;;11187;817;;5;;;6401;1;1;1;1;1;1;;;+11240279;+3470662;0;1
504;14;6406;P;1;8;;11187;702;;5;;;6401;1;1;1;1;1;1;;;+11242183;+3470696;0;1
504;14;6407;P;1;8;;11187;703;;5;;;6401;1;1;1;1;1;1;;;+11242782;+3470684;0;1
504;14;6408;P;1;10;;11187;930;;5;;;6401;1;1;1;1;1;1;;;+11244240;+3471383;0;1
504;14;6409;P;1;11;;11187;705;;5;;;6401;1;1;1;1;1;1;;;+11247827;+3471136;0;1
504;14;6410;P;1;12;;11187;907;;5;;;6401;1;1;1;1;1;1;;;+11248929;+3471176;0;1
504;14;6411;P;1;12;;11187;707;;5;;;6401;1;1;1;1;1;1;;;+11251094;+3470426;0;0
504;14;6412;P;1;10;;11187;8138;;5;;;6401;1;1;1;1;1;1;;;+11252296;+3470667;0;0
504;14;6413;P;1;3;;11187;673;;5;;;6401;1;1;1;1;1;1;;;+11254387;+3470962;0;0
504;14;6580;P;1;12;;11187;926;;5;;;6401;1;1;1;1;1;1;;;+11259233;+3471863;0;0
504;14;6414;P;1;6;;11187;11869;;5;;;6401;1;1;1;1;1;1;;;+11266303;+3472370;0;0
504;14;981;P;1;10;;35567;36491;;4;;;461;1;1;1;1;1;1;;;+11338582;+3476670;0;1
504;14;1696;P;1;12;;35567;36058;;4;;;461;1;1;1;1;1;1;;;+11340425;+3476606;0;1
504;14;437;P;1;3;;35567;36071;;4;;;461;1;1;1;1;1;1;;;+11346479;+3476756;0;0
504;14;439;P;1;10;;35567;35610;;4;;;461;1;1;1;1;1;1;;;+11353070;+3476195;0;1
504;14;440;P;1;10;;35567;35612;;4;;;461;1;1;1;1;1;1;;;+11353169;+3474756;0;1
504;14;1472;P;1;10;;35567;36492;;4;;;461;1;1;1;1;1;1;;;+11353328;+3473117;0;1
504;14;441;P;1;10;;35567;35613;;4;;;461;1;1;1;1;1;1;;;+11353544;+3471391;0;1
504;14;442;P;1;3;;35567;35573;;4;;;461;1;1;1;1;1;1;;;+11354503;+3469699;0;1
504;14;443;P;1;10;;35567;36493;;4;;;461;1;1;1;1;1;1;;;+11356014;+3469567;0;1
504;14;444;P;1;10;;35567;35615;;4;;;461;1;1;1;1;1;1;;;+11359429;+3469796;0;1
504;14;445;P;1;6;;35567;36583;;4;;;461;1;1;1;1;1;1;;;+11360026;+3468250;0;1
504;14;446;P;1;6;;35567;36484;;4;;;461;1;1;1;1;1;1;;;+11362756;+3466392;0;1
