CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
504;14;596;L;1;4;;35683;35693;35643;4;
504;14;724;L;1;4;;35603;35600;35563;4;
504;14;592;L;1;4;;35691;35644;35693;4;
504;14;7255;L;1;4;;11311;967;968;5;
504;14;6401;L;1;2;G107;11187;2581;11869;5;
504;14;461;L;1;2;G107;35567;36491;35577;4;
504;14;812;L;1;4;;35668;35640;35563;4;
504;14;401;L;1;2;G107;35577;36019;36582;4;
504;14;422;L;1;3;;35563;35567;35577;4;
504;14;902;L;1;4;;35756;35561;35670;4;
504;14;462;L;1;2;G220;35860;36028;36084;4;
504;14;664;L;1;2;G220;35591;35601;36028;4;
504;14;600;L;1;4;;35601;35643;35563;4;
504;14;70;L;1;1;G3001;36071;35559;36028;4;
504;14;6786;L;1;4;;755;816;699;5;
504;14;732;L;1;4;;35714;35563;35755;4;
504;14;583;L;1;4;;35685;35644;35656;4;
504;14;1768;L;1;4;;36121;35567;36092;4;
504;14;1053;L;1;4;;35880;35567;35627;4;
504;14;452;L;1;3;;36627;35627;35563;4;
504;14;6540;L;1;3;;782;770;772;5;
504;14;7026;L;1;4;;940;858;686;5;
504;14;63;L;1;1;S1;35570;36028;35563;4;
504;14;538;L;1;3;S102;35665;36496;35577;4;
504;14;502;L;1;3;S103;35586;35577;35567;4;
504;14;1774;L;1;3;S103;36497;35586;35635;4;
504;14;473;L;1;3;S207;35635;35831;36490;4;
504;14;6945;L;1;4;;12044;717;742;5;
504;14;860;L;1;4;;36424;35640;35563;4;
504;14;6974;L;1;4;;766;718;720;5;
504;14;706;L;1;4;;35604;35671;35563;4;
504;14;1282;L;1;4;;35693;35725;35683;4;
504;14;660;L;1;4;;35704;35711;35644;4;
504;14;6921;L;1;4;;11324;716;777;5;
504;14;464;L;1;3;S236;35627;35831;36627;4;
504;14;7113;L;1;3;S238;8138;709;11179;5;
504;14;6557;L;1;3;S238;708;8138;789;5;
504;14;6966;L;1;4;;767;807;809;5;
504;14;6910;L;1;4;;753;844;699;5;
504;14;1273;L;1;4;;35921;35707;35603;4;
504;14;6551;L;1;3;S243;784;11187;930;5;
504;14;6421;L;1;3;S252;709;8138;710;5;
504;14;643;L;1;4;;35643;35706;35602;4;
504;14;991;L;1;4;;35595;36120;35563;4;
504;14;1779;L;1;3;S314;36501;36503;35595;4;
504;14;987;L;1;3;S232;36587;35865;36503;4;
504;14;1597;L;1;4;;36040;35704;35705;4;
504;14;528;L;1;3;S316;35801;36299;35635;4;
504;14;6478;L;1;3;S318;690;2581;744;5;
504;14;6415;L;1;3;S320;683;708;673;5;
504;14;1251;L;1;4;;35918;35724;35692;4;
504;14;777;L;1;4;X002;35729;35644;35624;4;
504;14;1611;L;1;4;X003;35684;35656;35726;4;
504;14;1168;L;1;4;X008;35906;35763;35563;4;
504;14;1147;L;1;4;X015;36020;35563;35577;4;
504;14;7101;L;1;4;X029;931;11187;703;5;
504;14;614;L;1;4;X032;35612;36563;35631;4;
504;14;1711;L;1;4;X034;36058;35612;35567;4;
