CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
504;14;1967;L;3;0;G107;35577;36019;35593;401;;4
504;14;1968;L;3;0;G107;35577;35592;36582;401;;4
504;14;7110;L;3;0;S238;8138;709;708;7113;;5
504;14;6554;L;3;0;S238;8138;11187;11179;7113;;5
504;14;1617;L;3;0;;36031;35726;35603;1643;;4
504;14;1640;L;3;0;;36031;35915;35563;1643;;4
504;14;6834;L;3;0;;825;797;746;6833;;5
504;14;6838;L;3;0;;825;747;749;6833;;5
504;14;514;L;3;0;;35600;36597;36508;1863;;4
504;14;1864;L;3;0;;35600;35797;35577;1863;;4
504;14;1179;L;3;0;;35679;35754;35764;1178;;4
504;14;1180;L;3;0;;35679;35910;35563;1178;;4
504;14;1686;L;3;0;;35739;35868;35972;1695;;4
504;14;1799;L;3;0;;35739;36532;36511;1695;;4
504;14;1909;L;3;0;;36571;35639;36573;1908;;4
504;14;1910;L;3;0;;36571;35640;35764;1908;;4
504;14;6600;L;3;0;;716;724;726;7105;;5
504;14;7106;L;3;0;;716;711;708;7105;;5
504;14;6086;L;3;0;;891;928;673;6091;;5
504;14;6066;L;3;0;;891;11193;11179;6091;;5
504;14;1346;L;3;0;;35943;35737;35937;1345;;4
504;14;1347;L;3;0;;35944;35937;35712;1345;;4
504;14;1348;L;3;0;;35945;35712;35940;1345;;4
504;14;1349;L;3;0;;35946;35940;35737;1345;;4
504;14;1329;L;3;0;;35932;35737;35937;1328;;4
504;14;1330;L;3;0;;35933;35937;35712;1328;;4
504;14;1331;L;3;0;;35934;35712;35940;1328;;4
504;14;1332;L;3;0;;35935;35940;35737;1328;;4
504;14;6667;L;3;0;;791;769;970;6665;;5
504;14;6666;L;3;0;;791;770;810;6665;;5
504;14;1201;L;3;0;;35736;35678;35726;1200;;4
504;14;1202;L;3;0;;35736;35603;35563;1200;;4
504;14;1735;L;3;0;;36055;35831;36105;1734;;4
504;14;1736;L;3;0;;36055;36080;36592;1734;;4
504;14;1893;L;3;0;;36569;35926;36031;1944;;4
504;14;1947;L;3;0;;36569;35602;36424;1944;;4
504;14;1945;L;3;0;;36569;35679;35716;1944;;4
504;14;1897;L;3;0;;36569;35668;36570;1944;;4
