CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
504;14;1967;;1968
504;14;1968;1967;
504;14;7110;;6554
504;14;6554;7110;
504;14;1617;;1640
504;14;1640;1617;
504;14;6834;;6838
504;14;6838;6834;
504;14;514;;1864
504;14;1864;514;
504;14;1179;;1180
504;14;1180;1179;
504;14;1686;;1799
504;14;1799;1686;
504;14;1909;;1910
504;14;1910;1909;
504;14;6600;;7106
504;14;7106;6600;
504;14;6086;;6066
504;14;6066;6086;
504;14;1346;1349;1347
504;14;1347;1346;1348
504;14;1348;1347;1349
504;14;1349;1348;1346
504;14;1329;1332;1330
504;14;1330;1329;1331
504;14;1331;1330;1332
504;14;1332;1331;1329
504;14;6667;;6666
504;14;6666;6667;
504;14;1201;;1202
504;14;1202;1201;
504;14;1735;;1736
504;14;1736;1735;
504;14;1893;;1947
504;14;1947;1893;1945
504;14;1945;1947;1897
504;14;1897;1945;
