CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
505;15;1053;505;15;1065
505;15;1065;505;15;1053
505;15;3355;505;15;3404
505;15;3404;505;15;3405
505;15;3405;505;15;3355
505;15;426;505;15;2845
505;15;2845;505;15;426
505;15;2846;505;15;2847
505;15;2847;505;15;2846
505;15;133;505;15;1072
505;15;1072;505;15;133
505;15;209;505;15;475
505;15;475;505;15;209
505;15;477;505;15;669
505;15;669;505;15;477
505;15;478;505;15;582
505;15;582;505;15;478
505;15;449;505;15;2788
505;15;2788;505;15;449
505;15;2781;505;15;2848
505;15;2848;505;15;3177
505;15;3177;505;15;2781
505;15;217;505;15;450
505;15;450;505;15;731
505;15;731;505;15;217
505;15;732;505;15;942
505;15;942;505;15;732
505;15;733;505;15;735
505;15;735;505;15;2773
505;15;2773;505;15;733
505;15;2836;505;15;2838
505;15;2838;505;15;2836
505;15;418;505;15;470
505;15;470;505;15;521
505;15;521;505;15;418
505;15;2813;505;15;2829
505;15;2829;505;15;2830
505;15;2830;505;15;2813
505;15;2834;505;15;2835
505;15;2835;505;15;2834
505;15;736;505;15;2747
505;15;2747;505;15;736
505;15;737;505;15;2736
505;15;2736;505;15;737
505;15;436;505;15;439
505;15;439;505;15;738
505;15;738;505;15;436
505;15;739;505;15;869
505;15;869;505;15;739
505;15;501;505;15;740
505;15;740;505;15;501
505;15;529;505;15;531
505;15;531;505;15;741
505;15;741;505;15;2905
505;15;2905;505;15;3516
505;15;3516;505;15;529
505;15;559;505;15;561
505;15;561;505;15;742
505;15;742;505;15;3519
505;15;3519;505;15;559
505;15;743;505;15;2602
505;15;2602;505;15;2604
505;15;2604;505;15;743
505;15;744;505;15;2558
505;15;2558;505;15;2561
505;15;2561;505;15;744
505;15;745;505;15;967
505;15;967;505;15;969
505;15;969;505;15;745
505;15;747;505;15;770
505;15;770;505;15;3218
505;15;3218;505;15;747
505;15;748;505;15;986
505;15;986;505;15;748
505;15;749;505;15;2541
505;15;2541;505;15;749
505;15;750;505;15;884
505;15;884;505;15;750
505;15;751;505;15;913
505;15;913;505;15;751
505;15;213;505;15;431
505;15;431;505;15;433
505;15;433;505;15;213
505;15;3244;505;15;3338
505;15;3338;505;15;3244
505;15;434;505;15;460
505;15;460;505;15;434
505;15;435;505;15;466
505;15;466;505;15;435
505;15;119;505;15;1132
505;15;1132;505;15;3059
505;15;3059;505;15;119
505;15;3060;505;15;3336
505;15;3336;505;15;3060
505;15;467;505;15;2441
505;15;2441;505;15;467
505;15;468;505;15;494
505;15;494;505;15;468
505;15;469;505;15;513
505;15;513;505;15;469
505;15;462;505;15;512
505;15;512;505;15;462
505;15;584;505;15;855
505;15;855;505;15;584
505;15;695;505;15;856
505;15;856;505;15;695
505;15;680;505;15;682
505;15;682;505;15;857
505;15;857;505;15;859
505;15;859;505;15;680
505;15;583;505;15;935
505;15;935;505;15;2102
505;15;2102;505;15;3523
505;15;3523;505;15;583
505;15;585;505;15;608
505;15;608;505;15;585
505;15;586;505;15;599
505;15;599;505;15;586
505;15;587;505;15;591
505;15;591;505;15;587
505;15;954;505;15;962
505;15;962;505;15;954
505;15;963;505;15;972
505;15;972;505;15;963
505;15;964;505;15;978
505;15;978;505;15;964
505;15;3061;505;15;3267
505;15;3267;505;15;3061
505;15;464;505;15;2866
505;15;2866;505;15;464
505;15;546;505;15;550
505;15;550;505;15;546
505;15;701;505;15;760
505;15;760;505;15;3194
505;15;3194;505;15;3348
505;15;3348;505;15;701
505;15;3411;505;15;3412
505;15;3412;505;15;3411
505;15;3349;505;15;3351
505;15;3351;505;15;3349
505;15;2396;505;15;3119
505;15;3119;505;15;2396
505;15;2383;505;15;2397
505;15;2397;505;15;2383
505;15;2343;505;15;2398
505;15;2398;505;15;2343
505;15;2399;505;15;3102
505;15;3102;505;15;2399
505;15;2388;505;15;2400
505;15;2400;505;15;2388
505;15;2363;505;15;2401
505;15;2401;505;15;2363
505;15;2374;505;15;2376
505;15;2376;505;15;2402
505;15;2402;505;15;2374
505;15;2403;505;15;2419
505;15;2419;505;15;2403
505;15;706;505;15;721
505;15;721;505;15;706
505;15;707;505;15;2457
505;15;2457;505;15;707
505;15;708;505;15;2465
505;15;2465;505;15;708
505;15;551;505;15;555
505;15;555;505;15;709
505;15;709;505;15;551
505;15;710;505;15;712
505;15;712;505;15;710
505;15;2720;505;15;2876
505;15;2876;505;15;2720
505;15;2711;505;15;2877
505;15;2877;505;15;2711
505;15;713;505;15;2717
505;15;2717;505;15;713
505;15;2727;505;15;2878
505;15;2878;505;15;2727
505;15;714;505;15;973
505;15;973;505;15;714
505;15;979;505;15;2879
505;15;2879;505;15;979
505;15;715;505;15;3219
505;15;3219;505;15;715
505;15;717;505;15;2884
505;15;2884;505;15;717
505;15;916;505;15;3108
505;15;3108;505;15;916
505;15;2339;505;15;2352
505;15;2352;505;15;3208
505;15;3208;505;15;2339
505;15;2340;505;15;2410
505;15;2410;505;15;2340
505;15;483;505;15;2341
505;15;2341;505;15;483
505;15;2342;505;15;2393
505;15;2393;505;15;2342
505;15;2345;505;15;2347
505;15;2347;505;15;2345
505;15;871;505;15;873
505;15;873;505;15;946
505;15;946;505;15;3084
505;15;3084;505;15;3117
505;15;3117;505;15;871
505;15;754;505;15;874
505;15;874;505;15;3085
505;15;3085;505;15;754
505;15;535;505;15;3086
505;15;3086;505;15;535
505;15;565;505;15;3087
505;15;3087;505;15;565
505;15;877;505;15;3089
505;15;3089;505;15;877
505;15;2501;505;15;3090
505;15;3090;505;15;2501
505;15;2583;505;15;3091
505;15;3091;505;15;2583
505;15;3092;505;15;3373
505;15;3373;505;15;3092
505;15;772;505;15;774
505;15;774;505;15;878
505;15;878;505;15;984
505;15;984;505;15;3093
505;15;3093;505;15;3214
505;15;3214;505;15;772
505;15;2867;505;15;2868
505;15;2868;505;15;2867
505;15;830;505;15;842
505;15;842;505;15;830
505;15;589;505;15;932
505;15;932;505;15;589
505;15;590;505;15;845
505;15;845;505;15;590
505;15;592;505;15;2296
505;15;2296;505;15;592
505;15;593;505;15;1029
505;15;1029;505;15;593
505;15;594;505;15;2243
505;15;2243;505;15;594
505;15;595;505;15;2253
505;15;2253;505;15;595
505;15;596;505;15;2284
505;15;2284;505;15;596
505;15;597;505;15;2287
505;15;2287;505;15;597
505;15;657;505;15;837
505;15;837;505;15;2870
505;15;2870;505;15;657
505;15;409;505;15;838
505;15;838;505;15;2176
505;15;2176;505;15;409
505;15;3062;505;15;3160
505;15;3160;505;15;3062
505;15;3053;505;15;3063
