CID;LID;NID;NAME;NCOMMENT
505;1;993;亚洲;
505;1;994;中国;
505;1;1274;湖北省;
505;1;966;黄冈市;
505;1;2391;黄石市;
505;1;1275;武汉市;
505;1;957;咸宁市;
505;1;978;孝感市;
505;1;1017;Ｇ１０７;
505;1;2343;郑店立交桥（武长街）;
505;1;2346;星光大道（武咸路）;
505;1;2345;郑店街（武长街）;
505;1;2126;黄金路;
505;1;1024;Ｇ３１８;
505;1;1781;白鹤泉东街;
505;1;1812;武汉绕城高速公路;
505;1;1721;白沙洲大道;
505;1;2249;星光大道;
505;1;2347;梅家山立交;
505;1;1301;青郑高速公路;
505;1;1581;三环线;
505;1;2119;张家湾小学;
505;1;1045;武金堤路;
505;1;1639;东西湖大道;
505;1;2348;走径路;
505;1;1783;高桥五路;
505;1;1087;九通路;
505;1;1022;五环大道;
505;1;1641;工农路;
505;1;1208;古田一路;
505;1;1207;长丰大道;
505;1;1556;龟山南路;
505;1;1069;鹦鹉大道;
505;1;1532;黄鹤楼南路;
505;1;1531;黄鹤楼东路;
505;1;1077;解放大道;
505;1;1239;堤边路;
505;1;1633;古田二路;
505;1;1209;古田四路;
505;1;1079;建设大道;
505;1;1080;汉西路;
505;1;1108;硚口路;
505;1;1116;武胜路;
505;1;1129;双洞正街;
505;1;1203;江汉路;
505;1;1204;球场街;
505;1;1197;三阳路;
505;1;1205;芦沟桥路;
505;1;1085;黄浦大街;
505;1;1210;二七路;
505;1;1211;百步亭花园路;
505;1;1212;汉黄路;
505;1;1075;龙阳大道;
505;1;2191;四新大道;
505;1;1050;汉阳大道;
505;1;1076;琴台大道;
505;1;1762;郭茨口路;
505;1;1091;罗七路;
505;1;1047;江城大道;
505;1;1089;五琴路;
505;1;2268;武汉长江大桥;
505;1;1068;武珞路;
505;1;1180;珞狮路;
505;1;1096;中山路;
505;1;1189;中南路;
505;1;1146;临江大道;
505;1;1347;紫阳东路;
505;1;1144;友谊大道;
505;1;1145;和平大道;
505;1;1254;胜利街;
505;1;2349;扬子街;
505;1;1256;合作路;
505;1;1117;中山大道;
505;1;1098;滨江大道;
505;1;2127;显正街;
505;1;1125;友谊路;
505;1;1122;莲花湖路;
505;1;1123;龟山北路;
505;1;2244;平安大道;
505;1;1190;中北路;
505;1;2151;二环线;
505;1;2237;仁和路;
505;1;2204;杨春湖路;
505;1;1103;神龙大道;
505;1;1418;碧湖路;
505;1;1426;三角湖路;
505;1;1099;车城西路;
505;1;1048;东风大道;
505;1;1421;体育路;
505;1;1318;车城东路;
505;1;1422;太子湖路;
505;1;1078;沿河大道;
505;1;1517;鄂江左;
505;1;1195;沿江大道;
505;1;1192;古田三路;
505;1;1109;京汉大道;
505;1;1193;崇仁路;
505;1;1194;多福路;
505;1;1505;民权路;
505;1;1499;民生路;
505;1;1196;南京路;
505;1;1255;一元路;
505;1;1199;滨江渔村;
505;1;1772;江岸路;
505;1;1840;后官湖大道;
505;1;1417;车城大道;
505;1;1074;沌阳大道;
505;1;1419;博学路;
505;1;1316;发展大道;
505;1;1607;常青路;
505;1;1082;青年路;
505;1;1083;新华路;
505;1;2152;唐家墩电信局;
505;1;1131;唐家墩路;
505;1;1478;俊才街;
505;1;1460;中一路;
505;1;1218;老武黄路;
505;1;1063;珞喻东路;
505;1;2133;新店;
505;1;1029;土吴路;
505;1;2134;张之洞路;
505;1;1152;建设十一路;
505;1;1234;民主路;
505;1;1329;新生路;
505;1;1148;秦园路;
505;1;1149;铁机路;
505;1;1150;建设一路;
505;1;1151;建设八路;
505;1;2350;关山大道（珞喻路）;
505;1;1041;光谷大道;
505;1;2135;光谷一路;
505;1;2136;光谷创业街;
505;1;1158;青王路;
505;1;1181;珞喻路;
505;1;1747;关山大道;
505;1;1297;广八路;
505;1;1236;卓刀泉路;
505;1;1043;民族大道;
505;1;2351;洪山广场通道;
505;1;1229;解放路;
505;1;1135;武昌大道;
505;1;1133;纸坊大街;
505;1;1137;李纸路;
505;1;1134;西交路;
505;1;2154;谭鑫培路;
505;1;2157;金樱街;
505;1;2165;红旗渠路;
505;1;1130;江汉北路;
505;1;2164;常青一路;
505;1;1829;檀黄;
505;1;1778;白鹤泉西街;
505;1;1779;永兴街;
505;1;1292;全力一路;
505;1;1171;枫树一路;
505;1;1416;车城南路;
505;1;1774;太子湖北路;
505;1;2171;武汉大道;
505;1;1258;二七小路;
505;1;2304;二七长江大桥（解放大道）;
505;1;2305;二七长江大桥（和平大道）;
505;1;2200;东湖鸟语林;
505;1;1183;八一路;
505;1;1266;东湖路;
505;1;1081;宝丰一路;
505;1;1448;长江日报路;
505;1;1084;澳门路;
505;1;1472;解放公园路;
505;1;1057;金桥大道;
505;1;1215;兴业路;
505;1;1851;后湖大道;
505;1;2382;东湖路（徐东大街）;
505;1;2353;后湖二路;
505;1;2313;武汉长江二桥（解放大道）;
505;1;2314;武汉长江二桥（和平大道）;
505;1;1214;团结大道;
505;1;1030;Ｓ１０４;
505;1;2315;沪蓉高速公路武汉段;
505;1;1826;汉长线;
505;1;1785;京港澳高速公路;
505;1;1990;长岭岗街;
505;1;1322;武麻高速公路;
505;1;1321;武英高速公路;
505;1;1986;关豹高速公路;
505;1;2316;纸贺路;
505;1;1033;江夏服务区;
505;1;1809;沪渝高速公路;
505;1;1526;张柏路;
505;1;1002;机场高速公路;
505;1;1819;福银高速公路;
505;1;998;岱黄高速公路;
505;1;1023;鲁台停车区;
505;1;1867;甘棠收费站;
505;1;1247;汉施公路;
505;1;1026;施岗服务区;
505;1;1027;平江大道;
505;1;1028;青化路;
505;1;2002;武鄂高速公路;
505;1;2320;沪渝高速公路武汉段;
505;1;1035;宏达路;
505;1;1036;Ｓ２４４;
505;1;1317;汉蔡高速公路;
505;1;2319;永安服务区;
505;1;1987;便民路;
505;1;1020;庙岭服务区;
505;1;2324;福银高速公路武汉段;
505;1;1985;天河机场北连接线;
505;1;1000;Ｓ１１０;
505;1;2323;汉孝高速公路;
505;1;1008;前横;
505;1;1773;汉口北大道;
505;1;1302;岱黄辅道;
505;1;1013;Ｓ１０１;
505;1;2145;梁子湖大道;
505;1;2146;凤凰园三路;
505;1;2354;武汉绕城高速公路（纸贺路）;
505;1;1992;纸金路;
505;1;1934;高新大道;
505;1;1233;佳园路;
505;1;1936;左庙路;
505;1;1061;南湖大道;
505;1;1062;雄楚大道;
505;1;1879;光谷二路;
505;1;1314;杨桥湖大道;
505;1;1315;九凤街;
505;1;1060;高新四路;
505;1;2403;流芳园路;
505;1;1807;高新六路;
505;1;2383;国鸿大酒店;
505;1;2180;高新二路;
505;1;2144;界兴路;
505;1;2355;Ｙ０８４（五里界路）;
505;1;2384;Ｘ０１０（五里界路）;
505;1;1293;Ｘ００７;
505;1;2149;全力南路;
505;1;1831;军江村;
505;1;1282;爱民路;
505;1;1014;Ｓ１０３;
505;1;1413;全力三路;
505;1;2148;知音湖大道;
505;1;1230;丁字桥路;
505;1;1231;卓刀泉南路;
505;1;1232;虎泉街;
505;1;1016;汉阳大街;
505;1;1876;蒋湾;
505;1;2356;奓张;
505;1;2142;Ｙ０８４;
505;1;1159;江夏大道;
505;1;1278;长山学校;
505;1;2139;武长街;
505;1;1284;白云一路;
505;1;2388;武汉市汤逊湖泵站管理处;
505;1;2120;八坦路;
505;1;1094;江国路;
505;1;2121;江盛路;
505;1;2122;江民路;
505;1;1176;八铺围堤;
505;1;1168;阳光大道;
505;1;1434;赫山路;
505;1;1237;麒麟路;
505;1;1112;动物园路;
505;1;1111;马沧湖路;
505;1;1432;归元寺路;
505;1;1818;天安道;
505;1;2360;谌家矶大道;
505;1;2361;新河大桥;
505;1;1248;梅教街;
505;1;2155;雅心园;
505;1;1238;张公堤;
505;1;2108;宏图大道;
505;1;1191;白鹭街;
505;1;1262;天鹅路;
505;1;1385;Ｓ１１２;
505;1;1139;南湖路;
505;1;1844;武监高速公路;
505;1;1706;沌口路;
505;1;1802;Ｓ３２１;
505;1;2325;马影河大道;
505;1;1988;龚侏;
505;1;1847;西湖服务区;
505;1;1003;金山大道;
505;1;1004;巨龙大道;
505;1;2005;武汉机场路收费站;
505;1;1119;北湖西路;
505;1;1482;江汉四路;
505;1;1529;航空路;
505;1;1528;宝丰二路;
505;1;1353;平安路;
505;1;2161;华锦新乐思幼儿园;
505;1;1188;建安街;
505;1;1354;瑞安街;
505;1;2174;滨湖路;
505;1;1842;汤逊湖北路;
505;1;2326;武英高速公路武汉段;
505;1;1820;新洲停车区;
505;1;1025;Ｓ１１１;
505;1;2004;左岭路;
505;1;1049;服务区;
505;1;1868;佛祖岭一路;
505;1;1019;Ｘ００２;
505;1;2279;光谷三路;
505;1;2362;桥北路;
505;1;1167;Ｘ０１０;
505;1;2143;五里界路;
505;1;1042;大学园路;
505;1;1166;北华街;
505;1;2389;建安街南;
505;1;1295;惠济路;
505;1;1271;湖边坊路;
505;1;1296;苗栗路;
505;1;1235;卓刀泉北路;
505;1;1186;东一路;
505;1;1187;东三路;
505;1;1182;珞狮北路;
505;1;1727;三环线白沙洲大道入口匝道;
505;1;1580;三环线外圈;
505;1;1723;三环线外圈白沙洲大道入口匝道;
505;1;1729;白沙洲大道东侧;
505;1;1587;三环线内圈;
505;1;1730;三环线内圈白沙洲大道东侧入口匝道;
505;1;2118;白沙洲大道辅路;
505;1;1725;白沙洲大道西侧;
505;1;1728;三环线内圈白沙洲大道西侧入口匝道;
505;1;1733;三环线外圈白沙洲大道西侧入口匝道;
505;1;1886;白云路;
505;1;2168;和谐路;
505;1;2294;百步亭路;
505;1;1993;百威路;
505;1;2085;三环线内圈百威路入口匝道;
505;1;1655;三环线外圈百威路入口匝道;
505;1;2245;金花路;
505;1;1446;西北湖路;
505;1;2296;才华街;
505;1;2175;藏龙大道;
505;1;2176;环岛路;
505;1;1456;长港路;
505;1;1453;姑嫂树路;
505;1;1457;新湾四路;
505;1;1449;台北路;
505;1;2211;常青北路;
505;1;2213;外环路;
505;1;2215;常青花园中路;
505;1;2290;公园南路;
505;1;2289;学府南路;
505;1;1612;常青路东侧;
505;1;1621;三环线内圈常青路东侧入口匝道;
505;1;1613;三环线外圈常青路东侧入口匝道;
505;1;1454;常青三路;
505;1;1459;新湾三路;
505;1;2363;金墩街;
505;1;2227;厂前路;
505;1;1420;车城北路;
505;1;1308;观湖路;
505;1;1100;珠山湖大道;
505;1;1423;兴华路;
505;1;1101;万家湖路;
505;1;2183;楚汉路;
505;1;1887;沙湖大道;
505;1;1406;楚善街;
505;1;1405;楚善路;
505;1;1404;体育街;
505;1;1368;楚韵路;
505;1;2371;春蕾路;
505;1;1307;惠明路;
505;1;990;大广高速公路黄冈段;
505;1;977;泗店服务区;
505;1;830;淋山河停车区;
505;1;969;Ｓ２０２;
505;1;970;葛洲坝大道;
505;1;971;文城塆;
505;1;972;Ｓ２０７;
505;1;973;Ｓ２４１;
505;1;833;Ｘ３０５;
505;1;975;Ｇ１０６;
505;1;19;沪蓉高速公路;
505;1;976;乘马岗收费站;
505;1;2393;大广高速公路黄石段;
505;1;2402;永武高速公路;
505;1;2397;迎宾大道（沪渝高速公路）;
505;1;2398;王边小学;
505;1;2399;殷祖大道;
505;1;2400;Ｓ３１７;
505;1;2401;杭瑞高速公路;
505;1;1983;大广高速公路武汉段;
505;1;1823;新道公路;
505;1;1824;新洲服务区;
505;1;1558;大智路;
505;1;2308;武汉长江隧道东;
505;1;2309;武汉长江隧道西;
505;1;1503;单洞路;
505;1;1502;单洞三路;
505;1;1933;文安街;
505;1;1858;丁字桥南路;
505;1;1365;岭南路;
505;1;1680;三环线外圈东风大道入口匝道;
505;1;2158;东风大道辅路;
505;1;2159;科技工业园;
505;1;2160;体育中心;
505;1;1693;东风大道西侧;
505;1;1694;三环线外圈东风大道西侧入口匝道;
505;1;1153;徐东大街;
505;1;1264;水果湖横路;
505;1;1269;黄鹂路;
505;1;1261;东湖南路;
505;1;1260;东湖东路;
505;1;1792;东湖西路;
505;1;1415;东荆河路;
505;1;2364;沌口新街;
505;1;2131;洪山村;
505;1;2129;莲湖路;
505;1;1263;洪山路;
505;1;1185;洪山侧路;
505;1;1640;三环线外圈东西湖大道入口匝道;
505;1;2123;东西湖大道辅路;
505;1;2124;八方路;
505;1;2125;一清路;
505;1;1817;香榭琴台;
505;1;1105;墨水湖北路;
505;1;1707;三环线外圈沌口路入口匝道;
505;1;1319;万家湖中路;
505;1;1712;沌口路东侧;
505;1;1713;三环线内圈沌口路东侧入口匝道;
505;1;1714;沌口路西侧;
505;1;1716;三环线外圈沌口路西侧入口匝道;
505;1;1651;舵落口市场;
505;1;1652;三环线外圈舵落口市场入口匝道;
505;1;1225;二十一号公路;
505;1;1224;工人村路;
505;1;1226;焦沙路;
505;1;1424;芳草路;
505;1;2063;高新大道北侧;
505;1;2071;三环线内圈高新大道北侧入口匝道;
505;1;2064;三环线外圈高新大道北侧入口匝道;
505;1;2066;高新大道南侧;
505;1;2067;三环线内圈高新大道南侧入口匝道;
505;1;2074;三环线外圈高新大道南侧入口匝道;
505;1;1480;高雄路;
505;1;1481;台东路;
505;1;1479;台北一路;
505;1;1360;工大路;
505;1;1361;洪达巷;
505;1;1362;洪兴巷;
505;1;1464;工农兵路;
505;1;1643;三环线内圈工农路入口匝道;
505;1;2089;工农路北侧;
505;1;2092;三环线外圈工农路北侧入口匝道;
505;1;2091;工农路南侧;
505;1;2090;三环线内圈工农路南侧入口匝道;
505;1;1220;冶金大道;
505;1;2195;环厂北路;
505;1;1276;工业二路;
505;1;1391;随州街;
505;1;1392;市政侧路;
505;1;1277;工业路;
505;1;1157;工业四路;
505;1;2291;康居一路;
505;1;1265;公正路;
505;1;1602;姑李路;
505;1;1606;三环线外圈姑李路入口匝道;
505;1;2212;金银潭大道;
505;1;2106;三环线内圈姑嫂树路入口匝道;
505;1;2196;罗家嘴路;
