CID;LID;NID;NTRANSLATION
505;2;19;hu rong gao su gong lu
505;3;19;Hurong Hwy
505;2;561;xian an fu wu qu
505;3;561;Xian'an Service Area
505;2;830;lin shan he ting che qu
505;3;830;Linshanhe Parking Area
505;2;833;X305
505;3;833;X305
505;2;957;xian ning shi
505;3;957;Xianning
505;2;958;jing gang ao gao su gong lu xian ning duan
505;3;958;Jinggang'ao Hwy Xianning Sect
505;2;960;xin dian shou fei zhan
505;3;960;Xindian Tollgate
505;2;961;S214
505;3;961;S214
505;2;962;chi bi bei zhan
505;3;962;Chibibeizhan
505;2;963;X44
505;3;963;X44
505;2;964;S329
505;3;964;S329
505;2;965;gui xiang da dao
505;3;965;Guixiang Blvd
505;2;966;huang gang shi
505;3;966;Huanggang
505;2;969;S202
505;3;969;S202
505;2;970;ge zhou ba da dao
505;3;970;Gezhouba Blvd
505;2;971;wen cheng wan
505;3;971;Wenchengwan
505;2;972;S207
505;3;972;S207
505;2;973;S241
505;3;973;S241
505;2;975;G106
505;3;975;G106
505;2;976;cheng ma gang shou fei zhan
505;3;976;Chengmagang Tollgate
505;2;977;si dian fu wu qu
505;3;977;Sidian Service Area
505;2;978;xiao gan shi
505;3;978;Xiaogan
505;2;980;jing gang ao gao su gong lu xiao gan duan
505;3;980;Jinggang'ao Hwy Xiaogan Sect
505;2;981;liu fang wan
505;3;981;Liufangwan
505;2;982;S310
505;3;982;S310
505;2;983;wang yang xian
505;3;983;Wangyang Line
505;2;984;shen jia wan
505;3;984;Shenjiawan
505;2;985;S243
505;3;985;S243
505;2;986;li jia wan
505;3;986;Lijiawan
505;2;987;jing zhu lian lu xian
505;3;987;Jingzhulianlu Line
505;2;988;da xin shou fei zhan
505;3;988;Daxin Tollgate
505;2;989;san li ting che qu
505;3;989;Sanli Parking Area
505;2;990;da guang gao su gong lu huang gang duan
505;3;990;Daguang Hwy Huanggang Sect
505;2;992;da sui gao su gong lu
505;3;992;Dasui Hwy
505;2;993;ya zhou
505;3;993;Asia
505;2;994;zhong guo
505;3;994;China
505;2;998;dai huang gao su gong lu
505;3;998;Daihuang Hwy
505;2;1000;S110
505;3;1000;S110
505;2;1002;ji chang gao su gong lu
505;3;1002;Jichang Hwy
505;2;1003;jin shan da dao
505;3;1003;Jinshan Blvd
505;2;1004;ju long da dao
505;3;1004;Julong Blvd
505;2;1007;shi dao xian
505;3;1007;Shidao Line
505;2;1008;qian heng
505;3;1008;Qianheng
505;2;1010;X009
505;3;1010;X009
505;2;1013;S101
505;3;1013;S101
505;2;1014;S103
505;3;1014;S103
505;2;1016;han yang da jie
505;3;1016;Hanyang Ave
505;2;1017;G107
505;3;1017;G107
505;2;1019;X002
505;3;1019;X002
505;2;1020;miao ling fu wu qu
505;3;1020;Miaoling Service Area
505;2;1022;wu huan da dao
505;3;1022;5th Ring Blvd
505;2;1023;lu tai ting che qu
505;3;1023;Lutai Parking Area
505;2;1024;G318
505;3;1024;G318
505;2;1025;S111
505;3;1025;S111
505;2;1026;shi gang fu wu qu
505;3;1026;Shigang Service Area
505;2;1027;ping jiang da dao
505;3;1027;Pingjiang Blvd
505;2;1028;qing hua lu
505;3;1028;Qinghua Rd
505;2;1029;tu wu lu
505;3;1029;Tuwu Rd
505;2;1030;S104
505;3;1030;S104
505;2;1033;jiang xia fu wu qu
505;3;1033;Jiangxia Service Area
505;2;1035;hong da lu
505;3;1035;Hongda Rd
505;2;1036;S244
505;3;1036;S244
505;2;1041;guang gu da dao
505;3;1041;Guanggu Blvd
505;2;1042;da xue yuan lu
505;3;1042;Daxueyuan Rd
505;2;1043;min zu da dao
