CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
505;15;414;;1065
505;15;1065;414;415
505;15;415;1065;3404
505;15;3404;415;
505;15;2845;;2846
505;15;2846;2845;
505;15;3405;;1072
505;15;1072;3405;475
505;15;475;1072;476
505;15;476;475;477
505;15;477;476;478
505;15;478;477;
505;15;422;;421
505;15;421;422;420
505;15;420;421;449
505;15;449;420;2848
505;15;2848;449;450
505;15;450;2848;
505;15;731;;732
505;15;732;731;733
505;15;733;732;
505;15;2838;;418
505;15;418;2838;
505;15;2830;;2834
505;15;2834;2830;
505;15;735;;736
505;15;736;735;737
505;15;737;736;738
505;15;738;737;739
505;15;739;738;740
505;15;740;739;741
505;15;741;740;742
505;15;742;741;743
505;15;743;742;744
505;15;744;743;745
505;15;745;744;746
505;15;746;745;747
505;15;747;746;748
505;15;748;747;749
505;15;749;748;750
505;15;750;749;751
505;15;751;750;
505;15;433;;3244
505;15;3244;433;434
505;15;434;3244;435
505;15;435;434;436
505;15;436;435;
505;15;3059;;3060
505;15;3060;3059;466
505;15;466;3060;467
505;15;467;466;468
505;15;468;467;469
505;15;469;468;470
505;15;470;469;
505;15;512;;513
505;15;513;512;
505;15;2835;;2836
505;15;2836;2835;
505;15;2829;;855
505;15;855;2829;856
505;15;856;855;857
505;15;857;856;
505;15;582;;583
505;15;583;582;584
505;15;584;583;585
505;15;585;584;586
505;15;586;585;587
505;15;587;586;
505;15;960;;961
505;15;961;960;962
505;15;962;961;963
505;15;963;962;964
505;15;964;963;
505;15;3061;;2866
505;15;2866;3061;542
505;15;542;2866;543
505;15;543;542;546
505;15;546;543;
505;15;3348;;3412
505;15;3412;3348;3349
505;15;3349;3412;3537
505;15;3537;3349;3538
505;15;3538;3537;
505;15;2396;;2397
505;15;2397;2396;2398
505;15;2398;2397;2399
505;15;2399;2398;2400
505;15;2400;2399;2401
505;15;2401;2400;2402
505;15;2402;2401;2403
505;15;2403;2402;
505;15;703;;704
505;15;704;703;705
505;15;705;704;706
505;15;706;705;707
505;15;707;706;708
505;15;708;707;709
505;15;709;708;710
505;15;710;709;
505;15;712;;2876
505;15;2876;712;2877
505;15;2877;2876;713
505;15;713;2877;2878
505;15;2878;713;714
505;15;714;2878;2879
505;15;2879;714;715
505;15;715;2879;716
505;15;716;715;717
505;15;717;716;3108
505;15;3108;717;
505;15;2339;;2340
505;15;2340;2339;2341
505;15;2341;2340;2342
505;15;2342;2341;2343
505;15;2343;2342;2344
505;15;2344;2343;2345
505;15;2345;2344;
505;15;3084;;3085
505;15;3085;3084;3086
505;15;3086;3085;3087
505;15;3087;3086;3088
505;15;3088;3087;
505;15;3089;;3090
505;15;3090;3089;3091
505;15;3091;3090;3092
505;15;3092;3091;3093
505;15;3093;3092;
505;15;2867;;842
505;15;842;2867;843
505;15;843;842;
505;15;589;;590
505;15;590;589;591
505;15;591;590;592
505;15;592;591;593
505;15;593;592;594
505;15;594;593;595
505;15;595;594;596
505;15;596;595;597
505;15;597;596;
505;15;837;;838
505;15;838;837;3062
505;15;3062;838;765
505;15;765;3062;3063
505;15;3063;765;839
505;15;839;3063;2868
505;15;2868;839;
505;15;859;;2869
505;15;2869;859;860
505;15;860;2869;861
505;15;861;860;2870
505;15;2870;861;
505;15;845;;846
505;15;846;845;847
505;15;847;846;848
505;15;848;847;
505;15;567;;568
505;15;568;567;571
505;15;571;568;574
505;15;574;571;3096
505;15;3096;574;
505;15;561;;562
505;15;562;561;563
505;15;563;562;564
505;15;564;563;565
505;15;565;564;3106
505;15;3106;565;3107
505;15;3107;3106;
505;15;2843;;426
505;15;426;2843;
505;15;2841;;425
505;15;425;2841;
505;15;2847;;429
505;15;429;2847;658
505;15;658;429;2818
505;15;2818;658;2819
505;15;2819;2818;2820
505;15;2820;2819;2821
505;15;2821;2820;431
505;15;431;2821;
505;15;3078;;3079
505;15;3079;3078;873
505;15;873;3079;874
505;15;874;873;877
505;15;877;874;878
505;15;878;877;3407
505;15;3407;878;3408
505;15;3408;3407;3410
505;15;3410;3408;3411
505;15;3411;3410;
505;15;3199;;3200
505;15;3200;3199;3201
505;15;3201;3200;3202
505;15;3202;3201;
505;15;2729;;869
505;15;869;2729;870
505;15;870;869;871
505;15;871;870;
505;15;439;;440
505;15;440;439;441
505;15;441;440;442
505;15;442;441;443
505;15;443;442;2826
505;15;2826;443;444
505;15;444;2826;2827
505;15;2827;444;445
505;15;445;2827;1078
505;15;1078;445;
505;15;774;;775
505;15;775;774;776
505;15;776;775;777
505;15;777;776;
505;15;3209;;3210
505;15;3210;3209;772
505;15;772;3210;771
505;15;771;772;770
505;15;770;771;763
505;15;763;770;762
505;15;762;763;761
505;15;761;762;760
505;15;760;761;1036
505;15;1036;760;
505;15;424;;2839
505;15;2839;424;
505;15;152;;153
505;15;153;152;154
505;15;154;153;
505;15;164;;128
505;15;128;164;129
505;15;129;128;
505;15;126;;127
505;15;127;126;
505;15;105;;106
505;15;106;105;107
505;15;107;106;108
505;15;108;107;109
505;15;109;108;
505;15;87;;88
505;15;88;87;89
505;15;89;88;90
505;15;90;89;91
505;15;91;90;92
505;15;92;91;134
505;15;134;92;93
505;15;93;134;135
505;15;135;93;94
505;15;94;135;95
505;15;95;94;96
505;15;96;95;97
505;15;97;96;171
505;15;171;97;98
505;15;98;171;99
505;15;99;98;
505;15;111;;112
505;15;112;111;115
505;15;115;112;172
505;15;172;115;113
505;15;113;172;104
505;15;104;113;
505;15;84;;85
505;15;85;84;136
505;15;136;85;
505;15;53;;159
505;15;159;53;54
505;15;54;159;55
505;15;55;54;
505;15;52;;174
505;15;174;52;
505;15;62;;63
505;15;63;62;64
505;15;64;63;1073
505;15;1073;64;66
505;15;66;1073;67
505;15;67;66;
505;15;3064;;3065
505;15;3065;3064;
505;15;2182;;2183
505;15;2183;2182;2958
505;15;2958;2183;
505;15;2951;;3232
505;15;3232;2951;3233
505;15;3233;3232;2953
505;15;2953;3233;
505;15;654;;655
505;15;655;654;656
505;15;656;655;657
505;15;657;656;
505;15;402;;403
505;15;403;402;404
505;15;404;403;405
505;15;405;404;406
505;15;406;405;407
505;15;407;406;408
505;15;408;407;409
505;15;409;408;
505;15;1067;;2912
505;15;2912;1067;1066
505;15;1066;2912;1057
505;15;1057;1066;3539
505;15;3539;1057;
505;15;3156;;3157
505;15;3157;3156;3158
505;15;3158;3157;3159
505;15;3159;3158;3160
505;15;3160;3159;
505;15;3069;;1054
505;15;1054;3069;1055
505;15;1055;1054;3070
505;15;3070;1055;
505;15;3532;;1047
505;15;1047;3532;1048
505;15;1048;1047;1049
505;15;1049;1048;1050
505;15;1050;1049;
505;15;833;;1034
505;15;1034;833;1035
505;15;1035;1034;
505;15;820;;821
505;15;821;820;822
505;15;822;821;823
505;15;823;822;824
505;15;824;823;825
505;15;825;824;826
505;15;826;825;827
505;15;827;826;828
505;15;828;827;
505;15;1061;;1062
505;15;1062;1061;1063
505;15;1063;1062;1064
505;15;1064;1063;
505;15;3072;;619
505;15;619;3072;620
505;15;620;619;
505;15;1051;;3396
505;15;3396;1051;1052
505;15;1052;3396;1053
505;15;1053;1052;617
505;15;617;1053;3397
505;15;3397;617;
505;15;480;;671
505;15;671;480;672
505;15;672;671;673
505;15;673;672;665
505;15;665;673;666
505;15;666;665;667
505;15;667;666;668
505;15;668;667;669
505;15;669;668;
505;15;636;;637
505;15;637;636;
505;15;454;;2849
505;15;2849;454;
505;15;2850;;459
505;15;459;2850;460
505;15;460;459;2851
505;15;2851;460;2852
505;15;2852;2851;461
505;15;461;2852;2853
505;15;2853;461;2854
505;15;2854;2853;462
505;15;462;2854;2855
505;15;2855;462;463
505;15;463;2855;464
505;15;464;463;
505;15;132;;133
505;15;133;132;
505;15;2897;;2898
505;15;2898;2897;2899
505;15;2899;2898;
505;15;3095;;917
505;15;917;3095;
505;15;912;;913
505;15;913;912;916
505;15;916;913;3094
505;15;3094;916;
505;15;919;;920
505;15;920;919;921
505;15;921;920;922
505;15;922;921;925
505;15;925;922;926
505;15;926;925;
505;15;880;;882
505;15;882;880;
505;15;1013;;1014
505;15;1014;1013;1015
505;15;1015;1014;
505;15;2230;;2231
505;15;2231;2230;2232
505;15;2232;2231;2233
505;15;2233;2232;
505;15;3097;;575
505;15;575;3097;576
505;15;576;575;
505;15;138;;139
505;15;139;138;140
505;15;140;139;141
505;15;141;140;142
505;15;142;141;
505;15;117;;161
505;15;161;117;155
505;15;155;161;118
505;15;118;155;119
505;15;119;118;
505;15;57;;58
505;15;58;57;162
505;15;162;58;59
505;15;59;162;60
505;15;60;59;
505;15;531;;532
505;15;532;531;533
505;15;533;532;534
505;15;534;533;535
505;15;535;534;
505;15;2604;;2605
505;15;2605;2604;2606
505;15;2606;2605;
505;15;2809;;2810
505;15;2810;2809;2811
505;15;2811;2810;
505;15;937;;938
505;15;938;937;939
505;15;939;938;940
505;15;940;939;
505;15;3104;;2114
505;15;2114;3104;2115
505;15;2115;2114;2116
505;15;2116;2115;
505;15;3139;;3140
505;15;3140;3139;
505;15;158;;122
505;15;122;158;123
505;15;123;122;124
505;15;124;123;144
505;15;144;124;145
505;15;145;144;
505;15;168;;175
505;15;175;168;169
505;15;169;175;170
505;15;170;169;
505;15;160;;157
505;15;157;160;83
505;15;83;157;166
505;15;166;83;
505;15;3105;;2187
505;15;2187;3105;
505;15;3058;;618
505;15;618;3058;
505;15;639;;3230
505;15;3230;639;
505;15;630;;631
505;15;631;630;632
505;15;632;631;3231
505;15;3231;632;641
505;15;641;3231;634
505;15;634;641;
505;15;695;;696
505;15;696;695;
505;15;690;;691
505;15;691;690;692
505;15;692;691;
505;15;2832;;693
505;15;693;2832;
505;15;966;;1068
505;15;1068;966;1037
505;15;1037;1068;1069
505;15;1069;1037;967
505;15;967;1069;
505;15;817;;818
505;15;818;817;
505;15;850;;1070
505;15;1070;850;862
505;15;862;1070;851
505;15;851;862;1071
505;15;1071;851;852
505;15;852;1071;
505;15;1085;;
505;15;395;;
505;15;1089;;
505;15;3110;;3111
505;15;3111;3110;3112
505;15;3112;3111;3113
505;15;3113;3112;3114
505;15;3114;3113;3115
505;15;3115;3114;
505;15;1087;;
505;15;1095;;
505;15;2939;;2940
505;15;2940;2939;
505;15;2539;;2540
505;15;2540;2539;2541
505;15;2541;2540;
505;15;3482;;3483
505;15;3483;3482;
505;15;311;;
505;15;307;;
505;15;3331;;3332
505;15;3332;3331;3333
505;15;3333;3332;
505;15;2802;;2803
505;15;2803;2802;
505;15;2799;;2800
505;15;2800;2799;
505;15;2487;;2488
505;15;2488;2487;2489
505;15;2489;2488;
505;15;2393;;2394
505;15;2394;2393;3119
505;15;3119;2394;3120
505;15;3120;3119;
505;15;3488;;3489
505;15;3489;3488;
505;15;3134;;3135
505;15;3135;3134;3136
505;15;3136;3135;3137
505;15;3137;3136;
505;15;942;;943
505;15;943;942;944
505;15;944;943;945
505;15;945;944;946
505;15;946;945;
505;15;2509;;2510
505;15;2510;2509;2511
505;15;2511;2510;
505;15;2491;;2492
505;15;2492;2491;2493
505;15;2493;2492;
505;15;3252;;3253
505;15;3253;3252;3254
505;15;3254;3253;
505;15;3461;;3462
505;15;3462;3461;3463
505;15;3463;3462;
505;15;753;;754
505;15;754;753;755
505;15;755;754;
505;15;257;;
505;15;255;;
505;15;2519;;2520
505;15;2520;2519;2521
505;15;2521;2520;
505;15;3122;;3123
505;15;3123;3122;3124
505;15;3124;3123;
505;15;3288;;784
505;15;784;3288;
505;15;2347;;2348
505;15;2348;2347;2349
505;15;2349;2348;2350
505;15;2350;2349;
505;15;2409;;2410
505;15;2410;2409;2411
505;15;2411;2410;2412
505;15;2412;2411;2413
505;15;2413;2412;2414
505;15;2414;2413;2415
505;15;2415;2414;2416
505;15;2416;2415;
505;15;2360;;2361
505;15;2361;2360;2362
505;15;2362;2361;2363
505;15;2363;2362;2364
505;15;2364;2363;2365
505;15;2365;2364;
505;15;2352;;2353
505;15;2353;2352;2354
505;15;2354;2353;2355
505;15;2355;2354;
505;15;2457;;2458
505;15;2458;2457;2459
505;15;2459;2458;2460
505;15;2460;2459;
505;15;3299;;3300
505;15;3300;3299;3301
505;15;3301;3300;3302
505;15;3302;3301;
505;15;2317;;2318
505;15;2318;2317;
505;15;2314;;2315
505;15;2315;2314;
505;15;2162;;2163
505;15;2163;2162;
505;15;1075;;1076
505;15;1076;1075;
505;15;12053;;12054
505;15;12054;12053;12055
505;15;12055;12054;12056
505;15;12056;12055;12057
505;15;12057;12056;12058
505;15;12058;12057;12059
505;15;12059;12058;12060
505;15;12060;12059;
505;15;12062;;12063
505;15;12063;12062;12064
505;15;12064;12063;12065
505;15;12065;12064;12066
505;15;12066;12065;
505;15;24052;;24053
505;15;24053;24052;24054
505;15;24054;24053;24055
505;15;24055;24054;24056
505;15;24056;24055;24057
505;15;24057;24056;24058
505;15;24058;24057;24059
505;15;24059;24058;
505;15;147;;148
505;15;148;147;149
505;15;149;148;150
505;15;150;149;
505;15;650;;651
505;15;651;650;652
505;15;652;651;
505;15;2565;;2563
505;15;2563;2565;2564
505;15;2564;2563;
505;15;2702;;2703
505;15;2703;2702;
505;15;2699;;2700
505;15;2700;2699;
505;15;2110;;2111
505;15;2111;2110;2112
505;15;2112;2111;
505;15;3291;;3292
505;15;3292;3291;
505;15;341;;
505;15;3099;;3100
505;15;3100;3099;3102
505;15;3102;3100;3103
505;15;3103;3102;
505;15;355;;
505;15;1018;;1019
505;15;1019;1018;1020
505;15;1020;1019;1021
505;15;1021;1020;1022
505;15;1022;1021;1023
505;15;1023;1022;
505;15;1003;;1002
505;15;1002;1003;
505;15;1017;;2864
505;15;2864;1017;
505;15;3167;;3168
505;15;3168;3167;
505;15;3170;;3171
505;15;3171;3170;3172
505;15;3172;3171;3173
505;15;3173;3172;3174
505;15;3174;3173;
505;15;2219;;2220
505;15;2220;2219;2221
505;15;2221;2220;
505;15;287;;
505;15;3176;;3177
505;15;3177;3176;3178
505;15;3178;3177;
505;15;2211;;2212
505;15;2212;2211;2213
505;15;2213;2212;
505;15;2895;;928
505;15;928;2895;929
505;15;929;928;930
505;15;930;929;
505;15;373;;
505;15;1079;;1080
505;15;1080;1079;2886
505;15;2886;1080;1082
505;15;1082;2886;1083
505;15;1083;1082;2865
505;15;2865;1083;
505;15;381;;
505;15;385;;
505;15;1077;;483
505;15;483;1077;484
505;15;484;483;485
505;15;485;484;486
505;15;486;485;487
505;15;487;486;
505;15;2465;;2466
505;15;2466;2465;
505;15;303;;
505;15;984;;985
505;15;985;984;986
505;15;986;985;
505;15;2530;;2531
505;15;2531;2530;
505;15;800;;801
505;15;801;800;802
505;15;802;801;
505;15;2367;;2368
505;15;2368;2367;3187
505;15;3187;2368;3188
505;15;3188;3187;3189
505;15;3189;3188;
505;15;2918;;2919
505;15;2919;2918;2920
505;15;2920;2919;
505;15;2961;;
505;15;2963;;
505;15;2965;;
505;15;2967;;
505;15;3275;;3276
505;15;3276;3275;3277
505;15;3277;3276;
505;15;3144;;3145
505;15;3145;3144;2907
505;15;2907;3145;3146
505;15;3146;2907;
505;15;2914;;3161
505;15;3161;2914;2915
505;15;2915;3161;2916
505;15;2916;2915;3162
505;15;3162;2916;
505;15;2593;;2594
505;15;2594;2593;2595
505;15;2595;2594;2596
505;15;2596;2595;
505;15;2133;;2134
505;15;2134;2133;2135
505;15;2135;2134;
505;15;2543;;2544
505;15;2544;2543;
505;15;291;;
505;15;297;;
505;15;301;;
505;15;791;;797
505;15;797;791;794
505;15;794;797;795
505;15;795;794;
505;15;2267;;2268
505;15;2268;2267;2269
505;15;2269;2268;2270
505;15;2270;2269;2900
505;15;2900;2270;
505;15;1045;;1046
505;15;1046;1045;
505;15;2276;;2277
505;15;2277;2276;2278
505;15;2278;2277;
505;15;3465;;3466
505;15;3466;3465;
505;15;1010;;3195
505;15;3195;1010;1011
505;15;1011;3195;
505;15;247;;
505;15;3264;;3265
505;15;3265;3264;
505;15;241;;
505;15;2504;;2505
505;15;2505;2504;2506
505;15;2506;2505;2507
505;15;2507;2506;
505;15;281;;
505;15;2745;;2746
505;15;2746;2745;2747
505;15;2747;2746;2748
505;15;2748;2747;2749
505;15;2749;2748;2750
505;15;2750;2749;
505;15;2759;;2760
505;15;2760;2759;2761
505;15;2761;2760;
505;15;2735;;2736
505;15;2736;2735;3196
505;15;3196;2736;2737
505;15;2737;3196;
505;15;3180;;2769
505;15;2769;3180;2772
505;15;2772;2769;2773
505;15;2773;2772;2774
505;15;2774;2773;2775
505;15;2775;2774;
505;15;1115;;
505;15;3427;;3428
505;15;3428;3427;3429
505;15;3429;3428;3430
505;15;3430;3429;
505;15;1127;;
505;15;1123;;
505;15;2969;;
505;15;3370;;3371
505;15;3371;3370;
505;15;3148;;3149
505;15;3149;3148;
505;15;3432;;3433
505;15;3433;3432;
505;15;2227;;2228
505;15;2228;2227;
505;15;2433;;2434
505;15;2434;2433;
505;15;3335;;3336
505;15;3336;3335;
505;15;3528;;3529
505;15;3529;3528;3530
505;15;3530;3529;
505;15;259;;
505;15;261;;
505;15;757;;758
505;15;758;757;
505;15;263;;
505;15;884;;885
505;15;885;884;886
505;15;886;885;
505;15;3294;;3295
505;15;3295;3294;
505;15;904;;905
505;15;905;904;908
505;15;908;905;1084
505;15;1084;908;909
505;15;909;1084;910
505;15;910;909;
505;15;2454;;2455
505;15;2455;2454;
505;15;2742;;2739
505;15;2739;2742;2740
505;15;2740;2739;
505;15;2422;;2423
505;15;2423;2422;
505;15;323;;
505;15;329;;
505;15;333;;
505;15;335;;
505;15;331;;
505;15;452;;2857
505;15;2857;452;453
505;15;453;2857;3526
505;15;3526;453;
505;15;2805;;3270
505;15;3270;2805;
505;15;3235;;3236
505;15;3236;3235;
505;15;1169;;
505;15;1165;;
505;15;1159;;
505;15;599;;600
505;15;600;599;601
505;15;601;600;602
505;15;602;601;603
505;15;603;602;604
505;15;604;603;766
505;15;766;604;605
505;15;605;766;3197
505;15;3197;605;606
505;15;606;3197;
505;15;1153;;
505;15;1163;;
505;15;1175;;
505;15;3398;;2936
505;15;2936;3398;2937
505;15;2937;2936;
505;15;2443;;2444
505;15;2444;2443;2445
505;15;2445;2444;
505;15;578;;579
505;15;579;578;580
505;15;580;579;
505;15;3510;;3511
505;15;3511;3510;3512
505;15;3512;3511;3513
505;15;3513;3512;
505;15;229;;
505;15;239;;
505;15;3390;;3391
505;15;3391;3390;3392
505;15;3392;3391;
505;15;2137;;2138
505;15;2138;2137;2139
505;15;2139;2138;
505;15;686;;687
505;15;687;686;688
505;15;688;687;
505;15;1005;;1007
505;15;1007;1005;1008
505;15;1008;1007;1006
505;15;1006;1008;
505;15;3204;;3205
505;15;3205;3204;3206
505;15;3206;3205;3207
505;15;3207;3206;3208
505;15;3208;3207;
505;15;2523;;2524
505;15;2524;2523;2525
505;15;2525;2524;2528
505;15;2528;2525;2943
505;15;2943;2528;2944
505;15;2944;2943;
505;15;3383;;3384
505;15;3384;3383;3385
505;15;3385;3384;
505;15;2546;;2547
505;15;2547;2546;
505;15;988;;989
505;15;989;988;834
505;15;834;989;
505;15;3117;;3118
505;15;3118;3117;
505;15;2813;;2814
505;15;2814;2813;
505;15;2933;;2934
505;15;2934;2933;
505;15;2235;;2236
505;15;2236;2235;2237
505;15;2237;2236;
505;15;3305;;3306
505;15;3306;3305;3307
505;15;3307;3306;
505;15;981;;982
505;15;982;981;
505;15;2623;;2624
505;15;2624;2623;2625
505;15;2625;2624;2626
505;15;2626;2625;2627
505;15;2627;2626;
505;15;2223;;2224
505;15;2224;2223;2225
505;15;2225;2224;
505;15;3435;;3436
505;15;3436;3435;
505;15;2125;;2126
505;15;2126;2125;2127
505;15;2127;2126;3220
505;15;3220;2127;
505;15;3499;;3500
505;15;3500;3499;
505;15;2283;;2284
505;15;2284;2283;
505;15;2889;;2273
505;15;2273;2889;2274
505;15;2274;2273;
505;15;3506;;3507
505;15;3507;3506;3508
505;15;3508;3507;
505;15;1161;;
505;15;2286;;2287
505;15;2287;2286;
505;15;1167;;
505;15;2258;;2259
505;15;2259;2258;2260
505;15;2260;2259;
505;15;3502;;3503
505;15;3503;3502;3504
505;15;3504;3503;
505;15;3387;;3388
505;15;3388;3387;
505;15;2253;;2254
505;15;2254;2253;2255
505;15;2255;2254;
505;15;2884;;2885
505;15;2885;2884;
505;15;359;;
505;15;363;;
505;15;3225;;2420
505;15;2420;3225;2418
505;15;2418;2420;2419
505;15;2419;2418;490
505;15;490;2419;491
505;15;491;490;492
505;15;492;491;493
505;15;493;492;494
505;15;494;493;2822
505;15;2822;494;
505;15;365;;
505;15;371;;
505;15;2632;;2633
505;15;2633;2632;2634
505;15;2634;2633;2635
505;15;2635;2634;2636
505;15;2636;2635;
505;15;377;;
505;15;504;;3228
505;15;3228;504;
505;15;3229;;505
505;15;505;3229;506
505;15;506;505;
505;15;3415;;3416
505;15;3416;3415;
505;15;2601;;2602
505;15;2602;2601;
505;15;2679;;2680
505;15;2680;2679;2681
505;15;2681;2680;
505;15;2659;;2660
505;15;2660;2659;
505;15;3418;;3419
505;15;3419;3418;
505;15;2683;;2684
505;15;2684;2683;2685
505;15;2685;2684;
505;15;3515;;3516
505;15;3516;3515;3517
505;15;3517;3516;3518
505;15;3518;3517;3519
505;15;3519;3518;3520
505;15;3520;3519;
505;15;2567;;2568
505;15;2568;2567;2569
505;15;2569;2568;2570
505;15;2570;2569;2571
505;15;2571;2570;2572
505;15;2572;2571;2573
505;15;2573;2572;
505;15;3256;;3257
505;15;3257;3256;3258
505;15;3258;3257;
505;15;2756;;2757
505;15;2757;2756;
505;15;273;;
505;15;2971;;
505;15;2973;;
505;15;2975;;
505;15;315;;
505;15;2791;;2792
505;15;2792;2791;2793
505;15;2793;2792;2794
505;15;2794;2793;2795
505;15;2795;2794;2796
505;15;2796;2795;2797
505;15;2797;2796;
505;15;285;;
505;15;2752;;2753
505;15;2753;2752;2754
505;15;2754;2753;
505;15;3246;;3247
505;15;3247;3246;3248
505;15;3248;3247;3249
505;15;3249;3248;3250
505;15;3250;3249;
505;15;2324;;2325
505;15;2325;2324;
505;15;69;;70
505;15;70;69;71
505;15;71;70;120
505;15;120;71;72
505;15;72;120;73
505;15;73;72;143
505;15;143;73;74
505;15;74;143;75
505;15;75;74;76
505;15;76;75;77
505;15;77;76;78
505;15;78;77;79
505;15;79;78;156
505;15;156;79;80
505;15;80;156;114
505;15;114;80;
505;15;6052;;6053
505;15;6053;6052;6054
505;15;6054;6053;6055
505;15;6055;6054;6056
505;15;6056;6055;6057
505;15;6057;6056;6058
505;15;6058;6057;
505;15;18052;;18053
505;15;18053;18052;18054
505;15;18054;18053;18055
505;15;18055;18054;18056
505;15;18056;18055;18057
505;15;18057;18056;18062
505;15;18062;18057;18058
505;15;18058;18062;18059
505;15;18059;18058;18060
505;15;18060;18059;18061
505;15;18061;18060;
505;15;721;;722
505;15;722;721;723
505;15;723;722;724
505;15;724;723;
505;15;2903;;725
505;15;725;2903;726
505;15;726;725;727
505;15;727;726;728
505;15;728;727;729
505;15;729;728;
505;15;2155;;2156
505;15;2156;2155;2157
505;15;2157;2156;
505;15;3142;;3143
505;15;3143;3142;
505;15;2786;;2787
505;15;2787;2786;2788
505;15;2788;2787;2789
505;15;2789;2788;
505;15;1038;;906
505;15;906;1038;3266
505;15;3266;906;907
505;15;907;3266;
505;15;2582;;2583
505;15;2583;2582;
505;15;2977;;
505;15;1171;;
505;15;1173;;
505;15;3479;;3480
505;15;3480;3479;
505;15;3468;;3469
505;15;3469;3468;3470
505;15;3470;3469;3471
505;15;3471;3470;
505;15;2429;;2430
505;15;2430;2429;537
505;15;537;2430;538
505;15;538;537;3267
505;15;3267;538;
505;15;3424;;3425
505;15;3425;3424;
505;15;2086;;2087
505;15;2087;2086;2088
505;15;2088;2087;
505;15;2890;;529
505;15;529;2890;
505;15;2667;;2668
505;15;2668;2667;
505;15;2462;;2463
505;15;2463;2462;
505;15;3342;;3343
505;15;3343;3342;
505;15;3238;;3239
505;15;3239;3238;
505;15;2306;;2307
505;15;2307;2306;2308
505;15;2308;2307;
505;15;2148;;2149
505;15;2149;2148;
505;15;2575;;2576
505;15;2576;2575;
505;15;2447;;2448
505;15;2448;2447;
505;15;345;;
505;15;349;;
505;15;975;;976
505;15;976;975;977
505;15;977;976;978
505;15;978;977;979
505;15;979;978;
505;15;2171;;2172
505;15;2172;2171;2173
505;15;2173;2172;2174
505;15;2174;2173;
505;15;3269;;2621
505;15;2621;3269;
505;15;3491;;3492
505;15;3492;3491;3493
505;15;3493;3492;
505;15;2513;;2514
505;15;2514;2513;
505;15;2516;;2517
505;15;2517;2516;
505;15;2440;;2441
505;15;2441;2440;
505;15;682;;683
505;15;683;682;684
505;15;684;683;
505;15;675;;676
505;15;676;675;677
505;15;677;676;680
505;15;680;677;
505;15;1181;;
505;15;1183;;
505;15;2922;;2923
505;15;2923;2922;
505;15;3363;;3364
505;15;3364;3363;
505;15;3366;;3367
505;15;3367;3366;3368
505;15;3368;3367;
505;15;2981;;
505;15;2979;;
505;15;2983;;
505;15;2985;;
505;15;2987;;
505;15;2989;;
505;15;508;;509
505;15;509;508;510
505;15;510;509;
505;15;2495;;2496
505;15;2496;2495;2497
505;15;2497;2496;
505;15;2549;;2550
505;15;2550;2549;2551
505;15;2551;2550;
505;15;3241;;3242
505;15;3242;3241;
505;15;2425;;2426
505;15;2426;2425;2427
505;15;2427;2426;
505;15;2159;;2160
505;15;2160;2159;
505;15;2618;;2619
505;15;2619;2618;2620
505;15;2620;2619;
505;15;2608;;2956
505;15;2956;2608;
505;15;3272;;2806
505;15;2806;3272;2807
505;15;2807;2806;
505;15;2719;;2720
505;15;2720;2719;
505;15;2710;;2711
505;15;2711;2710;
505;15;2670;;2671
505;15;2671;2670;
505;15;2673;;2674
505;15;2674;2673;2675
505;15;2675;2674;2676
505;15;2676;2675;2677
505;15;2677;2676;
505;15;1101;;
505;15;1097;;
505;15;644;;645
505;15;645;644;646
505;15;646;645;647
505;15;647;646;648
505;15;648;647;
505;15;1107;;
505;15;1111;;
505;15;2688;;2689
505;15;2689;2688;
505;15;2662;;2663
505;15;2663;2662;2664
505;15;2664;2663;2665
505;15;2665;2664;
505;15;864;;865
505;15;865;864;866
505;15;866;865;867
505;15;867;866;
505;15;3495;;3496
505;15;3496;3495;3497
505;15;3497;3496;
