CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
505;15;414;P;1;3;;1017;2343;;4;;;411;1;1;1;1;1;1;;;+11425925;+3032518;0;0
505;15;1065;P;1;6;;1017;2345;;4;;;411;1;1;1;1;1;1;;;+11425734;+3033019;0;0
505;15;415;P;1;11;;1017;2126;;4;;;411;1;1;1;1;1;1;;;+11426109;+3037627;0;0
505;15;3404;P;1;12;;1017;2346;;4;;;411;1;1;1;1;1;1;;;+11425831;+3040757;0;0
505;15;2845;P;1;12;;1024;1781;;4;;;2844;1;1;1;1;1;1;;;+11406257;+3045121;0;0
505;15;2846;P;1;3;;1024;1812;;4;;;2844;1;1;1;1;1;1;;;+11406826;+3045201;0;0
505;15;3405;P;1;10;;1721;2249;;4;;;474;1;1;1;1;1;1;;;+11425831;+3040757;0;0
505;15;1072;P;1;10;;1721;1301;;4;;;474;1;1;1;1;1;1;;;+11426117;+3043715;0;0
505;15;475;P;1;3;;1721;1581;;4;;;474;1;1;1;1;1;1;;;+11426976;+3046971;0;0
505;15;476;P;1;11;;1721;2119;;4;;;474;1;1;1;1;1;1;;;+11428999;+3049907;0;1
505;15;477;P;1;6;;1721;1045;;4;;;474;1;1;1;1;1;1;;;+11430561;+3052026;0;1
505;15;478;P;1;7;;1721;2347;;4;;;474;1;1;1;1;1;1;;;+11431266;+3052469;0;1
505;15;422;P;1;10;;1639;2348;;4;;;447;1;1;1;1;1;1;;;+11402917;+3065086;0;0
505;15;421;P;1;3;;1639;1812;;4;;;447;1;1;1;1;1;1;;;+11405754;+3062842;0;0
505;15;420;P;1;10;;1639;1783;;4;;;447;1;1;1;1;1;1;;;+11406663;+3062438;0;0
505;15;449;P;1;10;;1639;1087;;4;;;447;1;1;1;1;1;1;;;+11412050;+3061681;0;1
505;15;2848;P;1;6;;1639;1022;;4;;;447;1;1;1;1;1;1;;;+11413767;+3061753;0;1
505;15;450;P;1;3;;1639;1581;;4;;;447;1;1;1;1;1;1;;;+11416225;+3061671;0;0
505;15;731;P;1;3;;1641;1581;;4;;;730;1;1;1;1;1;1;;;+11416225;+3061671;0;0
505;15;732;P;1;10;;1641;1207;;4;;;730;1;1;1;1;1;1;;;+11416753;+3061056;0;1
505;15;733;P;1;10;;1641;1208;;4;;;730;1;1;1;1;1;1;;;+11418383;+3060418;0;1
505;15;2838;P;1;12;;1556;1017;;4;;;2837;1;1;1;1;1;1;;;+11427945;+3055444;0;1
505;15;418;P;1;8;;1556;1069;;4;;;2837;1;1;1;1;1;1;;;+11426577;+3055394;0;1
505;15;2830;P;1;10;;1532;1531;;4;;;2833;1;1;1;1;1;1;;;+11430137;+3054451;0;1
505;15;2834;P;1;13;;1532;1017;;4;;;2833;1;1;1;1;1;1;;;+11429496;+3054600;0;1
505;15;735;P;1;10;;1077;1208;;4;;;734;1;1;1;1;1;1;;;+11418383;+3060418;0;1
505;15;736;P;1;10;;1077;1633;;4;;;734;1;1;1;1;1;1;;;+11419567;+3059805;0;1
505;15;737;P;1;10;;1077;1209;;4;;;734;1;1;1;1;1;1;;;+11421227;+3058883;0;1
505;15;738;P;1;10;;1077;1079;;4;;;734;1;1;1;1;1;1;;;+11422573;+3058102;0;1
505;15;739;P;1;10;;1077;1080;;4;;;734;1;1;1;1;1;1;;;+11423855;+3057572;0;1
505;15;740;P;1;10;;1077;1108;;4;;;734;1;1;1;1;1;1;;;+11425197;+3057737;0;1
505;15;741;P;1;6;;1077;1116;;4;;;734;1;1;1;1;1;1;;;+11426660;+3058012;0;1
505;15;742;P;1;6;;1077;1129;;4;;;734;1;1;1;1;1;1;;;+11427674;+3058313;0;1
505;15;743;P;1;6;;1077;1203;;4;;;734;1;1;1;1;1;1;;;+11428490;+3058609;0;1
505;15;744;P;1;6;;1077;1204;;4;;;734;1;1;1;1;1;1;;;+11429272;+3059461;0;1
505;15;745;P;1;6;;1077;1197;;4;;;734;1;1;1;1;1;1;;;+11429868;+3059981;0;1
505;15;746;P;1;12;;1077;1205;;4;;;734;1;1;1;1;1;1;;;+11430593;+3060862;0;1
505;15;747;P;1;7;;1077;1085;;4;;;734;1;1;1;1;1;1;;;+11430946;+3061273;0;1
505;15;748;P;1;10;;1077;1210;;4;;;734;1;1;1;1;1;1;;;+11431917;+3062585;0;1
