CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
505;15;411;L;1;2;G107;1017;2343;2346;4;
505;15;2844;L;1;2;G107;1024;1781;1812;4;
505;15;474;L;1;2;G107;1721;2249;2347;4;
505;15;447;L;1;2;G107;1639;2348;1581;4;
505;15;730;L;1;2;G107;1641;1581;1208;4;
505;15;2837;L;1;2;G107;1556;1017;1069;4;
505;15;2833;L;1;2;G107;1532;1531;1017;4;
505;15;734;L;1;4;;1077;1208;1239;4;
505;15;432;L;1;2;G107;1075;1581;1077;4;
505;15;465;L;1;2;G107;1076;1581;1069;4;
505;15;511;L;1;2;G107;1089;1050;1076;4;
505;15;412;L;1;2;G107;2268;1532;1556;4;
505;15;853;L;1;2;G107;1068;1531;1180;4;
505;15;581;L;1;4;;1096;1721;1146;4;
505;15;959;L;1;4;;1254;2349;1205;4;
505;15;541;L;1;4;;1098;2127;1125;4;
505;15;3347;L;1;4;;2244;1190;1581;4;
505;15;2395;L;1;4;;1103;1418;1047;4;
505;15;702;L;1;4;;1078;1517;1195;4;
505;15;711;L;1;4;;1195;1078;1239;4;
505;15;2338;L;1;4;;1099;1840;1048;4;
505;15;3080;L;1;4;;1316;1207;1210;4;
505;15;840;L;1;2;G316;1218;1063;2133;4;
505;15;588;L;1;4;;1146;2134;1152;4;
505;15;835;L;1;2;G316;1063;2350;1218;4;
505;15;858;L;1;2;G316;1181;1180;1747;4;
505;15;844;L;1;4;;1234;1146;2351;4;
505;15;566;L;1;3;;1135;1133;1137;4;
505;15;560;L;1;4;;1083;1077;2165;4;
505;15;2842;L;1;2;G318;1781;1829;1024;4;
505;15;2840;L;1;2;G318;1778;1779;1829;4;
505;15;428;L;1;2;G318;1048;1812;1581;4;
505;15;872;L;1;2;G318;2151;1075;2244;4;
505;15;3198;L;1;3;;2151;1180;2200;4;
505;15;868;L;1;4;;1080;1078;1207;4;
505;15;438;L;1;3;;1079;1077;1210;4;
505;15;773;L;1;4;;1057;1210;1581;4;
505;15;768;L;1;3;;2171;1057;2382;4;
505;15;423;L;1;2;G318;1779;1030;1778;4;
505;15;151;L;1;1;G42;2315;1826;1785;4;
505;15;163;L;1;1;G42;2315;1812;1990;4;
505;15;125;L;1;1;G42;1322;1321;1812;4;
505;15;100;L;1;1;G4201;1812;1785;1986;4;
505;15;86;L;1;1;G4201;1812;1785;1809;4;
505;15;110;L;1;1;G50;2320;1035;1812;4;
505;15;165;L;1;1;G50;2320;1812;1987;4;
505;15;51;L;1;1;G70;2324;1812;1785;4;
505;15;173;L;1;1;G70;2323;998;1812;4;
505;15;61;L;1;1;S1;998;1581;1008;4;
505;15;786;L;1;3;S101;1013;2145;2146;4;
505;15;2181;L;1;3;S101;1013;2354;1133;4;
505;15;2950;L;1;4;;1934;1233;1936;4;
505;15;653;L;1;4;;1747;1581;1181;4;
505;15;401;L;1;4;;1041;1879;1063;4;
505;15;3066;L;1;3;S101;1879;1041;2403;4;
505;15;3155;L;1;4;S101;2135;1807;1063;4;
505;15;3068;L;1;3;S101;2144;2355;2145;4;
505;15;3531;L;1;3;S101;1013;2149;1831;4;
505;15;787;L;1;3;S101;1413;2148;2149;4;
505;15;819;L;1;4;;1062;1096;1233;4;
505;15;1060;L;1;3;S101;2148;1013;1016;4;
505;15;3071;L;1;3;S101;1133;1135;2142;4;
505;15;832;L;1;3;S101;1992;1045;1013;4;
505;15;670;L;1;3;S102;1045;1992;1721;4;
505;15;635;L;1;4;;1168;2154;1159;4;
505;15;451;L;1;3;S104;1030;1016;1050;4;
505;15;458;L;1;3;S104;1050;1030;1098;4;
505;15;130;L;1;1;S11;1301;1812;1721;4;
505;15;2896;L;1;3;S110;1000;1002;1819;4;
505;15;914;L;1;3;S111;2360;1239;2361;4;
505;15;911;L;1;3;S111;1239;1212;2360;4;
505;15;918;L;1;3;S111;1247;2360;1812;4;
505;15;879;L;1;4;;1238;2108;1212;4;
505;15;1012;L;1;4;;1191;1190;1262;4;
505;15;2229;L;1;3;S112;1027;1385;1247;4;
505;15;572;L;1;3;S113;1137;1135;1139;4;
505;15;137;L;1;1;S13;1844;1014;1706;4;
505;15;116;L;1;1;S15;1317;1809;1581;4;
505;15;56;L;1;1;S18;1002;1003;1000;4;
505;15;530;L;1;4;;1082;1077;1316;4;
505;15;2603;L;1;4;;1203;1077;1482;4;
505;15;2808;L;1;4;;1529;1079;1082;4;
505;15;936;L;1;4;;1229;1176;1096;4;
505;15;2113;L;1;4;;1353;2161;1062;4;
505;15;3138;L;1;4;;2174;1842;1060;4;
505;15;121;L;1;1;S5;2326;1581;1820;4;
505;15;167;L;1;1;S7;2002;1581;2004;4;
505;15;81;L;1;1;S8;1986;1581;1812;4;
505;15;2185;L;1;4;X002;1019;2279;2362;4;
505;15;3057;L;1;3;;1284;1992;1135;4;
505;15;638;L;1;4;X010;1167;2143;1159;4;
505;15;628;L;1;4;X010;1159;1133;1042;4;
505;15;694;L;1;4;X017;1189;1068;1183;4;
505;15;3534;L;1;4;X302;1139;1061;1721;4;
505;15;965;L;1;4;;1084;1079;1077;4;
505;15;816;L;1;4;;1176;1045;1229;4;
505;15;849;L;1;4;;1183;2351;1235;4;
505;15;400;L;7;0;;;1721;1581;4;
505;15;394;L;7;0;;;1721;1580;4;
505;15;1088;L;7;0;;;1729;1587;4;
505;15;3109;L;1;4;;2118;1581;2347;4;
505;15;1086;L;7;0;;;1725;1587;4;
505;15;1094;L;7;0;;;1725;1580;4;
505;15;2938;L;1;4;;1886;2168;1214;4;
505;15;2538;L;1;4;;1211;1851;1077;4;
