CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
505;15;3082;L;3;0;;1316;1207;2151;3080;;4
505;15;3083;L;3;0;;1316;2152;1210;3080;;4
505;15;2831;L;3;0;X302;1139;1061;2389;3534;;4
505;15;689;L;3;0;X302;1139;1188;1721;3534;;4
505;15;12052;L;3;0;;990;1809;830;12051;;6
505;15;12061;L;3;0;;990;833;977;12051;;6
505;15;3166;L;3;0;;1415;1840;1048;3165;;4
505;15;3169;L;3;0;;1415;2131;2364;3165;;4
505;15;3147;L;3;0;;2279;1807;1019;3535;;4
505;15;3431;L;3;0;;2279;1934;1063;3535;;4
505;15;883;L;3;0;;1212;1077;1238;3533;;4
505;15;3293;L;3;0;;1212;1007;1773;3533;;4
505;15;502;L;3;0;;1708;1581;2372;3226;;4
505;15;3227;L;3;0;;1708;2373;1111;3226;;4
505;15;720;L;3;0;;1109;1078;1116;2901;;4
505;15;2902;L;3;0;;1109;1118;1205;2901;;4
505;15;2085;L;3;0;;1118;1117;1109;2815;;4
505;15;527;L;3;0;;1118;1116;1077;2815;;4
505;15;888;L;3;0;;1007;1238;2390;3536;;4
505;15;889;L;3;0;;1007;1773;1008;3536;;4
505;15;2238;L;3;0;;1214;2226;1387;2948;;4
505;15;2927;L;3;0;;1214;2237;1158;2948;;4
505;15;3401;L;3;0;;2222;2223;2285;3449;;4
505;15;3450;L;3;0;;2222;2286;1443;3449;;4
505;15;3212;L;3;0;;2367;1210;2368;3211;;4
505;15;3213;L;3;0;;2367;1464;2369;3211;;4
505;15;548;L;3;0;;1125;1124;1078;547;;4
505;15;549;L;3;0;;1125;1117;1109;547;;4
505;15;948;L;3;0;;1117;1108;1254;947;;4
505;15;949;L;3;0;;1117;1255;1085;947;;4
