CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
505;15;3082;;3083
505;15;3083;3082;
505;15;2831;;689
505;15;689;2831;
505;15;12052;;12061
505;15;12061;12052;
505;15;3166;;3169
505;15;3169;3166;
505;15;3147;;3431
505;15;3431;3147;
505;15;883;;3293
505;15;3293;883;
505;15;502;;3227
505;15;3227;502;
505;15;720;;2902
505;15;2902;720;
505;15;2085;;527
505;15;527;2085;
505;15;888;;889
505;15;889;888;
505;15;2238;;2927
505;15;2927;2238;
505;15;3401;;3450
505;15;3450;3401;
505;15;3212;;3213
505;15;3213;3212;
505;15;548;;549
505;15;549;548;
505;15;948;;949
505;15;949;948;
