CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
506;16;62;506;16;202
506;16;202;506;16;62
506;16;205;506;16;1304
506;16;1304;506;16;205
506;16;212;506;16;524
506;16;524;506;16;212
506;16;67;506;16;214
506;16;214;506;16;67
506;16;433;506;16;476
506;16;476;506;16;433
506;16;430;506;16;478
506;16;478;506;16;430
506;16;429;506;16;479
506;16;479;506;16;429
506;16;684;506;16;742
506;16;742;506;16;744
506;16;744;506;16;684
506;16;745;506;16;1010
506;16;1010;506;16;745
506;16;502;506;16;746
506;16;746;506;16;502
506;16;504;506;16;613
506;16;613;506;16;747
506;16;747;506;16;749
506;16;749;506;16;504
506;16;467;506;16;782
506;16;782;506;16;467
506;16;783;506;16;1112
506;16;1112;506;16;783
506;16;620;506;16;1242
506;16;1242;506;16;1667
506;16;1667;506;16;620
506;16;1425;506;16;1672
506;16;1672;506;16;1674
506;16;1674;506;16;1425
506;16;1177;506;16;1641
506;16;1641;506;16;1177
506;16;622;506;16;1168
506;16;1168;506;16;622
506;16;523;506;16;623
506;16;623;506;16;1703
506;16;1703;506;16;523
506;16;555;506;16;557
506;16;557;506;16;694
506;16;694;506;16;696
506;16;696;506;16;555
506;16;558;506;16;668
506;16;668;506;16;670
506;16;670;506;16;558
506;16;559;506;16;683
506;16;683;506;16;559
506;16;501;506;16;560
506;16;560;506;16;501
506;16;561;506;16;612
506;16;612;506;16;561
506;16;548;506;16;550
506;16;550;506;16;1041
506;16;1041;506;16;548
506;16;457;506;16;551
506;16;551;506;16;457
506;16;443;506;16;552
506;16;552;506;16;554
506;16;554;506;16;443
506;16;933;506;16;935
506;16;935;506;16;1323
506;16;1323;506;16;933
506;16;496;506;16;498
506;16;498;506;16;717
506;16;717;506;16;496
506;16;499;506;16;708
506;16;708;506;16;499
506;16;500;506;16;810
506;16;810;506;16;500
506;16;1294;506;16;1312
506;16;1312;506;16;1907
506;16;1907;506;16;1294
506;16;507;506;16;509
506;16;509;506;16;619
506;16;619;506;16;507
506;16;505;506;16;759
506;16;759;506;16;1598
506;16;1598;506;16;505
506;16;506;506;16;536
506;16;536;506;16;506
506;16;522;506;16;543
506;16;543;506;16;569
506;16;569;506;16;522
506;16;545;506;16;866
506;16;866;506;16;545
506;16;546;506;16;590
506;16;590;506;16;1473
506;16;1473;506;16;546
506;16;454;506;16;547
506;16;547;506;16;1487
506;16;1487;506;16;454
506;16;855;506;16;1407
506;16;1407;506;16;855
506;16;1887;506;16;1889
506;16;1889;506;16;1887
506;16;661;506;16;706
506;16;706;506;16;661
506;16;662;506;16;664
506;16;664;506;16;977
506;16;977;506;16;662
506;16;487;506;16;489
506;16;489;506;16;767
506;16;767;506;16;1867
506;16;1867;506;16;487
506;16;490;506;16;638
506;16;638;506;16;640
506;16;640;506;16;490
506;16;491;506;16;493
506;16;493;506;16;491
506;16;426;506;16;484
506;16;484;506;16;426
506;16;486;506;16;820
506;16;820;506;16;486
506;16;1430;506;16;1431
506;16;1431;506;16;1430
506;16;78;506;16;427
506;16;427;506;16;78
506;16;994;506;16;996
506;16;996;506;16;1013
506;16;1013;506;16;994
506;16;985;506;16;987
506;16;987;506;16;1014
506;16;1014;506;16;985
506;16;1015;506;16;1277
506;16;1277;506;16;1015
506;16;611;506;16;1016
506;16;1016;506;16;611
506;16;57;506;16;1423
506;16;1423;506;16;57
506;16;402;506;16;603
506;16;603;506;16;1380
506;16;1380;506;16;1788
506;16;1788;506;16;1911
506;16;1911;506;16;402
506;16;604;506;16;730
