CID;LID;NID;NAME;NCOMMENT
506;1;2109;亚洲;
506;1;2107;中国;
506;1;2110;湖南省;
506;1;1364;长沙市;
506;1;1304;郴州市;
506;1;1312;衡阳市;
506;1;1333;湘潭市;
506;1;1292;岳阳市;
506;1;1325;株洲市;
506;1;1962;长沙绕城高速公路;
506;1;1841;京港澳高速公路;
506;1;2100;李家塘收费站;
506;1;1963;黄谷路;
506;1;1397;中意一路;
506;1;1398;雀园路;
506;1;1396;Ｘ０８３;
506;1;2024;长潭西线高速公路;
506;1;1399;枫林三路;
506;1;1960;长张高速公路;
506;1;1372;雷锋大道;
506;1;1964;金盆大道;
506;1;1993;长青路;
506;1;1380;Ｇ１０７;
506;1;1562;Ｇ１０６长沙段;
506;1;2706;庆泰路;
506;1;2791;下中江;
506;1;1389;Ｇ３１９;
506;1;2735;迎宾大道;
506;1;1966;杨家收费站（金沙南路）;
506;1;1968;花炮大道（金沙北路）;
506;1;1967;车站西路（金沙中路）;
506;1;1969;蕉溪岭隧道;
506;1;1876;浏河路;
506;1;2736;Ｘ０１１（长亭北路）;
506;1;1466;车站中路;
506;1;1493;人民中路;
506;1;1467;远大一路;
506;1;1546;解放东路;
506;1;1464;五一大道;
506;1;1449;东风路;
506;1;1448;营盘东路;
506;1;1411;三一大道;
506;1;1548;德雅路;
506;1;1469;东升路;
506;1;1513;盼盼路;
506;1;1479;明月路;
506;1;1896;南山路;
506;1;2747;三一路跨线桥;
506;1;1514;开元中路;
506;1;1465;韶山北路;
506;1;1491;劳动中路;
506;1;1494;八一路;
506;1;1492;城南东路;
506;1;1435;韶山南路;
506;1;1974;井湾路;
506;1;1430;南二环;
506;1;1443;香樟路;
506;1;1490;韶山中路;
506;1;1616;新建西路;
506;1;2748;橘子洲大桥（潇湘中路）;
506;1;2749;橘子洲大桥（湘江中路）;
506;1;1410;芙蓉中路;
506;1;1716;亚大路;
506;1;1485;人民东路;
506;1;1413;东二环;
506;1;1973;万家丽中路;
506;1;1434;芙蓉南路;
506;1;1488;汇金路;
506;1;1483;时代阳光大道;
506;1;1441;湘府东路;
506;1;1566;Ｇ１０７长沙段;
506;1;1975;伊莱克斯大道;
506;1;2043;华爵湾;
506;1;2750;中意二路;
506;1;1478;Ｘ０５５;
506;1;1878;深远路（富强路）;
506;1;1527;西湖路;
506;1;1447;湘江中路;
506;1;1528;黄兴南路;
506;1;1460;枫林二路;
506;1;2721;西二环;
506;1;1461;枫林一路;
506;1;1405;金星中路;
506;1;2751;Ｘ０８１（枫林西路）;
506;1;1459;麓云路;
506;1;1981;枫林西路;
506;1;1959;黄桥大道;
506;1;1421;Ｘ０８１;
506;1;1431;潇湘中路;
506;1;1462;白云路;
506;1;1463;溁湾路;
506;1;1569;Ｇ３１９长沙段;
506;1;1980;Ｓ２０６;
506;1;2324;平安北路;
506;1;2707;二环西路;
