CID;LID;NID;NTRANSLATION
506;2;1291;da jing ting che qu
506;3;1291;Dajing Parking Area
506;2;1292;yue yang shi
506;3;1292;Yueyang
506;2;1294;jing gang ao gao su gong lu yue yang duan
506;3;1294;Jinggang'ao Hwy Yueyang Sect
506;2;1295;da jing shou fei zhan
506;3;1295;Dajing Tollgate
506;2;1296;san he fu wu qu
506;3;1296;Sanhe Service Area
506;2;1297;S201
506;3;1297;S201
506;2;1298;yue yang da dao
506;3;1298;Yueyang Blvd
506;2;1299;tao lin fu wu qu
506;3;1299;Taolin Service Area
506;2;1300;S320
506;3;1300;S320
506;2;1301;lin xiang shou fei zhan
506;3;1301;Linxiang Tollgate
506;2;1302;lin xiang fu wu qu
506;3;1302;Linxiang Service Area
506;2;1303;xin dian shou fei zhan
506;3;1303;Xindian Tollgate
506;2;1304;chen zhou shi
506;3;1304;Chenzhou
506;2;1305;jing gang ao gao su gong lu chen zhou duan
506;3;1305;Jinggang'ao Hwy Chenzhou Sect
506;2;1306;liang tian fu wu qu
506;3;1306;Liangtian Service Area
506;2;1307;S322
506;3;1307;S322
506;2;1308;X043
506;3;1308;X043
506;2;1309;S212
506;3;1309;S212
506;2;1310;yong xing fu wu qu
506;3;1310;Yongxing Service Area
506;2;1311;ma tian shou fei zhan
506;3;1311;Matian Tollgate
506;2;1312;heng yang shi
506;3;1312;Hengyang
506;2;1313;jing gang ao gao su gong lu heng yang duan
506;3;1313;Jinggang'ao Hwy Hengyang Sect
506;2;1314;lei yang fu wu qu
506;3;1314;Leiyang Service Area
506;2;1315;xin shi shou fei zhan
506;3;1315;Xinshi Tollgate
506;2;1316;guan shi fu wu qu
506;3;1316;Guanshi Service Area
506;2;1317;S316
506;3;1317;S316
506;2;1318;quan nan gao su gong lu
506;3;1318;Quannan Hwy
506;2;1319;da pu fu wu qu
506;3;1319;Dapu Service Area
506;2;1321;S315
506;3;1321;S315
506;2;1322;xin tang fu wu qu
506;3;1322;Xintang Service Area
506;2;1323;S314
506;3;1323;S314
506;2;1324;zhu ting shou fei zhan
506;3;1324;Zhuting Tollgate
506;2;1325;zhu zhou shi
506;3;1325;Zhuzhou
506;2;1326;jing gang ao gao su gong lu zhu zhou duan
506;3;1326;Jinggang'ao Hwy Zhuzhou Sect
506;2;1327;zhu ting fu wu qu
506;3;1327;Zhuting Service Area
506;2;1328;XB20
506;3;1328;XB20
506;2;1329;S313
506;3;1329;S313
506;2;1330;san pu fu wu qu
506;3;1330;Sanpu Service Area
506;2;1331;tian yi gong lu
506;3;1331;Tianyi Hwy
506;2;1332;ma jia he shou fei zhan
506;3;1332;Majiahe Tollgate
506;2;1333;xiang tan shi
506;3;1333;Xiangtan
506;2;1334;jing gang ao gao su gong lu xiang tan duan
506;3;1334;Jinggang'ao Hwy Xiangtan Sect
506;2;1343;yue bei fu wu qu
506;3;1343;Yuebei Service Area
506;2;1344;S324
506;3;1344;S324
506;2;1345;yi zhang fu wu qu
506;3;1345;Yizhang Service Area
506;2;1346;liang tian shou fei zhan
506;3;1346;Liangtian Tollgate
506;2;1354;heng shao gao su gong lu
506;3;1354;Hengshao Hwy
506;2;1355;X018
506;3;1355;X018
506;2;1356;yang lou si fu wu qu
506;3;1356;Yanglousi Service Area
506;2;1364;chang sha shi
506;3;1364;Changsha
506;2;1367;X071
506;3;1367;X071
506;2;1368;wan sheng fu wu qu
506;3;1368;Wansheng Service Area
506;2;1370;X076
506;3;1370;X076
506;2;1372;lei feng da dao
506;3;1372;Leifeng Blvd
506;2;1375;yin jia ao fu wu qu
506;3;1375;Yinjia'ao Service Area
506;2;1377;ji chang gao su gong lu
506;3;1377;Jichang Hwy
506;2;1379;bin hu lu
506;3;1379;Binhu Rd
506;2;1380;G107
506;3;1380;G107
506;2;1381;an sha ting che qu
506;3;1381;Ansha Parking Area
506;2;1384;xiang jia fu wu qu
506;3;1384;Xiangjia Service Area
506;2;1385;S308
506;3;1385;S308
506;2;1386;luo si tang fu wu qu
506;3;1386;Luositang Service Area
506;2;1387;yuan da san lu
506;3;1387;Yuandasan Rd
506;2;1388;shi tang ba
506;3;1388;Shitangba
506;2;1389;G319
506;3;1389;G319
506;2;1390;X035
506;3;1390;X035
506;2;1394;X082
506;3;1394;X082
506;2;1396;X083
506;3;1396;X083
506;2;1397;zhong yi yi lu
506;3;1397;Zhongyiyi Rd
506;2;1398;que yuan lu
506;3;1398;Queyuan Rd
506;2;1399;feng lin san lu
506;3;1399;Fenglinsan Rd
506;2;1400;S101
506;3;1400;S101
506;2;1402;X037
506;3;1402;X037
506;2;1403;yue lu da dao
506;3;1403;Yuelu Blvd
