CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
506;16;201;L;1;1;G0401;1962;1841;2100;4;
506;16;469;L;1;2;;1562;2706;2791;4;
506;16;743;L;1;4;;1466;1493;1467;4;
506;16;781;L;1;4;;1449;1448;1411;4;
506;16;618;L;1;2;G107;1469;1513;1479;4;
506;16;556;L;1;2;G107;1465;1491;1494;4;
506;16;549;L;1;2;G107;1435;1974;1430;4;
506;16;553;L;1;2;G107;1490;1430;1491;4;
506;16;497;L;1;2;G107;1464;2748;1466;4;
506;16;1748;L;1;4;G107;1716;1485;1513;4;
506;16;503;L;1;2;G107;1467;1466;1716;4;
506;16;542;L;1;2;G107;1397;1434;1974;4;
506;16;516;L;1;2;;1566;1975;2043;4;
506;16;660;L;1;4;;1527;1447;1528;4;
506;16;488;L;1;2;G319;1460;2721;1461;4;
506;16;483;L;1;2;G319;1399;2751;2721;4;
506;16;1429;L;1;2;G319;1981;1959;1421;4;
506;16;492;L;1;2;G319;1461;1460;1431;4;
506;16;419;L;1;2;;1569;1980;2324;4;
506;16;1011;L;1;4;;1633;1447;2754;4;
506;16;51;L;1;1;G5513;1960;2737;1962;4;
506;16;606;L;1;3;S101;1372;1403;2711;4;
506;16;581;L;1;3;S102;1499;1409;1988;4;
506;16;508;L;1;3;S103;1470;1716;1989;4;
506;16;513;L;1;3;S103;1387;1989;1953;4;
506;16;73;L;1;1;S20;1953;1411;1389;4;
506;16;94;L;1;1;S21;1948;1947;1953;4;
506;16;673;L;1;4;;1613;1447;2756;4;
506;16;680;L;1;4;;1493;1410;1413;4;
506;16;1187;L;1;4;;1702;2794;1701;4;
506;16;798;L;1;4;;1545;1561;1413;4;
506;16;1263;L;1;4;;1551;1553;1414;4;
506;16;960;L;1;4;;1625;1493;1464;4;
506;16;1028;L;1;4;;1640;1464;1448;4;
506;16;934;L;1;4;;1619;1490;1537;4;
506;16;83;L;1;1;S41;2024;1947;1430;4;
506;16;914;L;1;4;;1611;1608;1612;4;
506;16;1248;L;1;4;X035;1390;1470;1839;4;
506;16;775;L;1;4;X037;1402;1994;1555;4;
506;16;1439;L;1;4;X037;1993;1992;1994;4;
