CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
506;16;470;L;3;0;;1562;2706;1389;469;;4
506;16;471;L;3;0;;1562;1966;1968;469;;4
506;16;474;L;3;0;;1562;1969;2791;469;;4
506;16;517;L;3;0;;1566;1975;2750;516;;4
506;16;518;L;3;0;;1566;1479;2043;516;;4
506;16;420;L;3;0;;1569;1980;1959;419;;4
506;16;421;L;3;0;;1569;1953;2324;419;;4
506;16;1434;L;3;0;X037;1553;1413;1990;587;;4
506;16;1436;L;3;0;X037;1553;1991;1992;587;;4
506;16;1111;L;3;0;;1548;1449;2101;1115;;4
506;16;1116;L;3;0;;1548;2102;1549;1115;;4
506;16;1643;L;3;0;;1989;1470;2073;1642;;4
506;16;1648;L;3;0;;1989;2795;1379;1642;;4
506;16;1181;L;3;0;;1578;1470;1698;1383;;4
506;16;1499;L;3;0;;1578;2765;1379;1383;;4
506;16;1629;L;3;0;;2001;1470;1896;1628;;4
506;16;1634;L;3;0;;2001;1701;1379;1628;;4
506;16;1727;L;3;0;;2002;2070;1896;1726;;4
506;16;1730;L;3;0;;2002;1701;1379;1726;;4
506;16;1271;L;3;0;;1638;1613;2019;1270;;4
506;16;1275;L;3;0;;1638;2020;1410;1270;;4
506;16;921;L;3;0;;1614;1612;2019;920;;4
506;16;924;L;3;0;;1614;2020;1494;920;;4
506;16;1711;L;3;0;;2071;1514;2082;1706;;4
506;16;1712;L;3;0;;2071;2083;1989;1706;;4
506;16;1860;L;3;0;;2727;1430;1580;1859;;4
506;16;1861;L;3;0;;2727;1460;1403;1859;;4
506;16;1862;L;3;0;;2727;2729;1808;1859;;4
506;16;1150;L;3;0;;1684;1685;2032;1149;;4
506;16;1153;L;3;0;;1684;2033;2805;1149;;4
506;16;1913;L;3;0;;1684;2090;1552;1149;;4
506;16;1325;L;3;0;;1407;1461;2040;719;;4
506;16;1495;L;3;0;;1407;2041;1403;719;;4
