CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
506;16;470;;471
506;16;471;470;474
506;16;474;471;
506;16;517;;518
506;16;518;517;
506;16;420;;421
506;16;421;420;
506;16;1434;;1436
506;16;1436;1434;
506;16;1111;;1116
506;16;1116;1111;
506;16;1643;;1648
506;16;1648;1643;
506;16;1181;;1499
506;16;1499;1181;
506;16;1629;;1634
506;16;1634;1629;
506;16;1727;;1730
506;16;1730;1727;
506;16;1271;;1275
506;16;1275;1271;
506;16;921;;924
506;16;924;921;
506;16;1711;;1712
506;16;1712;1711;
506;16;1860;;1861
506;16;1861;1860;1862
506;16;1862;1861;
506;16;1150;;1153
506;16;1153;1150;1913
506;16;1913;1153;
506;16;1325;;1495
506;16;1495;1325;
