CID;LID;NID;NAME;NCOMMENT
507;1;1;亚洲;
507;1;2;中国;
507;1;3;四川省;
507;1;39;德阳市;
507;1;126;广安市;
507;1;62;广元市;
507;1;18;凉山彝族自治州;
507;1;49;绵阳市;
507;1;106;南允市;
507;1;5;攀枝花市;
507;1;30;雅安市;
507;1;40;京昆高速公路德阳段;
507;1;41;中山大道南三段;
507;1;48;飞云大道中段;
507;1;74;北京大道;
507;1;43;金沙江西路;
507;1;44;凯江路;
507;1;7;Ｇ１０８;
507;1;45;白马收费站;
507;1;46;万安北路;
507;1;47;金山收费站;
507;1;104;成绵（复线）高速公路;
507;1;63;京昆高速公路广元段;
507;1;61;青剑路;
507;1;75;广元出口;
507;1;64;剑门关服务区;
507;1;105;兰海高速公路;
507;1;65;昭化收费站;
507;1;66;广元收费站;
507;1;19;京昆高速公路凉山段;
507;1;17;永郎收费站;
507;1;82;菩萨岗服务区;
507;1;20;蒲坝收费站;
507;1;22;德昌服务区;
507;1;21;西会路南段;
507;1;128;唐家村;
507;1;24;Ｓ３０７;
507;1;25;Ｘ１３;
507;1;29;西宁收费站;
507;1;26;西宁服务区;
507;1;76;礼州收费站;
507;1;28;漫水湾收费站;
507;1;79;冕宁服务区;
507;1;80;庄子上村;
507;1;83;停车区;
507;1;81;喇嘛房;
507;1;50;京昆高速公路绵阳段;
507;1;51;九洲大道;
507;1;52;Ｓ２０５;
507;1;53;科学城收费站;
507;1;77;绵遂高速公路;
507;1;54;江油收费站;
507;1;55;贯山收费站;
507;1;56;Ｓ３０２;
507;1;57;新安服务区;
507;1;78;小溪坝收费站;
507;1;59;中雁路;
507;1;60;二郎庙收费站;
507;1;6;京昆高速公路攀枝花段;
507;1;8;大田停车区;
507;1;9;Ｓ２１４;
507;1;10;总发收费站;
507;1;11;金沙江大道东段;
507;1;127;Ｓ３１０;
507;1;12;新九收费站;
507;1;13;学府路;
507;1;14;米易服务区;
507;1;15;米易收费站;
507;1;16;挂榜收费站;
507;1;31;京昆高速公路雅安段;
507;1;36;邛名高速公路;
507;1;129;栗子坪停车区;
507;1;84;公益马;
507;1;86;滨河路一段;
507;1;87;石棉服务区;
507;1;88;富贤村;
507;1;91;共和村;
507;1;90;上堰村;
507;1;92;会管上;
507;1;93;祝家庄;
507;1;94;服务区;
507;1;95;王家山;
507;1;96;卢家沟;
507;1;32;Ｇ３１８;
507;1;33;陇西路;
507;1;34;雅安东收费站;
507;1;35;茶都大道;
507;1;120;兰海高速公路广安段;
507;1;121;钱塘停车区;
507;1;109;广高路;
507;1;122;武胜县;
507;1;123;Ｓ３０４;
507;1;124;武胜服务区;
507;1;125;刘家沟;
507;1;97;兰海高速公路广元段;
507;1;98;阆中服务区;
507;1;103;京昆高速公路;
507;1;99;王家湾;
507;1;100;苍溪服务区;
507;1;101;Ｇ２１２;
507;1;102;万广高速公路;
507;1;108;兰海高速公路南允段;
507;1;110;沪蓉高速公路;
507;1;111;南充绕城高速公路;
507;1;112;西允服务区;
507;1;113;杨家湾;
507;1;115;南部服务区;
507;1;116;白马沟;
507;1;117;国安街;
507;1;118;冯家湾;
507;1;119;眉山寺;
