CID;LID;NID;NTRANSLATION
507;2;1;ya zhou
507;3;1;Asia
507;2;2;zhong guo
507;3;2;China
507;2;3;si chuan sheng
507;3;3;SICHUAN
507;2;39;de yang shi
507;3;39;Deyang
507;2;126;guang an shi
507;3;126;Guang'an
507;2;62;guang yuan shi
507;3;62;Guangyuan
507;2;18;liang shan yi zu zi zhi zhou
507;3;18;Liangshanyizu Aut. Prefecture
507;2;49;mian yang shi
507;3;49;Mianyang
507;2;106;nan yun shi
507;3;106;Nanyun
507;2;5;pan zhi hua shi
507;3;5;Panzhihua
507;2;30;ya an shi
507;3;30;Yaan
507;2;40;jing kun gao su gong lu de yang duan
507;3;40;Jingkun Hwy Deyang Sect
507;2;41;zhong shan da dao nan san duan
507;3;41;Zhongshan Blvd Nansan Sect
507;2;48;fei yun da dao zhong duan
507;3;48;Feiyun Blvd Middle Sect
507;2;74;bei jing da dao
507;3;74;Beijing Blvd
507;2;43;jin sha jiang xi lu
507;3;43;Jinshajiang West Rd
507;2;44;kai jiang lu
507;3;44;Kaijiang Rd
507;2;7;G108
507;3;7;G108
507;2;45;bai ma shou fei zhan
507;3;45;Baima Tollgate
507;2;46;wan an bei lu
507;3;46;Wan'an North Rd
507;2;47;jin shan shou fei zhan
507;3;47;Jinshan Tollgate
507;2;104;cheng mian (fu xian) gao su gong lu
507;3;104;Chengmian(fuxian) Hwy
507;2;63;jing kun gao su gong lu guang yuan duan
507;3;63;Jingkun Hwy Guangyuan Sect
507;2;61;qing jian lu
507;3;61;Qingjian Rd
507;2;75;guang yuan chu kou
507;3;75;Guangyuan Exit Ramp
507;2;64;jian men guan fu wu qu
507;3;64;Jianmenguan Service Area
507;2;105;lan hai gao su gong lu
507;3;105;Lanhai Hwy
507;2;65;zhao hua shou fei zhan
507;3;65;Zhaohua Tollgate
507;2;66;guang yuan shou fei zhan
507;3;66;Guangyuan Tollgate
507;2;19;jing kun gao su gong lu liang shan duan
507;3;19;Jingkun Hwy Liangshan Sect
507;2;17;yong lang shou fei zhan
507;3;17;Yonglang Tollgate
507;2;82;pu sa gang fu wu qu
507;3;82;Pusagang Service Area
507;2;20;pu ba shou fei zhan
507;3;20;Puba Tollgate
507;2;22;de chang fu wu qu
507;3;22;Dechang Service Area
507;2;21;xi hui lu nan duan
507;3;21;Xihui Rd South Sect
507;2;128;tang jia cun
507;3;128;Tangjia Village
507;2;24;S307
507;3;24;S307
507;2;25;X13
507;3;25;X13
507;2;29;xi ning shou fei zhan
507;3;29;Xining Tollgate
507;2;26;xi ning fu wu qu
507;3;26;Xining Service Area
507;2;76;li zhou shou fei zhan
507;3;76;Lizhou Tollgate
507;2;28;man shui wan shou fei zhan
507;3;28;Manshuiwan Tollgate
507;2;79;mian ning fu wu qu
507;3;79;Mianning Service Area
507;2;80;zhuang zi shang cun
507;3;80;Zhuangzishang Village
507;2;83;ting che qu
507;3;83;Tingchequ
507;2;81;la ma fang
507;3;81;Lamafang
507;2;50;jing kun gao su gong lu mian yang duan
507;3;50;Jingkun Hwy Mianyang Sect
507;2;51;jiu zhou da dao
507;3;51;Jiuzhou Blvd
507;2;52;S205
507;3;52;S205
507;2;53;ke xue cheng shou fei zhan
507;3;53;Kexuecheng Tollgate
507;2;77;mian sui gao su gong lu
507;3;77;Miansui Hwy
507;2;54;jiang you shou fei zhan
507;3;54;Jiangyou Tollgate
507;2;55;guan shan shou fei zhan
507;3;55;Guanshan Tollgate
507;2;56;S302
507;3;56;S302
507;2;57;xin an fu wu qu
507;3;57;Xin'an Service Area
507;2;78;xiao xi ba shou fei zhan
507;3;78;Xiaoxiba Tollgate
507;2;59;zhong yan lu
507;3;59;Zhongyan Rd
507;2;60;er lang miao shou fei zhan
507;3;60;Erlangmiao Tollgate
507;2;6;jing kun gao su gong lu pan zhi hua duan
507;3;6;Jingkun Hwy Panzhihua Sect
507;2;8;da tian ting che qu
507;3;8;Datian Parking Area
507;2;9;S214
507;3;9;S214
507;2;10;zong fa shou fei zhan
507;3;10;Zongfa Tollgate
507;2;11;jin sha jiang da dao dong duan
507;3;11;Jinshajiang Blvd East Sect
507;2;127;S310
507;3;127;S310
507;2;12;xin jiu shou fei zhan
507;3;12;Xinjiu Tollgate
507;2;13;xue fu lu
507;3;13;Xuefu Rd
507;2;14;mi yi fu wu qu
507;3;14;Miyi Service Area
507;2;15;mi yi shou fei zhan
