CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
507;17;24052;;24053
507;17;24053;24052;24054
507;17;24054;24053;24055
507;17;24055;24054;24056
507;17;24056;24055;24057
507;17;24057;24056;24058
507;17;24058;24057;24059
507;17;24059;24058;24061
507;17;24061;24059;24060
507;17;24060;24061;
507;17;52;;53
507;17;53;52;54
507;17;54;53;73
507;17;73;54;55
507;17;55;73;56
507;17;56;55;64
507;17;64;56;
507;17;12052;;12053
507;17;12053;12052;12054
507;17;12054;12053;12055
507;17;12055;12054;12056
507;17;12056;12055;12057
507;17;12057;12056;12058
507;17;12058;12057;12059
507;17;12059;12058;12060
507;17;12060;12059;12061
507;17;12061;12060;12062
507;17;12062;12061;12063
507;17;12063;12062;12064
507;17;12064;12063;12065
507;17;12065;12064;12066
507;17;12066;12065;12067
507;17;12067;12066;12068
507;17;12068;12067;
507;17;30052;;30053
507;17;30053;30052;30054
507;17;30054;30053;30055
507;17;30055;30054;30064
507;17;30064;30055;30056
507;17;30056;30064;30057
507;17;30057;30056;30058
507;17;30058;30057;30059
507;17;30059;30058;30060
507;17;30060;30059;30061
507;17;30061;30060;30062
507;17;30062;30061;30063
507;17;30063;30062;
507;17;6052;;6053
507;17;6053;6052;6054
507;17;6054;6053;6055
507;17;6055;6054;6056
507;17;6056;6055;6063
507;17;6063;6056;6057
507;17;6057;6063;6058
507;17;6058;6057;6059
507;17;6059;6058;6060
507;17;6060;6059;6061
507;17;6061;6060;6062
507;17;6062;6061;
507;17;18059;;18060
507;17;18060;18059;18061
507;17;18061;18060;18062
507;17;18062;18061;18063
507;17;18063;18062;18064
507;17;18064;18063;18065
507;17;18065;18064;18066
507;17;18066;18065;18067
507;17;18067;18066;18068
507;17;18068;18067;18069
507;17;18069;18068;18070
507;17;18070;18069;18071
507;17;18071;18070;18072
507;17;18072;18071;18073
507;17;18073;18072;18053
507;17;18053;18073;18054
507;17;18054;18053;18055
507;17;18055;18054;18056
507;17;18056;18055;18057
507;17;18057;18056;
507;17;42052;;42053
507;17;42053;42052;42054
507;17;42054;42053;42055
507;17;42055;42054;42056
507;17;42056;42055;42057
507;17;42057;42056;
507;17;66;;67
507;17;67;66;68
507;17;68;67;69
507;17;69;68;70
507;17;70;69;71
507;17;71;70;72
507;17;72;71;
507;17;36052;;36053
507;17;36053;36052;
507;17;36055;;36056
507;17;36056;36055;36057
507;17;36057;36056;36058
507;17;36058;36057;36059
507;17;36059;36058;36060
507;17;36060;36059;36061
507;17;36061;36060;36062
507;17;36062;36061;36063
507;17;36063;36062;36064
507;17;36064;36063;36065
507;17;36065;36064;
